x	C2	CA42	CANS	CE42	CENS	CEO	CL42	CLNS	CR-2	CR13	CR24	CR3	CapeElizabeth	ChaBa	DBO1.1	DBO1.10	DBO1.2	DBO1.3	DBO1.4	DBO1.5	DBO1.6	DBO1.7	DBO1.8	DBO1.9	DBO2.1	DBO2.2	DBO2.3	DBO2.4	DBO2.5	DBO3.1	DBO3.2	DBO3.3	DBO3.4	DBO3.5	DBO3.6	DBO3.7	DBO3.8	DBO4.1	DBO4.2	DBO4.3	DBO4.4	DBO4.5	DBO4.6	HH20	M8	MB42	NH10	PR1	Sokul	TH42	THNS	TeahwhiteHead
ASV_1350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415762236609519
ASV_13513	0	0	0	0	0	0	0	0	0	0	0	0	8.79368261840694e-05	0	0	0	0	0	0	0	0	0	0.00227722997745542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236155390246782	0	0	0	0	0	0
ASV_13516	0.0138992870194292	0.0725992072631878	0.0309037332984296	0	0	0	0.207829082313937	0.0943672525299024	0	0.073362892220829	0.168187760929069	0.00345450417995006	0.00103554155870808	0.0849295430653876	0.938672328053282	0.000356853550871258	0.959598306943921	0.411471897663018	2.33544383279119	3.45968265253183	3.50805442601366	4.82206958418814	2.35969184632077	2.06343376572382	1.29519281610482	0.601008371150495	0.0643966182465882	3.22062708795907	1.37621347464844	2.44705755215695	1.68908833359949	2.20525644335911	2.03553223645944	0.561730829952739	0.777278587385425	0.493783913433049	0.631829295002637	0.768259887127743	0.0576990815711487	0.0134633804468045	0.00256716341278704	0	0	0.0529659699214517	0.350017050751233	0.014114468338223	0.010375103321285	0	0.000551803395265171	0	0.0887806009029007	0.0477968340649948
ASV_13537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108677932945715	0	0	0	0	0	0	0	0	0.00600708836426984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38431179082388	0	0	0	0	0	0	0	0.904200402108352	1.59861767300233	0	0	0	0	0	0	0	0	0	0	0	0.000544084441905384	0	0	0	0	0	0	0	0	4.4722439126052e-05	0	0	0	0	0.0348895033773393
ASV_13542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106836465422378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13551	0	0	0.0502117261117713	0.0177217682386531	0.00618620476337767	0	0.0190986699641518	0	0	0	0.00597665991157358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119878203744995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529237462251903	0.00544869377035448
ASV_1357	0.054217715814674	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00300090777460182	0.0299756982731857	0	0	0.087804877354494	0.0302176269688415	0.0149853693145646	0.00116808784020558	0.0645215160279037	0.125727495792185	0.0377500997138099	0	0	0	0	0	0	0.00144425187752744	0	0.0034929190022596	0.049995963954192	0	0.00190063481202722	0	0	0	0	0	0	0	0.0115810296474359	0	0	0	0	0.00137718283479315	0	0
ASV_13574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62662338458284e-05
ASV_13584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33442597437967e-05
ASV_13592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31904169776115e-05
ASV_13596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88592515064529e-05
ASV_13610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16440924794354e-05
ASV_13620	0.0508690809673848	0	0	0	0	0	0	0	0	0	0.0135173190650521	0	0	0.00103063110932464	0.00209666561336905	0	0.0129399585921325	0	0.0207999724686341	0.172236384411449	0.00626337491518346	0.123914635737504	0.000890467985449753	0	0.00964799160303572	0.0446549610689737	0.00148132786229576	0.0348652752120076	0	0.0810865145201447	0.0981467353296459	0.0358926342072409	0.00770534751117275	0	0.0617137772419682	0.00117387425458985	0	0.288538910103937	0.0459481468338997	0.00226785139223397	0	0	0	0.000322575442331575	0.0699953622370332	0	0.000536294907037109	0	0.000897805621341543	0	0	0.000391632549416638
