x	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23
ASV_1	0	12.2666587019504	0	19.4585873072786	0	0	0	19.5912132966216	0	0	27.5098226268049	0	0	0	0	0	11.2892663244397	0	3.43336518373362	8.01590443568515	0	0	0	0	70.4204101227625	0	9.47184112059868	37.7517997490258	40.6246420526135	48.4660997986127	7.83081933493315	4.05884702075958	49.819728147534	68.1069699641874	24.3068046230834	0	0.0838286846517299	6.44710922409012	0	4.31656890592984	77.1292664448131	56.3379460014468	81.9697311024186	76.6965475524507	71.005567387185	52.0588732366362	56.2363197399694	45.3802429246694	0	14.6338336431652	14.5989789818677	0	0	2.69050570414102	0	1.94891141755456	0	0	0	0	0	0.00826548745712278	0	11.5832081539656	26.482661004954	13.0932577695688	12.2814366057609	8.6480676007703	6.85709426260488	3.23622459083823	0
ASV_2	0	11.2103382017662	65.0050652044574	0	63.5608856088561	0.750870690481516	0	6.65835962779106	72.0371184524557	62.6631411234279	0	7.25505725505726	21.4597831364298	22.8563913729616	0.331690979937526	0	0.5070029786425	27.3443947624503	1.63246797415259	9.79912904280772	2.11959407634669	48.5123145173627	85.3219066077161	5.43433083956775	10.7811535559975	91.9028970753921	4.86784035306534	11.0071989961033	0	0.134817632579996	17.5535653068221	11.4878265048498	5.27436496570438	0.0872820199038998	11.6040104713907	3.98905150131581	96.9946654473403	23.9987951115956	13.9597253794402	5.45759939496803	0	2.53891209483583	0	2.24538710983158	1.167139000218	0	8.29317325667691	0.489439358583139	0	1.62547276073957	24.8819920159955	0	22.7935802980262	47.4950101897178	0	0.473159401315544	32.3102457240836	17.6855856775333	25.2915326753256	7.95116682645049	0	0	26.9746774147606	1.17298948493311	1.33522057088936	19.5217226702766	22.5369955099685	7.38885384155654	9.28688865371532	0	27.9738271448083
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.304654285075	54.4437778539595	78.2054839954244	0.155774980528127	0.601076178307269	0	0	0	0.122879492034349	0	0	0.0268525888772741	1.57223531608055	0.626676769952282	0.311088673916306	0.0398269414585884	0.037280418336001	0.147488468656352	0	0	0	0	0	0	0	0	0	0	0	0	0	97.4161203239491	0	1.37294556641126	0	0	0	0	0	0	0	0
ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123178497961396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317024843773815	3.46405416260256	0	0	0	0	0	0	0	0	0	0	0	0	8.75904384331563	63.3708770986926	8.10366620560736	1.04544404059079	30.8958152894872	14.7779050637818	0	7.70216195480413	1.95453343170966	33.3094668883414	0	0	0	0	0	0	0	0	0	55.1742523879407	11.9246895149763
ASV_5	0	0	0.249240219331393	0.869487271423449	0	0	1.83366693085799	0	0	0	2.68727666661277	0	0	0	0	0.919577317092845	0.0190126116990937	1.89941243856472	2.59526778628921	0	0	0	0	0	0	0	1.16449198887077	0	0	1.05336764376818	0.156410695920466	0.140111954189483	0.408909323886334	0	0	0	0.445663770766651	26.6705873352841	18.5901586645542	58.8015442385655	0.0335657360965926	1.24612045831097	0.4152245591759	0.401595466473828	0.357184780239129	0.980723538359065	0.622363761049892	0.429605696164662	0	0	1.30375632983146	0	0	0.467676534235351	0	0	5.72542606615695	0.00527906919451962	3.41532907345278	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153597247537324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00140775178520523	0	0	0	0.0123982311856842	0	62.4577834682582	4.20382165605096	26.4429199123522	37.0583397610425	4.35951922438409	7.33757275682213	0	0
ASV_7	0	1.60986828350408	2.66928234896847	0	0	13.563600345081	0	0	6.98404723024746	9.42743821824469	6.67938622730286	0	0	0.166578993512187	0	0	16.1226947208315	0.0394171193476467	0	0	4.91916927252345	0	0	0	0	0	51.4523169912693	0.1268080047553	0	0	0	0	28.1085902364262	16.466607878777	0	0.13773539565225	0	0.603878593149349	0.760028472365732	0	0	5.60054138566728	0.117245898953491	0	0	9.03180268220183	2.24144895677742	0	0	1.0613650308153	4.56469311053243	0	0	0	0	0	13.3979729441126	0	0	5.21704306882031	0	19.4610902177956	0	0	0.103798065581505	0.0355639175376002	0.0250297547594845	0	0.0264570262302517	0.741391480091608	3.79411110758187
ASV_8	0	18.199376760949	19.825853446751	0	0	0	9.80508053357693	0	0	0	26.0287483628955	17.034617034617	0	0	0	5.78567395337582	4.83765342121385	0	0	0	26.7397781580034	0	0	0	0	0	0	0	5.04848993929212	0	3.50702776825506	0	0	0	0	0	0.156988263984149	0	0.973571215356708	8.86002479927537	0.340772139799692	11.5966210066973	0	1.90700995574718	10.7302164908692	0	5.13908068652594	0.560043080236941	0	0	0	0	0	0	0	0	0	0	0	3.03265657803721	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	0.901008532202344	0	10.5270706346361	0	0	17.973965959619	0	0	0	5.76099083221498	0.186450186450186	0	0	0	1.13535532790191	0	6.25007698656123	11.2734221905518	0	0	0	0	0	0	0.36082119426019	0.193082605775688	0	1.17788553319843	0	1.80836475831334	0	0	0	0	79.1111085061864	0.0743789056546258	5.0442748675579	0.288397510964157	0	0.106451334477765	0	0	0	0.0268307816142069	0	0	1.38694429486029	0	0.664841253125029	0.971547536433033	0	0	1.3660524822993	5.85113964018287	0	2.98505641219651	0	0.65151114390322	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0	0	0	0	0	13.4741349011087	0	0	8.15695264414018	0	8.51941080408104	12.2974622974623	0	0	0	2.581269662015	25.2804360225616	5.5331781284259	7.76960824007644	58.1992185482899	14.1033394300549	0	0	22.9894014962594	0	0	0	0	0	0	0.530510798765855	0	0	0	0	0	0	0	0	0.00791466235171001	0	0	0	0	0	0	0	0	0	0	0	0	4.00964774441632	0	0	0.0157911207963319	0	0	0.00232019638142172	0	0	0	0	0.296901936667641	2.05237084217976	0.428487845170764	0.274816491032707	0.173484295105917	0.138899387708822	28.3942780827413	20.7564399834832
