ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_100	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	zzOther
ASV_1000	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	zzOther
ASV_1001	Eukaryota	Mollusca	zzOther	zzOther	zzOther	zzOther	zzOther
ASV_1002	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	zzOther	NA	NA
ASV_1003	Bacteria	zzOther	zzOther	zzOther	NA	NA	NA
ASV_1004	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	NA
ASV_1005	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Candidatus Karelsulcia__f	NA	NA
ASV_1006	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1007	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1008	Eukaryota	Hemichordata	Enteropneusta	Harrimaniidae__o	Harrimaniidae	zzOther	zzOther
ASV_1009	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Zoroasteridae	Myxoderma	Myxoderma platyacanthum
ASV_101	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus	NA
ASV_1011	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	NA
ASV_1012	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1013	Eukaryota	Chordata	Mammalia	Carnivora	zzOther	zzOther	NA
ASV_1014	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1015	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1016	Eukaryota	Arthropoda	Hexanauplia	Calanoida	zzOther	zzOther	NA
ASV_1017	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1018	Eukaryota	Echinodermata	Echinoidea	Spatangoida	NA	NA	NA
ASV_1019	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula	zzOther
ASV_102	Eukaryota	Chordata	Mammalia	Carnivora	zzOther	zzOther	NA
ASV_1020	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	NA	NA
ASV_1021	Eukaryota	Echinodermata	Echinoidea	Spatangoida	NA	NA	NA
ASV_1022	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1023	Eukaryota	Arthropoda	Insecta	Diptera	zzOther	NA	NA
