ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	Apolemia	NA
ASV_10	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_100	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	zzOther	zzOther	zzOther
ASV_1000	Eukaryota	Arthropoda	Hexanauplia	NA	NA	NA	NA
ASV_10000	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10001	Eukaryota	zzOther	zzOther	NA	NA	NA	NA
ASV_10002	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10003	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_10004	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_10005	Eukaryota	Telonemida__c__p	Telonemida__c	Telonemida	zzOther	NA	NA
ASV_10006	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_10007	Eukaryota	Annelida	Polychaeta	zzOther	zzOther	zzOther	zzOther
ASV_10008	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10009	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1001	Eukaryota	zzOther	zzOther	zzOther	NA	NA	NA
ASV_10010	Eukaryota	Polycystinea__p	Polycystinea	Collodaria	NA	NA	NA
ASV_10011	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	zzOther
ASV_10012	Eukaryota	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Rhopalonema	Rhopalonema velatum
ASV_10013	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10014	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10015	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10016	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	zzOther	NA	NA
ASV_10017	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10019	Eukaryota	Polycystinea__p	Polycystinea	Collodaria	Sphaerozoidae	NA	NA
ASV_1002	Eukaryota	Telonemida__c__p	Telonemida__c	Telonemida	Telonema__f	NA	NA
ASV_10020	Eukaryota	zzOther	zzOther	zzOther	zzOther	zzOther	zzOther
ASV_10021	Eukaryota	Cercozoa	Thecofilosea	zzOther	NA	NA	NA
ASV_10023	Eukaryota	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Rhopalonema	NA
ASV_10024	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_10025	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Loxocephalidae	NA	NA
ASV_10026	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_10027	Eukaryota	Bacillariophyta	Bacillariophyceae	zzOther	zzOther	zzOther	zzOther
ASV_10028	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10029	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_1003	Eukaryota	zzOther	zzOther	NA	NA	NA	NA
ASV_10030	Eukaryota	Polycystinea__p	Polycystinea	Collodaria	Sphaerozoidae	Collozoum	NA
ASV_10031	Eukaryota	Ciliophora	Spirotrichea	Strombidiidae__o	Strombidiidae	zzOther	zzOther
ASV_10032	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_10033	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10034	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_10035	Eukaryota	Annelida	Polychaeta	zzOther	zzOther	zzOther	NA
ASV_10036	Eukaryota	Annelida	Polychaeta	Terebellida	zzOther	zzOther	NA
ASV_10037	Eukaryota	Dinophyceae__p	Dinophyceae	zzOther	zzOther	zzOther	zzOther
ASV_10038	Eukaryota	Arthropoda	Hexanauplia	NA	NA	NA	NA
ASV_10039	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	NA	NA	NA
ASV_1004	Eukaryota	Cercozoa	NA	NA	NA	NA	NA
ASV_10040	Eukaryota	Cercozoa	zzOther	zzOther	NA	NA	NA
ASV_10041	Eukaryota	Ascomycota	zzOther	zzOther	NA	NA	NA
ASV_10042	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_10043	Eukaryota	Cnidaria	zzOther	zzOther	NA	NA	NA
ASV_10044	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_10045	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	NA	NA	NA
ASV_10046	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
