x	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23
ASV_1	0	0	0	0	0	0	0	4740	10984	0	2126	5906	6983	838	3494	521982	20051	1722	212096	12244	0	0	0	902	965	105362	20798	28526	138999	1510	5387	3897	2790	612	131	1779	11	2	0	7	537	4223	610	919	340	219	293	102	0	580	0	0	9	133	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	4031	237	1058	1982	301	5280	2144	4385	7450	16866	6348	815	10459	8248	12979	190	3541	1664	6033	1935	1900	5942	10659	541652	391221	965	85	806	30	481	889	1638	3137	1169	2846	54960	0	13	8	0	287	304	203	118	46	39	115	55	0	50	158	28	4	428	0	0	0	0	36	0	0	0	0	0	2	2	0	0	0	0	0
ASV_3	0	0	51	0	0	0	0	9	0	0	22	12	0	0	0	12	326	40	70	116	0	0	0	0	0	0	52	0	54	117	275	235	186173	0	83	0	8	36	15	0	487	9382	1086	555	344185	383359	68006	320	0	1585	319	1	19	0	63	617	48	1415	57	56	0	0	0	0	0	0	0	0	0	0	0
ASV_4	2602	2151	5944	5242	999	2488	4432	6337	3445	5575	3910	4052	1234	5858	4462	699	10591	1297	3746	3935	16275	732	58720	402	937	7235	11992	11373	10199	47234	49382	60047	400	2941	3599	1919	22412	15355	19656	50029	13749	93752	77108	44041	23874	36418	68026	8999	1603	1953	13024	13712	1861	12826	15642	6753	13150	5684	13767	7175	0	987	3446	0	0	0	2	0	0	0	0
ASV_5	0	1420	1967	6491	0	3887	1803	3282	33854	0	2209	1891	74397	47100	146283	120	1614	212447	1763	2521	55108	1016	4077	0	893	770	1301	1791	2275	126	87	1357	714	10251	7052	1780	160	261	289	1872	65	42	57	1	24	120	15613	23	0	2722	373	197	0	234	832	1	135	0	61	1	0	0	0	0	0	0	0	0	0	2	0
ASV_6	0	73990	84009	111880	25961	3717	1409	18234	18641	12305	1381	1025	615	8722	8744	11848	1020	553	791	115	1330	0	1705	1444	3292	1447	3954	4674	2740	53	178	748	395	2297	16435	132741	18	0	101	9	439	55	27813	44	28	12	1351	0	2834	37456	587	7663	9	3213	1419	170	1056	0	222	38	0	0	0	0	0	0	0	0	0	6	0
ASV_7	0	0	0	0	0	7420	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23566	0	0	0	10408	146094	135	103	303	46281	0	0	49	10	0	207813	15078	97	18781	17777	23722	2833	66867	0	0	322	3085	117	43	107	54	30	309	4057	23	239	531	9991	0	0	0	0	0	0	0	0
ASV_8	4293	24	0	0	0	0	32	0	0	0	277	52	0	0	0	4722	952	446	0	0	0	0	0	263	107	15	11	0	102	411936	26309	27514	647	1871	127	5	0	2	0	0	1158	7553	6994	23185	1485	4530	12788	36508	0	383	0	0	0	0	0	0	0	0	103	0	4	46	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	1805	24	0	0	0	0	0	0	0	0	9	0	0	0	0	1212	0	0	0	0	0	0	0	0	0	0	0	16	7	11	0	0	68	0	0	0	0	0	0	0	0	149	26368	305262	0	0	8805	17	24078	42	10184	0	0	0	0	0	0	0	0	0	0	0
ASV_10	2046	2828	7260	1911	289	619	14562	3576	0	8399	2815	764	2316	4237	2464	110	780	4836	4382	878	1436	2976	0	652	331	1888	9532	990	1454	293	640	1147	444	494	3393	433	17664	14118	13359	5722	213	613	375	420	97	184	351	120	2565	114	15153	6256	235	9032	11543	10171	5660	26601	3805	14915	205	245	624	0	0	0	0	0	0	138	1859
