x	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23
ASV_1	0	0	0	0	0	0	0	1.52871315110816	4.16819981455043	0	1.34275663009771	1.18935787727108	2.1592232544632	0.304600793598349	0.944157373487873	89.210223740131	8.17274695105855	0.478124817787798	50.4002404756495	11.0244540155266	0	0	0	0.155011050122531	0.176967780860705	28.4177569577527	6.43746876790132	12.3950024418037	49.2324382061852	0.24116292266097	1.43185280490019	1.11386138613861	0.711260763474275	0.240939858198862	0.0413911208146784	0.476517075991808	0.00303291819116759	0.000761307316924623	0	0.00228436417986431	0.347064389878527	1.4993123808435	0.162340254528229	0.516232548811008	0.0744347338739338	0.0412319053226304	0.0887722763877864	0.0751442813891207	0	0.203353687022188	0	0	0.00161973630692923	0.0376909343384249	0	0.00119823332478594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	7.66880526891031	2.90519287133472	4.68843678804109	4.46001192631472	2.82197616376437	2.06179343301793	8.94378397468632	4.30352021530447	3.7840542807942	10.8813585222823	6.81357409477613	1.71125934686177	2.61340263286319	7.78745913220241	4.3280842430683	0.290598145009496	4.57249840598133	3.48570206881999	4.68572483526471	9.6034169360399	3.05662826545514	3.50087905152594	7.63319429302744	0.409181053593954	0.686781698780665	4.00154572913463	6.9713091276951	6.92780400455803	2.63130664085318	1.49788043659668	2.34879639642484	3.89780028811195	0.787158245012893	5.24831261785975	4.48540726019217	1.67354517711667	16.7860993087704	14.2337822508812	15.4915022496383	9.3822100244427	2.3991469191603	6.56987320235505	3.87061747845665	8.03474105531188	0.837171830393891	1.43791626580092	3.69753194893019	3.37974512108278	7.29578526728493	4.21519216923424	14.0488743660165	11.4619842194411	3.71765476580413	14.2678606852382	12.9554817880042	8.67065598481599	12.0837791299039	10.230919127863	10.7973568581111	10.3300228172088	2.63157894736842	8.45979695072341	9.90507381096022	0.0357334286224763	0.0053130123261886	0.0149238881703313	0.00286491906603638	0.00543478260869565	0.01363698349925	8.30307944639994	4.87343167676811
ASV_100	0.986501256192247	0.0566448240791998	0.027978736160518	0.0647351767189741	0	0.0587812891213309	0.00811335792794384	0.832120961033873	0.391872599090414	0.146129013772421	0.11810700368216	0.153267767689572	0.68441269546629	0.799262412954345	0.464245522693982	0.0258915111614557	1.42060568648394	0.0408155332257876	0.0473377262743316	0.2426597659363	0.0162258640272595	0.16859757471938	0.164419111722046	0.0123733875929293	0	0.0281280641845622	0.00426584762392287	0.0561614846166368	0.118163459452242	0.100832248517418	0.18154693777676	0.435026181601994	0.0600752052569513	0.176689229345832	0.0486582641638204	0.0377581233734732	0.858591567935989	1.64975295577566	0.821555191656465	0.0101164699393991	0.111209264961077	1.17584556981604	0.382963321747739	0.544137010908901	0.0735590311224758	0.234018922101416	0.468705500245411	0.150725448135155	0.00271431802759557	0.118714584856196	0.0022051600745745	0.0109760447822627	0	0	0.0123686962848438	0.00647045995384405	0.000889123354010391	0	0.017204417913421	0.00826710463949912	0	0	0	0	0	0	0	0	0	0	0
ASV_1000	0	0	0.0119908869259363	0	0	0	0	0.0028904240252045	0	0	0.0138949416096658	0.00237317833841919	0	0	0	0.00204406667064124	0.133613284978049	0.011106267544432	0.0165682041960161	0.103869124902623	0	0	0	0	0	0	0.0158445768888564	0	0.0180249344927149	0.0241997396441804	0.0723556636066799	0.0671689570804656	47.6240627155476	0	0.035703791237089	0	0.00220575868448552	0.0159874536554171	0.031399545302787	0	0.204979544928257	3.15531450590613	0.289285010938007	0.246780086678235	75.7671156102772	71.5884312931588	20.689091008247	0.240286946302421	0	0.435836415698905	0.0639496421626606	0.000249455563233243	0.00341944331462838	0	0.0114592333227229	0.147861992278584	0.0142259736641663	0.25061813831077	0.0129033134350658	0.0154319286603984	0	0	0	0	0	0	0	0	0	0	0
ASV_10000	5.45485514754936	2.18490243787307	2.16964518730471	5.65425506196849	13.0211534396696	13.337633369979	6.88680911177821	8.29294768653673	12.4166580810385	9.89474890642013	2.63119667026672	5.06060504181738	15.6531710223377	9.33437803853452	4.78762986733231	0.434875184178924	8.24747292198852	2.69632410309948	3.30654018026206	25.2733280204873	8.92941749148142	16.203849794888	12.5719889083756	1.3103761166123	2.55292070192941	1.87958559737962	2.39618755103782	3.60491616474035	2.08888963065574	0.584687962437553	1.04244777894424	1.7438204559486	1.40571035839928	6.94838425731092	4.70500137443798	4.15889000676301	1.07282588016665	0.896058712020281	0.744447447495191	0.554447820227066	0.313901729890134	2.23366946533828	1.08235707404312	1.21907618790167	0.160253603516822	0.409718842980732	1.04042319834696	0.809548566360701	7.35610344567594	7.17371351312731	0.691217448830263	3.49836481878301	0.000179970700769915	5.51449542324369	3.55108908189714	0.111675345870049	1.62679936338768	0.0359290127663039	1.42026997353689	0.163964242016733	0	0.0017687219215395	0.030780216938969	0	0.000759001760884085	0	0	0	0	0	0
ASV_10001	0	0	0	0	0	0	0	0	0	0	0	0.0170077780920042	0	0.0201388954445189	0	0.00323643889518196	0	0.0047201637063836	0.23266492463834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142183239439735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10003	3.41017160863579	0.173367491878763	0.0623055889288846	0.623982637004883	0.957351673902086	1.08793045379155	0.758121709914046	0.695628715399216	1.69369913015322	5.35265165262682	0.51727078083256	0.522692529036826	1.11733516162738	3.81348865456445	1.14076979114174	0.0216330389309531	0.467443437719558	0.305144700783269	0.246392865257896	0.0456665980175324	0.664611390556547	1.04629671369968	2.78416362515998	0.103455268485326	0.212911495937077	0.176129000034174	0.253208526819993	0.304818492593195	0.282724435469066	0.0574396119140603	0.0678827680382669	0.181784922141175	0.37775684622478	1.20437803785005	0.563677553689971	0.391680786133688	0.210925674203928	0.131325512169497	0.120431167427145	0.0613514951163557	0.0160095599943967	0.0958295645975326	0.259744407245166	0.103769718426537	0.00700562201166436	0.0349171090119572	0.064837089238861	0.0528631281865326	0.199954761366207	0.694425360952795	0.237355411663292	0.951423518171591	0	1.11627511548162	1.0669819471602	0.0122219799128165	0.422333593154936	0	0.317149861798722	0.00496026278369947	0	0	0	0	0	0	0	0	0	0	0
ASV_10004	7.11806787696413	2.49838004385683	2.43932258542331	2.40137958451298	4.3279189633026	2.78909273463266	5.02288444192029	3.16501430759892	1.86038296807618	2.73856596180907	3.93795276983029	0.841687250692671	2.96878227832184	2.64889409143688	1.38150903294368	0.159777878088457	9.30338338078162	2.8484799684582	2.64830909641748	2.76954485623976	5.15463248417978	7.21678763016725	7.06083803384367	0.255201119104167	0.525401753539814	2.63325999006317	3.26824868672834	3.89467686797981	2.20905586060717	1.57187044516395	4.24162055637559	8.03883794845997	2.51252802891521	16.9261856650422	4.56250217224394	4.51783115427539	4.56426615787166	2.97100180429834	3.10259304599437	3.18440366673085	0.611508014785972	5.2097658732427	3.09351330923956	5.55298795748058	0.690491619524669	1.61714504344208	4.46406389180084	1.55225367311364	11.4097866244439	5.57189102440794	3.58258324479281	4.48371429355432	0.271935728863341	4.56457052172188	4.06893729252876	1.0937473788646	3.43972188221487	0.800880703288301	3.08570290234003	1.68538706583922	0	0.0017687219215395	0.492483471023504	0.00824617583595607	0.0159390369785658	0.0257022518489039	0.0128921357971637	0.0217391304347826	0.0166674242768611	0.0115179772589057	0
ASV_10005	0	0.0315408679531908	0	0	0	0	0.00739747340488997	0.00931358852565894	0	0	0	0	0	0	0	0	0	0.0344294293877392	0.0139646292509278	0	0.0726918708421223	0	0	0	0	0.00420606567245789	0.00487525442734043	0	0	0	0	0.0160062195596003	0	0	0	0	0.00220575868448552	0.0163681073138794	0.00914163977169748	0.00750576801955416	0.00257296499909946	0.0104235666755211	0.0133065782400187	0	0	0	0	0.00742705106752937	0	0	0.00280656736764028	0.01845971167926	0	0.0685804970669085	0.00327406666363512	0.000479293329914374	0	0	0.0167516700735942	0.0066136837115993	0	0	0	0	0	0	0	0	0	0	0
ASV_10006	13.8681494939745	1.07260407413606	5.49135598121898	2.99447199196317	6.42797912296961	2.96797849558028	2.86544711761028	4.1583566975942	5.29966295276923	2.35812114381769	3.10994056754521	1.07504978730389	3.84929747402016	2.98747927109785	0.469989842997282	0.0991372335261002	4.09530810248829	1.88639954242178	1.80617094599712	0.823789611296663	5.37335713126724	3.30297975927512	2.03524197753235	0.213269083372573	0.551442608340042	2.91769518116313	3.77100929954782	4.0415920559987	2.95575546172205	0.749774692079175	2.54244646338672	3.94267486794869	1.6022526965856	10.0359482268433	5.59254075129624	5.02828274621045	6.86790538398123	3.96603046751882	4.01476971017027	3.90267303242818	0.438261704846608	2.61160781834749	2.00902718267803	3.3524595167296	0.513599663730143	0.935518500495897	2.70376721667101	0.803869056720826	13.4518585538717	4.41524822889931	2.7464266383337	4.65060006535736	0.591743664131479	5.40085583926092	3.35646400800327	2.04586357873951	3.46876657844587	1.3277805604572	2.84303006019283	2.65291387881527	0	0.712794934380417	0.996047820145036	0	0	0.000829104898351739	0	0.00077639751552795	0.00151522038880555	0	0.0021511505966754
