Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area within region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E62.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,20:11,DBO4-3 38R2 72,54,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-3,38,71˚ 27.294' N,161˚ 02.238' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E63.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,23:51,DBO4-1 0mR1 73,56,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-1,0,71˚ 11.57' N,160˚ 16.52' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E63.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,23:51,DBO4-1 0mR2 74,56,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-1,0,71˚ 11.57' N,160˚ 16.52' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E64.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,23:51,DBO4-1 48mR1 75,56,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-1,48,71˚ 11.57' N,160˚ 16.52' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E64.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,23:51,DBO4-1 48mR2 76,56,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-1,48,71˚ 11.57' N,160˚ 16.52' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E65.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,11:09,DBO5-1 setC 0mR1 77,58,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-1,0,71˚ 15.144' N,157˚ 08.464' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E65.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,11:09,DBO5-1 setC 0mR2 78,58,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-1,0,71˚ 15.144' N,157˚ 08.464' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E66.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,11:09,DBO5-1 setC 43mR1 79,58,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-1,43,71˚ 15.144' N,157˚ 08.464' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E66.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,11:09,DBO5-1 setC 43mR2 80,58,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-1,43,71˚ 15.144' N,157˚ 08.464' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E67.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,13:20,DBO5-5 setA 0mR1 81,60,10,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-5,0,71˚ 24.40' N,157˚ 28.51' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E67.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,13:20,DBO5-5 setA 0mR2 82,60,10,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-5,0,71˚ 24.40' N,157˚ 28.51' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E68.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,13:20,DBO5-5 setA 122mR1 83,60,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-5,122,71˚ 24.40' N,157˚ 28.51' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E68.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,13:20,DBO5-5 setA 122mR2 84,60,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-5,122,71˚ 24.40' N,157˚ 28.51' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E69.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,16:15,DBO5-9 setB 0mR1 85,62,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-9,0,71˚ 34.833' N,157˚ 48.023' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E69.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,16:15,DBO5-9 setB 0mR2 86,62,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-9,0,71˚ 34.833' N,157˚ 48.023' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E70.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,16:15,DBO5-9 setB 59mR1 87,62,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-9,59,71˚ 34.833' N,157˚ 48.023' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E70.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/14/20,,16:15,DBO5-9 setB 59mR2 88,62,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO5-9,59,71˚ 34.833' N,157˚ 48.023' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E71.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/18/20,,8:11,BS14 0mR1 89,65,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,BS14,0,63˚ 59.96' N,167˚ 56.62' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E71.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/18/20,,8:11,BS14 0mR2 90,65,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,BS14,0,63˚ 59.96' N,167˚ 56.62' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E72.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/18/20,,8:11,BS14 32mR1 91,65,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,BS14,32,63˚ 59.96' N,167˚ 56.62' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E72.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/18/20,,8:11,BS14 32mR2 92,65,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,BS14,32,63˚ 59.96' N,167˚ 56.62' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E73.NC.DY2012,1,1,TRUE,DY2012,DY20-12 Dyson 2020,9/18/20,,,Control-4,NA,NA,0.22µm swinex filter,95% EtOH,NA,NA,NA,NA,NA,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
