reads.in	reads.out
MP_E540_R1_trimmed.fq.gz	137664	128309
MP_E541_R1_trimmed.fq.gz	140387	131058
MP_E542_R1_trimmed.fq.gz	132619	122884
MP_E543_R1_trimmed.fq.gz	89826	83582
MP_E544_R1_trimmed.fq.gz	117449	110646
MP_E545_R1_trimmed.fq.gz	167652	156671
MP_E557_R1_trimmed.fq.gz	132339	123582
MP_E561_R1_trimmed.fq.gz	169287	159471
MP_E562_R1_trimmed.fq.gz	166263	156984
MP_E563_R1_trimmed.fq.gz	104854	98013
MP_E564_R1_trimmed.fq.gz	141156	130335
MP_E566_R1_trimmed.fq.gz	85167	80410
MP_E567_R1_trimmed.fq.gz	108833	101757
MP_E568_R1_trimmed.fq.gz	121276	112845
MP_E570_R1_trimmed.fq.gz	130172	122319
MP_E571_R1_trimmed.fq.gz	123663	116115
MP_E572_R1_trimmed.fq.gz	127777	118819
MP_E573_1B_PCR1_R1_trimmed.fq.gz	140014	130653
MP_E573_2B_PCR1_R1_trimmed.fq.gz	133133	125487
MP_E573_3B_PCR1_R1_trimmed.fq.gz	139193	130973
MP_E574_1B_PCR1_R1_trimmed.fq.gz	99270	92393
MP_E574_2B_PCR1_R1_trimmed.fq.gz	104999	98240
MP_E574_3B_PCR1_R1_trimmed.fq.gz	101912	95172
MP_E575_1B_PCR1_R1_trimmed.fq.gz	112624	101776
MP_E575_2B_PCR1_R1_trimmed.fq.gz	85601	80085
MP_E575_3B_PCR1_R1_trimmed.fq.gz	97435	90914
MP_E579_R1_trimmed.fq.gz	128646	119592
MP_E580_R1_trimmed.fq.gz	143397	133153
MP_E581_R1_trimmed.fq.gz	143326	133362
MP_E590_R1_trimmed.fq.gz	119745	112134
MP_E592_R1_trimmed.fq.gz	122938	115197
MP_E593_R1_trimmed.fq.gz	133766	122711
MP_E594_R1_trimmed.fq.gz	134165	124436
MP_E595_R1_trimmed.fq.gz	112765	94822
MP_E596_R1_trimmed.fq.gz	120180	113201
MP_E597_R1_trimmed.fq.gz	132676	124643
MP_E598_1B_PCR1_R1_trimmed.fq.gz	157649	147574
MP_E598_2B_PCR1_R1_trimmed.fq.gz	129265	122308
MP_E598_3B_PCR1_R1_trimmed.fq.gz	157761	148655
MP_E599_PCR1_R1_trimmed.fq.gz	116613	110236
MP_E600_1B_PCR1_R1_trimmed.fq.gz	95475	87317
MP_E600_2B_PCR1_R1_trimmed.fq.gz	102242	95011
MP_E600_3B_PCR1_R1_trimmed.fq.gz	94753	89136
MP_E601_R1_trimmed.fq.gz	101749	95623
MP_E602_R1_trimmed.fq.gz	126396	118963
MP_E603_R1_trimmed.fq.gz	143705	134107
MP_E604_R1_trimmed.fq.gz	149034	140328
MP_E605_R1_trimmed.fq.gz	121612	112581
MP_E606_R1_trimmed.fq.gz	121267	113499
MP_E607_R1_trimmed.fq.gz	145283	136727
MP_E609_R1_trimmed.fq.gz	127087	118946
MP_E622_R1_trimmed.fq.gz	119978	111899
MP_E623_R1_trimmed.fq.gz	150808	139891
MP_E626_R1_trimmed.fq.gz	117712	109883
MP_E627_R1_trimmed.fq.gz	130429	120086
MP_E632_R1_trimmed.fq.gz	91883	85404
MP_E633_R1_trimmed.fq.gz	124499	117010
MP_E634_R1_trimmed.fq.gz	88047	82065
MP_E635_R1_trimmed.fq.gz	140074	127285
MP_E636_R1_trimmed.fq.gz	115812	107931
MP_E637_R1_trimmed.fq.gz	141407	132865
MP_E638_R1_trimmed.fq.gz	150304	141672
MP_E639_R1_trimmed.fq.gz	120196	112191
MP_E640_R1_trimmed.fq.gz	123380	115889
MP_E649_R1_trimmed.fq.gz	107113	99713
MP_E650_R1_trimmed.fq.gz	120065	113354
MP_E653_R1_trimmed.fq.gz	110525	101220
MP_E654_R1_trimmed.fq.gz	88109	82437
MP_E655_R1_trimmed.fq.gz	140550	131899
MP_E656_R1_trimmed.fq.gz	71004	65750
MP_E657_R1_trimmed.fq.gz	107223	99897
MP_E658_1B_R1_trimmed.fq.gz	173468	161443
MP_E658_2T_R1_trimmed.fq.gz	139358	131355
MP_E658_3T_R1_trimmed.fq.gz	140819	132467
MP_E659_1B_R1_trimmed.fq.gz	94738	88328
MP_E659_2B_R1_trimmed.fq.gz	113946	99631
MP_E659_3B_R1_trimmed.fq.gz	117642	109568
MP_E660_1B_R1_trimmed.fq.gz	122976	114479
MP_E660_2B_R1_trimmed.fq.gz	134088	124634
MP_E660_3B_R1_trimmed.fq.gz	79744	74772
MP_E661_R1_trimmed.fq.gz	161376	151969
MP_E663_R1_trimmed.fq.gz	122710	113313
MP_E666_R1_trimmed.fq.gz	106900	99457
MP_E667_R1_trimmed.fq.gz	116632	110145
MP_E675_1B_R1_trimmed.fq.gz	58926	55530
MP_E680_R1_trimmed.fq.gz	94606	87093
MP_E681_R1_trimmed.fq.gz	103747	96871
MP_E685_R1_trimmed.fq.gz	156585	146820
MP_E686_R1_trimmed.fq.gz	125864	117763
MP_E687_R1_trimmed.fq.gz	107932	100443
MP_E688_R1_trimmed.fq.gz	104706	95186
MP_E689_R1_trimmed.fq.gz	65096	60984
MP_E690_R1_trimmed.fq.gz	122442	113834
MP_E691_1B_R1_trimmed.fq.gz	161782	152066
MP_E691_2B_R1_trimmed.fq.gz	146711	137045
MP_E691_3B_R1_trimmed.fq.gz	106088	97500
MP_E692_1B_R1_trimmed.fq.gz	110059	102706
MP_E692_2B_R1_trimmed.fq.gz	99386	92774
MP_E692_3B_R1_trimmed.fq.gz	105828	99190
MP_E693_1B_R1_trimmed.fq.gz	113077	100623
MP_E693_2B_R1_trimmed.fq.gz	129411	121638
MP_E693_3B_R1_trimmed.fq.gz	148677	138043
MP_E694_1B_R1_trimmed.fq.gz	129867	122152
MP_E694_2B_R1_trimmed.fq.gz	150543	140467
MP_E694_3B_R1_trimmed.fq.gz	146883	137886
MP_E695_1B_R1_trimmed.fq.gz	71657	66928
MP_E695_2B_R1_trimmed.fq.gz	93156	85700
MP_E695_3B_R1_trimmed.fq.gz	110826	103580
MP_E696_1B_R1_trimmed.fq.gz	57282	53816
MP_E696_2B_R1_trimmed.fq.gz	122593	115355
MP_E696_3B_R1_trimmed.fq.gz	132623	123924
