dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E373	133079	121680	121258	120665	110030	85894	64.5
MP_E378	127385	117784	117295	116889	105231	87716	68.9
MP_E380	147870	139057	138406	137838	124957	92099	62.3
MP_E384_3B	156905	146551	146000	145722	140204	126681	80.7
MP_E386_1B	121223	113092	112634	112196	100783	80883	66.7
MP_E394	122339	113327	112851	112579	105079	92822	75.9
MP_E395	145438	134615	134270	133783	125730	104260	71.7
MP_E404	168515	158156	157525	157209	148473	126481	75.1
MP_E405	118248	110968	110408	110053	100610	77235	65.3
MP_E406	145133	136532	135695	135150	120746	79654	54.9
MP_E408	150010	141508	140793	140522	130527	107385	71.6
MP_E412_1B	138576	128464	128083	127853	120984	102379	73.9
MP_E412_2T	113134	105085	104641	104411	97829	79087	69.9
MP_E412_3T	128984	120151	119607	119397	110633	84935	65.8
MP_E413_1B	147596	137103	136549	136105	128175	91751	62.2
MP_E413_2B	122695	114059	113672	113356	107541	86215	70.3
MP_E413_3B	138019	128040	127448	127234	117539	85792	62.2
MP_E418_1B	114640	106554	106043	105705	97688	80428	70.2
MP_E418_2T	103367	92086	91776	91433	83965	70674	68.4
MP_E418_3T	113749	106757	106309	106088	100711	89430	78.6
MP_E419_1B	90457	84303	84025	83771	79836	60664	67.1
MP_E419_2B	84802	79189	78885	78745	73754	54776	64.6
MP_E419_3B	137546	128526	127979	127753	121023	90040	65.5
MP_E423	172492	161728	161025	160585	151600	123128	71.4
MP_E424	128287	119804	119429	119067	113324	94805	73.9
MP_E425	136422	122873	122438	122077	114320	83376	61.1
MP_E428	99970	93216	92497	92446	84267	68944	69
MP_E429	68396	63866	63629	63504	56998	44401	64.9
MP_E430	131523	123103	122734	122603	116695	92081	70
MP_E431	90535	85059	84567	84417	78972	65633	72.5
MP_E432	99481	93708	93023	93151	87029	72302	72.7
MP_E433	141036	131071	130319	129877	116942	93084	66
MP_E434	99785	93694	93268	93070	85535	61343	61.5
MP_E435	144866	136804	136084	135624	124840	100122	69.1
MP_E436	122199	115059	114417	114097	104377	86012	70.4
MP_E437	118818	110489	110073	109635	100539	77654	65.4
MP_E440	89247	82448	81936	81326	75573	64799	72.6
MP_E441	118082	107425	106998	106381	96503	62013	52.5
MP_E444	143163	133418	132927	132708	125586	116018	81
MP_E445	92108	86181	85833	85467	78708	53576	58.2
MP_E446_1B_PCR1	93741	88130	87831	87472	82805	70903	75.6
MP_E446_2B_PCR1	156652	146245	145614	145125	135353	111675	71.3
MP_E446_3B_PCR1	146404	137974	137409	136880	127527	104665	71.5
MP_E447_1B_PCR1	119907	110760	110124	109596	98014	71705	59.8
MP_E447_2B_PCR1	102999	95888	95340	94950	84819	62410	60.6
MP_E447_3B_PCR1	96381	88522	88141	87873	82775	68883	71.5
MP_E448_1B_PCR1	109531	98417	98001	97450	86501	63193	57.7
MP_E448_2B_PCR1	82426	77671	77355	77109	71546	57980	70.3
MP_E448_3B_PCR1	65489	61139	60913	60658	56022	42452	64.8
MP_E449_1B_PCR1	161788	151487	150614	149804	137630	100438	62.1
MP_E449_2B_PCR1	142369	132644	131872	131097	119013	83778	58.8
MP_E449_3B_PCR1	114724	107232	106677	105987	96028	68121	59.4
MP_E450_1B_PCR1	107217	99887	99464	99127	91052	63370	59.1
MP_E450_2B_PCR1	86011	79888	79566	79286	74677	57092	66.4
MP_E450_3B_PCR1	101931	95294	94978	94544	88743	66045	64.8
MP_E453	113922	106375	105730	105459	96356	81079	71.2
MP_E454	53004	49066	48793	48852	45848	39584	74.7
MP_E455	161736	150372	149810	149505	137822	102501	63.4
MP_E463	106718	100059	99297	98869	90708	77533	72.7
MP_E464	162122	151698	149832	149444	128446	89162	55
MP_E465	120490	111904	111363	111241	103108	82500	68.5
MP_E466_1B	137872	128719	128241	128043	118815	93318	67.7
MP_E466_2B	131351	121664	121078	120819	110198	83616	63.7
MP_E466_3B	94751	87563	87135	87012	79135	63970	67.5
MP_E467	55065	51574	51279	51126	48111	38570	70
MP_E469	130708	122167	121741	121332	113932	95964	73.4
MP_E470	80103	71716	71471	71148	68639	60546	75.6
MP_E471	114380	105803	105641	105462	104157	85723	74.9
MP_E472	73353	67685	67494	67388	66522	62782	85.6
MP_E474	125408	114527	114148	113960	111169	102659	81.9
MP_E475_PCR1	153898	142173	141381	140901	129415	94384	61.3
MP_E476	76711	72131	71786	71395	66181	53155	69.3
MP_E477	116688	109184	108600	108198	98753	74674	64
MP_E478	143112	132525	131740	131245	119328	83780	58.5
MP_E479	150942	139877	138940	138192	124388	85638	56.7
MP_E486_PCR1	136999	128834	128173	128029	119438	99756	72.8
MP_E487	94538	88164	87903	87701	84351	75459	79.8
MP_E488	149153	139709	139111	138628	127864	101988	68.4
MP_E489	145455	137338	136889	136633	130006	109125	75
MP_E490	103165	96233	95446	94962	81901	59896	58.1
MP_E491	128932	120705	119922	118897	103519	72814	56.5
MP_E492_1B_PCR1	92256	86194	85866	85867	83080	77702	84.2
MP_E494_PCR1	108460	101938	101580	101300	95528	81532	75.2
MP_E495_PCR1	94003	87785	87602	87330	84162	75893	80.7
MP_E496_1T_PCR1	84076	79306	78749	78427	69608	53155	63.2
MP_E496_2T_PCR1	115456	107872	107443	106980	98682	76989	66.7
MP_E496_3B_PCR1	93587	88358	87756	87345	77236	60137	64.3
MP_E497_PCR1	101290	93936	93672	93505	88291	71107	70.2
MP_E498_1B_PCR1	118067	110553	110215	109873	104428	88775	75.2
MP_E498_2B_PCR1	114978	106054	105756	105661	101166	80518	70
MP_E498_3B_PCR1	133530	124232	123715	123426	113735	88464	66.3
MP_E501	89137	83491	83247	82904	79808	72478	81.3
MP_E502	104087	97579	97073	96723	89479	72629	69.8
MP_E503	124429	115181	114627	114307	105024	74383	59.8
MP_E504	126177	118135	117716	117396	109818	93597	74.2
MP_E505	128312	119893	119347	119061	111235	86686	67.6
