Sample	lat	long	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1097.SKQ2021	67.78283333	-168.5949667	DBO3.7	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45
E1098.SKQ2021	67.78283333	-168.5949667	DBO3.7	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1099.SKQ2021	67.78283333	-168.5949667	DBO3.7	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1100.SKQ2021	62.20133333	-174.68	M8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	68.4
E1101.SKQ2021	62.20133333	-174.68	M8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	31.1
E1102.SKQ2021	62.20133333	-174.68	M8	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1103.SKQ2021	62	-175.0666667	DBO1.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	73.9
E1104.SKQ2021	62	-175.0666667	DBO1.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.3
E1105.SKQ2021	62	-175.0666667	DBO1.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.8
E1106.SKQ2021	62.04928333	-175.2086333	DBO1.2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	75.9
E1107.SKQ2021	62.04928333	-175.2086333	DBO1.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.8
E1108.SKQ2021	62.04928333	-175.2086333	DBO1.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1109.SKQ2021	62.22	-174.8778333	DBO1.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	69.7
E1110.SKQ2021	62.22	-174.8778333	DBO1.3	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.5
E1111.SKQ2021	62.22	-174.8778333	DBO1.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.9
E1112.SKQ2021	62.39033333	-174.5716	DBO1.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.4
E1113.SKQ2021	62.39033333	-174.5716	DBO1.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.3
E1114.SKQ2021	62.39033333	-174.5716	DBO1.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
E1115.SKQ2021	62.46833333	-174.0845	DBO1.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	62.6
E1116.SKQ2021	62.46833333	-174.0845	DBO1.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	29.5
E1117.SKQ2021	62.46833333	-174.0845	DBO1.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.8
E1118.SKQ2021	62.5605	-173.55045	DBO1.6	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.2
E1119.SKQ2021	62.5605	-173.55045	DBO1.6	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
E1120.SKQ2021	62.5605	-173.55045	DBO1.6	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.9
E1121.SKQ2021	62.7875	-173.5004167	DBO1.7	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.6
E1122.SKQ2021	62.7875	-173.5004167	DBO1.7	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	31.2
E1123.SKQ2021	62.7875	-173.5004167	DBO1.7	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.9
E1124.SKQ2021	63.03016667	-173.461	DBO1.8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	64.9
E1125.SKQ2021	63.03016667	-173.461	DBO1.8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.4
E1126.SKQ2021	63.03016667	-173.461	DBO1.8	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.8
E1127.SKQ2021	63.27833333	-173.281	DBO1.9	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.9
E1128.SKQ2021	63.27833333	-173.281	DBO1.9	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
E1129.SKQ2021	63.27833333	-173.281	DBO1.9	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.6
E1130.SKQ2021	63.60483333	-172.5931667	DBO1.10	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45.5
E1131.SKQ2021	63.60483333	-172.5931667	DBO1.10	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	29.7
