time (UTC),pressure,latitude (degrees_north),longitude (degrees_east),BTLID,salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1 (kg m-3),sigma_t_ch2 (kg m-3),chlor_fluorescence (ugrams/l),par (umol m-2 s-1),temperature_ch1 (degree_C),oxy_percentsat_ch1 (percent),oxy_percentsat_ch2 (percent),oxy_conc_ch1 (umol/kg),oxy_conc_ch2 (umol/kg),temperature_ch2 (degree_C),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id,SI (uM/l),PO4 (uM/l),NO2 (uM/l),NO3 (uM/l),NH4 (uM/l),PO4_WOCE_FLAG,SI_WOCE_FLAG,NO3_WOCE_FLAG,NO2_WOCE_FLAG,NH4_WOCE_FLAG
2021-11-10T02:43:21Z,0.0,71.1935,-160.26483,NaN,30.7365,30.7209,24.653673,24.641214,0.3095,NaN,0.2807,93.083,NaN,332.37,NaN,0.2782,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,1.0,71.1935,-160.26483,NaN,30.7365,30.7209,24.653673,24.641214,0.3095,NaN,0.2807,93.083,NaN,332.37,NaN,0.2782,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,2.0,71.1935,-160.26483,16.0,30.7365,30.7209,24.653673,24.641214,0.3095,NaN,0.2807,93.083,NaN,332.37,NaN,0.2782,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,13.4,1.009,0.36,1.3,2.8,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,3.0,71.1935,-160.26483,NaN,30.7365,30.7209,24.653673,24.641214,0.3095,NaN,0.2807,93.083,NaN,332.37,NaN,0.2782,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,4.0,71.1935,-160.26483,NaN,30.7365,30.7209,24.653673,24.641214,0.3095,NaN,0.2807,93.083,NaN,332.37,NaN,0.2782,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,5.0,71.1935,-160.26483,NaN,30.7365,30.7209,24.653673,24.641214,0.3095,NaN,0.2807,93.083,NaN,332.37,NaN,0.2782,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,6.0,71.1935,-160.26483,NaN,30.7362,30.7211,24.653532,24.64141,0.3095,NaN,0.2784,93.255,NaN,333.007,NaN,0.2774,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,7.0,71.1935,-160.26483,NaN,30.7359,30.7209,24.6535,24.641489,0.2982,NaN,0.2737,93.223,NaN,332.935,NaN,0.272,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,8.0,71.1935,-160.26483,NaN,30.7358,30.721,24.65337,24.641516,0.2979,NaN,0.2748,93.124,NaN,332.572,NaN,0.2732,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,9.0,71.1935,-160.26483,NaN,30.7357,30.7209,24.653475,24.641567,0.2998,NaN,0.2706,93.21,NaN,332.915,NaN,0.2702,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,10.0,71.1935,-160.26483,13.0,30.7358,30.7211,24.653498,24.641777,0.2986,NaN,0.2719,93.229,NaN,332.973,NaN,0.2691,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,16.5,1.038,0.44,1.6,3.05,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,11.0,71.1935,-160.26483,NaN,30.7357,30.7212,24.65317,24.64158,0.3025,NaN,0.2775,93.267,NaN,333.059,NaN,0.2754,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,12.0,71.1935,-160.26483,NaN,30.7356,30.7213,24.653036,24.6416,0.2933,NaN,0.2787,93.248,NaN,332.98,NaN,0.2768,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,13.0,71.1935,-160.26483,NaN,30.7356,30.7213,24.652943,24.64152,0.3099,NaN,0.2808,93.188,NaN,332.75,NaN,0.2786,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,14.0,71.1935,-160.26483,NaN,30.7354,30.7214,24.652826,24.641617,0.3089,NaN,0.2798,93.28,NaN,333.085,NaN,0.2782,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,15.0,71.1935,-160.26483,NaN,30.7354,30.7215,24.652803,24.641716,0.3097,NaN,0.2803,93.231,NaN,332.908,NaN,0.2778,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,16.0,71.1935,-160.26483,NaN,30.7353,30.7214,24.652786,24.641657,0.3261,NaN,0.2789,93.472,NaN,333.778,NaN,0.2773,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,17.0,71.1935,-160.26483,NaN,30.7351,30.7213,24.652624,24.641567,0.3226,NaN,0.2789,93.227,NaN,332.907,NaN,0.2775,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,18.0,71.1935,-160.26483,NaN,30.7352,30.7214,24.652666,24.641613,0.3333,NaN,0.2798,93.013,NaN,332.133,NaN,0.2783,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,19.0,71.1935,-160.26483,NaN,30.7351,30.7214,24.652554,24.641603,0.3096,NaN,0.2805,92.881,NaN,331.657,NaN,0.2785,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,20.0,71.1935,-160.26483,10.0,30.7349,30.7214,24.65241,24.641613,0.3214,NaN,0.2801,93.313,NaN,333.203,NaN,0.2783,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,16.6,1.046,0.43,1.7,3.03,NaN,NaN,NaN,NaN,NaN
2021-11-10T02:43:21Z,21.0,71.1935,-160.26483,NaN,30.7348,30.7213,24.652391,24.641594,0.3385,NaN,0.2787,93.145,NaN,332.614,NaN,0.2769,53.0,NaN,NaN,NaN,NaN,,skq202115sc002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
