Summary stat	MP_E25_2B_DY20	MP_E26_1B_DY20	MP_E26_2B_DY20	MP_E27_1B_DY20	MP_E27_2B_DY20	MP_E28_1B_DY20	MP_E28_2B_DY20	MP_E29_1B_DY20	MP_E29_2B_DY20	MP_E30_1B_DY20	MP_E30_2B_DY20	MP_E31_1B_DY20	MP_E31_2B_DY20	MP_E32_1B_DY20	MP_E32_2B_DY20	MP_E33_1B_DY20	MP_E33_2B_DY20	MP_E34_1B_DY20	MP_E34_2B_DY20	MP_E35_1B_DY20	MP_E35_2B_DY20	MP_E36_1B_DY20	MP_E36_2B_DY20	MP_E37_1B_DY20	MP_E37_2B_DY20	MP_E38_1B_DY20	MP_E38_2B_DY20	MP_E39_1B_DY20	MP_E39_2B_DY20	MP_E40_1B_DY20	MP_E40_2B_DY20	MP_E42_1B_DY20	MP_E42_2B_DY20	MP_E43_1B_DY20	MP_E43_2B_DY20	MP_E44_DY20	MP_E45_1B_DY20	MP_E45_2B_DY20	MP_E46_1B_DY20	MP_E46_2B_DY20	MP_E47_1B_DY20	MP_E47_2B_DY20	MP_E48_1B_DY20	MP_E48_2B_DY20	MP_E49_1B_DY20	MP_E49_2B_DY20	MP_E50_1B_DY20	MP_E50_2B_DY20	MP_E51_1B_DY20	MP_E51_2B_DY20	MP_E52_1B_DY20	MP_E52_2B_DY20	MP_E53_1B_DY20	MP_E53_2B_DY20	MP_E54_1B_DY20	MP_E54_2B_DY20	MP_E55_1B_DY20	MP_E55_2B_DY20	MP_E57_1B_DY20	MP_E57_2B_DY20	MP_E58_1B_DY20	MP_E58_2B_DY20	MP_E59_1B_DY20	MP_E59_2B_DY20	MP_E60_1B_DY20	MP_E60_2B_DY20	MP_E61_1B_DY20	MP_E61_2B_DY20	MP_E62_1B_DY20	MP_E62_2B_DY20	MP_E63_1B_DY20	MP_E63_2B_DY20	MP_E64_1B_DY20	MP_E64_2B_DY20	MP_E65_1B_DY20	MP_E65_2B_DY20	MP_E66_1B_DY20	MP_E66_2B_DY20	MP_E67_1B_DY20	MP_E67_2B_DY20	MP_E68_1B_DY20	MP_E68_2B_DY20	MP_E69_2B_DY20	MP_E70_1B_DY20	MP_E70_2B_DY20	MP_E71_1B_DY20	MP_E71_2B_DY20	MP_E72_1B_DY20	MP_E72_2B_DY20	MP_E233_1B_NO20	MP_E233_2B_NO20	MP_E234_1B_NO20	MP_E234_2B_NO20	MP_E234_3B_NO20	MP_E235_1B_NO20	MP_E235_2B_NO20	MP_E235_3B_NO20	MP_E236_1B_NO20	MP_E236_2B_NO20	MP_E236_3B_NO20	MP_E237_1B_NO20	MP_E237_2B_NO20	MP_E238_1B_NO20	MP_E238_2B_NO20	MP_E239_1B_NO20	MP_E239_2B_NO20	MP_E240_1B_NO20	MP_E240_2B_NO20	MP_E241_1B_NO20	MP_E241_2B_NO20	MP_E242_1B_NO20	MP_E242_2B_NO20	MP_E243_1B_NO20	MP_E243_2B_NO20	MP_E244_1B_NO20	MP_E244_2B_NO20	MP_E245_1B_NO20	MP_E245_2B_NO20	MP_E246_1B_NO20	MP_E246_2B_NO20	MP_E247_1B_NO20	MP_E247_2B_NO20	MP_E248_1B_NO20	MP_E248_2B_NO20	MP_E249_1B_NO20	MP_E249_2B_NO20	MP_E250_1B_NO20	MP_E250_2B_NO20	MP_E251_1B_NO20	MP_E251_2B_NO20	MP_E252_1B_NO20	MP_E252_2B_NO20	MP_E253_NO20	MP_E254_NO20	MP_E255_1B_NO20	MP_E255_2B_NO20	MP_E256_1B_NO20	MP_E256_2B_NO20	MP_E257_1B_NO20	MP_E257_2B_NO20	MP_E258_1B_NO20	MP_E258_2B_NO20	MP_E259_1B_NO20	MP_E259_2B_NO20	MP_E260_1B_NO20	MP_E260_2B_NO20	MP_E261_1B_NO20	MP_E261_2B_NO20	MP_E262_1B_NO20	MP_E262_2B_NO20	MP_E263_2B_NO20	MP_E264_1B_NO20	MP_E264_2B_NO20	MP_E265_1B_NO20	MP_E265_2B_NO20	MP_E266_1B_NO20	MP_E266_2B_NO20	MP_E267_1B_NO20	MP_E267_2B_NO20	MP_E268_1B_NO20	MP_E268_2B_NO20	MP_E269_1B_NO20	MP_E269_2B_NO20	MP_E270_1B_NO20	MP_E270_2B_NO20	MP_E271_1B_NO20	MP_E271_2B_NO20	MP_E272_1B_NO20	MP_E272_2B_NO20	MP_E273_1B_NO20	MP_E273_2B_NO20	MP_E274_1B_NO20	MP_E274_2B_NO20	MP_E275_1B_NO20	MP_E275_2B_NO20	MP_E276_1B_NO20	MP_E276_2B_NO20	MP_E277_1B_NO20	MP_E277_2B_NO20	MP_E277_3B_NO20	MP_E278_1B_NO20	MP_E278_2B_NO20	MP_E278_3B_NO20	MP_E279_1B_NO20	MP_E279_2B_NO20	MP_E280_1B_NO20	MP_E280_2B_NO20	MP_E280_3B_NO20	MP_E281_1B_NO20	MP_E281_2B_NO20	MP_E281_3B_NO20	MP_E282_1B_NO20	MP_E282_2B_NO20	MP_E282_3B_NO20	MP_E283_1B_NO20	MP_E283_2B_NO20	MP_E283_3B_NO20	MP_E284_1B_NO20	MP_E284_2B_NO20	MP_E284_3B_NO20	MP_E285_1B_NO20	MP_E285_2B_NO20	MP_E285_3B_NO20	MP_E286_1B_NO20	MP_E286_2B_NO20	MP_E286_3B_NO20	MP_E287_1B_NO20	MP_E287_2B_NO20	MP_E287_3B_NO20	MP_E288_1B_NO20	MP_E288_2B_NO20	MP_E289_1B_NO20	MP_E289_2B_NO20	MP_E289_3B_NO20	MP_E290_1B_NO20	MP_E290_2B_NO20	MP_E290_3B_NO20	MP_E291_1B_NO20	MP_E291_2B_NO20	MP_E291_3B_NO20	MP_E292_1B_NO20	MP_E292_2B_NO20	MP_E292_3B_NO20	MP_E293_1B_NO20	MP_E293_2B_NO20	MP_E293_3B_NO20	MP_E294_1B_NO20	MP_E294_2B_NO20	MP_E294_3B_NO20	MP_E295_1B_NO20	MP_E295_2B_NO20	MP_E295_3B_NO20	MP_E296_1B_NO20	MP_E296_2B_NO20	MP_E296_3B_NO20	MP_E297_1B_NO20	MP_E297_2B_NO20	MP_E297_3B_NO20	MP_E298_1B_NO20	MP_E298_2B_NO20	MP_E298_3B_NO20	MP_E299_1B_NO20	MP_E299_2B_NO20	MP_E299_3B_NO20	MP_E300_1B_NO20	MP_E300_2B_NO20	MP_E300_3B_NO20	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23	MP_E24_NC_DY20	MP_E41_NC_DY20	MP_E56_NC_DY20	MP_E73_NC_DY20	MP_E232_NC_NO20	MP_E301_NC_NO20	MP_E309_NC_RC56	MP_Mid_NC_SKQ21	MP_Blank1C_QiavacTest	MP_Blank3Q_QiavacTest	MP_POSITIVE	All_Samples
Total ASVs	303	1115	1396	176	694	331	286	348	311	762	1143	246	343	1201	1042	343	385	1242	1114	296	306	884	1009	469	603	1300	1372	971	922	855	883	469	591	1267	913	943	551	584	391	538	871	909	664	704	964	853	768	706	775	598	507	462	962	616	654	597	496	665	420	398	842	563	394	409	660	496	406	395	703	688	425	436	832	383	557	523	976	943	468	486	1332	1764	556	1135	889	488	510	869	872	350	528	333	278	333	703	437	739	352	375	327	818	375	794	356	968	812	342	353	868	775	461	443	1028	763	409	363	899	969	429	437	955	896	516	483	1160	1143	554	518	953	834	408	455	939	421	852	599	598	773	973	1125	471	579	811	1278	406	504	897	802	525	622	1651	592	575	971	1024	621	665	645	905	875	674	806	735	563	664	1014	1110	587	672	1509	1050	896	800	589	827	506	422	1129	1114	794	142	531	446	577	915	197	479	394	898	980	846	400	405	377	411	752	747	497	364	196	1257	1161	1305	697	547	575	1774	1427	1447	1352	1405	898	921	1026	858	956	732	867	672	926	818	732	740	1126	1121	1092	688	868	801	736	749	803	836	746	812	1365	1409	1426	757	775	480	1003	1214	997	1026	883	882	218	749	878	1066	527	674	896	1064	527	379	700	822	490	417	470	527	1135	1218	973	684	1139	765	637	273	517	907	913	1078	1139	1058	573	1067	543	710	555	605	916	1187	998	1020	460	993	901	677	442	530	983	660	647	633	1109	1131	522	1031	1036	931	965	992	1025	827	182	399	494	621	6	665	782	604	515	927	636	12	39	10	45	30	68	16	6	39	19	12	56978
Total ASVs, unique taxonomy	96	184	207	56	152	107	95	105	97	167	197	71	103	213	203	103	104	203	195	100	98	193	198	133	152	241	234	197	186	188	199	135	148	230	208	200	145	141	115	137	190	198	179	181	195	198	163	161	168	145	137	139	212	165	175	160	145	178	127	126	171	146	110	116	158	139	120	120	162	154	126	131	194	115	148	150	207	213	131	126	251	278	155	209	162	146	157	200	203	117	134	100	93	96	175	119	167	101	99	90	166	102	168	96	198	172	104	99	171	172	115	110	192	166	111	103	175	171	119	102	192	177	143	124	225	232	134	132	195	186	109	121	199	116	187	148	147	182	213	235	122	122	177	234	102	125	184	196	108	133	277	138	130	199	204	158	141	149	185	190	151	171	175	144	168	211	242	161	171	276	226	216	200	141	176	133	111	196	200	150	52	126	114	141	179	75	133	115	192	206	179	106	105	113	116	173	174	124	104	62	232	223	226	163	131	144	265	259	236	236	234	180	197	192	186	196	166	193	167	207	205	181	183	215	224	227	183	192	185	178	191	186	199	176	182	211	212	233	184	174	145	212	224	200	220	194	198	69	168	179	179	98	147	153	167	129	116	162	182	137	127	130	127	182	218	184	130	153	119	118	87	116	174	147	162	178	182	139	192	117	138	143	135	181	201	186	202	109	177	158	143	116	135	204	134	123	122	223	203	150	185	188	215	208	225	219	202	68	106	126	225	6	229	258	218	186	200	181	4	24	9	14	23	31	8	5	25	15	4	1709
Percent ASVs with Taxonomic Classification	91.75	88.43	88.04	76.14	88.33	90.33	92.31	88.22	91.32	87.66	85.3	94.31	90.09	86.51	86.28	93.29	89.87	88.81	90.66	94.59	95.1	86.43	86.03	94.88	93.37	85.92	84.77	90.94	91.43	88.42	90.26	92.75	92.72	88.63	88.94	86	93.28	93.84	95.91	94.05	89.44	89.55	90.96	89.77	87.24	87.34	79.04	82.58	88.13	87.12	95.07	94.16	84.1	88.31	92.66	94.64	94.15	91.43	88.1	89.95	79.1	83.3	90.61	89.49	87.88	84.27	90.39	88.35	82.22	85.61	88	88.3	82.21	89.56	83.84	87.76	88.01	88.34	84.4	83.74	87.91	86.39	86.69	80.09	77.05	93.44	92.94	89.18	89.11	87.71	77.08	86.49	90.65	89.49	82.5	78.03	81.19	85.8	84.53	85.02	77.38	87.47	76.07	87.08	82.64	80.42	85.38	86.69	76.73	77.81	79.18	77.43	75.78	77.06	80.2	82.09	74.64	72.03	81.82	79.18	77.28	76.23	83.72	84.68	77.07	76.55	82.13	82.43	77.44	78.3	80.15	83.3	81.04	80.05	82.16	83.64	84.78	82.92	82.63	82.13	78.34	73.75	78.05	81.46	79.06	76.19	82.72	86.78	79.62	76.53	83.71	78.38	78.78	85.48	83.11	83.25	79.4	87.6	85.3	87.66	89.47	79.65	81.22	81.53	85.84	83.53	83.33	82.45	82.29	86.94	85.9	83.71	82.75	81.66	80.65	82.61	84.36	80.87	82.23	73.17	85.92	80.98	85.43	79.2	84.92	80.2	84.97	85.53	83.41	82.35	82.62	82.25	82.96	85.41	85.64	78.19	78.45	82.29	86.26	77.55	83.61	79.59	81.84	84.65	86.29	87.65	89.23	88.86	89.01	88.24	86.76	87.42	87.95	85.96	85.9	84.73	84.97	86.39	83.04	87.58	86.55	88.11	87.43	84.72	83.94	82.69	86.92	87.1	84.27	84.78	85.71	85.8	87.08	85.39	85.1	86.74	89.57	88.08	85.87	82.58	86.25	88.53	86.9	87.66	85.67	85.73	85.83	63.3	74.37	69.82	62.66	43.83	75.37	61.16	64.19	73.43	75.99	70.29	76.52	72.45	69.54	75.11	65.28	57.71	68.14	71.53	48.54	46.71	46.54	53.22	78.39	56.67	71.55	66.7	58.72	58.47	62.38	74.17	65.14	70.72	55.63	68.83	64.3	78.49	72.37	74.65	75	86.09	63.14	55.38	68.69	72.85	74.91	67.75	68.33	51.47	55.92	78.81	77.81	96.55	70.71	77.61	90.01	77.31	90.12	80.98	88.75	69.78	69.42	77.13	96.14	83.33	95.94	95.27	95.53	95.34	91.91	94.81	91.67	100	100	88.89	90	82.35	100	100	100	94.74	91.67	83.54
Phylum Hits	25	34	38	22	35	28	28	30	26	31	37	23	28	41	39	27	29	34	38	29	26	40	39	33	34	37	37	36	35	34	37	31	32	42	37	38	30	33	28	31	37	37	33	34	36	40	32	33	35	32	31	33	39	31	35	32	32	36	32	33	32	29	29	32	34	33	29	29	36	36	36	33	33	29	36	35	40	40	33	32	44	43	34	37	32	30	31	37	39	31	30	31	28	30	35	26	32	30	30	25	36	28	35	27	36	34	31	30	33	31	30	28	39	36	31	33	36	36	30	29	38	38	37	32	40	41	32	31	35	36	30	30	38	33	36	32	33	34	36	42	29	29	35	40	26	29	35	37	31	33	40	32	35	37	37	34	33	34	35	35	33	34	36	28	31	35	39	29	32	42	38	34	37	33	36	32	31	37	36	32	20	28	29	32	35	27	31	32	36	38	36	30	29	29	28	31	34	31	31	22	41	36	36	34	28	30	39	38	38	38	38	34	35	34	35	34	37	33	34	37	39	35	35	36	40	38	35	34	33	36	37	32	35	31	34	40	38	38	37	34	30	34	35	37	36	34	36	21	31	33	32	22	29	33	31	28	29	34	33	31	29	35	29	31	39	35	27	34	31	30	23	23	38	34	34	36	35	30	37	28	32	30	32	40	37	35	38	30	30	29	27	28	30	37	31	26	28	39	39	34	34	39	40	37	41	41	38	22	28	31	40	5	34	38	32	33	36	32	3	11	7	6	14	15	7	5	16	11	2	74
Class Hits	41	61	66	30	59	45	44	44	43	56	66	36	45	73	70	42	46	61	67	45	40	65	66	52	58	72	72	64	64	63	64	56	62	74	67	66	52	51	45	50	65	66	62	63	62	72	54	57	57	50	55	56	69	58	64	58	51	63	53	50	54	47	48	49	55	49	48	48	55	55	55	52	60	45	54	56	67	69	52	52	79	77	52	64	53	54	57	65	71	47	47	43	39	42	58	43	53	43	43	38	55	42	62	40	63	55	44	44	59	51	46	42	65	57	49	47	60	58	47	42	64	59	53	47	71	72	49	50	64	58	45	49	62	47	60	52	50	61	66	71	50	46	61	69	40	51	65	61	45	55	72	52	51	64	66	61	55	58	63	59	52	57	62	44	52	66	71	47	54	81	68	64	63	55	60	54	49	64	65	54	26	46	43	50	59	36	50	48	62	65	60	45	47	45	46	53	62	50	46	30	73	62	66	56	47	52	79	74	74	71	70	57	63	59	64	63	61	57	60	63	69	60	62	61	68	66	62	63	59	61	61	56	63	58	62	69	68	71	61	61	55	61	65	66	65	63	64	33	59	57	55	43	49	54	57	49	48	54	59	50	47	53	49	61	73	59	48	59	51	50	36	44	66	54	57	65	64	52	62	50	57	52	54	68	67	64	67	49	52	56	53	50	48	65	51	48	50	69	65	56	63	64	72	63	69	72	65	32	44	45	68	5	64	71	61	56	69	61	3	14	9	8	17	21	7	4	19	11	2	172
Order Hits	66	119	133	39	103	78	76	69	73	101	119	51	73	138	128	72	75	127	123	68	71	114	120	91	98	141	129	122	115	118	121	93	103	134	127	125	95	93	75	91	118	120	113	110	121	119	105	102	105	90	94	91	136	104	114	108	95	117	89	83	107	91	77	83	102	93	81	78	99	98	81	85	117	80	96	98	126	132	88	83	145	168	97	118	104	90	95	122	123	75	92	66	63	64	104	78	99	68	68	62	99	69	102	67	118	100	67	69	103	100	70	73	121	104	75	73	111	102	79	66	115	111	86	79	135	131	86	82	115	112	75	81	123	78	115	94	93	110	134	136	80	77	114	138	68	83	110	111	74	85	156	95	93	121	127	107	94	95	113	110	93	107	105	87	97	124	144	96	102	161	127	131	119	88	107	90	77	119	120	89	37	84	76	91	106	51	88	77	119	129	107	71	71	73	75	104	109	84	74	41	142	124	131	106	82	91	162	153	148	151	141	113	122	125	116	123	106	116	103	125	124	109	113	130	131	136	111	117	110	115	119	114	124	107	115	130	131	142	113	108	96	127	136	129	134	117	118	51	109	113	110	67	92	103	107	83	77	102	110	91	81	86	84	115	143	123	80	99	85	77	61	71	109	102	111	121	114	94	126	79	95	91	90	113	127	123	130	75	107	100	92	80	89	119	81	79	87	139	130	98	115	117	127	122	138	133	122	42	68	76	117	5	114	126	109	97	127	113	3	21	9	9	15	25	7	4	21	11	2	486
Family Hits	20	43	43	11	41	23	19	19	19	42	45	14	19	52	49	22	23	50	45	21	23	51	45	30	33	60	61	49	45	45	52	31	38	63	60	51	30	30	25	28	48	48	41	43	51	48	29	38	42	37	32	34	58	42	43	45	38	48	30	33	41	32	27	28	38	33	29	30	44	35	34	36	54	28	36	37	53	61	33	35	67	70	37	57	44	33	40	49	57	27	32	26	25	26	49	29	47	24	24	26	42	25	41	27	52	49	28	24	41	46	25	24	47	37	26	22	40	39	23	19	45	43	38	29	71	65	29	28	54	52	28	32	57	27	47	42	40	40	55	69	27	19	49	64	18	27	41	48	17	33	80	31	32	54	53	43	38	36	47	44	35	45	41	38	44	60	66	40	50	79	65	61	57	34	46	28	19	42	51	34	11	19	19	38	51	15	22	21	51	48	43	22	24	24	30	44	44	24	20	15	60	55	60	39	27	36	68	72	60	60	62	47	47	48	45	46	42	54	44	57	59	48	55	65	63	60	52	57	51	44	57	56	54	45	46	48	48	49	45	42	41	58	55	51	53	54	53	15	53	50	49	32	31	41	41	33	27	41	54	34	33	29	36	55	62	48	39	38	30	26	19	35	45	37	43	52	60	41	57	33	36	52	39	47	53	46	56	28	56	54	43	32	38	69	41	42	40	68	48	38	53	49	60	66	65	59	50	17	24	27	67	3	81	74	64	55	48	46	3	12	4	4	7	9	4	1	6	4	1	509
Genus Hits	14	17	19	6	20	12	10	10	10	19	23	11	13	27	22	15	14	24	22	14	15	25	26	19	22	39	39	28	28	28	31	19	23	36	34	32	20	18	16	21	29	30	27	26	32	35	19	25	21	23	19	20	33	24	27	27	26	31	21	21	22	21	19	22	20	15	20	23	26	18	25	28	33	15	25	23	28	38	22	24	39	43	27	31	27	24	24	27	33	10	18	20	18	19	32	14	30	18	18	18	27	19	24	21	28	29	22	19	26	25	19	17	26	20	16	15	27	25	15	13	30	27	25	21	47	48	17	17	33	35	19	23	40	21	30	23	21	25	30	48	18	13	29	42	11	19	23	30	12	22	57	20	17	32	29	26	24	23	30	24	17	29	24	26	28	41	47	28	29	52	42	42	37	19	30	21	13	24	31	22	10	15	15	21	26	11	14	15	32	32	26	16	17	19	18	23	25	12	14	9	36	27	36	27	20	21	38	39	35	33	40	28	27	30	26	30	27	32	29	33	41	30	33	43	41	35	29	34	33	27	35	36	33	28	29	29	29	31	33	30	27	37	36	32	31	30	35	10	38	33	28	26	20	29	30	17	17	24	33	20	26	22	24	32	37	28	25	27	22	20	12	25	27	25	29	29	41	24	45	21	28	31	26	33	36	28	39	14	33	33	25	18	22	40	23	24	27	44	40	25	32	30	38	46	41	39	38	13	16	14	54	1	57	65	57	46	26	22	1	9	2	3	5	6	3	1	4	3	1	546
Species Hits	13	19	18	6	22	14	10	11	10	19	21	12	16	25	20	15	17	24	19	15	13	25	25	17	20	36	34	24	24	27	29	20	23	36	32	27	23	21	19	21	28	28	25	26	35	37	16	25	23	23	18	21	30	23	27	24	26	29	19	21	22	18	17	19	18	14	20	23	20	17	22	25	26	14	22	21	22	31	22	20	33	32	24	28	26	26	24	27	29	11	15	17	15	17	30	14	28	17	16	15	27	20	20	20	26	28	19	17	24	21	17	14	20	18	14	13	19	21	14	11	26	27	25	17	35	41	15	14	30	27	15	15	37	17	27	20	18	23	28	43	17	14	28	42	10	16	23	32	11	18	54	19	16	23	24	21	18	24	27	25	18	27	22	24	26	36	42	28	30	40	34	39	33	19	22	22	14	15	28	22	8	15	13	18	23	11	14	14	27	27	22	12	13	15	18	21	21	12	13	8	32	27	29	23	20	22	33	35	29	25	29	25	28	25	23	30	24	30	25	31	38	26	27	41	35	31	26	34	29	23	31	32	30	26	23	28	26	29	31	25	23	33	32	26	27	28	32	7	30	29	25	19	17	21	24	14	16	21	25	15	20	17	20	25	28	22	17	21	15	18	5	18	20	23	27	25	36	19	36	17	19	26	20	30	30	23	33	13	29	26	21	18	20	34	18	20	22	37	28	23	25	23	34	40	38	37	37	9	16	13	56	1	53	63	53	46	16	12	1	8	1	2	5	6	2	1	2	2	1	609
