Percent	Sample	TerminalTaxa
0.00194435262779258	MP_E1033_OC0821_PCR1	Acanthamoeba
0.000975904907825781	MP_E1113_SKQ2021	Acanthamoeba
0.00296284591226026	MP_E1172_OC0622	Acanthamoeba
4.86731906270441	MP_E1230_OC0822_PCR1	Acanthamoeba
4.80716462524666	MP_E1230_OC0822_PCR2	Acanthamoeba
4.13726950309853	MP_E1230_OC0822_PCR3	Acanthamoeba
0.0117259412999379	MP_E1231_OC0822_PCR1	Acanthamoeba
0.00994804907704211	MP_E1231_OC0822_PCR2	Acanthamoeba
0.00684088110548639	MP_E1231_OC0822_PCR3	Acanthamoeba
0.00226937478724611	MP_E1247_OC0922	Acanthamoeba
0.00433361935221058	MP_E1254_OC0922	Acanthamoeba
0.42875924078564	MP_E1256_OC0922	Acanthamoeba
0.00134740926882836	MP_E1257_OC0922	Acanthamoeba
0.319173245468551	MP_E1258_OC0922	Acanthamoeba
0.00156325720270756	MP_E1259_OC0922	Acanthamoeba
0.000863252216400066	MP_E1260_OC0922	Acanthamoeba
0.0226957508510907	MP_E1263_OC0922	Acanthamoeba
0.0015194797301404	MP_E1266_OC0922_PCR1	Acanthamoeba
0.00287001693309991	MP_E1266_OC0922_PCR2	Acanthamoeba
1.10743876488432	MP_E1281_OC1021	Acanthamoeba
0.189154309428615	MP_E1282_OC1021	Acanthamoeba
0.00888894966803192	MP_E1283_OC1021	Acanthamoeba
0.0039853869146463	MP_E1284_OC1021	Acanthamoeba
0.0295070116036323	MP_E1285_OC1021	Acanthamoeba
0.00791176796366916	MP_E1286_OC1021	Acanthamoeba
0.00305749621634843	MP_E1287_OC1021	Acanthamoeba
0.00231156863047264	MP_E1288_OC1021	Acanthamoeba
0.0277939541532109	MP_E1290_OC1021	Acanthamoeba
0.00248990034173882	MP_E1292_OC1021	Acanthamoeba
0.000788693292952237	MP_E1295_OC1021	Acanthamoeba
0.00209746207089422	MP_E1296_OC1021	Acanthamoeba
0.00289752189439981	MP_E1300_OC1021	Acanthamoeba
0.00725626215423911	MP_E1301_OC1021	Acanthamoeba
0.00161596574152628	MP_E1302_OC1021	Acanthamoeba
1.28199907148733	MP_E1303_OC1021	Acanthamoeba
0.113623647491242	MP_E1305_OC1021	Acanthamoeba
0.434647871655714	MP_E1306_OC1021	Acanthamoeba
0.0111318005181347	MP_E1308_OC1021	Acanthamoeba
0.362266997931761	MP_E1309_OC1021	Acanthamoeba
0.00796495420151334	MP_E1310_OC1021	Acanthamoeba
0.0270697984341163	MP_E1312_OC1021	Acanthamoeba
0.0141816192707946	MP_E1315_OC1021	Acanthamoeba
0.00137831225664174	MP_E1317_OC1021	Acanthamoeba
1.2531328320802	MP_E1319_OC1021	Acanthamoeba
0.1057753331923	MP_E1323_OC1021_PCR1	Acanthamoeba
0.0437285261701843	MP_E1323_OC1021_PCR2	Acanthamoeba
0.0683194451632938	MP_E1323_OC1021_PCR3	Acanthamoeba
0.149585134977212	MP_E1391_OC0722	Acanthamoeba
0.0439499185318583	MP_E1845_OC0623	Acanthamoeba
0.00656641933153851	MP_E1846_OC0623	Acanthamoeba
0.0624784947210199	MP_E1873_OC0723	Acanthamoeba
0.00546104906752587	MP_E1874_OC0723	Acanthamoeba
0.00856846633021156	MP_E1875_OC0723	Acanthamoeba
0.7239808210682	MP_E2137_1B	Acanthamoeba
0.00212003646462719	MP_E1173_OC0622	zzOther
0.608012250320895	MP_E1229_OC0822_PCR1	zzOther
0.535954790963747	MP_E1229_OC0822_PCR2	zzOther
0.676474229821145	MP_E1229_OC0822_PCR3	zzOther
0.0119644747135429	MP_E1324_OC1021_PCR1	zzOther
0.0236068979355768	MP_E1324_OC1021_PCR2	zzOther
0.0282855080662466	MP_E1324_OC1021_PCR3	zzOther
0.00300174100978568	MP_E1325_OC1021_PCR1	zzOther
0.0028141797135165	MP_E1846_OC0623	zzOther
0.000856846633021156	MP_E1875_OC0723	zzOther
0.0333961499010043	MP_E2137_1B	zzOther
0.00122195610733662	MP_E1033_OC0821_PCR3	Acanthamoeba sp_
0.000959941635548559	MP_E1114_SKQ2021	Acanthamoeba sp_
0.00101078507676913	MP_E1130_SKQ2021	Acanthamoeba sp_
0.011851383649041	MP_E1172_OC0622	Acanthamoeba sp_
1.42352338057051	MP_E1174_OC0622	Acanthamoeba sp_
0.0448896356244148	MP_E1230_OC0822_PCR1	Acanthamoeba sp_
0.064220076363509	MP_E1230_OC0822_PCR2	Acanthamoeba sp_
0.0227183804319017	MP_E1230_OC0822_PCR3	Acanthamoeba sp_
14.2259119850846	MP_E1231_OC0822_PCR1	Acanthamoeba sp_
15.277992704764	MP_E1231_OC0822_PCR2	Acanthamoeba sp_
14.9245222784695	MP_E1231_OC0822_PCR3	Acanthamoeba sp_
0.509633635819964	MP_E1254_OC0922	Acanthamoeba sp_
0.0357063456239516	MP_E1257_OC0922	Acanthamoeba sp_
0.0018058690744921	MP_E1325_OC1021_PCR3	Acanthamoeba sp_
0.151922402711231	MP_E1391_OC0722	Acanthamoeba sp_
0.0863015112145062	MP_E1846_OC0623	Acanthamoeba sp_
0.073344319889893	MP_E1873_OC0723	Acanthamoeba sp_
1.72478133049359	MP_E1874_OC0723	Acanthamoeba sp_
0.255340296640304	MP_E1875_OC0723	Acanthamoeba sp_
7.1682450323227	MP_E2137_1B	Acanthamoeba sp_
0.00665055753840697	MP_E1034_OC0821_PCR2	zzOther
0.469599314385001	MP_E1053_SKQ2021	zzOther
