x	MP_E370	MP_E378	MP_E384_3B	MP_E388_1B	MP_E392	MP_E396	MP_E400	MP_E404	MP_E408	MP_E411_1T	MP_E423	MP_E427	MP_E431	MP_E435	MP_E438	MP_E442	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E451	MP_E455	MP_E458_1B	MP_E467	MP_E471	MP_E472	MP_E475_PCR1	MP_E486_PCR1	MP_E492_1B_PCR1	MP_E499	MP_E501	MP_E506	MP_E516	MP_E520_1B	MP_E524	MP_E528	MP_E529	MP_E532	MP_E536	MP_E540	MP_E543	MP_E552	MP_E555	MP_E560	MP_E561	MP_E562	MP_E565	MP_E566	MP_E569	MP_E570	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E579	MP_E583	MP_E588	MP_E590	MP_E594	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E601	MP_E604	MP_E607	MP_E632	MP_E635	MP_E638	MP_E655	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E661	MP_E675_1B	MP_E685	MP_E688	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E707	MP_E713	MP_E716	MP_E721	MP_E725_1B	MP_E750	MP_E758	MP_E761	MP_E768_1B	MP_E773	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E824	MP_E829	MP_E840	MP_E846	MP_E852	MP_E856	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E875	MP_POSITIVE
ASV_1009	0	0	0	0	410	28	0	1534	3185	682	19	14777	10418	4951	23693	4426	0	210	169	29	21	7	0	1	290	0	0	0	0	4168	11914	2345	2982	0	0	472	9022	11843	30790	10075	10375	9	1	0	123	1663	5620	1692	1841	532	3663	618	9	115	911	62	16	372	1088	1198	5275	2697	9531	1334	266	1454	433	46	0	912	245	1751	225	404	57	0	0	0	0	0	393	0	131	0	0	0	467	0	0	188	283	0	285	77318	0	434	0	203	0	32	1396	0	144	1092	983	0	0	0	0	0
ASV_101	0	0	0	1	9960	12140	0	5223	20755	28359	1485	0	9536	68622	8946	6472	23645	9895	35974	41273	15812	8478	0	6917	3239	261	1248	2669	0	10260	0	0	0	960	0	6866	2957	4322	0	1274	25400	1302	532	0	3400	5661	3460	1805	0	0	21477	238	9191	23445	13754	4183	1800	0	6636	0	35689	9932	0	0	24667	22120	3195	17222	14574	11	2223	3491	2786	0	2480	123732	55429	70127	76064	76902	9733	14766	13609	4238	41782	59979	35093	46276	23698	53569	65523	44198	9360	7734	13771	47343	0	14786	0	23632	8820	122	0	11358	186	2002	1478	0	13296	0
ASV_1010	0	0	274	0	0	0	0	0	0	17	0	0	0	91	0	0	0	91	0	0	0	0	72	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	106	124	0	0	0	0	0	56	190	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	452	798	76	49	0	0	0	0	0	0	0	0	0	0	0	0	5	279	0	0	0	0	0	0	0	0	0	0	0	49	3051	5	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	76	30	0	0	0	0	0	1	372	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4479	0	0	0	0	0	0	0	0	0
ASV_1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1016	0	0	0	0	0	0	0	0	0	0	0	1119	0	1188	0	354	0	0	0	0	0	0	0	0	0	323	1759	2749	0	0	0	9987	2340	0	0	2	0	4179	7652	0	0	0	1	0	0	1766	1309	4554	14110	3955	744	4282	1938	6136	2411	0	0	0	3076	0	925	5357	5104	123930	0	0	0	0	0	141	5758	1139	4260	1527	3604	0	0	0	0	0	0	907	0	0	0	0	0	0	7646	0	2840	0	0	515	0	0	0	795	140	0	0	0	0	0	0	0	0	0	0	0
ASV_1017	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7476	0	0	0	0	0	0	0	0	0	0	0	0	181	0	224	0	434	0	0	0	0	0	0	0	0	0	0	0	0	4098	0	0	0	0	11	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2008	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV_1018	425	17796	12895	320	660	462	486	1414	3728	2054	595	393	992	1987	781	1085	1030	1397	1172	133	204	158	280	5441	4676	417	24	47	19	814	760	1248	872	251	747	366	1033	1845	304	308	1844	48	185	645	395	5368	1491	1427	742	562	126	694	607	317	481	312	3384	1056	706	879	601	1012	2195	110	656	1745	1804	4781	69	1589	2113	2035	1654	2027	816	439	443	1215	1386	1276	909	320	53796	146	1138	885	1028	3532	772	3441	690	1076	1981	118	357	289	70	614	521	45	1696	0	185	536	317	476	261	461	278	0
ASV_1019	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
