ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2072	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	NA	NA
ASV_2073	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	NA	NA
ASV_2074	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	NA	NA	NA
ASV_2075	Bacteria	Actinomycetota	Actinomycetes	NA	NA	NA	NA
ASV_2078	Bacteria	Synergistota	Synergistia	Synergistales	Acetomicrobiaceae	NA	NA
ASV_2079	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	NA	NA	NA
ASV_208	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2080	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	NA	NA	NA
ASV_2081	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	NA
ASV_2082	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	NA	NA
ASV_2083	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	NA
ASV_2084	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	NA	NA	NA
ASV_2085	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_2086	Eukaryota	Porifera	Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia	NA
ASV_2087	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	Moerella	NA
ASV_2088	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	NA	NA
ASV_2089	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Crellidae	NA	NA
ASV_209	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_2092	Bacteria	Candidatus Woesebacteria	NA	NA	NA	NA	NA
ASV_2094	Eukaryota	Nemertea	Enopla	Bdellonemertea	Malacobdellidae	NA	NA
ASV_2095	Eukaryota	Mollusca	Caudofoveata	Chaetodermatida	Chaetodermatidae	Chaetoderma	Chaetoderma nitidulum
ASV_2097	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_2099	Eukaryota	Porifera	Demospongiae	Dendroceratida	Dictyodendrillidae	NA	NA
ASV_21	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	Nitidotellina	NA
ASV_210	Eukaryota	Annelida	Polychaeta	Chaetopteridae__o	NA	NA	NA
ASV_2100	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	NA	NA
ASV_2104	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_2107	Bacteria	Candidatus Chazhemtobacteraceae__o__c__p	Candidatus Chazhemtobacteraceae__o__c	Candidatus Chazhemtobacteraceae__o	Candidatus Chazhemtobacteraceae	NA	NA
ASV_211	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	Symphurus	Symphurus ommaspilus
