Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E370	ASV_1	73155	Eukaryota							
MP_E378	ASV_1	8693	Eukaryota							
MP_E384_3B	ASV_1	29003	Eukaryota							
MP_E388_1B	ASV_1	104368	Eukaryota							
MP_E396	ASV_1	74783	Eukaryota							
MP_E400	ASV_1	17688	Eukaryota							
MP_E404	ASV_1	725	Eukaryota							
MP_E411_1T	ASV_1	3793	Eukaryota							
MP_E423	ASV_1	55664	Eukaryota							
MP_E427	ASV_1	45593	Eukaryota							
MP_E442	ASV_1	5043	Eukaryota							
MP_E446_1B_PCR1	ASV_1	33729	Eukaryota							
MP_E446_2B_PCR1	ASV_1	81701	Eukaryota							
MP_E446_3B_PCR1	ASV_1	29707	Eukaryota							
MP_E449_1B_PCR1	ASV_1	2840	Eukaryota							
MP_E449_2B_PCR1	ASV_1	1742	Eukaryota							
MP_E449_3B_PCR1	ASV_1	6331	Eukaryota							
MP_E451	ASV_1	292	Eukaryota							
MP_E455	ASV_1	1890	Eukaryota							
MP_E458_1B	ASV_1	58	Eukaryota							
MP_E467	ASV_1	77	Eukaryota							
MP_E472	ASV_1	478	Eukaryota							
MP_E492_1B_PCR1	ASV_1	1901	Eukaryota							
MP_E499	ASV_1	7529	Eukaryota							
MP_E501	ASV_1	34219	Eukaryota							
MP_E506	ASV_1	122664	Eukaryota							
MP_E520_1B	ASV_1	25537	Eukaryota							
MP_E524	ASV_1	8930	Eukaryota							
MP_E528	ASV_1	16079	Eukaryota							
MP_E529	ASV_1	84097	Eukaryota							
MP_E532	ASV_1	76081	Eukaryota							
MP_E536	ASV_1	6087	Eukaryota							
MP_E543	ASV_1	2	Eukaryota							
MP_E560	ASV_1	6298	Eukaryota							
MP_E562	ASV_1	527	Eukaryota							
MP_E566	ASV_1	4242	Eukaryota							
MP_E569	ASV_1	5132	Eukaryota							
MP_E573_1B_PCR1	ASV_1	41687	Eukaryota							
MP_E573_2B_PCR1	ASV_1	18864	Eukaryota							
MP_E573_3B_PCR1	ASV_1	6554	Eukaryota							
MP_E579	ASV_1	13873	Eukaryota							
MP_E598_3B_PCR1	ASV_1	5075	Eukaryota							
MP_E601	ASV_1	13193	Eukaryota							
MP_E604	ASV_1	1019	Eukaryota							
MP_E632	ASV_1	433	Eukaryota							
MP_E638	ASV_1	24	Eukaryota							
MP_E655	ASV_1	30678	Eukaryota							
MP_E658_1B	ASV_1	44365	Eukaryota							
MP_E658_2T	ASV_1	14600	Eukaryota							
MP_E658_3T	ASV_1	564	Eukaryota							
MP_E661	ASV_1	1369	Eukaryota							
MP_E675_1B	ASV_1	944	Eukaryota							
MP_E685	ASV_1	7	Eukaryota							
MP_E688	ASV_1	16	Eukaryota							
MP_E691_1B	ASV_1	3827	Eukaryota							
MP_E691_2B	ASV_1	59	Eukaryota							
MP_E691_3B	ASV_1	5506	Eukaryota							
MP_E694_1B	ASV_1	4306	Eukaryota							
MP_E694_2B	ASV_1	64120	Eukaryota							
MP_E694_3B	ASV_1	7196	Eukaryota							
MP_E721	ASV_1	11960	Eukaryota							
MP_E725_1B	ASV_1	535	Eukaryota							
MP_E768_1B	ASV_1	3182	Eukaryota							
MP_E773	ASV_1	3913	Eukaryota							
MP_E811_1B	ASV_1	3598	Eukaryota							
MP_E811_2B	ASV_1	60284	Eukaryota							
MP_E811_3B	ASV_1	8956	Eukaryota							
MP_E829	ASV_1	174	Eukaryota							
MP_E846	ASV_1	1	Eukaryota							
MP_E852	ASV_1	3306	Eukaryota							
MP_E856	ASV_1	34	Eukaryota							
MP_E860_1B	ASV_1	77136	Eukaryota							
MP_E860_2B	ASV_1	1235	Eukaryota							
MP_E860_3B	ASV_1	12734	Eukaryota							
MP_E872_1B	ASV_1	19288	Eukaryota							
MP_E872_2B	ASV_1	18998	Eukaryota							
MP_E872_3B	ASV_1	61070	Eukaryota							
MP_E875	ASV_1	10005	Eukaryota							
MP_E404	ASV_10	182	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E408	ASV_10	367	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E423	ASV_10	242	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E446_2B_PCR1	ASV_10	3	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E446_3B_PCR1	ASV_10	80	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E449_1B_PCR1	ASV_10	26700	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E449_2B_PCR1	ASV_10	204	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
