All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E370	MP_E378	MP_E384_3B	MP_E388_1B	MP_E392	MP_E396	MP_E400	MP_E404	MP_E408	MP_E411_1T	MP_E423	MP_E427	MP_E431	MP_E435	MP_E438	MP_E442	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E451	MP_E455	MP_E458_1B	MP_E467	MP_E471	MP_E472	MP_E475_PCR1	MP_E486_PCR1	MP_E492_1B_PCR1	MP_E499	MP_E501	MP_E506	MP_E516	MP_E520_1B	MP_E524	MP_E528	MP_E529	MP_E532	MP_E536	MP_E540	MP_E543	MP_E552	MP_E555	MP_E560	MP_E561	MP_E562	MP_E565	MP_E566	MP_E569	MP_E570	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E579	MP_E583	MP_E588	MP_E590	MP_E594	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E601	MP_E604	MP_E607	MP_E632	MP_E635	MP_E638	MP_E655	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E661	MP_E675_1B	MP_E685	MP_E688	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E707	MP_E713	MP_E716	MP_E721	MP_E725_1B	MP_E750	MP_E758	MP_E761	MP_E768_1B	MP_E773	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E824	MP_E829	MP_E840	MP_E846	MP_E852	MP_E856	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E875	MP_POSITIVE
	% Known	99.64	68.96	86.35	99.71	98.6	99.6	99.27	98.62	96.3	98.51	99.61	99.57	98.69	98.53	98.92	98.4	99.15	99.05	98.96	99.92	99.84	99.9	97.4	96.89	89.78	99.73	99.99	99.97	99.98	99.34	98.26	97.21	98.56	99.81	75.48	99.29	97.75	97.76	99.8	99.75	98.76	99.97	99.89	94.08	97.23	95.69	98.21	97.19	99.14	99.26	99.9	98.65	99.54	99.72	99.4	99.79	95.14	95.2	97.54	98.98	98.72	97	94.53	99.93	99.45	97.83	98.94	89.58	99.96	98.82	98.55	97.62	97.57	97.88	98.48	99.68	99.69	99.28	98.93	99.02	98.89	99.74	55.71	99.87	99.27	99.53	99.03	95.76	99.19	96.97	99.21	98.01	98.2	99.88	99.7	99.65	99.96	99.13	95.03	99.88	96.49	100	99.83	98.62	98.99	98.24	98.89	99.51	99.87	100
	% Eukaryote	97.67	68.85	51.48	99.66	79.11	96.84	99.23	97.09	95.58	98.4	99.59	96.19	95.39	91.06	84.71	70.95	98.14	97.79	97.29	99.92	99.84	99.89	81.78	96.87	77.48	99.73	99.99	99.97	99.98	94.7	94.78	91.47	93.57	99.02	74.83	97.85	86.35	86.66	97.89	99.2	97.48	99.93	99.89	93.79	74.87	85.45	84.9	74.16	90.86	89.54	96.46	84.24	97.84	98.19	96.21	99.79	94.15	76.87	68.21	92.82	96.38	90.32	85.51	99.73	98.56	96.94	98.38	89.48	99.96	95.4	94.49	90.19	91.91	91.94	89.76	99.17	99.68	98.07	98.12	97.92	93.16	98.08	53.7	99.87	99.27	99.53	96.79	91.96	93.69	96.7	97.01	93.15	94.99	97.91	89.97	83.6	99.96	79.43	15.21	94.69	45.46	98.41	90.47	60.71	70	89.94	92.31	98.09	99.87	100
	% Prokaryote	1.97	0.1	34.87	0.05	19.49	2.76	0.04	1.53	0.72	0.12	0.02	3.38	3.3	7.47	14.21	27.44	1.01	1.26	1.67	0.01	0.01	D	15.63	0.03	12.3	0	0	0	0	4.65	3.47	5.74	5	0.79	0.66	1.45	11.4	11.1	1.91	0.55	1.28	0.03	0	0.29	22.36	10.24	13.31	23.03	8.28	9.72	3.43	14.4	1.7	1.54	3.19	0	0.99	18.33	29.33	6.16	2.34	6.68	9.02	0.2	0.9	0.89	0.56	0.1	0	3.42	4.07	7.43	5.66	5.94	8.73	0.51	D	1.21	0.82	1.1	5.73	1.66	2.01	D	0	0	2.23	3.8	5.5	0.27	2.2	4.86	3.2	1.97	9.72	16.04	0	19.69	79.82	5.19	51.03	1.59	9.35	37.84	28.9	8.28	6.57	1.42	D	0
	<<<Annelida>>>
Eukaryota;Annelida;Polychaeta;Chaetopteridae__o;NA;NA;NA	Chaetopteridae__o	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.01	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0.02	0	D	1.88	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	D	0	0.01	0.01	0.07	0	0	0	0	D	0.03	0.02	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Sabellida;Oweniidae;NA;NA	Oweniidae	0	0	0	0	0	0	0	0	D	D	D	0	0	0	0	0	0.03	0.03	0.01	0.39	0.22	0.09	0.08	0.2	0	0.01	0	D	0.01	0	0	0	0	0	0	0	0	0	0	0	D	0.2	D	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Magelonidae;Magelona;NA	Magelona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13	10.22	4.49	3.22	1.32	1.73	0	0	0	0	0	0	0	0	1.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Magelonidae;NA;NA	Magelonidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0	0	0.98	0.12	0	0	0	0.03	0	0	0	0.02	3.55	0.21	0	0	0	0	0	0	0	0	0	0	0	0.04	0.71	0	D	0	0	0	0.15	0	0.93	0	0	0	0	1.26	0	0	0	0	0	0	0	0	0	0	5.89	0	0.55	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;NA;NA;NA	Spionida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.53	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Apicomplexa>>>
Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;NA;NA;NA	Eucoccidiorida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0
	<<<Arthropoda, Arachnida>>>
Eukaryota;Arthropoda;Arachnida;Araneae;NA;NA;NA	Araneae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Arachnida;Opiliones;NA;NA;NA	Opiliones	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Arthropoda, Branchiopoda>>>
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Bosminidae;Eubosmina;NA	Eubosmina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Bosminidae;NA;NA	Bosminidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.01	12.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Alona;Alona affinis	Alona affinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;NA;NA	Chydoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.51	0	0	0	0	0	0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pleuroxus;Pleuroxus denticulatus	Pleuroxus denticulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia parvula	Daphnia parvula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	37.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;NA	Daphnia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Eurycercidae;Eurycercus;Eurycercus glacialis	Eurycercus glacialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Moinidae;Moina;NA	Moina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
