Sample	controls
E1779.DY2306	NA
E1780.DY2306	NA
E1781.DY2306	NA
E1782.DY2306	NA
E1783.DY2306	NA
E1784.DY2306	NA
E1785.DY2306	NA
E1786.DY2306	NA
E1787.DY2306	NA
E1788.DY2306	NA
E1789.DY2306	NA
E1790.DY2306	NA
E1791.DY2306	NA
E1792.DY2306	NA
E1793.DY2306	NA
E1794.DY2306	NA
E1795.DY2306	NA
E1796.DY2306	NA
E1797.DY2306	NA
E1798.DY2306	NA
E1820.DY2306.PCR1	NA
E1820.DY2306.PCR2	NA
E1820.DY2306.PCR3	NA
E1821.DY2306.PCR1	NA
E1821.DY2306.PCR2	NA
E1821.DY2306.PCR3	NA
E1824.DY2306.PCR1	NA
E1824.DY2306.PCR2	NA
E1824.DY2306.PCR3	NA
E1826.DY2306.PCR1	NA
E1826.DY2306.PCR2	NA
E1826.DY2306.PCR3	NA
E1829.DY2306.PCR1	NA
E1829.DY2306.PCR2	NA
E1829.DY2306.PCR3	NA
E1831.DY2306.PCR1	NA
E1831.DY2306.PCR2	NA
E1831.DY2306.PCR3	NA
E1832.DY2306.PCR1	NA
E1832.DY2306.PCR2	NA
E1832.DY2306.PCR3	NA
E1833.DY2306.PCR1	NA
E1833.DY2306.PCR2	NA
E1833.DY2306.PCR3	NA
E1834.DY2306.PCR1	NA
E1834.DY2306.PCR2	NA
E1834.DY2306.PCR3	NA
E1835.DY2306.PCR1	NA
E1835.DY2306.PCR2	NA
E1835.DY2306.PCR3	NA
E1836.DY2306.PCR1	NA
E1836.DY2306.PCR2	NA
E1836.DY2306.PCR3	NA
E1837.DY2306.PCR1	NA
E1837.DY2306.PCR2	NA
E1837.DY2306.PCR3	NA
E1838.DY2306.PCR1	NA
E1838.DY2306.PCR2	NA
E1838.DY2306.PCR3	NA
E1839.DY2306.PCR1	NA
E1839.DY2306.PCR2	NA
E1839.DY2306.PCR3	NA
E1840.DY2306.PCR1	NA
E1840.DY2306.PCR2	NA
E1840.DY2306.PCR3	NA
E1841.DY2306.PCR1	NA
E1841.DY2306.PCR2	NA
E1841.DY2306.PCR3	NA
E1842.DY2306.PCR1	NA
E1842.DY2306.PCR2	NA
E1842.DY2306.PCR3	NA
E1877.SKQ23-12S	NA
E1878.SKQ23-12S	NA
E1879.SKQ23-12S	NA
E1880.SKQ23-12S	NA
E1881.SKQ23-12S	NA
E1882.SKQ23-12S	NA
E1883.SKQ23-12S	NA
E1884.SKQ23-12S	NA
E1885.SKQ23-12S	NA
E1886.SKQ23-12S	NA
E1887.SKQ23-12S	NA
E1888.SKQ23-12S	NA
E1889.SKQ23-12S	NA
E1890.SKQ23-12S	NA
E1891.SKQ23-12S	NA
E1892.SKQ23-12S	NA
E1893.SKQ23-12S	NA
E1894.SKQ23-12S	NA
E1895.SKQ23-12S	NA
E1896.SKQ23-12S	NA
E1897.SKQ23-12S	NA
E1898.SKQ23-12S	NA
E1899.SKQ23-12S	NA
E1900.SKQ23-12S	NA
E1901.SKQ23-12S	NA
E1902.SKQ23-12S	NA
E1903.SKQ23-12S	NA
E1904.SKQ23-12S	NA
E1905.SKQ23-12S	NA
E1906.SKQ23-12S	NA
E1907.SKQ23-12S	NA
E1908.SKQ23-12S	NA
E1909.SKQ23-12S	NA
E1910.SKQ23-12S	NA
E1911.SKQ23-12S	NA
E1912.SKQ23-12S	NA
E1913.SKQ23-12S	NA
E1914.SKQ23-12S	NA
E1915.SKQ23-12S	NA
E1916.SKQ23-12S	NA
E1917.SKQ23-12S	NA
E1918.SKQ23-12S	NA
E1919.SKQ23-12S	NA
E1920.SKQ23-12S	NA
E1921.SKQ23-12S	NA
E1922.SKQ23-12S	NA
E1923.SKQ23-12S	NA
E1924.SKQ23-12S	NA
E1925.SKQ23-12S	NA
E1926.SKQ23-12S	NA
E1927.SKQ23-12S	NA
E1928.SKQ23-12S	NA
E1929.SKQ23-12S	NA
E1930.SKQ23-12S	NA
E1931.SKQ23-12S	NA
E1932.SKQ23-12S	NA
E1933.SKQ23-12S	NA
E1934.SKQ23-12S	NA
E1935.SKQ23-12S	NA
E1936.SKQ23-12S	NA
E1937.SKQ23-12S	NA
E1938.SKQ23-12S	NA
E1939.SKQ23-12S	NA
E1940.SKQ23-12S	NA
E1941.SKQ23-12S	NA
E1942.SKQ23-12S	NA
E1943.SKQ23-12S	NA
E1944.SKQ23-12S	NA
E1945.SKQ23-12S	NA
E1946.SKQ23-12S	NA
E1947.SKQ23-12S	NA
E1948.SKQ23-12S	NA
E1949.SKQ23-12S	NA
E1950.SKQ23-12S	NA
E1951.SKQ23-12S	NA
E1952.SKQ23-12S	NA
E1953.SKQ23-12S	NA
E1954.SKQ23-12S	NA
E1955.SKQ23-12S	NA
E1956.SKQ23-12S	NA
E1957.SKQ23-12S	NA
E1958.SKQ23-12S	NA
E1959.SKQ23-12S	NA
E1960.SKQ23-12S	NA
