dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1913_SKQ23_12S	403441	291975	290824	290162	284192	251978	62.5
MP_E1914_SKQ23_12S	368513	309408	308788	308736	301538	260891	70.8
MP_E1915_SKQ23_12S	504521	479939	477777	477719	468496	453393	89.9
MP_E1916_SKQ23_12S	459169	376551	375159	375072	367363	355062	77.3
MP_E1917_SKQ23_12S	465173	334432	333387	333232	329242	309464	66.5
MP_E1918_SKQ23_12S	398693	365828	364304	363923	356640	347002	87
MP_E1919_SKQ23_12S	517632	493593	492293	492028	482646	464680	89.8
MP_E1920_SKQ23_12S	398045	375267	373618	374178	366264	350458	88
MP_E1921_SKQ23_12S	434843	383563	382440	382448	379228	370654	85.2
MP_E1922_SKQ23_12S	410747	385921	385131	385242	381215	364019	88.6
MP_E1923_SKQ23_12S	428167	382257	380975	381268	377661	366759	85.7
MP_E1924_SKQ23_12S	445687	423039	422086	421921	418141	410215	92
MP_E1925_SKQ23_12S	608194	476329	474717	475792	469052	450529	74.1
MP_E1926_SKQ23_12S	458868	435187	433431	434122	428447	396532	86.4
MP_E1927_SKQ23_12S	441517	210196	208406	208403	204629	193338	43.8
MP_E1928_SKQ23_12S	429706	396042	395399	395168	392885	376744	87.7
MP_E1929_SKQ23_12S	395066	254153	253297	253457	249327	230952	58.5
MP_E1930_SKQ23_12S	404168	228440	226059	225430	220151	212663	52.6
MP_E1931_SKQ23_12S	398296	375734	375026	375308	370939	361134	90.7
MP_E1932_SKQ23_12S	260016	241459	239999	240890	231874	218492	84
MP_E1933_SKQ23_12S	379509	237037	235458	235607	231052	220141	58
MP_E1934_SKQ23_12S	382896	306851	305372	305308	301027	287744	75.1
MP_E1935_SKQ23_12S	378359	276963	276565	276451	274382	257968	68.2
MP_E1936_SKQ23_12S	384203	158050	156788	156976	154111	141207	36.8
MP_E1937_SKQ23_12S	437184	386753	384778	384831	377044	353415	80.8
MP_E1938_SKQ23_12S	422282	375218	374480	374432	370766	345886	81.9
MP_E1939_SKQ23_12S	399657	368428	366618	367113	358212	343120	85.9
MP_E1940_SKQ23_12S	379183	352609	351808	351616	347840	335207	88.4
MP_E1941_SKQ23_12S	407083	324433	323932	323809	321062	303185	74.5
MP_E1942_SKQ23_12S	312329	215135	214434	214451	211829	205966	65.9
MP_E1943_SKQ23_12S	461150	334646	333693	333402	329264	316848	68.7
MP_E1944_SKQ23_12S	415843	350146	349282	349145	345158	318219	76.5
MP_E1945_SKQ23_12S	463236	442024	441148	441776	436678	432474	93.4
MP_E1946_SKQ23_12S	356523	297007	296729	296708	292751	280799	78.8
MP_E1947_SKQ23_12S	404783	362000	361211	361316	357749	345098	85.3
MP_E1948_SKQ23_12S	349338	281149	280211	280312	276299	260217	74.5
MP_E1949_SKQ23_12S	318436	276439	275274	275375	270755	260402	81.8
MP_E1950_SKQ23_12S	325741	134866	134275	134201	131409	122295	37.5
MP_E1951_SKQ23_12S	356401	286101	285106	285059	279635	264607	74.2
MP_E1952_SKQ23_12S	460143	427125	426211	425862	422262	404233	87.8
MP_E1953_SKQ23_12S	279892	203179	201103	201882	197898	182395	65.2
MP_E1954_SKQ23_12S	396475	170115	169342	169447	166599	153028	38.6
MP_E1955_SKQ23_12S	396871	378946	377885	378163	374448	347825	87.6
MP_E1956_SKQ23_12S	277573	59483	59165	59252	57089	46431	16.7
MP_E1957_SKQ23_12S	347914	132468	132100	131916	129386	113782	32.7
MP_E1958_SKQ23_12S	335267	221140	220685	220621	219107	204233	60.9
MP_E1959_SKQ23_12S	229899	99733	99570	99594	98550	94154	41
MP_E1960_SKQ23_12S	290111	141543	140417	140865	138268	130572	45
MP_E1961_SKQ23_12S	343051	325425	324815	324912	323005	304823	88.9
MP_E1962_SKQ23_12S	413376	307493	306821	307085	303187	291339	70.5
MP_E1963_SKQ23_12S	427084	177850	177344	177429	174361	155222	36.3
MP_E1964_SKQ23_12S	380664	363854	363205	363209	361062	339427	89.2
MP_E1965_SKQ23_12S	383423	299891	299236	299170	295458	285593	74.5
MP_E1966_SKQ23_12S	364146	199726	198957	199058	196552	188597	51.8
MP_E1967_SKQ23_12S	390948	339181	338358	338377	335461	316077	80.8
MP_E1968_SKQ23_12S	350033	266092	265679	265589	262577	254264	72.6
MP_E1969_SKQ23_12S	419640	275270	274505	274352	270520	255853	61
MP_E1970_SKQ23_12S	337156	299967	299114	298914	296390	282110	83.7
MP_E1971_SKQ23_12S	383887	361565	360350	360452	356098	347399	90.5
MP_E1972_SKQ23_12S	345855	323756	321808	322366	315920	299497	86.6
MP_E1973_SKQ23_12S	352794	335131	333941	333352	327936	308227	87.4
MP_E1974_SKQ23_12S	360982	277808	276247	276626	270280	252067	69.8
MP_E1975_SKQ23_12S	342570	252702	251167	251216	246446	237869	69.4
MP_E1976_SKQ23_12S	408571	383409	382070	381923	375604	356730	87.3
MP_E1977_SKQ23_12S	392475	283150	281482	281271	277164	265186	67.6
MP_E1978_SKQ23_12S	308984	278689	276767	277125	271630	261614	84.7
MP_E1979_SKQ23_12S	159125	150236	149146	149664	146384	139793	87.9
MP_E1980_SKQ23_12S	384552	370017	369413	369587	364860	359804	93.6
MP_E1981_SKQ23_12S	347328	329547	328522	328828	325346	313537	90.3
MP_E1982_SKQ23_12S	289934	169198	168178	168067	165575	156586	54
MP_E1983_SKQ23_12S	338280	318472	317682	317799	314251	300402	88.8
MP_E1984_SKQ23_12S	356939	249365	248616	248171	246207	226032	63.3
MP_E1985_SKQ23_12S	435190	287727	286990	286957	282228	255669	58.7
MP_E1986_SKQ23_12S	358756	337292	336756	336522	331223	302644	84.4
MP_E1987_SKQ23_12S	452846	391169	389885	389821	385512	371304	82
MP_E1988_SKQ23_12S	470427	369165	367679	368107	363533	349451	74.3
MP_E1989_SKQ23_12S	332139	316134	315569	315454	312160	293839	88.5
MP_E1990_SKQ23_12S	354589	94969	94689	94588	92890	82691	23.3
MP_E1991_SKQ23_12S	396651	380571	379855	379712	375541	354711	89.4
MP_E1992_SKQ23_12S	297835	263090	262419	262333	259817	252177	84.7
MP_E1993_SKQ23_12S	367659	352402	351429	351811	347764	334111	90.9
MP_E1994_SKQ23_12S	353876	239372	238488	238696	232398	202953	57.4
MP_E1995_SKQ23_12S	461918	420836	420007	419092	413280	401342	86.9
MP_E1996_SKQ23_12S	348339	324431	323740	323593	320586	306168	87.9
MP_E1997_SKQ23_12S	373516	287235	286125	286061	279507	270915	72.5
MP_E1998_SKQ23_12S	313547	243880	243087	243050	238350	229620	73.2
MP_E1999_SKQ23_12S	317690	281479	280873	280961	278966	265656	83.6
MP_E2000_SKQ23_12S	288463	184637	182993	183532	179745	174981	60.7
MP_E2001_SKQ23_12S	371000	235082	234280	234294	229924	221711	59.8
MP_E2002_SKQ23_12S	380839	354208	353831	353871	351775	334178	87.7
MP_E2003_SKQ23_12S	451884	201740	200925	201068	196335	176543	39.1
MP_E2004_SKQ23_12S	545675	401381	399909	400297	391050	366095	67.1
MP_E2005_SKQ23_12S	512451	367575	366643	366886	360102	331452	64.7
MP_E2006_SKQ23_12S	422984	243789	242964	242904	238048	229415	54.2
MP_E2007_SKQ23_12S	376146	178980	178520	178538	171920	152023	40.4
MP_E2008_SKQ23_12S	487289	464842	463580	464119	458433	434292	89.1
MP_E2009_SKQ23_12S	396625	328167	327259	327170	321637	304655	76.8
MP_E2010_SKQ23_12S	381441	331471	330418	330190	325691	309314	81.1
MP_E2011_SKQ23_12S	489069	451383	450253	450127	445513	427498	87.4
MP_E2012_SKQ23_12S	408807	348108	346372	346161	339742	320520	78.4
MP_E2013_SKQ23_12S	452290	167409	166894	166849	162955	141118	31.2
MP_E2014_SKQ23_12S	404596	311236	309983	310022	306005	290457	71.8
MP_E2015_SKQ23_12S	516708	279029	278379	278392	271184	228852	44.3
MP_E2016_SKQ23_12S	473054	278852	277502	277690	272895	252859	53.5
MP_E2017_SKQ23_12S	442217	290690	289375	289529	284800	269612	61
MP_E2018_SKQ23_12S	435350	359843	358712	358493	353627	332188	76.3
MP_E2019_SKQ23_12S	320466	137364	136875	136813	134894	124371	38.8
MP_E2020_SKQ23_12S	448295	359862	359160	359273	354473	331652	74
MP_E2021_SKQ23_12S	592466	480720	478859	478633	469808	448044	75.6
MP_E2022_SKQ23_12S	460541	196232	195190	195195	189335	162523	35.3
MP_E2023_SKQ23_12S	389464	273882	272756	272696	267144	242541	62.3
MP_E2024_SKQ23_12S	413825	223848	223063	222846	217088	194239	46.9
MP_E2025_SKQ23_12S	366559	331635	329064	328721	323749	305457	83.3
MP_E2026_SKQ23_12S	434218	325302	323018	322698	316448	301449	69.4
MP_POSITIVE	313918	292216	292119	291303	287990	286996	91.4
MP_RC0083_NC_pool	19612	18647	18641	18638	18629	18628	95
MP_SKQ23_NC_pool	21684	20664	20662	20661	20612	20562	94.8
