reads.in	reads.out
MP_BlankAlaskaSet_NC_pool_R1_trimmed.fq.gz	66725	62874
MP_Dyson_NC_pool_R1_trimmed.fq.gz	40439	38353
MP_E1148_DY2206_R1_trimmed.fq.gz	454435	302604
MP_E1149_DY2206_R1_trimmed.fq.gz	478777	380363
MP_E1150_DY2206_R1_trimmed.fq.gz	454716	330055
MP_E1151_DY2206_R1_trimmed.fq.gz	505263	377823
MP_E1152_DY2206_R1_trimmed.fq.gz	345553	157672
MP_E1153_DY2206_R1_trimmed.fq.gz	321301	167627
MP_E1154_DY2206_R1_trimmed.fq.gz	585525	287992
MP_E1155_DY2206_R1_trimmed.fq.gz	506965	466954
MP_E1156_DY2206_R1_trimmed.fq.gz	349945	106032
MP_E1158_DY2206_R1_trimmed.fq.gz	663497	439742
MP_E1159_DY2206_R1_trimmed.fq.gz	450823	290001
MP_E1160_DY2206_R1_trimmed.fq.gz	429923	286152
MP_E1164_DY2206_R1_trimmed.fq.gz	508022	236511
MP_E1165_DY2206_R1_trimmed.fq.gz	484973	284388
MP_E1166_DY2206_R1_trimmed.fq.gz	451749	258969
MP_E1455_RC0083_R1_trimmed.fq.gz	493060	429792
MP_E1456_RC0083_R1_trimmed.fq.gz	441709	412085
MP_E1457_RC0083_R1_trimmed.fq.gz	476669	448454
MP_E1458_RC0083_R1_trimmed.fq.gz	498598	458664
MP_E1459_RC0083_R1_trimmed.fq.gz	466011	412997
MP_E1460_RC0083_R1_trimmed.fq.gz	532977	500891
MP_E1461_RC0083_R1_trimmed.fq.gz	407436	367814
MP_E1462_RC0083_R1_trimmed.fq.gz	539106	509211
MP_E1463_RC0083_R1_trimmed.fq.gz	468697	340228
MP_E1470_RC0083_R1_trimmed.fq.gz	459416	386838
MP_E1471_RC0083_R1_trimmed.fq.gz	443754	421347
MP_E1472_RC0083_R1_trimmed.fq.gz	437194	413492
MP_E1485_RC0083_R1_trimmed.fq.gz	434218	391611
MP_E1486_RC0083_R1_trimmed.fq.gz	494357	470684
MP_E1487_RC0083_R1_trimmed.fq.gz	404217	375453
MP_E1488_RC0083_R1_trimmed.fq.gz	431901	411728
MP_E1489_RC0083_R1_trimmed.fq.gz	365160	349550
MP_E1490_RC0083_R1_trimmed.fq.gz	448125	413348
MP_E1494_RC0083_R1_trimmed.fq.gz	427655	395063
MP_E1495_RC0083_R1_trimmed.fq.gz	347523	331735
MP_E1496_RC0083_R1_trimmed.fq.gz	494431	401919
MP_E1497_RC0083_R1_trimmed.fq.gz	508481	483959
MP_E1498_RC0083_R1_trimmed.fq.gz	422076	368221
MP_E1499_RC0083_R1_trimmed.fq.gz	383022	340832
MP_E1503_RC0083_R1_trimmed.fq.gz	465037	437606
MP_E1504_RC0083_R1_trimmed.fq.gz	437231	388012
MP_E1505_RC0083_R1_trimmed.fq.gz	452233	390195
MP_E1506_RC0083_R1_trimmed.fq.gz	415645	304932
MP_E1510_RC0083_R1_trimmed.fq.gz	278547	260870
MP_E1511_RC0083_R1_trimmed.fq.gz	372439	340845
MP_E1517_RC0083_R1_trimmed.fq.gz	335637	306127
MP_E1518_RC0083_R1_trimmed.fq.gz	426787	379262
MP_E1519_RC0083_R1_trimmed.fq.gz	428924	345439
MP_E1526_RC0083_R1_trimmed.fq.gz	450529	417661
MP_E1527_RC0083_R1_trimmed.fq.gz	442215	403100
MP_E1528_RC0083_R1_trimmed.fq.gz	374518	355276
MP_E1529_RC0083_R1_trimmed.fq.gz	320104	301907
MP_E1530_RC0083_R1_trimmed.fq.gz	344722	316083
MP_E1531_RC0083_R1_trimmed.fq.gz	358588	340922
MP_E1532_RC0083_R1_trimmed.fq.gz	365395	230224
MP_E1533_RC0083_R1_trimmed.fq.gz	339970	315580
MP_E1534_RC0083_R1_trimmed.fq.gz	477942	457581
MP_E1539_RC0083_R1_trimmed.fq.gz	61049	56788
MP_E1540_RC0083_R1_trimmed.fq.gz	105383	54351
MP_E1541_RC0083_R1_trimmed.fq.gz	288232	262841
MP_E1542_RC0083_R1_trimmed.fq.gz	353900	314053
MP_E1546_RC0083_R1_trimmed.fq.gz	323141	285213
MP_E1547_RC0083_R1_trimmed.fq.gz	549888	510242
MP_E1548_RC0083_R1_trimmed.fq.gz	351346	319298
MP_E1553_RC0083_R1_trimmed.fq.gz	365964	343281
MP_E1554_RC0083_R1_trimmed.fq.gz	378774	292452
MP_E1555_RC0083_R1_trimmed.fq.gz	378345	322530
MP_E1556_RC0083_R1_trimmed.fq.gz	325950	309394
MP_E1557_RC0083_R1_trimmed.fq.gz	329266	312407
