reads.in	reads.out
MP_E1032_OC0821_PCR1_R1_trimmed.fq.gz	84646	75283
MP_E1032_OC0821_PCR2_R1_trimmed.fq.gz	94239	77999
MP_E1032_OC0821_PCR3_R1_trimmed.fq.gz	107125	98833
MP_E1033_OC0821_PCR1_R1_trimmed.fq.gz	117978	109289
MP_E1033_OC0821_PCR2_R1_trimmed.fq.gz	116016	107502
MP_E1033_OC0821_PCR3_R1_trimmed.fq.gz	95064	87273
MP_E1034_OC0821_PCR1_R1_trimmed.fq.gz	533	483
MP_E1034_OC0821_PCR2_R1_trimmed.fq.gz	105411	95530
MP_E1034_OC0821_PCR3_R1_trimmed.fq.gz	113819	104956
MP_E1053_SKQ2021_R1_trimmed.fq.gz	105682	90931
MP_E1054_SKQ2021_R1_trimmed.fq.gz	104763	87143
MP_E1055_SKQ2021_R1_trimmed.fq.gz	123361	94660
MP_E1056_SKQ2021_R1_trimmed.fq.gz	112607	57779
MP_E1057_SKQ2021_R1_trimmed.fq.gz	107237	91977
MP_E1058_SKQ2021_R1_trimmed.fq.gz	102849	91965
MP_E1059_SKQ2021_R1_trimmed.fq.gz	118131	102787
MP_E1060_SKQ2021_R1_trimmed.fq.gz	124278	112116
MP_E1061_SKQ2021_R1_trimmed.fq.gz	118642	108673
MP_E1062_SKQ2021_R1_trimmed.fq.gz	121083	95519
MP_E1063_SKQ2021_R1_trimmed.fq.gz	109065	98309
MP_E1064_SKQ2021_R1_trimmed.fq.gz	110093	101831
MP_E1065_SKQ2021_R1_trimmed.fq.gz	130569	84346
MP_E1066_SKQ2021_R1_trimmed.fq.gz	125601	111714
MP_E1067_SKQ2021_R1_trimmed.fq.gz	128092	105178
MP_E1068_SKQ2021_R1_trimmed.fq.gz	112171	94870
MP_E1069_SKQ2021_R1_trimmed.fq.gz	140046	87698
MP_E1070_SKQ2021_R1_trimmed.fq.gz	110944	30448
MP_E1071_SKQ2021_R1_trimmed.fq.gz	117488	60406
MP_E1072_SKQ2021_R1_trimmed.fq.gz	86041	59563
MP_E1073_SKQ2021_R1_trimmed.fq.gz	97902	76995
MP_E1074_SKQ2021_R1_trimmed.fq.gz	116690	71308
MP_E1075_SKQ2021_R1_trimmed.fq.gz	117618	78157
MP_E1076_SKQ2021_R1_trimmed.fq.gz	88444	49081
MP_E1077_SKQ2021_R1_trimmed.fq.gz	114602	103925
MP_E1078_SKQ2021_R1_trimmed.fq.gz	107070	95885
MP_E1079_SKQ2021_R1_trimmed.fq.gz	118964	78744
MP_E1080_SKQ2021_R1_trimmed.fq.gz	116699	108629
MP_E1081_SKQ2021_R1_trimmed.fq.gz	101546	87408
MP_E1082_SKQ2021_R1_trimmed.fq.gz	118479	108220
MP_E1083_SKQ2021_R1_trimmed.fq.gz	106420	71089
MP_E1084_SKQ2021_R1_trimmed.fq.gz	136761	122068
MP_E1085_SKQ2021_R1_trimmed.fq.gz	113791	102419
MP_E1086_SKQ2021_R1_trimmed.fq.gz	103931	80571
MP_E1087_SKQ2021_R1_trimmed.fq.gz	123546	104351
MP_E1088_SKQ2021_R1_trimmed.fq.gz	123297	61780
MP_E1089_SKQ2021_R1_trimmed.fq.gz	121248	83331
MP_E1090_SKQ2021_R1_trimmed.fq.gz	131673	104121
MP_E1091_SKQ2021_R1_trimmed.fq.gz	120366	112063
MP_E1092_SKQ2021_R1_trimmed.fq.gz	118693	81557
MP_E1093_SKQ2021_R1_trimmed.fq.gz	135074	86914
MP_E1094_SKQ2021_R1_trimmed.fq.gz	104819	30013
MP_E1095_SKQ2021_R1_trimmed.fq.gz	109906	100090
MP_E1096_SKQ2021_R1_trimmed.fq.gz	127293	109380
MP_E1097_SKQ2021_R1_trimmed.fq.gz	111151	66196
MP_E1098_SKQ2021_R1_trimmed.fq.gz	111977	71874
MP_E1099_SKQ2021_R1_trimmed.fq.gz	137044	115933
MP_E1100_SKQ2021_R1_trimmed.fq.gz	106021	69908
MP_E1101_SKQ2021_R1_trimmed.fq.gz	104109	96790
MP_E1102_SKQ2021_R1_trimmed.fq.gz	131879	93535
MP_E1103_SKQ2021_R1_trimmed.fq.gz	106206	98675
MP_E1104_SKQ2021_R1_trimmed.fq.gz	128922	119110
MP_E1105_SKQ2021_R1_trimmed.fq.gz	3253	2969
MP_E1106_SKQ2021_R1_trimmed.fq.gz	119628	110883
MP_E1107_SKQ2021_R1_trimmed.fq.gz	122056	110965
MP_E1108_SKQ2021_R1_trimmed.fq.gz	115680	106552
MP_E1109_SKQ2021_R1_trimmed.fq.gz	95035	73531
MP_E1110_SKQ2021_R1_trimmed.fq.gz	115586	106551
MP_E1111_SKQ2021_R1_trimmed.fq.gz	1368	1266
MP_E1112_SKQ2021_R1_trimmed.fq.gz	115294	105773
MP_E1113_SKQ2021_R1_trimmed.fq.gz	119253	108877
MP_E1114_SKQ2021_R1_trimmed.fq.gz	119928	110790
MP_E1115_SKQ2021_R1_trimmed.fq.gz	114088	59213
MP_E1116_SKQ2021_R1_trimmed.fq.gz	115688	106647
MP_E1117_SKQ2021_R1_trimmed.fq.gz	116422	102180
MP_E1118_SKQ2021_R1_trimmed.fq.gz	105071	53078
MP_E1119_SKQ2021_R1_trimmed.fq.gz	125892	114152
MP_E1120_SKQ2021_R1_trimmed.fq.gz	122040	111446
MP_E1121_SKQ2021_R1_trimmed.fq.gz	110403	63247
MP_E1122_SKQ2021_R1_trimmed.fq.gz	128000	116976
MP_E1123_SKQ2021_R1_trimmed.fq.gz	137515	126698
MP_E1124_SKQ2021_R1_trimmed.fq.gz	114761	63363
MP_E1125_SKQ2021_R1_trimmed.fq.gz	118892	110211
MP_E1126_SKQ2021_R1_trimmed.fq.gz	137095	127326
MP_E1127_SKQ2021_R1_trimmed.fq.gz	156967	147469
MP_E1128_SKQ2021_R1_trimmed.fq.gz	144901	135151
MP_E1129_SKQ2021_R1_trimmed.fq.gz	108577	99279
MP_E1130_SKQ2021_R1_trimmed.fq.gz	116333	106837
MP_E1131_SKQ2021_R1_trimmed.fq.gz	127217	117627
MP_E1132_SKQ2021_R1_trimmed.fq.gz	117015	109582
MP_E1133_SKQ2021_R1_trimmed.fq.gz	151275	84326
MP_E1134_SKQ2021_R1_trimmed.fq.gz	167478	98812
MP_E1135_SKQ2021_R1_trimmed.fq.gz	152153	136999
MP_E1136_SKQ2021_R1_trimmed.fq.gz	134580	124315
MP_E1137_SKQ2021_R1_trimmed.fq.gz	156368	143641
MP_E1138_SKQ2021_R1_trimmed.fq.gz	135185	125298
MP_E1139_SKQ2021_R1_trimmed.fq.gz	139000	79659
MP_E1140_SKQ2021_R1_trimmed.fq.gz	106777	96996
MP_E1141_SKQ2021_R1_trimmed.fq.gz	150310	75820
MP_E1142_SKQ2021_R1_trimmed.fq.gz	129561	81538
MP_E1143_SKQ2021_R1_trimmed.fq.gz	138724	78109
MP_E1144_SKQ2021_R1_trimmed.fq.gz	146136	90256
MP_E1145_SKQ2021_R1_trimmed.fq.gz	106400	83809
MP_E1146_SKQ2021_R1_trimmed.fq.gz	137887	108724
MP_E1172_OC0622_R1_trimmed.fq.gz	123658	113616
MP_E1173_OC0622_R1_trimmed.fq.gz	107279	99515
MP_E1174_OC0622_R1_trimmed.fq.gz	125456	114927
MP_E1229_OC0822_PCR1_R1_trimmed.fq.gz	105126	96494
MP_E1229_OC0822_PCR2_R1_trimmed.fq.gz	86190	78067
MP_E1229_OC0822_PCR3_R1_trimmed.fq.gz	105562	96668
MP_E1230_OC0822_PCR1_R1_trimmed.fq.gz	96374	89479
MP_E1230_OC0822_PCR2_R1_trimmed.fq.gz	105745	97845
MP_E1230_OC0822_PCR3_R1_trimmed.fq.gz	100743	90966
MP_E1231_OC0822_PCR1_R1_trimmed.fq.gz	104208	93701
MP_E1231_OC0822_PCR2_R1_trimmed.fq.gz	112714	100584
MP_E1231_OC0822_PCR3_R1_trimmed.fq.gz	108832	96600
MP_E1240_OC0922_R1_trimmed.fq.gz	123490	114486
MP_E1241_OC0922_R1_trimmed.fq.gz	119097	97701
MP_E1242_OC0922_R1_trimmed.fq.gz	139401	121581
MP_E1243_OC0922_R1_trimmed.fq.gz	159527	136057
MP_E1244_OC0922_R1_trimmed.fq.gz	132801	104854
MP_E1245_OC0922_R1_trimmed.fq.gz	147318	123372
MP_E1246_OC0922_R1_trimmed.fq.gz	121066	84997
MP_E1247_OC0922_R1_trimmed.fq.gz	116703	97923
MP_E1248_OC0922_R1_trimmed.fq.gz	117057	107641
MP_E1249_OC0922_R1_trimmed.fq.gz	138889	88938
MP_E1250_OC0922_R1_trimmed.fq.gz	139463	123742
MP_E1251_OC0922_R1_trimmed.fq.gz	178618	165148
MP_E1252_OC0922_R1_trimmed.fq.gz	156499	141882
MP_E1253_OC0922_R1_trimmed.fq.gz	142121	112899
MP_E1254_OC0922_R1_trimmed.fq.gz	147880	128433
MP_E1255_OC0922_R1_trimmed.fq.gz	180100	162042
MP_E1256_OC0922_R1_trimmed.fq.gz	180484	160042
MP_E1257_OC0922_R1_trimmed.fq.gz	167084	155284
MP_E1258_OC0922_R1_trimmed.fq.gz	173985	146479
MP_E1259_OC0922_R1_trimmed.fq.gz	168392	144779
MP_E1260_OC0922_R1_trimmed.fq.gz	144459	125253
MP_E1261_OC0922_R1_trimmed.fq.gz	126131	80259
MP_E1262_OC0922_R1_trimmed.fq.gz	167581	155126
MP_E1263_OC0922_R1_trimmed.fq.gz	133560	87757
MP_E1265_OC0922_PCR1_R1_trimmed.fq.gz	124381	110010
MP_E1265_OC0922_PCR2_R1_trimmed.fq.gz	130799	119779
MP_E1265_OC0922_PCR3_R1_trimmed.fq.gz	129664	119458
MP_E1266_OC0922_PCR1_R1_trimmed.fq.gz	150074	138887
MP_E1266_OC0922_PCR2_R1_trimmed.fq.gz	79641	73227
MP_E1266_OC0922_PCR3_R1_trimmed.fq.gz	115623	106444
MP_E1267_OC0922_PCR1_R1_trimmed.fq.gz	122748	113403
MP_E1267_OC0922_PCR2_R1_trimmed.fq.gz	131119	118925
MP_E1267_OC0922_PCR3_R1_trimmed.fq.gz	119603	109270
MP_E1275_OC1021_R1_trimmed.fq.gz	175541	161542
MP_E1276_OC1021_R1_trimmed.fq.gz	149536	130184
MP_E1277_OC1021_R1_trimmed.fq.gz	187096	171859
MP_E1278_OC1021_R1_trimmed.fq.gz	168740	154230
MP_E1279_OC1021_R1_trimmed.fq.gz	149166	135857
MP_E1280_OC1021_R1_trimmed.fq.gz	148309	135092
MP_E1281_OC1021_R1_trimmed.fq.gz	137274	119383
MP_E1282_OC1021_R1_trimmed.fq.gz	182815	168222
MP_E1283_OC1021_R1_trimmed.fq.gz	175332	160199
MP_E1284_OC1021_R1_trimmed.fq.gz	183400	162994
MP_E1285_OC1021_R1_trimmed.fq.gz	153439	142162
MP_E1286_OC1021_R1_trimmed.fq.gz	146213	133690
MP_E1287_OC1021_R1_trimmed.fq.gz	151928	138272
MP_E1288_OC1021_R1_trimmed.fq.gz	154736	138490
MP_E1289_OC1021_R1_trimmed.fq.gz	11	10
MP_E1290_OC1021_R1_trimmed.fq.gz	180711	163914
MP_E1291_OC1021_R1_trimmed.fq.gz	187335	167961
MP_E1292_OC1021_R1_trimmed.fq.gz	187413	173948
MP_E1293_OC1021_R1_trimmed.fq.gz	154794	143058
MP_E1294_OC1021_R1_trimmed.fq.gz	158552	147951
MP_E1295_OC1021_R1_trimmed.fq.gz	145170	133576
MP_E1296_OC1021_R1_trimmed.fq.gz	164896	151308
MP_E1297_OC1021_R1_trimmed.fq.gz	175842	157388
MP_E1298_OC1021_R1_trimmed.fq.gz	187019	167065
MP_E1299_OC1021_R1_trimmed.fq.gz	174564	161730
MP_E1300_OC1021_R1_trimmed.fq.gz	170512	150563
MP_E1301_OC1021_R1_trimmed.fq.gz	160934	148579
MP_E1302_OC1021_R1_trimmed.fq.gz	158985	149214
MP_E1303_OC1021_R1_trimmed.fq.gz	144569	131075
MP_E1304_OC1021_R1_trimmed.fq.gz	128891	119243
MP_E1305_OC1021_R1_trimmed.fq.gz	155273	142688
MP_E1306_OC1021_R1_trimmed.fq.gz	166364	147062
MP_E1307_OC1021_R1_trimmed.fq.gz	170350	159225
