reads.in	reads.out
MP_E235_3B_NO20_R1_trimmed.fq.gz	157345	144040
MP_E236_1B_NO20_R1_trimmed.fq.gz	158203	108362
MP_E236_2B_NO20_R1_trimmed.fq.gz	160528	150083
MP_E236_3B_NO20_R1_trimmed.fq.gz	173903	139202
MP_E237_1B_NO20_R1_trimmed.fq.gz	149668	133980
MP_E237_2B_NO20_R1_trimmed.fq.gz	170441	158842
MP_E238_1B_NO20_R1_trimmed.fq.gz	171084	160442
MP_E238_2B_NO20_R1_trimmed.fq.gz	160028	144075
MP_E239_1B_NO20_R1_trimmed.fq.gz	149438	136643
MP_E239_2B_NO20_R1_trimmed.fq.gz	138786	113170
MP_E240_1B_NO20_R1_trimmed.fq.gz	148535	132529
MP_E240_2B_NO20_R1_trimmed.fq.gz	173982	162074
MP_E241_1B_NO20_R1_trimmed.fq.gz	178728	167562
MP_E241_2B_NO20_R1_trimmed.fq.gz	156083	142246
MP_E242_1B_NO20_R1_trimmed.fq.gz	160079	149382
MP_E242_2B_NO20_R1_trimmed.fq.gz	167475	155938
MP_E243_1B_NO20_R1_trimmed.fq.gz	148347	136000
MP_E243_2B_NO20_R1_trimmed.fq.gz	152853	62408
MP_E244_1B_NO20_R1_trimmed.fq.gz	173442	162934
MP_E244_2B_NO20_R1_trimmed.fq.gz	164277	128515
MP_E245_1B_NO20_R1_trimmed.fq.gz	171429	156735
MP_E245_2B_NO20_R1_trimmed.fq.gz	157067	143395
MP_E246_1B_NO20_R1_trimmed.fq.gz	183220	171688
MP_E246_2B_NO20_R1_trimmed.fq.gz	151219	140175
MP_E247_1B_NO20_R1_trimmed.fq.gz	172392	107292
MP_E247_2B_NO20_R1_trimmed.fq.gz	163178	75484
MP_E248_1B_NO20_R1_trimmed.fq.gz	191696	163748
MP_E248_2B_NO20_R1_trimmed.fq.gz	180322	160561
MP_E249_1B_NO20_R1_trimmed.fq.gz	145998	135416
MP_E249_2B_NO20_R1_trimmed.fq.gz	160717	148951
