dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E25_2B_DY20	165901	141862	141505	141451	140258	134878	81.3
MP_E26_1B_DY20	161277	82813	82029	81864	79958	74158	46
MP_E26_2B_DY20	142138	129134	127745	127400	124994	120802	85
MP_E27_1B_DY20	63107	58938	58817	58898	58506	58297	92.4
MP_E27_2B_DY20	140882	85985	85641	85556	84411	80316	57
MP_E28_1B_DY20	157990	145004	144733	144678	143517	132132	83.6
MP_E28_2B_DY20	140389	112982	112707	112745	111674	102812	73.2
MP_E29_1B_DY20	157657	145794	145516	145488	144372	137232	87
MP_E29_2B_DY20	140968	132262	132047	131943	130676	125842	89.3
MP_E30_1B_DY20	160507	90846	90457	90372	88475	81429	50.7
MP_E30_2B_DY20	125660	92527	91649	91568	89698	86988	69.2
MP_E31_1B_DY20	134052	94467	94140	94235	93089	86993	64.9
MP_E31_2B_DY20	152899	141153	140897	140893	139897	131528	86
MP_E32_1B_DY20	146949	135338	134413	134271	132313	128686	87.6
MP_E32_2B_DY20	155757	117123	116572	116336	114865	111983	71.9
MP_E33_1B_DY20	143834	128205	127805	127837	126796	120667	83.9
MP_E33_2B_DY20	162560	125773	125474	125451	122959	116397	71.6
MP_E34_1B_DY20	147829	103059	102071	102124	99900	96289	65.1
MP_E34_2B_DY20	131350	66935	66305	66295	64749	61336	46.7
MP_E35_1B_DY20	147419	135782	135553	135427	134216	123134	83.5
MP_E35_2B_DY20	143085	124430	124199	124135	123082	112265	78.5
MP_E36_1B_DY20	133172	106191	105599	105480	103575	100472	75.4
MP_E36_2B_DY20	146876	131246	130656	130461	128617	124328	84.6
MP_E37_1B_DY20	130165	104117	103324	103486	101313	93230	71.6
MP_E37_2B_DY20	179993	134728	134036	134000	131333	121057	67.3
MP_E38_1B_DY20	140256	129300	128365	128404	126406	124299	88.6
MP_E38_2B_DY20	174959	162379	161468	161243	158977	155831	89.1
MP_E39_1B_DY20	151906	140406	139558	139468	137576	133446	87.8
MP_E39_2B_DY20	155326	144381	143630	143662	141871	138308	89
MP_E40_1B_DY20	165167	152646	151985	151743	149815	145270	88
MP_E40_2B_DY20	149793	133868	133037	132933	131008	125645	83.9
MP_E42_1B_DY20	161396	124476	123942	124066	121812	107034	66.3
MP_E42_2B_DY20	150898	124375	123948	123896	122287	112004	74.2
