x	Anacapa	B17	B26	B2_5	B5	B9	BS14	BS2	BS20	BS32	BS43	BS48	BS6	BS64	C19	C26	C2_5	C32	C35	C41	C77	C8	CB06	CC73_3_50	CC73_3_55	CC73_3_60	CC73_3_70	CC73_3_80	CC80_50_5	CC80_51	CC80_52	CC80_54	CC80_57	CC80_60	CC80_70	CC90_27_7	CC90_28	CC90_30	CC90_35	CC90_37	CC90_49	CC90_53	CC90_60	CC90_70	CCE2	CM1	CM20	CM3	CM30	CM5	CM7	CMAP_CO2_Buoy	CR0	CR1	CR13	CR2	CR24	CR3	CR30	CR40	CR50	ChaBa	GGTX1	GGTX2	GGTX4	GGTX5	HH10	HH20	HH29	HH3	HH37	HH42	JF20	JF23	JF2_5	JF35	JF54	JF9	Kalaloch	La_Goleta	ML1	ML11	ML126	ML3	ML38	ML5	ML60	ML8	ML82	NH1	NH10	NH25	NH30	NH35	NH45	NH55	PA3	PR1	PR10	PR15	PR28	PR37	PR4	QC2	QC43	QC74	SB2	SB3	SB4	SB5	SCORP	Sokul
ASV_1	9.89815545357355	0	0.00335822900435226	0.000701421570989048	0.000435232980214309	0	11.3710647413822	6.46837363389404	0	0.896499254795987	0	0.220736728399894	1.6489295142323	0	0.000522851212230536	0.00241554603154397	4.35162837973569	0.389817190583333	0	19.0294473492086	0	0.152450229719394	0	2.58300200948477	9.94068178405166	9.66797309936311	6.68827360938441	0.317821692013478	16.0940062064926	1.13065308383086	6.43896470087516	8.00588867688791	1.24247123421086	6.34431118382632	20.7472347022981	17.7560970795611	8.15012607297493	21.3964293556066	11.0746938195624	30.2771799182023	15.4468938471324	59.7457078488749	13.2638224443791	2.95316868592731	4.08713892602304	0.00104427846709916	3.96729498952795	0.00120755378664048	0.265817234022635	0.000512455224224783	0.00243071132224443	0.458100405371954	2.58011769686003	0.00134550799743387	0.0828251623575835	0.00144520555395524	11.7490209941345	0.262380163133677	6.25135497009483	0.96730731929533	0	1.57913398258851	0.651023051486286	0.0168428647485489	0.628253583772843	1.36990897294046	0.0196440945348264	0.0125030149115283	0.000289588147736289	0.000334569226299144	0.22587255902615	0	0.075119383262532	1.72837765372199	1.70524985959575	0.193517648480798	0.000657417870897182	0.00104468363655774	0.314144253080166	13.1119791277613	8.21043596173147	5.5291806812535	18.0902795329323	1.41396346658376	2.78000015294809	0.028537649313058	40.1517804487273	7.57953466116955	6.81215087404103	0.00454007070631869	0.0411497352633689	0.272359571456614	2.80705007460118	5.9558150308355	3.38576534829838	0.000631082053288569	0.00053378313458808	14.703146985133	1.0052552802949	0.761293814570476	8.45021170421896	3.53241010825154	0.981413353181078	0.272340161647064	0	0.000591380044471779	3.31482458832616	8.2477996291363	11.4099999685099	6.75596611779749	14.856394468557	1.36821385720435
ASV_10	7.64043070168518	9.9932851839777	11.2723772899961	22.9926875296987	10.8947461328265	10.333219030193	9.37774715152955	3.25409826310823	14.4135942125377	15.1849106158545	3.29113124743472	9.21506287928923	6.63559193249189	4.038826360632	13.7400016670492	14.3630595235898	10.9632830509679	7.56420024392736	4.488373203457	8.1805804208557	3.84274479468833	7.39608986410148	7.26697799783767	12.6342387152167	9.64909370056568	6.98051764508113	6.40702308599799	4.13395865586012	3.55325614386296	7.86563328091801	6.33153564457212	3.81262772520799	7.21496697524204	10.6865405538637	3.82342334884316	5.53770563307961	8.42028767200411	7.70139089099119	5.91972759589361	4.05165506731812	4.19407787021993	2.61594634487402	6.58860331274903	6.2732991612302	9.42989005220966	9.52946537582313	8.26311555908767	8.97000826127843	8.31240732204931	6.28562936484119	6.17362471374903	1.50854193362904	1.96304904814859	0.171501333744056	10.9730261139563	0.041525935188183	7.98122334228347	7.87388086035179	8.22106820368901	7.53906995248888	5.83388169202212	5.40752747412808	11.7848947224849	10.2822786536529	13.6918662966815	14.6700584063673	11.5680610672517	12.0091326759842	13.6041985462949	4.62108498975344	8.55324842772092	2.29374496025803	31.6265765314357	18.7946485171881	20.2790771295202	9.001112813775	9.49297295768268	20.9595003767396	14.2222785058335	5.15781617620499	14.2407422533285	14.1893540437777	1.1262194813729	16.3254328298842	15.268806714464	11.795561716064	1.07007487855637	13.9447919091231	12.1488089706657	5.44643086956397	12.3648167165807	8.75043504064596	10.8751322690754	9.30774960972699	7.72388882943013	5.09409433414533	7.80871347588902	12.8428203272048	17.0555792288509	14.4587162425515	18.6566304594443	12.8940588416403	14.6031241654617	7.42551480685414	8.5902361240207	5.77748420943184	7.95374328491402	5.44464133876488	4.58993404540218	6.46817930536637	9.49572358225717	2.11876197528289
ASV_1000	0.187153253742886	0.0705674713524886	0.336494546236097	0	0.00183780248547787	0.0447267035626689	0.0257613127206237	0.0129545643923208	0.0785036335188709	0.137932356597202	0.355507845799261	0.183001336746672	0.0339832143995095	0	0.110236625225383	0.1526769157848	0.0617406772426762	0.105026405577984	0.149081899547449	0.381682782681235	0	0.156016138071601	0.0181135553075915	0.012442370747816	0.0583034669450705	0.127474685829504	0.0189327058236184	0.0874237319005555	0.00132818881532199	0.152095306916349	0.074655237963571	0	0.0394818417196381	0.342471339799171	0.00777363607946616	0.00036066578904658	0.047136927777704	0.844809628515218	0.102852381204548	0	0.0711280607766579	0	0.0907092651988665	0.00582479030754893	0.0405624517431041	0.038428485861593	0.140507187274695	0.0353330682023381	0.017724350554129	0.0412038780532618	0.0226502253507183	0	0.0132030654551237	0.00141189493242671	0.0977497523507286	0.00822818186233283	0.127950938313301	0.0260107222992588	0.0553069748014502	0.16798424259409	0.0510710181793182	0.0608455525965446	0.0102030405060708	0.00116311528798735	0	0	0.0318699687662041	0.0477218918945845	0.0753181376263322	0.016728695715438	0.171907787769715	0.0207349383711554	0.0337660013124627	0.102583745687879	0.0632851659651898	0.26069574809911	0.17222565897545	0.0837811538379649	0.0392169678747671	0	0.0140291846439937	0.062967888965733	0	0.0272729644683516	0.0382480583758012	0.0156277603381032	0.00660422285428697	0.102922389602042	0.0118741546118184	0.00728853881255141	0.0206827812996161	0.0926598479340826	0.131060365021554	0.284812987154098	0.190297540094678	0.103497456739325	0.0208175422489351	0.0012824397133106	0	0.0362220674221368	0.0333958326540337	0.0194356224472976	0.00133761088881649	0.088926564640064	0.157303528698178	0.068099498192671	0.050060734313245	0.0307158035943759	0.006118477523207	0.0516147222468548	0.0408949763322258	0.0103020394442793
ASV_10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115141710660395	0	0	0	0	0.000156681363378552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284208560361838	0.000714707732184719	0	0.00065730662039228	0	0	0.000218975305059972	0	0	0	0	0.000606829256452112	0.00222344511703659	0.00225341550202449	0.00254804201096568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000621977004303167	0	0	0.000149777729848904	0	0	0	0	0	0	0	0	0	0	0	0	0.000580538042657935	0.000561034997363136	0.000208432338694213	0.00031503604012299	0	0.000581216955919034	0	0	0	0	0	0	0	0	0
ASV_10001	0.00291567047146781	0	0.00235076030304659	0.00168502531314416	0.00077094430099582	0.000678261547826765	0.00413727061146698	0.00108926359556576	0.0239872213529883	0.000325255610252707	0.0271524642439933	0	0.012549015880296	0	0.000174562720385434	0.000617153075489502	0	0	0	0	0	0.00043216519082254	0	0.00145850148163335	0	0.00111343695719948	0.0139727732405731	0	0.0292201539370837	0.0229218776899458	0.0167041399261421	0.0547220796327325	0.0220294455341284	0.0415276056868187	0	0	0.00133012363496917	0	0.00308254313925455	0	0.00181603559429765	0	0.00778263925950091	0.000582479030754893	0.0322177057629812	0.00265795447498433	0.00189539324671386	0.000200509695646333	0.00221719657664849	0	0.00106817825758763	0.0381879792419911	0	0	0.00193126114786481	0	8.26753751395147e-05	0.00210586286197521	0	0.000116964673159766	0	0.000345532452534044	0.00268501065949232	0.0159191355530893	0.0119432831403389	0.015863077031592	0.0070874907516889	0	0	0.00278658331066805	0	0.00783319894021426	0.00315100737693852	0	0.00220616136746706	0.000977359467925506	0	0.000617441487128403	0	0.0179004089230899	0	0.000576369706584592	0	0	0	0	0.000128854355921502	0	0	0.00347591296994269	0.00380487976739	0.000129141570154867	0	0	0	0	0	0.00374783144819082	0	0.00155996065983149	0.00546934764069458	0.00861395690724491	0.00179243612697245	0.000258387250139529	0	0	0.0178363169595815	0.0136476928683107	0.0283244970586099	0.0169955547657457	0.00622286764400873	0.000220539474233902
ASV_10002	0.0110446452117658	0.00668373589988792	0.0164553221213261	0	0.000292074841257324	0.00937022978973971	0.00256753244375749	0.00147829902113162	0	0	0.138919584504152	0.0244582266684179	0	0	0.00104570242446107	0.00749438377774555	0	0	0.0954973022012128	0.0339959961477588	0	0.00164700035060096	0.00151650258108739	0.00120391996340083	0.00248235753040888	0.00814708198680173	0	0	0	0.00330923668308568	0	0	0.0112674580090664	0.0281801797338057	0.0101775645766472	0	0.00119254582109687	0.00909286292922446	0.0160604328903296	0	0.00544810678289294	0	0.0115215756664322	0	0.00503245330032724	0.00434323628563738	0.00942315230829539	0.00201184037560706	0	0.00304173257087237	0	0	0.00023823591072824	0	0.00413578352924683	0	0.000820081051343908	0	0.000554235695426639	0.0137554359688882	0	0.00537733604349236	0	0	0	0	0.00796425641719961	0	0.00605266110412349	0	0.0030234133126935	0.00506854049072687	0.00342845783835619	0.0160799703393632	0.00594385044204616	0.0486372966520565	0.519239620411552	0	0	0	0	0.0002465365923598	0	0	0.00246784211885128	0	0	0	0	0	0.00254434309080081	0.00500943859124866	0.0145279848126989	0.00923545117613061	0	0	0.0144121446338781	0	0.00293036858176021	0.0039238604942383	0	0	0.000300674111357664	0	0	0.00890961198639799	0.0135355214326571	0.0045969229869134	0.00874235671830017	0.00227377631043413	0.00067609138051099	0.00480011987951942
ASV_10003	0.0769244876058364	0.0094173122591155	0.0384599464535917	0.0110977894779462	0.0125677907674208	0.010968320132916	0.000584631002882162	0	0.00109032824331765	0.0025182510242986	0	0.00289653574325107	0.000137586404261876	0	0.0139006437142556	0.00953459165463969	0	0.0090813602406317	0.0450959482616838	0.00761754913218231	0	0	0.0119878342342184	0.0165921230766021	0.0140377931660311	0.0160090390845962	0.0221253390651111	0.015025953920408	0.000221364802553664	0.0135892022001995	0.001728130508416	0.00193706476576044	0.00293601958252573	0.0137883141575361	0.00104193583342363	0.0262123192750057	0.0462070205377765	0.258230563813706	0.016502665940605	0.0209469048329746	0.00514543418384334	0.00103581324287231	0.00577281469025529	0.00524231127679404	0.00229118437691458	0.00115862460267302	0.0076138899189466	0.00639963988961131	0.0100873401234509	0.00380216571359046	0.00373558784722148	0	0.000830020169490119	0	0.00970119567436826	0	0.011926841526787	0	0.00359875615020533	0.022312689688464	0	0.000330523283261973	0.0225840205710508	0.00792338791566796	0.0039435091198879	0.00341819238425531	0.0288578956777906	0.00410107141904329	0.00977224791395071	0.000342203241349102	0.00923355105834351	0	0.00426817817082956	0.00311984894223493	0.00487576449967233	0.00602677451881531	0.00498049776225865	0.00334208355727344	0	0.0206515113085162	0.0125889057313261	0.023395425617633	0.0171864732345954	0.0103932490696132	0.0298806054909976	0.00475627488550967	0.0174175709356744	0.0111868217516292	0.013422957387273	0	0.0065808830976768	0.0121568233264078	0.0165545468481574	0.00882774154713501	0.0305420424002392	0	0.0026689156729404	0.00177715938365242	0.00676099596441895	0.00369382008406732	0.0364324580966598	0.0302572879873502	0.00229092931629526	0.000818808578930418	0.00236909081063519	0.00029569002223589	0.00931069213896081	0.0144439474079984	0.00452381927704599	0.00836715400872571	0.0299004135379378	9.13667552924193e-05
ASV_10004	0.833498608780978	0.752985349769487	0.883100550600172	1.23486633357438	0.768962965587252	0.88103475004586	0.163179126468868	0.0955048586704771	0.303656415763966	0.202594642343169	0.501373409528621	1.13772912408766	0.167756821773338	0.906976276503751	0.41240165734133	0.802158576534934	0.46912798466405	2.54841845056921	0.611182734087762	1.20081520434792	0.716334687036679	0.210615203236813	0.140398421108972	0.703644895128322	0.864790530245283	0.626572003623101	0.138477812804208	0.21218468263364	0.0857838172487183	0.639547875429381	0.231982220470381	0.0968532382880222	0.40155190157189	0.985739543687285	0.493319506782494	0.179951374134939	0.642469797444433	1.21792570583063	1.13270676975437	0.277546489036914	0.428616312023982	0.0642204210580832	0.617323090926736	0.204450139794967	0.414587485419147	0.417303621230731	0.883934423312132	0.627342606172107	0.448695446733073	0.588395676468832	0.492076027394166	0.00670149050181895	0.105011626617191	0.185250933696079	0.300023257099027	0.0468999719331552	0.356981910236695	0.171248615479367	0.819911347273208	0.979162885613672	1.65587955096789	0.131754665630958	0.944758199258237	0.832917767287646	0.148727543702773	0.0435654563341905	0.660816319975047	0.579331661749678	1.06764675796503	0.146077022987047	0.68991421901408	0.651077064854279	0.582747528350377	1.54047095040131	0.454052549813477	1.26689800441843	0.967346160842711	0.408141220699737	0.26757410372888	0.0719239317153428	0.989230056150763	0.673641834568719	0.14962341404236	1.62688231637225	0.587539952009464	3.03722124831832	0.0975330453297113	0.737198947149512	0.100672180404547	0.321983079843869	0.272624901732367	1.62271266705933	2.15790729050912	2.12749324625792	0.750760807393421	1.31138850673365	0.75049908723084	0.343888252867918	0.675974521315649	0.770078002262419	1.034398676559	1.16142327192736	0.610537493504967	0.492115585218198	0.432678944935512	0.681803706848907	0.532393395670235	0.716517862371042	0.431418213681244	0.337156225343694	0.34113641178007	0.04641450209288
ASV_10006	0.00112543087925091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192018992423978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000229499919675028	0.00116869371036922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101403423379573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00578101100138285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000744745818252231	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474857483397795	0	0	0.000413888744586997	0
ASV_10007	0.552979558827376	0.122609122118686	0.0723602058182167	5.67858611986945	0.800588101208172	0.593861958443074	0.0950789822242766	0.0249402725448498	0.0741423205456003	0.0374851137391252	0.304991633252297	0.0498405185663564	0.202632501453944	0.0904965242631237	0.0343068329954178	0.0248439102802071	0.00422186272421449	0.0371965029723697	1.72478738586746	0.0520773948567954	0.0265906014310578	0.0186808543976781	0.00151650258108739	0.0918052258622419	0.122812126530353	0.107500936707604	1.20925726573792	0.385210818686823	0.0708378382081	0.155019795403672	0.119031715250716	0.215014188999409	0.144769798525084	0.209934654347691	0.196655656222111	0.249402847338329	0.292269055681874	0.40086905770862	0.396407366521078	0.344052911881608	0.12007302612116	0.263096563689567	0.21705555733565	0.455498602050326	0.15047437749177	0.0485385820115459	0.120723663050534	0.0620639758458522	0.218153510660855	0.0239366574984609	0.0290451266426797	0	0	0	0.0371247207518325	0	0.0250385610958202	0.000900971001019735	0.159977387987876	0.633489755975037	0.0608923678291871	0.0296446126108088	0.0409169027111137	0.0395540386014868	0.00157742924103119	0.000240829223181258	0.00664968239008564	0.00411055572554376	0.0404822029452075	0.0039043659438696	0.0197742768131476	0	0.0256022492731572	0.0741456439682275	0.0299174172689121	0.0430768840555368	0.634852496826244	0.0334487708837634	0.0522892904996895	0.753029342940407	0.0518891255040958	0.0507034270824979	0.748117070211798	0.0481020424447571	0.033892413516091	0.0557163629445418	0.124644543173558	0.0816475719407341	0.0428502101209099	0.00691330921894382	0.00714284535172012	0.0142396221628254	0.0225450771692126	0.0151513531947476	0.111499710929149	0.119905590124828	0.0117432289609378	0.000387025361771957	0.0181682852069133	0.0403939803832985	0.0193571022417944	0.0598571097712495	0.00373958322468596	0.0195897164020495	0.0277522066388693	0	0.238347992343662	0.192393450503756	0.0599811872993617	0.489823174858064	0.573850739545368	0.0313976408952596
