bottle,oxy_concM_ch1,oxy_percentsat_ch1,oxy_conc_ch1,oxy_concM_ch2,oxy_percentsat_ch2,oxy_conc_ch2,salinity_ch1,salinity_ch2,sigma_t_ch1,sigma_t_ch2,chlor_fluorescence,temperature_ch1,temperature_ch2,turbidity,pressure,latitude,longitude,time,profile_id
,ml/l,percent,micromole/kg,,,,PSU,PSU,,,ugrams/l,degree_C,degree_C,,decibar,degrees_north,degrees_east,UTC,
12.0,4.2315,50.942,184.096,NaN,NaN,NaN,32.9813,32.9774,26.5117,26.5089,0.3313,-0.8393,-0.8479,NaN,30.584,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
13.0,8.0173,93.152,349.419,NaN,NaN,NaN,30.737,30.731,24.7117,24.7068,0.3118,-1.5689,-1.5704,NaN,20.493,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
14.0,7.9945,92.907,348.426,NaN,NaN,NaN,30.7391,30.7325,24.7132,24.7079,0.2934,-1.5617,-1.5637,NaN,20.494,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
15.0,7.9943,92.909,348.416,NaN,NaN,NaN,30.7419,30.7346,24.7155,24.7096,0.3078,-1.5606,-1.5635,NaN,20.499,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
16.0,7.9892,92.836,348.191,NaN,NaN,NaN,30.7435,30.7371,24.7169,24.7116,0.3049,-1.5663,-1.5638,NaN,20.501,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
17.0,8.0271,93.207,349.842,NaN,NaN,NaN,30.7424,30.7363,24.7165,24.7114,0.3106,-1.5932,-1.5882,NaN,20.498,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
18.0,8.1788,94.752,356.485,NaN,NaN,NaN,30.6352,30.6298,24.6304,24.626,0.3181,-1.6493,-1.65,NaN,10.201,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
19.0,8.1566,94.496,355.517,NaN,NaN,NaN,30.6361,30.6307,24.6311,24.6268,0.3061,-1.649,-1.6499,NaN,10.204,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
20.0,8.1761,94.711,356.369,NaN,NaN,NaN,30.6313,30.6248,24.6272,24.622,0.3324,-1.6523,-1.6541,NaN,10.211,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
21.0,8.3087,95.981,362.253,NaN,NaN,NaN,30.2656,30.2411,24.3303,24.3105,0.3118,-1.6582,-1.6588,NaN,1.83,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
22.0,8.2748,95.591,360.774,NaN,NaN,NaN,30.2675,30.3168,24.3319,24.372,0.4832,-1.658,-1.6613,NaN,1.836,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
23.0,8.2563,95.447,359.932,NaN,NaN,NaN,30.3935,30.4129,24.4343,24.4501,0.3215,-1.6639,-1.6658,NaN,1.842,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
24.0,8.2598,95.515,360.072,NaN,NaN,NaN,30.4361,30.4942,24.4689,24.5161,0.2946,-1.6645,-1.6679,NaN,1.842,68.01316666666666,-167.87933333333334,2021-11-12T09:39:57Z,SKQ202115Sc015_btl
1.0,1.7933,22.222,78.026,NaN,NaN,NaN,32.96,32.9518,26.4466,26.4401,0.3365,0.2612,0.2598,NaN,52.708,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
2.0,1.792,22.204,77.967,NaN,NaN,NaN,32.9601,32.9518,26.4467,26.4401,0.3376,0.2602,0.2596,NaN,52.686,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
3.0,1.7892,22.17,77.845,NaN,NaN,NaN,32.9599,32.9524,26.4465,26.4407,0.3473,0.2611,0.2572,NaN,52.705,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
4.0,1.7926,22.212,77.994,NaN,NaN,NaN,32.9598,32.9519,26.4465,26.4402,0.3376,0.2608,0.2597,NaN,52.693,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
5.0,1.5431,19.277,67.147,NaN,NaN,NaN,32.8583,32.8522,26.3466,26.3417,0.2104,0.6004,0.6001,NaN,40.338,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
6.0,1.5496,19.357,67.429,NaN,NaN,NaN,32.8586,32.8526,26.3469,26.3422,0.2242,0.5983,0.5977,NaN,40.342,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
7.0,1.5448,19.299,67.22,NaN,NaN,NaN,32.8579,32.8523,26.3461,26.3416,0.2236,0.6034,0.6024,NaN,40.341,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
8.0,1.5432,19.279,67.151,NaN,NaN,NaN,32.858,32.8525,26.3463,26.342,0.2236,0.6011,0.5998,NaN,40.346,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
9.0,1.6119,20.197,70.138,NaN,NaN,NaN,32.8551,32.8511,26.3374,26.3341,0.223,0.7182,0.7193,NaN,30.266,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
10.0,1.6092,20.164,70.022,NaN,NaN,NaN,32.855,32.8508,26.3372,26.3338,0.2242,0.7202,0.722,NaN,30.266,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
11.0,1.6116,20.196,70.126,NaN,NaN,NaN,32.8549,32.8506,26.3369,26.3333,0.223,0.7238,0.7275,NaN,30.267,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
12.0,1.6073,20.142,69.939,NaN,NaN,NaN,32.8549,32.8505,26.3369,26.3333,0.2236,0.723,0.7247,NaN,30.267,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
13.0,8.1003,94.722,353.062,NaN,NaN,NaN,30.6513,30.6464,24.6371,24.6331,0.1943,-1.3094,-1.3091,NaN,20.5,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
14.0,8.1042,94.787,353.231,NaN,NaN,NaN,30.6541,30.6447,24.6392,24.6316,0.1943,-1.3025,-1.3063,NaN,20.507,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
15.0,8.0796,94.473,352.158,NaN,NaN,NaN,30.6505,30.6437,24.6365,24.631,0.1943,-1.3119,-1.3143,NaN,20.503,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
16.0,8.1125,94.803,353.596,NaN,NaN,NaN,30.6447,30.6396,24.6322,24.628,0.1949,-1.3319,-1.3294,NaN,20.507,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
17.0,8.1789,95.025,356.501,NaN,NaN,NaN,30.5898,30.5815,24.5915,24.5849,0.2504,-1.5319,-1.5375,NaN,10.292,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
18.0,8.1763,95.051,356.389,NaN,NaN,NaN,30.5959,30.5853,24.5961,24.5876,0.2482,-1.512,-1.5185,NaN,10.294,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
19.0,8.1688,94.973,356.059,NaN,NaN,NaN,30.5957,30.5882,24.5959,24.5898,0.2402,-1.5081,-1.5121,NaN,10.297,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
20.0,8.1761,95.044,356.382,NaN,NaN,NaN,30.5944,30.5883,24.5949,24.5899,0.255,-1.5132,-1.5127,NaN,10.297,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
21.0,8.1746,94.883,356.316,NaN,NaN,NaN,30.5829,30.5766,24.5865,24.5814,0.29,-1.5657,-1.5677,NaN,2.422,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
22.0,8.1742,94.874,356.3,NaN,NaN,NaN,30.5823,30.5765,24.586,24.5813,0.2883,-1.5672,-1.5671,NaN,2.422,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
23.0,8.1737,94.877,356.28,NaN,NaN,NaN,30.5829,30.5764,24.5864,24.5813,0.3439,-1.5645,-1.5666,NaN,2.431,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
24.0,8.1716,94.882,356.185,NaN,NaN,NaN,30.5868,30.5795,24.5895,24.5835,0.3147,-1.5537,-1.5529,NaN,2.428,67.90133333333333,-168.23633333333333,2021-11-12T12:57:06Z,SKQ202115Sc016_btl
1.0,2.6177,31.789,113.872,NaN,NaN,NaN,33.1593,33.154,26.6452,26.6409,0.2929,-0.5597,-0.5609,NaN,45.082,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
2.0,2.616,31.768,113.799,NaN,NaN,NaN,33.1594,33.1541,26.6452,26.641,0.3055,-0.5602,-0.5613,NaN,45.081,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
3.0,2.6158,31.766,113.791,NaN,NaN,NaN,33.1592,33.1541,26.6451,26.641,0.29,-0.5605,-0.5616,NaN,45.085,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
4.0,2.615,31.756,113.756,NaN,NaN,NaN,33.1592,33.1541,26.6451,26.641,0.3066,-0.5604,-0.5615,NaN,45.086,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
5.0,2.6061,31.656,113.368,NaN,NaN,NaN,33.1582,33.1541,26.6439,26.6407,0.2923,-0.5503,-0.5535,NaN,40.535,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
6.0,2.6039,31.623,113.271,NaN,NaN,NaN,33.1588,33.1544,26.6447,26.6411,0.282,-0.5571,-0.5582,NaN,40.542,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
7.0,2.5963,31.532,112.944,NaN,NaN,NaN,33.1588,33.1542,26.6446,26.6409,0.294,-0.5568,-0.5569,NaN,40.537,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
8.0,2.6061,31.651,113.367,NaN,NaN,NaN,33.1586,33.1545,26.6444,26.6411,0.294,-0.556,-0.5572,NaN,40.546,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
9.0,2.3018,28.926,100.159,NaN,NaN,NaN,32.8879,32.8855,26.3578,26.3558,0.168,0.8221,0.8245,NaN,30.395,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
10.0,2.3065,28.977,100.363,NaN,NaN,NaN,32.8903,32.8859,26.3604,26.3563,0.1674,0.8111,0.8214,NaN,30.394,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
11.0,2.2902,28.776,99.652,NaN,NaN,NaN,32.8892,32.8865,26.3592,26.3569,0.1685,0.8173,0.8198,NaN,30.388,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
12.0,2.2799,28.647,99.204,NaN,NaN,NaN,32.8894,32.8862,26.3593,26.3564,0.184,0.8178,0.8232,NaN,30.395,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
13.0,7.8637,92.385,342.725,NaN,NaN,NaN,30.7374,30.7318,24.7035,24.6989,0.2808,-1.1592,-1.1567,NaN,20.35,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
14.0,7.8833,92.627,343.58,NaN,NaN,NaN,30.739,30.732,24.7047,24.6991,0.2808,-1.1548,-1.1572,NaN,20.36,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
15.0,7.8731,92.505,343.135,NaN,NaN,NaN,30.7385,30.7318,24.7043,24.6989,0.3026,-1.1558,-1.1566,NaN,20.352,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
16.0,7.8777,92.557,343.338,NaN,NaN,NaN,30.7386,30.732,24.7044,24.699,0.2837,-1.1566,-1.1555,NaN,20.36,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
17.0,7.8832,92.329,343.589,NaN,NaN,NaN,30.6905,30.6846,24.6678,24.6631,0.333,-1.2614,-1.2626,NaN,10.213,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
18.0,7.8861,92.364,343.713,NaN,NaN,NaN,30.6923,30.6863,24.6692,24.6644,0.3525,-1.2613,-1.2624,NaN,10.221,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
19.0,7.889,92.411,343.839,NaN,NaN,NaN,30.6971,30.6912,24.6731,24.6683,0.3571,-1.2572,-1.2585,NaN,10.222,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
20.0,7.8748,92.246,343.221,NaN,NaN,NaN,30.697,30.6912,24.673,24.6683,0.3376,-1.2567,-1.2577,NaN,10.216,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
21.0,7.8832,92.457,343.593,NaN,NaN,NaN,30.6795,30.6739,24.6577,24.6531,0.3164,-1.2073,-1.2075,NaN,2.047,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
22.0,7.8785,92.411,343.385,NaN,NaN,NaN,30.6788,30.6737,24.657,24.6529,0.3668,-1.2028,-1.2058,NaN,2.052,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
23.0,7.9008,92.666,344.357,NaN,NaN,NaN,30.6794,30.6733,24.6576,24.6526,0.3365,-1.2059,-1.2045,NaN,2.045,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
24.0,7.8819,92.464,343.533,NaN,NaN,NaN,30.6784,30.6732,24.6566,24.6525,0.3267,-1.1977,-1.202,NaN,2.044,67.783,-168.59516666666667,2021-11-12T15:38:01Z,SKQ202115Sc017_btl
1.0,6.9332,89.031,301.795,NaN,NaN,NaN,32.503,32.4987,25.9878,25.9845,0.3433,1.7712,1.7701,NaN,67.191,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
2.0,6.937,89.08,301.959,NaN,NaN,NaN,32.5031,32.4988,25.9879,25.9845,0.4356,1.7712,1.7707,NaN,68.443,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
3.0,6.9365,89.075,301.938,NaN,NaN,NaN,32.5033,32.4988,25.988,25.9845,0.4018,1.7719,1.7703,NaN,68.039,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
4.0,7.0948,90.928,308.829,NaN,NaN,NaN,32.4883,32.484,25.9811,25.9779,0.3674,1.6982,1.6944,NaN,50.183,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
5.0,7.1058,91.045,309.309,NaN,NaN,NaN,32.4862,32.483,25.9801,25.9774,0.3943,1.6885,1.6901,NaN,50.373,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
6.0,7.1104,91.101,309.508,NaN,NaN,NaN,32.4861,32.4824,25.9801,25.9772,0.4081,1.6873,1.6857,NaN,50.591,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
7.0,7.1512,91.505,311.288,NaN,NaN,NaN,32.4762,32.4726,25.9755,25.9726,0.435,1.6385,1.6378,NaN,39.72,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
8.0,7.1413,91.363,310.856,NaN,NaN,NaN,32.4763,32.4726,25.976,25.9729,0.4568,1.6322,1.6348,NaN,40.753,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
9.0,7.1475,91.445,311.125,NaN,NaN,NaN,32.4761,32.4725,25.9758,25.973,0.4614,1.6332,1.6322,NaN,40.476,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
10.0,7.0206,90.191,305.602,NaN,NaN,NaN,32.4835,32.4806,25.9706,25.9685,0.4247,1.7931,1.7903,NaN,30.405,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
11.0,7.0219,90.168,305.657,NaN,NaN,NaN,32.4839,32.4807,25.9722,25.969,0.4006,1.7756,1.7844,NaN,30.806,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
12.0,7.0159,90.115,305.399,NaN,NaN,NaN,32.4846,32.4812,25.972,25.9691,0.3943,1.786,1.7888,NaN,30.677,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
13.0,7.0631,90.568,307.455,NaN,NaN,NaN,32.4667,32.4636,25.962,25.9597,0.4488,1.7241,1.721,NaN,21.125,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
14.0,7.1196,90.964,309.918,NaN,NaN,NaN,32.4461,32.4417,25.9548,25.9516,0.5331,1.5879,1.5829,NaN,20.941,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
15.0,7.1394,91.2,310.778,NaN,NaN,NaN,32.4452,32.4405,25.9545,25.9514,0.5628,1.5812,1.5718,NaN,20.941,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
16.0,7.2453,92.203,315.392,NaN,NaN,NaN,32.4206,32.4172,25.9442,25.9414,0.5863,1.4392,1.4399,NaN,10.127,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
17.0,7.2551,92.324,315.821,NaN,NaN,NaN,32.4203,32.4168,25.9441,25.9413,0.5766,1.4375,1.4362,NaN,10.142,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
18.0,7.2498,92.255,315.589,NaN,NaN,NaN,32.4202,32.4166,25.944,25.9412,0.5612,1.437,1.4361,NaN,10.547,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
19.0,7.2403,92.141,315.177,NaN,NaN,NaN,32.4192,32.4167,25.943,25.9411,0.6081,1.4398,1.4386,NaN,2.831,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
20.0,7.2392,92.128,315.129,NaN,NaN,NaN,32.4193,32.4168,25.9431,25.9411,0.5766,1.4404,1.439,NaN,2.76,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
21.0,7.2404,92.145,315.181,NaN,NaN,NaN,32.4204,32.4169,25.9439,25.9412,0.5732,1.4406,1.4396,NaN,2.644,62.20133333333333,-174.68,2021-11-14T09:53:49Z,SKQ202115Sc018_btl
1.0,6.693,86.628,291.298,NaN,NaN,NaN,32.6983,32.6948,26.1256,26.123,0.2242,2.0304,2.0291,NaN,73.573,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
2.0,6.6883,86.566,291.094,NaN,NaN,NaN,32.6979,32.6946,26.1254,26.1228,0.2081,2.03,2.0286,NaN,73.672,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
3.0,6.6439,85.994,289.161,NaN,NaN,NaN,32.6984,32.6952,26.1257,26.1232,0.1938,2.031,2.0295,NaN,73.516,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
4.0,6.7445,87.223,293.542,NaN,NaN,NaN,32.6844,32.6813,26.1166,26.1142,0.2436,2.0016,2.0,NaN,51.527,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
5.0,6.7578,87.39,294.12,NaN,NaN,NaN,32.6846,32.6817,26.1169,26.1148,0.2259,1.9992,1.9968,NaN,51.015,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
6.0,6.7401,87.176,293.35,NaN,NaN,NaN,32.684,32.6809,26.1159,26.1136,0.2247,2.0065,2.0054,NaN,51.054,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
7.0,6.8123,88.026,296.495,NaN,NaN,NaN,32.6783,32.6753,26.1141,26.1117,0.2504,1.9699,1.9688,NaN,41.085,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
8.0,6.8085,87.977,296.329,NaN,NaN,NaN,32.6785,32.6754,26.1142,26.1118,0.235,1.97,1.9688,NaN,40.84,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
9.0,6.8119,88.021,296.476,NaN,NaN,NaN,32.6784,32.6754,26.1141,26.1118,0.2367,1.97,1.9688,NaN,40.459,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
10.0,6.8063,88.136,296.24,NaN,NaN,NaN,32.6625,32.6593,26.0949,26.0925,0.2533,2.0583,2.0565,NaN,30.682,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
11.0,6.8142,88.246,296.582,NaN,NaN,NaN,32.6629,32.6589,26.0949,26.0919,0.2533,2.0621,2.0602,NaN,30.253,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
12.0,6.7777,87.778,294.995,NaN,NaN,NaN,32.6643,32.66,26.096,26.0929,0.2602,2.0633,2.0595,NaN,30.066,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
13.0,6.7916,87.97,295.599,NaN,NaN,NaN,32.6621,32.659,26.0937,26.0914,0.278,2.0696,2.0682,NaN,20.381,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
14.0,6.7794,87.816,295.068,NaN,NaN,NaN,32.6623,32.6593,26.0938,26.0914,0.2619,2.0715,2.0702,NaN,20.442,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
15.0,6.7915,87.976,295.597,NaN,NaN,NaN,32.6626,32.6595,26.0939,26.0915,0.2482,2.0729,2.0718,NaN,20.008,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
16.0,6.9159,89.497,301.012,NaN,NaN,NaN,32.6553,32.6523,26.0909,26.0886,0.3072,2.0344,2.0331,NaN,10.695,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
17.0,6.9212,89.565,301.242,NaN,NaN,NaN,32.6555,32.6523,26.091,26.0886,0.286,2.0344,2.0332,NaN,10.512,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
18.0,6.9167,89.506,301.044,NaN,NaN,NaN,32.6553,32.6522,26.0909,26.0885,0.2923,2.0344,2.0333,NaN,9.516,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
19.0,6.9036,89.337,300.476,NaN,NaN,NaN,32.6556,32.6525,26.0911,26.0887,0.2906,2.0345,2.0336,NaN,2.691,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
20.0,6.9102,89.421,300.761,NaN,NaN,NaN,32.6553,32.6522,26.091,26.0885,0.2923,2.0337,2.0327,NaN,3.013,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
21.0,6.9246,89.606,301.391,NaN,NaN,NaN,32.655,32.652,26.0908,26.0885,0.2917,2.0328,2.0317,NaN,3.912,62.0115,-175.06016666666667,2021-11-14T12:08:40Z,SKQ202115Sc019_btl
1.0,6.6724,86.179,290.393,NaN,NaN,NaN,32.7245,32.719,26.1533,26.149,0.2556,1.9396,1.9378,NaN,75.859,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
2.0,6.6736,86.194,290.445,NaN,NaN,NaN,32.7245,32.7192,26.1533,26.1492,0.2367,1.9393,1.9376,NaN,76.038,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
3.0,6.6699,86.147,290.284,NaN,NaN,NaN,32.7244,32.719,26.1532,26.149,0.2459,1.9396,1.9381,NaN,75.439,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
4.0,6.6369,85.799,288.854,NaN,NaN,NaN,32.7186,32.7143,26.1458,26.1425,0.2247,1.9768,1.9755,NaN,50.334,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
5.0,6.6313,85.73,288.608,NaN,NaN,NaN,32.7182,32.7144,26.1454,26.1425,0.2242,1.979,1.9757,NaN,50.486,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
6.0,6.6278,85.681,288.456,NaN,NaN,NaN,32.7184,32.7144,26.1456,26.1426,0.2413,1.977,1.9754,NaN,50.05,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
7.0,6.6437,85.895,289.149,NaN,NaN,NaN,32.7147,32.7111,26.1423,26.1396,0.219,1.9819,1.9803,NaN,40.458,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
8.0,6.6447,85.91,289.194,NaN,NaN,NaN,32.7142,32.7106,26.1419,26.1391,0.2379,1.9826,1.9813,NaN,40.626,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
9.0,6.6556,86.053,289.668,NaN,NaN,NaN,32.7147,32.7109,26.1422,26.1393,0.2544,1.9834,1.982,NaN,40.764,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
10.0,6.6737,86.278,290.453,NaN,NaN,NaN,32.7119,32.708,26.1401,26.1372,0.2843,1.9809,1.9783,NaN,30.375,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
11.0,6.6747,86.294,290.499,NaN,NaN,NaN,32.712,32.7088,26.1402,26.1377,0.2379,1.9816,1.9808,NaN,30.52,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
12.0,6.6621,86.134,289.951,NaN,NaN,NaN,32.7125,32.7091,26.1406,26.138,0.2447,1.9826,1.9805,NaN,30.462,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
13.0,6.7248,86.923,292.681,NaN,NaN,NaN,32.709,32.7058,26.1384,26.1359,0.2287,1.9738,1.9724,NaN,20.592,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
14.0,6.712,86.757,292.121,NaN,NaN,NaN,32.7088,32.7057,26.1382,26.1358,0.2596,1.9742,1.9727,NaN,19.62,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
15.0,6.7117,86.754,292.111,NaN,NaN,NaN,32.709,32.7058,26.1384,26.1359,0.2236,1.974,1.9725,NaN,19.976,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
16.0,6.7221,86.939,292.56,NaN,NaN,NaN,32.7088,32.7058,26.1365,26.1342,0.2762,1.9974,1.996,NaN,9.757,62.048833333333334,-175.209,2021-11-14T14:08:01Z,SKQ202115Sc020_btl
