Percent	Sample	TerminalTaxa
0.0146152089518155	MP_E287_3B_NO20	zzOther
0.00625958498951519	MP_E288_1B_NO20	zzOther
0.0143657520471197	MP_E289_1B_NO20	zzOther
0.00261351360769418	MP_E290_3B_NO20	zzOther
0.00174015939860091	MP_E296_1B_NO20	zzOther
0.0212274789715286	MP_E297_2B_NO20	zzOther
0.00113735882533581	MP_E300_2B_NO20	zzOther
0.0106106424744018	MP_E300_3B_NO20	zzOther
0.00712047849615494	MP_E28_2B_DY20	zzOther
0.00225647042895503	MP_E39_1B_DY20	zzOther
0.00234307270554605	MP_E40_2B_DY20	zzOther
0.00315311527789456	MP_E42_1B_DY20	zzOther
0.0034081614105244	MP_E42_2B_DY20	zzOther
0.00688562969083523	MP_E44_DY20	zzOther
0.0492062562240056	MP_E45_1B_DY20	zzOther
0.0279864321776803	MP_E45_2B_DY20	zzOther
0.0135426118281172	MP_E46_2B_DY20	zzOther
0.0072834538137985	MP_E47_1B_DY20	zzOther
0.00217377127578636	MP_E47_2B_DY20	zzOther
0.00652975937836691	MP_E53_2B_DY20	zzOther
0.00234783119093737	MP_E55_1B_DY20	zzOther
0.00191310669396032	MP_E71_1B_DY20	zzOther
0.00282560373733188	MP_E71_2B_DY20	zzOther
0.0166456614272466	MP_E72_1B_DY20	zzOther
0.0136495055156411	MP_E72_2B_DY20	zzOther
0.00401377527674981	MP_E233_1B_NO20	zzOther
0.0017620990123435	MP_E235_1B_NO20	zzOther
0.00639703177725535	MP_E247_1B_NO20	zzOther
0.00225347034433027	MP_E251_2B_NO20	zzOther
0.00305287580901209	MP_E253_NO20	zzOther
0.0258750957378542	MP_E261_1B_NO20	zzOther
0.0351991833789456	MP_E261_2B_NO20	zzOther
0.0140743752541207	MP_E265_1B_NO20	zzOther
0.00894397240145659	MP_E265_2B_NO20	zzOther
0.00462111479773381	MP_E267_2B_NO20	zzOther
0.00356490352479836	MP_E268_1B_NO20	zzOther
0.00175836542350231	MP_E268_2B_NO20	zzOther
0.00177820454686903	MP_E269_1B_NO20	zzOther
0.00305262729455818	MP_E274_2B_NO20	zzOther
0.00412595722207552	MP_E287_1B_NO20	zzOther
0.0101405308567904	MP_E289_1B_NO20	zzOther
0.0144503757097685	MP_E289_2B_NO20	zzOther
0.0161372310125306	MP_E289_3B_NO20	zzOther
0.0204695874999052	MP_E290_1B_NO20	zzOther
0.00365513107300028	MP_E290_2B_NO20	zzOther
0.0060981984179531	MP_E290_3B_NO20	zzOther
0.0137102509832821	MP_E297_1B_NO20	zzOther
0.0168050875191268	MP_E297_2B_NO20	zzOther
0.00316207533328274	MP_E297_3B_NO20	zzOther
0.00275973727301161	MP_E299_2B_NO20	zzOther
0.00303161213554338	MP_E300_3B_NO20	zzOther
0.00230043708304578	MP_E38_1B_DY20	zzOther
0.00112293940618964	MP_E38_2B_DY20	zzOther
0.00117153635277303	MP_E40_2B_DY20	zzOther
0.00475867566056366	MP_E43_1B_DY20	zzOther
0.0049657364187109	MP_E43_2B_DY20	zzOther
0.00205742266662552	MP_E48_2B_DY20	zzOther
0.0186898420708345	MP_E49_1B_DY20	zzOther
0.0321564087722683	MP_E49_2B_DY20	zzOther
0.010687300281076	MP_E50_1B_DY20	zzOther
