"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Collection_Date_UTC","Collection_Date_local","Collection_Time_UTC","Collection_Time_local","Field_Sample_Name","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Lat","Lon","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Combined_date","Combined_date_local","Date_UTC","Date_local_check","Date_local","Lat_fix","Lat_dec","Lon_fix","Lon_dec","Cast","Bottle"
"E1717.NC.DY2306",NA,NA,TRUE,"DY2306","EcoFOCI Spring Mooring",NA,NA,NA,NA,NA,NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,NA,NA,1000,"Shannon Brown","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1718.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/24/2023",NA,"8:51",NA,NA,4,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBS2",133,"54°25.35' N","165°08.86' W",1000,"Shannon Brown","Lost the 10 m sample as the Niskin didn't close","4/24/2023 8:51",NA,"2023/04/24 08:51:00",NA,"2023-04-24 00:51:00","54 25.35",54.4225,"165 08.86",-165.147666666667,"4","1"
"E1719.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/24/2023",NA,"8:51",NA,NA,4,7,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBS2",30,"54°25.35' N","165°08.86' W",1000,"Shannon Brown","Lost the 10 m sample as the Niskin didn't close","4/24/2023 8:51",NA,"2023/04/24 08:51:00",NA,"2023-04-24 00:51:00","54 25.35",54.4225,"165 08.86",-165.147666666667,"4","7"
"E1720.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/24/2023",NA,"14:44",NA,NA,7,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBW1",467,"54°21.61' N","165°55.90' W",1000,"Shannon Brown","","4/24/2023 14:44",NA,"2023/04/24 14:44:00",NA,"2023-04-24 06:44:00","54 21.61",54.3601666666667,"165 55.90",-165.931666666667,"7","1"
"E1721.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/24/2023",NA,"14:44",NA,NA,7,8,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBW1",30,"54°21.61' N","165°55.90' W",1000,"Shannon Brown","","4/24/2023 14:44",NA,"2023/04/24 14:44:00",NA,"2023-04-24 06:44:00","54 21.61",54.3601666666667,"165 55.90",-165.931666666667,"7","8"
"E1722.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/24/2023",NA,"14:44",NA,NA,7,10,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBW1",10,"54°21.61' N","165°55.90' W",1000,"Shannon Brown","","4/24/2023 14:44",NA,"2023/04/24 14:44:00",NA,"2023-04-24 06:44:00","54 21.61",54.3601666666667,"165 55.90",-165.931666666667,"7","10"
"E1723.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/24/2023",NA,"22:34",NA,NA,10,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBW4",287,"54°41.21' N","166°13.81' W",1000,"Shannon Brown","Stored in fridge for ~2 hours before filtering","4/24/2023 22:34",NA,"2023/04/24 22:34:00",NA,"2023-04-24 14:34:00","54 41.21",54.6868333333333,"166 13.81",-166.230166666667,"10","1"
"E1724.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/24/2023",NA,"22:34",NA,NA,10,7,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBW4",40,"54°41.21' N","166°13.81' W",1000,"Shannon Brown","Stored in fridge for ~2 hours before filtering","4/24/2023 22:34",NA,"2023/04/24 22:34:00",NA,"2023-04-24 14:34:00","54 41.21",54.6868333333333,"166 13.81",-166.230166666667,"10","7"
"E1725.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/24/2023",NA,"22:34",NA,NA,10,9,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBW4",10,"54°41.21' N","166°13.81' W",1000,"Shannon Brown","Stored in fridge for ~2 hours before filtering","4/24/2023 22:34",NA,"2023/04/24 22:34:00",NA,"2023-04-24 14:34:00","54 41.21",54.6868333333333,"166 13.81",-166.230166666667,"10","9"
"E1726.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring","4/25/2023",NA,"6:00",NA,NA,14,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","UBN4",121,"54°56.11' N","165°28.95' W",1000,"Shannon Brown","","4/25/2023 6:00",NA,"2023/04/25 06:00:00",NA,"2023-04-24 22:00:00","54 56.11",54.9351666666667,"165 28.95",-165.4825,"14","1"
