Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1739.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,0:05,NA,NA,24,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 2,30,58°20.05' N,169°57.60' W,1000,Shannon Brown,
E1740.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,0:05,NA,NA,24,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 2,10,58°20.05' N,169°57.60' W,1000,Shannon Brown,
E1741.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,22:56,NA,NA,23,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 1,65,58°19.67' N,169°51.10' W,1000,Shannon Brown,
E1742.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,22:56,NA,NA,23,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 1,30,58°19.67' N,169°51.10' W,1000,Shannon Brown,
E1743.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,22:56,NA,NA,23,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 1,10,58°19.67' N,169°51.10' W,1000,Shannon Brown,
E1744.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,17:08,NA,NA,22,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 2,65,58°19.43' N,169°42.17' W,1000,Shannon Brown,
E1745.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,17:08,NA,NA,22,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 2,30,58°19.43' N,169°42.17' W,1000,Shannon Brown,
E1746.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,17:08,NA,NA,22,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 2,10,58°19.43' N,169°42.17' W,1000,Shannon Brown,
E1747.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,19:46,NA,NA,21,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,65,58°16.73' N,169°43.24' W,1000,Shannon Brown,
E1748.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,19:46,NA,NA,21,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,30,58°16.73' N,169°43.24' W,1000,Shannon Brown,
E1749.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/26/2023,NA,19:46,NA,NA,21,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,10,58°16.73' N,169°43.24' W,1000,Shannon Brown,
E1750.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,5:41,NA,NA,27,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,64,58°02.70' N,169°40.85' W,1000,Shannon Brown,
E1751.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,5:41,NA,NA,27,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,30,58°02.70' N,169°40.85' W,1000,Shannon Brown,
E1752.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,5:41,NA,NA,27,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,10,58°02.70' N,169°40.85' W,1000,Shannon Brown,
E1753.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,8:16,NA,NA,29,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,62,57°55.79' N,169°19.96' W,1000,Shannon Brown,
E1754.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,8:16,NA,NA,29,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,30,57°55.79' N,169°19.96' W,1000,Shannon Brown,
E1755.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,8:16,NA,NA,29,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,10,57°55.79' N,169°19.96' W,1000,Shannon Brown,
E1756.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,17:25,NA,NA,32,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,66,57°51.25' N,168°54.18' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
