bottle,oxy_concM_ch1 (ml/l),oxy_percentsat_ch1 (percent),oxy_conc_ch1 (micromole/kg),salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1,sigma_t_ch2,chlor_fluorescence (ugrams/l),temperature_ch1 (degree_C),temperature_ch2 (degree_C),turbidity (NTU),pressure (decibar),latitude (degrees_north),longitude (degrees_east),time (UTC),profile_id
1.0,8.7849,117.942,382.652,31.8459,31.848,25.3029,25.3046,2.3597,3.7358,3.7355,0.547,NaN,54.836166666666664,-158.98283333333333,2023-04-23T06:33:00Z,DY2306c001_btl
1.0,9.1212,123.109,397.379,31.6185,31.6213,25.0955,25.0978,3.5992,4.0161,4.0159,0.7474,52.831,54.43866666666667,-164.98333333333332,2023-04-24T03:12:00Z,DY2306c003_btl
2.0,9.12,123.087,397.327,31.6201,31.6229,25.0971,25.0994,3.6503,4.0135,4.0132,0.6667,40.766,54.43866666666667,-164.98333333333332,2023-04-24T03:12:00Z,DY2306c003_btl
3.0,9.127,123.181,397.631,31.6189,31.6218,25.0961,25.0984,4.1364,4.0139,4.0139,0.6403,30.255,54.43866666666667,-164.98333333333332,2023-04-24T03:12:00Z,DY2306c003_btl
4.0,9.136,123.299,398.026,31.6194,31.6224,25.0966,25.099,3.4322,4.0123,4.0123,0.6537,19.51,54.43866666666667,-164.98333333333332,2023-04-24T03:12:00Z,DY2306c003_btl
5.0,9.1376,123.33,398.094,31.6176,31.6204,25.0948,25.097,3.9749,4.0164,4.0164,0.7663,10.045,54.43866666666667,-164.98333333333332,2023-04-24T03:12:00Z,DY2306c003_btl
7.0,8.6595,116.863,377.264,31.6187,31.6216,25.0962,25.0985,3.9732,4.0111,4.0113,0.6816,2.096,54.43866666666667,-164.98333333333332,2023-04-24T03:12:00Z,DY2306c003_btl
1.0,7.3127,99.448,318.349,32.5947,32.5971,25.8677,25.8695,0.3252,4.0554,4.0554,0.4115,135.51,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
2.0,7.5048,101.964,326.742,32.4875,32.491,25.7833,25.7861,0.461,4.0461,4.0462,0.2535,102.213,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
3.0,8.1927,111.038,356.801,32.0906,32.09,25.4669,25.4664,1.4111,4.0556,4.0558,0.3432,76.251,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
4.0,8.2497,111.798,359.289,32.07,32.0737,25.4504,25.4534,1.8186,4.0568,4.0568,0.3068,49.63,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
5.0,8.318,112.717,362.267,32.0471,32.0503,25.4318,25.4344,1.9588,4.0612,4.0612,0.3373,40.873,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
7.0,8.338,112.965,363.146,32.0308,32.0351,25.4193,25.4227,1.9902,4.0567,4.0572,0.3467,29.952,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
8.0,8.4229,114.021,366.856,31.9735,31.9775,25.3754,25.3786,1.9324,4.0392,4.0397,0.3373,20.228,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
9.0,8.4738,114.614,369.086,31.9253,31.9286,25.3392,25.3419,1.8185,4.0181,4.0183,0.3497,9.95,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
10.0,8.0067,108.265,348.746,31.912,31.9154,25.3294,25.3322,2.1402,4.0099,4.0094,0.4005,1.865,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,DY2306c004_btl
1.0,6.8953,94.003,300.132,32.8013,32.8049,26.0275,26.0303,0.4288,4.0997,4.0999,0.2142,162.056,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
2.0,7.6299,103.732,332.161,32.587,32.5888,25.8625,25.8639,0.9491,4.0457,4.0454,0.243,101.086,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
3.0,7.8911,107.226,343.554,32.5094,32.5123,25.8008,25.8031,1.5619,4.0454,4.0456,0.2281,75.939,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
4.0,7.9223,107.643,344.913,32.4992,32.5024,25.7927,25.7952,1.5085,4.0456,4.0458,0.253,50.908,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
5.0,7.9518,108.024,346.201,32.4869,32.49,25.7834,25.7858,1.4497,4.0414,4.0418,0.2859,40.678,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
7.0,7.9914,108.543,347.927,32.4724,32.4766,25.7721,25.7754,1.5486,4.0385,4.0386,0.253,31.314,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
8.0,8.2953,112.711,361.19,32.3718,32.373,25.688,25.6889,2.3921,4.0809,4.0811,0.3004,20.455,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
9.0,8.4636,114.849,368.596,32.0999,32.1028,25.4697,25.472,1.9182,4.1031,4.103,0.2874,9.749,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
10.0,7.9898,108.242,347.973,32.0564,32.0591,25.4405,25.4427,2.1749,4.048,4.0474,0.3338,2.091,54.379333333333335,-165.27733333333333,2023-04-24T10:33:00Z,DY2306c005_btl
1.0,6.4464,88.148,280.56,32.9731,32.9627,26.1563,26.1484,0.164,4.1757,4.1721,0.1937,154.134,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
2.0,6.8283,93.173,297.209,32.8369,32.8394,26.0531,26.055,0.2833,4.1264,4.1268,0.1549,101.065,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
3.0,7.0747,96.485,307.957,32.7317,32.7346,25.9686,25.971,0.7433,4.1345,4.1346,0.2046,75.686,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
4.0,7.5436,102.75,328.408,32.5843,32.5882,25.8527,25.8557,1.0747,4.1232,4.1233,0.2256,50.613,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
5.0,7.6094,103.632,331.277,32.5692,32.5725,25.8408,25.8434,1.06,4.1216,4.1217,0.2096,40.547,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
7.0,7.7306,105.236,336.558,32.5384,32.5413,25.8172,25.8195,1.1796,4.1125,4.1126,0.2161,30.597,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
8.0,7.9403,108.089,345.702,32.497,32.5003,25.7833,25.7859,1.5499,4.1227,4.1227,0.2421,20.704,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
9.0,8.219,111.855,357.853,32.4226,32.4284,25.7231,25.7278,2.5422,4.1336,4.1325,0.2994,9.908,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
10.0,8.0712,109.853,351.442,32.3515,32.3587,25.6643,25.6702,2.8195,4.1564,4.1557,0.3612,2.177,54.34016666666667,-165.43166666666667,2023-04-24T11:49:00Z,DY2306c006_btl
1.0,2.7831,38.216,121.062,33.6372,33.638,26.6853,26.6856,0.0277,4.1642,4.1679,0.0811,471.772,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
2.0,4.6199,63.546,201.006,33.3603,33.3631,26.4499,26.4518,0.0337,4.3123,4.3155,0.0696,302.354,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
3.0,6.8177,93.059,296.748,32.8322,32.8354,26.0478,26.0503,0.1116,4.1416,4.1419,0.103,100.616,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
4.0,7.426,101.034,323.257,32.6982,32.7003,25.9509,25.9528,0.1909,4.045,4.0434,0.116,76.84,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
5.0,8.2254,111.064,358.108,32.4697,32.4729,25.7934,25.7959,0.4007,3.7971,3.797,0.106,50.962,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
7.0,8.335,112.486,362.891,32.4343,32.437,25.7663,25.7684,0.759,3.7856,3.7859,0.1563,40.824,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
8.0,8.5335,115.319,371.546,32.393,32.3962,25.7271,25.7296,1.078,3.8519,3.8524,0.1718,30.392,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
9.0,8.8326,119.512,384.589,32.3304,32.3333,25.6706,25.6729,1.9484,3.9214,3.9218,0.2526,18.046,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
10.0,9.4735,129.471,412.515,32.3231,32.3262,25.6238,25.6264,6.1454,4.3348,4.3338,0.5047,10.404,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
11.0,8.9188,121.916,388.361,32.3241,32.3271,25.6237,25.6261,5.2201,4.3433,4.3434,0.4943,2.009,54.360166666666665,-165.93166666666667,2023-04-24T14:44:00Z,DY2306c007_btl
1.0,1.3868,18.951,60.312,33.8542,33.8531,26.8842,26.8832,0.0272,3.9057,3.9073,0.0696,507.084,54.47516666666667,-166.03666666666666,2023-04-24T17:20:00Z,DY2306c008_btl
2.0,3.9816,54.877,173.232,33.4116,33.4145,26.4835,26.4858,0.0279,4.3805,4.3806,0.0816,302.83,54.47516666666667,-166.03666666666666,2023-04-24T17:20:00Z,DY2306c008_btl
3.0,6.1804,84.695,268.958,33.0929,33.095,26.2458,26.2474,0.0486,4.232,4.2326,0.107,202.071,54.47516666666667,-166.03666666666666,2023-04-24T17:20:00Z,DY2306c008_btl
4.0,7.2203,98.383,314.305,32.6865,32.6893,25.9351,25.9373,0.1221,4.1105,4.1107,0.1189,101.647,54.47516666666667,-166.03666666666666,2023-04-24T17:20:00Z,DY2306c008_btl
5.0,7.5594,103.12,329.093,32.6061,32.609,25.8644,25.8667,0.1772,4.179,4.1794,0.1314,75.823,54.47516666666667,-166.03666666666666,2023-04-24T17:20:00Z,DY2306c008_btl
6.0,8.2466,111.83,359.04,32.4689,32.4719,25.7757,25.7779,0.5402,3.9735,3.9753,0.1553,50.418,54.47516666666667,-166.03666666666666,2023-04-24T17:20:00Z,DY2306c008_btl
7.0,8.2704,112.19,360.077,32.458,32.4604,25.7654,25.7674,0.6504,3.9904,3.9892,0.1563,40.806,54.47516666666667,-166.03666666666666,2023-04-24T17:20:00Z,DY2306c008_btl
