time (UTC),pressure,latitude (degrees_north),longitude (degrees_east),BTLID,salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1 (kg m-3),sigma_t_ch2 (kg m-3),chlor_fluorescence (ugrams/l),par (umol m-2 s-1),temperature_ch1 (degree_C),oxy_percentsat_ch1 (percent),oxy_percentsat_ch2 (percent),oxy_conc_ch1 (umol/kg),oxy_conc_ch2 (umol/kg),temperature_ch2 (degree_C),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id,SI (uM/l),PO4 (uM/l),NO2 (uM/l),NO3 (uM/l),NH4 (uM/l),PO4_WOCE_FLAG,SI_WOCE_FLAG,NO3_WOCE_FLAG,NO2_WOCE_FLAG,NH4_WOCE_FLAG
2022-09-21T05:10:00Z,1,64.00383,-163.06616,NaN,31.5963,31.5947,24.782082,24.780745,1.8156,NaN,6.6633,97.55638,97.326355,295.81714,295.119,6.6639,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-21T05:10:00Z,2,64.00383,-163.06616,NaN,31.5963,31.5947,24.782082,24.780745,1.8156,NaN,6.6633,97.55638,97.326355,295.81714,295.119,6.6639,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-21T05:10:00Z,3,64.00383,-163.06616,4,31.5963,31.5947,24.782082,24.780745,1.8156,NaN,6.6633,97.55638,97.326355,295.81714,295.119,6.6639,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,2,2,2,2,2
2022-09-21T05:10:00Z,3,64.00383,-163.06616,5,31.5963,31.5947,24.782082,24.780745,1.8156,NaN,6.6633,97.55638,97.326355,295.81714,295.119,6.6639,38,1012,213,12.8,4.9,M14,dy2209c001,9.1,1.002,0.04,0.4,0.64,2,2,2,2,2
2022-09-21T05:10:00Z,3,64.00383,-163.06616,6,31.5963,31.5947,24.782082,24.780745,1.8156,NaN,6.6633,97.55638,97.326355,295.81714,295.119,6.6639,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,2,2,2,2,2
2022-09-21T05:10:00Z,4,64.00383,-163.06616,NaN,31.5963,31.5947,24.782082,24.780745,1.8156,NaN,6.6633,97.55639,97.326355,295.81714,295.119,6.6639,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-21T05:10:00Z,5,64.00383,-163.06616,NaN,31.5963,31.5947,24.782082,24.780745,1.8156,2.7162,6.6633,97.55639,97.326355,295.81714,295.119,6.6639,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-21T05:10:00Z,6,64.00383,-163.06616,NaN,31.5975,31.5965,24.783434,24.782864,1.3962,1.9105,6.6601,97.3855,97.31858,295.31818,295.129,6.6584,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-21T05:10:00Z,7,64.00383,-163.06616,NaN,31.5994,31.5973,24.78483,24.783188,1.478,1.3327,6.6609,97.33849,97.36544,295.16602,295.253,6.6608,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-21T05:10:00Z,8,64.00383,-163.06616,NaN,31.5992,31.5986,24.784506,24.784441,1.5651,0.93563,6.6622,97.41419,97.36562,295.38715,295.263,6.659,38,1012,213,12.8,4.9,M14,dy2209c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
