ASVs_new	ASVs_original
ASV_179	ASV_190;ASV_161
ASV_180	ASV_150;ASV_207
ASV_181	ASV_182;ASV_169
ASV_182	ASV_107;ASV_494
ASV_183	ASV_164;ASV_196
ASV_184	ASV_179;ASV_179
ASV_185	ASV_149;ASV_220
ASV_186	ASV_416;ASV_121
ASV_187	ASV_166;ASV_199
ASV_188	ASV_382;ASV_130
ASV_189	ASV_205;ASV_164
ASV_190	ASV_281;ASV_140
ASV_191	ASV_202;ASV_174
ASV_192	ASV_459;ASV_126
ASV_193	ASV_194;ASV_186
ASV_194	ASV_287;ASV_146
ASV_195	ASV_548;ASV_125
ASV_196	NA;ASV_115
ASV_197	ASV_129;ASV_324
ASV_198	ASV_329;ASV_141
ASV_199	ASV_582;ASV_127
ASV_200	ASV_180;ASV_211
ASV_201	ASV_428;ASV_136
ASV_202	ASV_225;ASV_178
ASV_203	ASV_279;ASV_154
ASV_204	ASV_184;ASV_215
ASV_205	ASV_135;ASV_318
ASV_206	ASV_2626;ASV_122
ASV_207	ASV_154;ASV_264
ASV_208	ASV_144;ASV_289
ASV_209	ASV_212;ASV_198
ASV_210	ASV_140;ASV_314
ASV_211	ASV_187;ASV_225
ASV_212	NA;ASV_124
ASV_213	ASV_213;ASV_200
ASV_214	ASV_109;NA
ASV_215	ASV_211;ASV_205
ASV_216	NA;ASV_128
ASV_217	ASV_275;ASV_183
ASV_218	NA;ASV_134
ASV_219	ASV_176;ASV_258
ASV_220	ASV_162;ASV_280
ASV_221	ASV_157;ASV_308
ASV_222	ASV_152;ASV_329
ASV_223	NA;ASV_135
ASV_224	ASV_195;ASV_230
ASV_225	ASV_218;ASV_214
ASV_226	ASV_130;ASV_459
ASV_227	ASV_178;ASV_259
ASV_228	ASV_199;ASV_229
ASV_229	ASV_181;ASV_256
ASV_230	ASV_285;ASV_190
ASV_231	ASV_280;ASV_193
ASV_232	ASV_163;ASV_312
ASV_233	ASV_168;ASV_305
ASV_234	ASV_185;ASV_262
ASV_235	ASV_246;ASV_212
ASV_236	ASV_204;ASV_238
ASV_237	ASV_196;ASV_252
ASV_238	ASV_210;ASV_234
ASV_239	ASV_201;ASV_249
ASV_240	ASV_165;ASV_339
ASV_241	ASV_169;ASV_335
ASV_242	ASV_175;ASV_313
ASV_243	ASV_216;ASV_250
ASV_244	ASV_170;ASV_364
ASV_245	ASV_233;ASV_240
ASV_246	ASV_240;ASV_236
ASV_247	ASV_291;ASV_218
ASV_248	ASV_193;ASV_292
ASV_249	ASV_244;ASV_245
ASV_250	ASV_245;ASV_235
ASV_251	ASV_313;ASV_216
ASV_252	ASV_410;ASV_194
ASV_253	ASV_174;ASV_363
ASV_254	ASV_222;ASV_266
ASV_255	ASV_207;ASV_293
ASV_256	NA;ASV_159
ASV_257	ASV_167;ASV_439
ASV_258	ASV_148;ASV_633
ASV_259	ASV_388;ASV_208
ASV_260	ASV_186;ASV_373
ASV_261	ASV_224;ASV_281
ASV_262	ASV_474;ASV_201
ASV_263	ASV_242;ASV_270
ASV_264	ASV_2226;ASV_166
ASV_265	ASV_217;ASV_304
ASV_266	ASV_531;ASV_197
ASV_267	ASV_688;ASV_188
ASV_268	ASV_243;ASV_275
ASV_269	ASV_219;ASV_303
ASV_270	ASV_495;ASV_210
ASV_271	ASV_264;ASV_269
ASV_272	NA;ASV_184
ASV_273	ASV_691;ASV_202
ASV_274	ASV_173;ASV_543
ASV_275	ASV_303;ASV_263
