% Cruise_CSN    Bottle        Date                PrDM      DepSM      T090C      T190C      C0S/m      C1S/m      C1S/m         V0         V1         V2         V3         V4         V5         V6         V7  FlECO-AFL   CStarAt0   CStarTr0        Par Sbox0Mm/Kg Sbox1Mm/Kg   Latitude  Longitude       Sal00      Sal11  Sigma-t00  Sigma-t11    
SKQ202312S_001      19    2023 09 14 13 51 51   10.093      9.996     7.7520     7.7538   3.205080   3.206004   3.206004     0.2309     3.9126     0.0131     0.0000     2.6512     2.6786     3.1489     0.0000     1.0370     0.7440    83.0258 2.2187e-04    288.282    276.775   62.19454 -174.67402     30.7790    30.7872    23.9952    24.0014  
SKQ202312S_001      20    2023 09 14 13 54 32    1.428      1.415     7.7518     7.7524   3.204715   3.205561   3.205561     0.2119     3.9113     0.6436     0.0000     2.6520     2.6908     3.5580     0.0000     0.9237     0.7454    82.9983 4.0114e-01    287.822    278.066   62.19454 -174.67400     30.7791    30.7876    23.9953    24.0019  
SKQ202312S_001      21    2023 09 14 13 54 56    1.227      1.215     7.7480     7.7491   3.204388   3.205292   3.205292     0.2154     3.9114     0.7319     0.0000     2.6522     2.6871     3.5525     0.0000     0.9444     0.7453    83.0009 5.1152e-01    288.083    277.481   62.19454 -174.67400     30.7791    30.7877    23.9958    24.0024  
SKQ202312S_001      22    2023 09 14 13 55 02    1.146      1.135     7.7499     7.7516   3.204524   3.205479   3.205479     0.2054     3.9133     0.7333     0.0000     2.6521     2.6880     3.5852     0.0000     0.8841     0.7433    83.0422 5.1660e-01    287.980    277.776   62.19454 -174.67400     30.7789    30.7876    23.9954    24.0020  
SKQ202312S_001      23    2023 09 14 13 55 11    1.439      1.425     7.7465     7.7486   3.204276   3.205264   3.205264     0.2106     3.9124     0.7487     0.0000     2.6519     2.6897     3.5957     0.0000     0.9158     0.7442    83.0226 5.4305e-01    287.970    277.832   62.19454 -174.67400     30.7791    30.7877    23.9960    24.0025  
SKQ202312S_002       1    2023 09 15 05 31 41   74.207     73.483    -0.7691    -0.7691   2.615360   2.616069   2.616069     0.0687     3.5480     0.0127     0.0000     1.9689     1.9878     0.5846     0.0000     0.0644     1.1355    75.2864 3.4577e-06    250.053    240.087   62.00980 -175.06118     31.9484    31.9579    25.6731    25.6808  
SKQ202312S_002       2    2023 09 15 05 31 50   74.154     73.430    -0.7696    -0.7689   2.615255   2.616072   2.616072     0.0702     3.5524     0.0127     0.0000     1.9689     1.9869     0.2492     0.0000     0.0733     1.1305    75.3795 3.8035e-06    250.057    239.987   62.00980 -175.06118     31.9476    31.9578    25.6725    25.6807  
SKQ202312S_002       3    2023 09 15 05 31 59   74.126     73.402    -0.7701    -0.7687   2.615233   2.616119   2.616119     0.0689     3.5507     0.0129     0.0000     1.9696     1.9855     0.2504     0.0000     0.0656     1.1324    75.3446 3.7918e-05    250.475    238.908   62.00980 -175.06118     31.9478    31.9582    25.6726    25.6810  
SKQ202312S_002       4    2023 09 15 05 34 44   50.762     50.269    -1.4489    -1.4470   2.542715   2.543586   2.543586     0.0684     3.9638     0.0438     0.0000     2.0829     2.1051     1.4369     0.0000     0.0621     0.6921    84.1133 8.6813e-03    274.989    263.882   62.00980 -175.06120     31.6984    31.7083    25.4896    25.4976  
SKQ202312S_002       5    2023 09 15 05 34 53   50.604     50.112    -1.4454    -1.4437   2.542919   2.543807   2.543807     0.0797     3.9767     0.0321     0.0000     2.0830     2.1049     1.4437     0.0000     0.1304     0.6790    84.3873 5.3311e-03    274.965    263.712   62.00980 -175.06118     31.6976    31.7079    25.4889    25.4972  
SKQ202312S_002       6    2023 09 15 05 37 13   40.801     40.406    -1.3594    -1.3582   2.545850   2.546686   2.546686     0.0661     4.0222     0.1988     0.0000     2.0736     2.0925     1.9344     0.0000     0.0487     0.6335    85.3526 6.3212e-02    272.435    260.255   62.00980 -175.06100     31.6521    31.6623    25.4500    25.4582  
SKQ202312S_002       7    2023 09 15 05 37 23   40.804     40.409    -1.3593    -1.3579   2.545747   2.546616   2.546616     0.0608     4.0128     0.2078     0.0000     2.0733     2.0943     1.9406     0.0000     0.0169     0.6429    85.1527 6.7045e-02    272.247    261.456   62.00980 -175.06100     31.6506    31.6611    25.4488    25.4572  
SKQ202312S_002       8    2023 09 15 05 39 28   30.730     30.433    -1.1034    -1.1017   2.552199   2.553223   2.553223     0.1442     4.2061     0.3941     0.0000     2.5295     2.5688     2.4492     0.0000     0.5171     0.4547    89.2556 1.6641e-01    349.237    336.168   62.00980 -175.06097     31.4743    31.4864    25.2993    25.3090  
SKQ202312S_002       9    2023 09 15 05 39 40   30.600     30.305    -1.1037    -1.1020   2.552021   2.552917   2.552917     0.1579     4.2099     0.4008     0.0000     2.5282     2.5608     2.4566     0.0000     0.5993     0.4511    89.3360 1.7087e-01    347.039    333.243   62.00980 -175.06098     31.4723    31.4826    25.2977    25.3060  
SKQ202312S_002      10    2023 09 15 05 39 51   30.604     30.309    -1.1017    -1.1008   2.552231   2.552904   2.552904     0.1613     4.1943     0.3825     0.0000     2.5246     2.5584     2.4626     0.0000     0.6201     0.4659    89.0059 1.5893e-01    346.362    332.332   62.00980 -175.06098     31.4730    31.4811    25.2982    25.3047  
