time (UTC),pressure,latitude (degrees_north),longitude (degrees_east),BTLID,salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1 (kg m-3),sigma_t_ch2 (kg m-3),chlor_fluorescence (ugrams/l),par (umol m-2 s-1),temperature_ch1 (degree_C),oxy_percentsat_ch1 (percent),oxy_conc_ch1 (umol/kg),oxy_conc_ch2 (umol/kg),temperature_ch2 (degree_C),transmissometry (percent),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id,SI (uM/l),PO4 (uM/l),NO2 (uM/l),NO3 (uM/l),NH4 (uM/l),PO4_WOCE_FLAG,SI_WOCE_FLAG,NO3_WOCE_FLAG,NO2_WOCE_FLAG,NH4_WOCE_FLAG
2023-09-14T13:19:49Z,17.0,62.19483,-174.67366,NaN,30.776,30.787,23.995539,24.004627,0.9071,1.0E-12,7.7323,99.94105,297.50708,299.08575,7.729,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,18.0,62.19483,-174.67366,NaN,30.7764,30.7868,23.9954,24.004086,0.949,1.0E-12,7.7356,92.317505,274.79175,290.51886,7.7318,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,19.0,62.19483,-174.67366,NaN,30.7769,30.7872,23.994211,24.002062,0.8606,1.0E-12,7.7471,96.586105,287.42163,262.789,7.7488,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,20.0,62.19483,-174.67366,15.0,30.7768,30.7872,23.995522,24.003464,0.9284,1.0E-12,7.737,107.353806,319.53763,296.55182,7.7386,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,3.2,0.767,0.03,1.8,0.54,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,21.0,62.19483,-174.67366,NaN,30.776,30.7871,23.996735,24.004307,0.8911,1.0E-12,7.7236,103.60824,308.48453,303.1179,7.7319,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,22.0,62.19483,-174.67366,NaN,30.7769,30.7867,23.998484,24.007412,0.9311,1.0E-12,7.716,100.934875,300.57468,302.51297,7.707,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,23.0,62.19483,-174.67366,NaN,30.9834,31.1631,24.738338,24.877537,0.9954,1.0E-12,2.2372,100.92579,342.0758,345.27026,2.2995,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,24.0,62.19483,-174.67366,NaN,31.2639,31.3326,25.121725,25.176987,2.057,1.0E-12,-0.8535,100.65667,368.83154,371.93716,-0.8419,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,25.0,62.19483,-174.67366,NaN,31.3205,31.3633,25.178047,25.212696,1.8195,1.0E-12,-1.2373,100.67825,372.5601,375.04556,-1.2352,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,26.0,62.19483,-174.67366,NaN,31.357,31.3969,25.208567,25.240898,1.0583,1.0E-12,-1.2752,101.07062,374.28607,378.53043,-1.2742,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,27.0,62.19483,-174.67366,NaN,31.3921,31.4266,25.237143,25.265085,0.6099,1.0E-12,-1.2798,101.438896,375.59247,380.52692,-1.2784,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,28.0,62.19483,-174.67366,NaN,31.4327,31.4611,25.27019,25.293177,0.4676,4.0839E-7,-1.2848,99.74893,369.26666,373.10132,-1.283,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,29.0,62.19483,-174.67366,NaN,31.4691,31.4948,25.299444,25.320257,0.4157,2.9103E-7,-1.274,99.19194,366.99265,370.6174,-1.2729,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,30.0,62.19483,-174.67366,NaN,31.4995,31.5237,25.323685,25.343279,0.3901,2.3277E-7,-1.2574,98.53711,364.31976,368.18356,-1.2562,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,31.0,62.19483,-174.67366,11.0,31.5393,31.5626,25.355864,25.374733,0.4452,4.4291E-7,-1.2536,97.57314,360.6057,364.8173,-1.2526,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,19.5,1.558,0.09,9.7,2.48,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,32.0,62.19483,-174.67366,NaN,31.5772,31.5988,25.387318,25.4048,0.4533,1.9725E-7,-1.2824,96.78728,357.8717,362.22675,-1.281,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
