x	C2	CA42	CANS	CE42	CENS	CEO	CL42	CLNS	CR13	CR24	CR3	CapeElizabeth	ChaBa	DBO1.1	DBO1.10	DBO1.2	DBO1.3	DBO1.4	DBO1.5	DBO1.6	DBO1.7	DBO1.8	DBO1.9	DBO2.1	DBO2.2	DBO2.3	DBO2.4	DBO2.5	DBO3.1	DBO3.2	DBO3.3	DBO3.4	DBO3.5	DBO3.6	DBO3.7	DBO3.8	DBO4.1	DBO4.2	DBO4.3	DBO4.4	DBO4.5	DBO4.6	HH20	M8	MB42	NH10	Sokul	TH42	THNS	TeahwhiteHead
ASV_1	22.8244207727803	0.533518392473078	0.779738500824632	2.59678537744385	3.4665990697979	1.20245333658257	3.71807134403294	3.17516392064993	11.6036365644922	18.7318565033291	5.15278063566605	0.192613310207272	9.71621778842938	37.19887344375	4.12646143167737	36.0950730716198	34.0295437155039	8.55508422318815	4.87890671025381	5.58975013462763	7.39836172591195	6.31046928611071	8.09823518066869	16.6308651490626	16.0189543012142	12.3468872842313	11.3967012586502	20.6779047253971	20.9825087286095	23.6975445695343	24.1533673160412	24.8037229805844	15.6055888130153	9.89154536848837	8.45965615353324	11.6933498007742	16.5896541212201	9.02541811224254	3.7112775601507	1.48495932750222	1.46661021735593	3.00593597649593	16.4994267192791	19.1467932637874	0.930717331171958	8.1172747547559	3.4130124519324	0.373543918873863	3.84038568055001	10.524231349903
ASV_10	0.918732914062591	2.00950817641313	0.0261184952584991	0.23682921900957	0.429525614073569	0.581026322652645	0.663216206911487	0.399923593846061	0.421829443981276	0.40665933814167	0.115547896547505	0.936922800359308	2.20979429397977	1.61493857691685	0.466025003009207	1.63184492129607	1.43710112461582	0.967111725398301	0.550281713183623	0.50315215167895	0.346775086272367	0.394666632262677	0.72034491455336	0.8482320427949	0.883884649681269	1.11810856295469	0.611391015905763	0.941768420906098	0.569132237853419	1.14418333654452	1.19274194865324	1.07506643269608	0.719953955201926	1.82182212148595	0.785990419003899	1.57432867238226	1.25175536448952	1.21737457021751	0.668472862207986	0.920361133544906	0.388801483678573	0.792771670627476	0.914969502530343	1.10794019383	0.122031862540749	7.10785635956332	4.9160563533283	0.30597205305767	0.332111138124767	3.21898145064405
ASV_100	2.18318224430049	0.0577255733946171	0.045620451441651	0.996893642084695	0.11262512847576	4.15123963380277	0.203622107032808	0.17183773139772	1.2622671439701	1.03408554910926	0.026925864102453	0.789228033015325	1.45929932567988	1.68205563819756	2.87171352325786	2.20007832010303	1.18383841630314	1.43019914171768	1.50869541587005	1.73096187118214	1.49516918551763	3.09117317117113	3.28226384459604	3.97009887841415	2.29825729886889	2.47027138318993	4.55191336150171	3.21467313032703	15.3469478332866	12.059101674965	13.9506091580427	12.320642720895	9.7482774900959	8.83022894406739	5.51988906183174	3.37740750470731	3.01398266403648	3.30279518405842	1.50348226059337	2.11964920370092	1.87195243612956	3.43306155539306	3.52323833948726	1.25809889590328	0.0152139661602329	1.77017927083867	0.773300821616585	0.00527965933863472	0.0591765563119003	3.42530709330629
ASV_1000	0.443296738041495	1.51465419856887	0.417679915044733	0.848218724741247	0.844883370601497	0.47739309345763	1.0480657148565	0.691913826461597	0.477669404611803	0.521417646966218	0.0385612185848057	0.0842496628938552	0.288880242785962	0.466110424898994	1.24416408564421	0.757757971985833	0.140957511616836	0.966178785696491	0.666743079709335	0.774995710854349	0.583223159940965	2.83593862552297	0.49745934282048	1.01681177376728	0.25431137774412	0.62135243628119	0.601227059616042	0.281945092123834	0.175750330022631	0.291402188923197	0.283319055508537	0.417224467095655	0.151566146784953	0.276732306445614	0.296737922775174	0.0972585693232844	0.365462181057647	0.595977613024158	0.800661652021458	0.435979842278476	0.314399004729812	1.27086253049416	1.04249684142481	0.389470663761893	0.402585163410266	0.491323468007838	0.0452322316747655	1.77374134559219	1.37448596637974	0.646328409432397
ASV_10000	0.0816861701217972	0.0851386509281044	0.0495868831808437	0.0293484696935889	0.128980846534112	0.223278495785846	0.084046197715746	0.036720484589896	0.0722665478693851	0.0375769167669828	0	0.189164380711966	0.275343947755716	0.275631741344172	0.559638004171173	0.196343401246312	0.0969888010043432	0.129086275556559	0.31220557536347	0.232115011847564	0.174369956875618	0.953436177164124	0.372155369350935	0.16659533418476	0.0923418942476749	0.359937824674855	0.124303662787042	0.142758230168726	0.0752238052290676	0.306289816077924	0.329101781401217	0.702003673252255	0.295669151755735	0.764527496924286	0.431122036285193	0.487394493406898	0.0798357230000486	0.501359463858035	0.254500851853663	0.141572925768946	0.116196335248844	0.0840225660074376	0.0542536241893159	0.314884959130062	0.017041015692195	0.440929968581518	0.221031509451814	0.000335283566076009	0.0659789635525376	0.569007005746419
ASV_10001	0.861230600825949	0	0	0	0	3.73282203531182	0	0	0	0.000154733450999527	0.0148290719649418	0	0.0195323748305858	0	0	0	0.133139330309169	0.135813223890916	2.76797645218698	3.68158753854621	6.91277406217635	0.81422767692264	0	2.51739000509964	0	0.520671806272581	4.34728779854625	2.37880023168122	0	0.364615640649349	0.292986653141296	2.9147265055236	19.167794622035	6.01989172498287	2.11718009431593	0.669531056507456	1.89112898004636	0	0	1.10071142192707	1.15475235038639	5.30947248883214	0	0.275965504311961	0	0.0315970612139379	0.0239650415879329	0	0.000403632694248234	0.0203229909378825
ASV_10002	0.30627621028436	0	0	0	0	0	0	0	0	0	0	0	4.30846915782353e-05	0.780598153810807	2.79301297121242	1.56114633424406	1.66466700885877	0.221114890264967	3.21167752238436	9.32266981208588	19.7953709714908	6.88411920674861	15.4214629370094	0.409557095964424	0.206967397434976	0.0825880848463309	0.750097903644611	0.188313819033665	0.0603430839826409	0.122936472125383	0.0591226042096314	0.0562569554939227	0.0140335120267198	0.00938055959890021	0.0261939895851239	0.371277697489433	0.139024834064604	0.093367513568636	0	0.00987271335263224	0.0119299673658731	0.0135198128439631	0	0.956831466613467	0	0	0	0	0	4.69633631324312e-05
ASV_10003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203546819183017	0	0	0.00623669134614528	0.00282247622800673	0	0.0579955721641426	0	0	0	0	0	0	0.0628002434318714	0.00282584660598161	0	0	0	0	0	0	0	0	0.000284576791624336	0	0	6.34926762760525e-05
ASV_10004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241916342590057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179506261546938
ASV_10006	0.00136101640705279	0	0	0	0	0.12896911790929	0	0	0.0164800012689414	0.0176422960939199	0.002497107517126	0.12746910482416	0.03202070452155	0.00783408825456514	0.0225742000478438	0.0233469991173615	0	0.00431877904794177	0.00666174488817061	0.00452376105494108	0.0450553244275926	0.0181823347254183	0.00813504169208867	0.0042053070646041	0.00226431969929834	0.016790608802429	0.0302773860067018	0.0189824251249958	0	0.0125004138324492	0.00167782419758058	0.00691196890151731	0.0207871098085182	0.279839194111262	0.0766282261852317	0.611725296868525	0.0038884066614482	0.0179131264535138	0.0320392598149537	0.000876420348727657	0.00305048997659356	0.00181285038998944	0.0144418528342201	0.000999875015623047	0	0.0436856955550703	0.00866055163345048	0	0	0.120870340725683
