Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1084.SKQ2021	68.25066667	-167.12175	E1084.SKQ2021	DBO3.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.9
E1085.SKQ2021	68.19051667	-167.2911667	E1085.SKQ2021	DBO3.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43
E1086.SKQ2021	68.19051667	-167.2911667	E1086.SKQ2021	DBO3.3	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1087.SKQ2021	68.19051667	-167.2911667	E1087.SKQ2021	DBO3.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.6
E1088.SKQ2021	68.11666667	-167.4833333	E1088.SKQ2021	DBO3.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45
E1089.SKQ2021	68.11666667	-167.4833333	E1089.SKQ2021	DBO3.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1090.SKQ2021	68.11666667	-167.4833333	E1090.SKQ2021	DBO3.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1091.SKQ2021	68.013	-167.8853333	E1091.SKQ2021	DBO3.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	48.5
E1092.SKQ2021	68.013	-167.8853333	E1092.SKQ2021	DBO3.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
E1093.SKQ2021	68.013	-167.8853333	E1093.SKQ2021	DBO3.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
E1094.SKQ2021	68.88333333	-167.2166667	E1094.SKQ2021	DBO3.6	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	52.7
E1095.SKQ2021	68.88333333	-167.2166667	E1095.SKQ2021	DBO3.6	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.3
E1096.SKQ2021	68.88333333	-167.2166667	E1096.SKQ2021	DBO3.6	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.3
E1097.SKQ2021	67.78283333	-168.5949667	E1097.SKQ2021	DBO3.7	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45
