pressure,chlor_fluorescence (ugrams/l),temperature_ch1 (degree_C),temperature_ch2 (degree_C),par (uEin*m-2*s-1),turbidity (NTU),salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1,sigma_t_ch2,oxy_concM_ch1 (ml/l),oxy_conc_ch1 (micromole/kg),oxy_percentsat_ch1 (percent),oxy_concM_ch2 (ml/l),oxy_conc_ch2 (micromole/kg),oxy_percentsat_ch2 (percent),latitude (degrees_north),longitude (degrees_east),time (UTC),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id
10.0,8.2734,2.7684,2.7682,0.28311,0.7014,32.1351,32.1348,NaN,NaN,9.678751861407692,421.456212,127.12045905435212,9.648493503916521,420.1387189999999,126.72215534107498,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
11.0,8.0942,2.7664,2.7661,0.28345,0.7575,32.1397,32.1393,NaN,NaN,9.629646857288483,419.31639,126.47318496661195,9.631494800474938,419.396978,126.49616397779255,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
12.0,8.0654,2.7626,2.7619,0.28358,0.7712,32.147,32.1467,NaN,NaN,9.584616131921377,417.353058,125.87611843136779,9.571324441357929,416.77435799999995,125.69910616103435,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
13.0,7.7627,2.7235,2.7211,0.28356,0.7522,32.1889,32.1911,NaN,NaN,9.297569996923654,404.83943999999997,122.02225135103338,9.340485194089208,406.7073009999999,122.57998027789047,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
14.0,7.1103,2.6925,2.6918,0.28357,0.6853,32.2093,32.2089,NaN,NaN,9.096474967703156,396.075996,119.30740606985975,9.137938346364798,397.88148399999994,119.8488097569277,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
15.0,5.8008,2.6754,2.6749,0.28358,0.6727,32.2113,32.211,NaN,NaN,9.0018936427833,391.956624,118.01813664117142,9.04081179263562,393.6512579999999,118.52664558406269,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
16.0,5.2569,2.6648,2.6652,0.28357,0.6471,32.213,32.2128,NaN,NaN,8.902200046128875,387.61496999999997,116.68159484447538,8.941700382504218,389.334946,117.20033789479449,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
17.0,5.3213,2.6514,2.6514,0.28363,0.6733,32.2164,32.2158,NaN,NaN,8.821932050490451,384.11855999999995,115.59352521243899,8.842622629252595,385.01963499999994,115.86415794926673,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
18.0,4.8446,2.6481,2.6475,0.2836,0.6398,32.2176,32.2175,NaN,NaN,8.792604790360375,382.84115399999996,115.20070252562743,8.791439049983957,382.79040799999996,115.18362435657006,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
19.0,4.8782,2.647,2.6467,0.28359,0.6813,32.2198,32.2192,NaN,NaN,8.746652864335967,380.839662,114.59721629880725,8.753610204581067,381.14276199999995,114.68704048280622,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
20.0,4.813,2.6489,2.6486,0.2836,0.6676,32.2239,32.2239,NaN,NaN,8.698367193091668,378.736092,113.97318790880371,8.704373843767636,378.997619,114.05103758217248,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
21.0,4.7125,2.6483,2.6481,0.28362,0.6808,32.2272,32.2268,NaN,NaN,8.655160748829388,376.85384999999997,113.40792115648284,8.663586896532294,377.22084399999994,113.51745090714398,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
22.0,4.6096,2.6461,2.6453,0.28366,0.6894,32.228,32.228,NaN,NaN,8.60052305697244,374.47457399999996,112.68643296457843,8.621387517448225,375.38300799999996,112.95754816453956,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
23.0,4.7156,2.6387,2.6382,0.28363,0.6748,32.2297,32.2294,NaN,NaN,8.595916354472726,374.27328,112.60657102696352,8.590963100572667,374.057684,112.54004705999915,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
24.0,4.7486,2.6372,2.6369,0.28364,0.7309,32.2301,32.2297,NaN,NaN,8.59903136564548,374.40874799999995,112.64346558366209,8.578873318647453,373.53115799999995,112.3782547244632,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
25.0,4.3616,2.6338,2.6319,0.28365,0.7112,32.2301,32.23,NaN,NaN,8.560580783509955,372.73447799999997,112.13025719836136,8.562142040254498,372.80242999999996,112.14530800164609,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
26.0,4.5372,2.6276,2.6274,0.28366,0.783,32.2307,32.2301,NaN,NaN,8.546675795833043,372.128688,111.93124618231644,8.543018118782301,371.96959799999996,111.88232544681888,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
27.0,4.3804,2.6247,2.624,0.28365,0.7322,32.2307,32.2304,NaN,NaN,8.5342106854427,371.58586199999996,111.75990024730456,8.522584346527655,371.079709,111.60546656847524,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
28.0,4.5896,2.6222,2.6214,0.28366,0.7722,32.2309,32.2307,NaN,NaN,8.528736085926898,371.347362,111.68138468573349,8.511254048964894,370.586216,111.45008231164442,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
29.0,4.5299,2.6206,2.622,0.28366,0.7823,32.2307,32.2305,NaN,NaN,8.508490537005503,370.465866,111.4116688138666,8.495458254937118,369.89852899999994,111.24476070734461,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
30.0,4.8745,2.6146,2.6152,0.28366,0.7734,32.2315,32.231,NaN,NaN,8.476729566626993,369.082566,110.97975357075632,8.483235433759361,369.365997,111.06621553409401,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
31.0,4.9181,2.609,2.6073,0.28366,0.8227,32.2309,32.231,NaN,NaN,8.48005974258259,369.227574,111.00736248324901,8.469630611934233,368.7734049999999,110.86620674330925,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
32.0,5.147,2.6022,2.6024,0.28367,0.8486,32.2313,32.2313,NaN,NaN,8.473910041127638,368.9595,110.9083143020165,8.451726636398309,367.99362599999995,110.6185261803107,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
33.0,5.0182,2.6002,2.5998,0.28366,0.7884,32.2315,32.2312,NaN,NaN,8.470538487091742,368.812584,110.85879671164085,8.439359093855897,367.455088,110.44940319645842,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
34.0,4.7681,2.5983,2.5976,0.28367,0.8851,32.2315,32.2313,NaN,NaN,8.459737861457047,368.342262,110.71218493059965,8.438027808672736,367.3970299999999,110.42598333062581,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
35.0,4.7374,2.5966,2.5961,0.28365,0.832,32.2316,32.2314,NaN,NaN,8.442780886615887,367.603866,110.48565053137926,8.429592144999967,367.02966299999997,110.31152771415707,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
36.0,4.6906,2.5956,2.5951,0.28367,0.7455,32.2316,32.2315,NaN,NaN,8.432286410341021,367.1469,110.3455573353761,8.426765717894616,366.90654,110.27185948205403,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
37.0,4.5879,2.5954,2.595,0.28365,0.9134,32.2319,32.2316,NaN,NaN,8.427095738105821,366.920802,110.27730681021109,8.418811923376667,366.56019399999997,110.16757686421299,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
38.0,4.8208,2.5945,2.5935,0.28367,0.8722,32.2319,32.2316,NaN,NaN,8.425847458947027,366.866424,110.25849128455067,8.41660589609215,366.464098,110.13457945106342,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
39.0,4.7332,2.5916,2.5911,0.28367,0.8232,32.232,32.2316,NaN,NaN,8.437462662828663,367.372044,110.40255677927063,8.412745173371777,366.29592999999994,110.07745613459979,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
40.0,5.0424,2.5905,2.5901,0.28366,0.871,32.2322,32.2318,NaN,NaN,8.438143961516325,367.401618,110.408586438823,8.40642490966408,366.0206549999999,109.9921587974539,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
41.0,5.0892,2.5905,2.5899,0.28367,0.8797,32.2321,32.2318,NaN,NaN,8.428699871843909,366.99044399999997,110.28494014362357,8.408057368168913,366.09172599999994,110.01296832908294,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
42.0,5.1279,2.5903,2.5898,0.28366,0.8523,32.232,32.2318,NaN,NaN,8.419935142796998,366.608844,110.16963225578222,8.409482851030802,366.15378799999996,110.03134461034927,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
43.0,5.3378,2.5891,2.5886,0.28367,1.0975,32.2322,32.232,NaN,NaN,8.4163001140493,366.45047999999997,110.11891735805037,8.405047899405886,365.960595,109.97016824929979,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
44.0,5.1485,2.5876,2.5864,0.28366,0.91,32.2321,32.2319,NaN,NaN,8.407777249035915,366.079374,110.00320375986028,8.401761136935912,365.81745199999995,109.92104380504135,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
45.0,4.731,2.585,2.5846,0.28366,0.9275,32.2323,32.232,NaN,NaN,8.418516488882986,366.546834,110.13670211306157,8.396084454949307,365.57020499999993,109.84190720881801,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
46.0,4.9845,2.5841,2.5842,0.28367,0.9229,32.2322,32.2321,NaN,NaN,8.4164787689426,366.45811199999997,110.1074903770486,8.395050851403695,365.52515999999997,109.82736187367166,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
47.0,5.2585,2.5824,2.5824,0.28367,0.8506,32.2322,32.232,NaN,NaN,8.406466763327957,366.022134,109.97183534866967,8.395741106037882,365.55519,109.83137400571343,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
48.0,4.2537,2.5829,2.5822,0.28366,0.8527,32.2323,32.2322,NaN,NaN,8.412448724493403,366.282576,110.0515413038817,8.395857529246797,365.56019499999996,109.83249810451711,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
49.0,4.8208,2.5821,2.5815,0.28367,0.8465,32.2324,32.2322,NaN,NaN,8.412449936439536,366.282576,110.04943124163482,8.390754224453353,365.337973,109.76381687071388,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
50.0,4.984,2.5818,2.5813,0.28367,0.8867,32.2324,32.2322,NaN,NaN,8.417226681526792,366.490548,110.11109342951771,8.386547206631779,365.15479,109.70823407998307,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
51.0,5.2431,2.5816,2.581,0.28367,0.9255,32.2323,32.2323,NaN,NaN,8.417554850412863,366.504858,110.11476044278218,8.392272617365965,365.40403899999995,109.78238242372618,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
52.0,5.2976,2.5816,2.5811,0.28367,0.981,32.2323,32.2321,NaN,NaN,8.400771353029814,365.774094,109.89520609159958,8.389305560813405,365.27491,109.74369349527244,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
53.0,5.6953,2.5816,2.5809,0.28367,1.1231,32.2323,32.2322,NaN,NaN,8.394001007264988,365.47930799999995,109.80663939791513,8.387191292645511,365.18281799999994,109.7155623712947,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
54.0,5.2173,2.5815,2.5809,0.28367,0.9704,32.2324,32.2322,NaN,NaN,8.392818587528675,365.427792,109.79097211104741,8.390157046349135,365.311947,109.75435835484797,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
55.0,5.2187,2.5816,2.5811,0.28367,0.902,32.2324,32.2321,NaN,NaN,8.393694981922092,365.465952,109.80271123362246,8.389788456323293,365.29593099999994,109.75001043490984,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
56.0,5.3756,2.5803,2.5796,0.28367,1.1188,32.2323,32.2321,NaN,NaN,8.384251731907959,365.05477799999994,109.67553871167752,8.378708252445533,364.813449,109.60095542201441,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
57.0,5.2588,2.5752,2.5748,0.28367,0.9822,32.2325,32.2323,NaN,NaN,8.388901439569967,365.257026,109.72251930294871,8.379425400740834,364.84448,109.59733137306829,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
58.0,5.3709,2.5753,2.5746,0.28367,1.0922,32.2325,32.2324,NaN,NaN,8.389690191992408,365.29137,109.73311017384884,8.37611564563702,364.700336,109.55356903009057,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
59.0,6.214,2.5754,2.5751,0.28367,1.4205,32.2325,32.2322,NaN,NaN,8.391552565339774,365.37246,109.7577435766477,8.369860749011032,364.428064,109.47297839871028,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
60.0,6.1959,2.5756,2.5749,0.28367,1.3525,32.2326,32.2324,NaN,NaN,8.390457592132751,365.32475999999997,109.7440457475027,8.374345283782304,364.62325899999996,109.53123564540581,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
61.0,6.0111,2.5752,2.5747,0.28367,1.2438,32.2326,32.2323,NaN,NaN,8.385155513523658,365.093892,109.67359955657969,8.368390364162503,364.364,109.45272671044603,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
62.0,6.1927,2.5754,2.5746,0.28367,1.3658,32.2325,32.2322,NaN,NaN,8.374791036571171,364.64265,109.53851029863242,8.370504899233268,364.45609199999996,109.48003468381262,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
63.0,6.5035,2.5745,2.5743,0.28367,1.3928,32.2323,32.2323,NaN,NaN,8.383751797578423,365.032836,109.65309517938329,8.370252889434083,364.44508099999996,109.47599221643054,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
64.0,6.6015,2.5728,2.5729,0.28367,1.4131,32.2327,32.2324,NaN,NaN,8.380972896829407,364.911678,109.61238946448057,8.371335017483547,364.4921279999999,109.48638739515218,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
65.0,6.5545,2.5742,2.5736,0.28367,1.53,32.2326,32.2323,NaN,NaN,8.373149273512272,364.57109999999994,109.51382547267143,8.370874144673092,364.472108,109.48220128463157,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
66.0,7.0615,2.5742,2.5729,0.28367,1.7131,32.2325,32.2323,NaN,NaN,8.391509766947827,365.370552,109.7538903528891,8.36887449535103,364.385021,109.45413201063549,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
67.0,6.8468,2.5736,2.5734,0.28367,1.6346,32.2325,32.2323,NaN,NaN,8.376369942873183,364.711338,109.5542304471388,8.36558662376368,364.24187799999993,109.41249888424056,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
68.0,6.487,2.5725,2.5721,0.28367,1.6393,32.2326,32.2325,NaN,NaN,8.378496675236782,364.803876,109.57910660700017,8.358553835288895,363.935572,109.31711365796583,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
69.0,6.9653,2.5724,2.5719,0.28367,2.0891,32.2323,32.2324,NaN,NaN,8.375514970592382,364.674132,109.53961126852305,8.35361047861022,363.720357,109.2518409324862,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
70.0,7.3105,2.5724,2.5719,0.28367,2.296,32.2319,32.2318,NaN,NaN,8.364973384000688,364.21525799999995,109.40144314848956,8.352939896439485,363.69132799999994,109.24262230036041,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
0.0,9.0575,3.1601,3.1607,NaN,0.6743,32.1945,32.1898,NaN,NaN,9.472373523824254,412.463808,125.67662005107898,9.450413270886482,411.509098,125.38310823725911,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
1.0,9.0575,3.1601,3.1607,NaN,0.6743,32.1945,32.1898,NaN,NaN,9.472373569655106,412.463808,125.67662065914902,9.450413316605516,411.509098,125.38310884383519,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
2.0,9.0575,3.1601,3.1607,NaN,0.6743,32.1945,32.1898,NaN,NaN,9.472373615498814,412.463808,125.67662126738963,9.450413362337372,411.509098,125.38310945058137,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
3.0,9.0575,3.1601,3.1607,NaN,0.6743,32.1945,32.1898,NaN,NaN,9.472373661355373,412.463808,125.67662187580075,9.45041340808205,411.509098,125.38311005749767,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
4.0,9.0575,3.1601,3.1607,NaN,0.6743,32.1945,32.1898,NaN,NaN,9.472373707224785,412.463808,125.67662248438238,9.450413453839552,411.509098,125.38311066458414,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
5.0,9.0575,3.1601,3.1607,19.575,0.6743,32.1945,32.1898,NaN,NaN,9.472373753107046,412.463808,125.67662309313452,9.450413499609871,411.509098,125.38311127184063,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
6.0,8.6238,3.1553,3.1559,14.013,0.8802,32.1945,32.1942,NaN,NaN,9.467382406454288,412.24629600000003,125.59548540063766,9.450242814387394,411.50008899999995,125.36971428706678,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
7.0,9.127,3.1544,3.1541,8.5433,0.9095,32.1945,32.1941,NaN,NaN,9.45769941705946,411.824628,125.4642361797623,9.441530992870112,411.1207099999999,125.24847806326575,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
8.0,9.347,3.1546,3.1543,6.5916,0.7586,32.1944,32.1939,NaN,NaN,9.47428364137907,412.546806,125.68477600148347,9.436839795352629,410.9165059999999,125.18669505429838,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
9.0,8.8794,3.1544,3.1542,4.2478,0.9516,32.1944,32.194,NaN,NaN,9.474042849082931,412.53631199999995,125.68095983672715,9.443806113477901,411.219809,125.27888378202101,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
10.0,9.0184,3.1543,3.1542,3.0605,0.8586,32.1944,32.194,NaN,NaN,9.451016669748322,411.533658,125.375188490725,9.445530282733248,411.29488399999997,125.3017561278915,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
11.0,9.0473,3.1546,3.1547,2.1915,0.8,32.1944,32.194,NaN,NaN,9.462102403662417,412.01638199999996,125.52318107865979,9.44667934468823,411.34493399999997,125.31854937176652,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
12.0,8.1274,3.1545,3.1544,1.6583,0.966,32.1942,32.194,NaN,NaN,9.453885203866632,411.65863199999995,125.41369165962593,9.44516240146058,411.27886799999993,125.29749586202827,56.66166666666667,-163.87466666666666,2022-05-12T05:26:00Z,75.0,1025.0,318.0,13.0,0.6,M2S,DY2206c002_ctd
