pressure,chlor_fluorescence (ugrams/l),temperature_ch1 (degree_C),temperature_ch2 (degree_C),par (uEin*m-2*s-1),turbidity (NTU),salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1,sigma_t_ch2,oxy_concM_ch1 (ml/l),oxy_conc_ch1 (micromole/kg),oxy_percentsat_ch1 (percent),oxy_concM_ch2 (ml/l),oxy_conc_ch2 (micromole/kg),oxy_percentsat_ch2 (percent),latitude (degrees_north),longitude (degrees_east),time (UTC),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id
0.0,8.541,2.7589,2.7578,NaN,0.8002,32.1281,32.1272,NaN,NaN,9.685870110012383,421.76817,127.17775121068078,9.648903747590104,420.1587389999999,126.68812157207196,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
1.0,8.541,2.7589,2.7578,NaN,0.8002,32.1281,32.1272,NaN,NaN,9.68587015138789,421.76817,127.17775175395091,9.648903788791102,420.1587389999999,126.68812211303259,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
2.0,8.541,2.7589,2.7578,NaN,0.8002,32.1281,32.1272,NaN,NaN,9.68587019277598,421.76817,127.17775229738626,9.648903830004635,420.1587389999999,126.68812265415781,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
3.0,8.541,2.7589,2.7578,NaN,0.8002,32.1281,32.1272,NaN,NaN,9.685870234176654,421.76817,127.17775284098684,9.648903871230702,420.1587389999999,126.6881231954476,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
4.0,8.541,2.7589,2.7578,NaN,0.8002,32.1281,32.1272,NaN,NaN,9.685870275589911,421.76817,127.17775338475266,9.648903912469297,420.1587389999999,126.68812373690186,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
5.0,8.541,2.7589,2.7578,0.66307,0.8002,32.1281,32.1272,NaN,NaN,9.685870317015745,421.76817,127.17775392868359,9.648903953720426,420.1587389999999,126.6881242785207,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
6.0,7.9636,2.7588,2.759,0.52841,0.7412,32.1276,32.1272,NaN,NaN,9.691015167679925,421.99235999999996,127.24455526831858,9.658649928785147,420.58316299999996,126.81988031498047,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
7.0,8.6323,2.7614,2.761,0.40275,0.7415,32.1273,32.127,NaN,NaN,9.701899472230616,422.46649799999994,127.39546276236793,9.66260084149278,420.75533499999995,126.87790817307165,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
8.0,8.1528,2.7611,2.7607,0.35811,0.7639,32.1271,32.1268,NaN,NaN,9.68951992734695,421.927488,127.23178198032011,9.663657050254491,420.80138099999994,126.89065486567934,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
9.0,8.3074,2.7613,2.7612,0.30927,0.7272,32.1275,32.1276,NaN,NaN,9.695766758852104,422.199378,127.3147908040755,9.666995966634332,420.94652599999995,126.93677279760382,56.863166666666665,-164.03183333333334,2022-05-11T13:59:00Z,72.0,1027.0,275.0,14.0,NaN,70MC,DY2206c001_ctd
