ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Haptophyta	Isochrysidales__c	Isochrysidales	Noelaerhabdaceae	NA	NA
ASV_10	Eukaryota	Arthropoda	Insecta	Lepidoptera	NA	NA	NA
ASV_100	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_1000	Eukaryota	Mollusca	zzOther	NA	NA	NA	NA
ASV_10001	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_10003	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_10004	Eukaryota	Arthropoda	Insecta	Hymenoptera	NA	NA	NA
ASV_10005	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	NA	NA
ASV_10006	Eukaryota	Arthropoda	Arachnida	zzOther	NA	NA	NA
ASV_10008	Eukaryota	Haptophyta	Isochrysidales__c	Isochrysidales	Noelaerhabdaceae	NA	NA
ASV_10009	Eukaryota	Annelida	Polychaeta	Phyllodocida	NA	NA	NA
ASV_1001	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_10010	Eukaryota	zzOther	zzOther	zzOther	NA	NA	NA
ASV_10011	Eukaryota	Mollusca	zzOther	zzOther	NA	NA	NA
ASV_10012	Eukaryota	zzOther	zzOther	zzOther	NA	NA	NA
ASV_10013	Eukaryota	Phaeophyceae__p	Phaeophyceae	Ectocarpales	NA	NA	NA
ASV_10014	Eukaryota	Arthropoda	Insecta	Neuroptera	NA	NA	NA
ASV_10015	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	NA	NA	NA
ASV_10016	Eukaryota	Arthropoda	Insecta	Neuroptera	NA	NA	NA
ASV_10017	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10018	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	zzOther
ASV_10019	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Mitrocomidae	Mitrocoma	NA
ASV_1002	Eukaryota	Telonemida__c__p	Telonemida__c	Telonemida	NA	NA	NA
ASV_10020	Eukaryota	Arthropoda	Arachnida	Araneae	NA	NA	NA
ASV_10021	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	NA	NA	NA
ASV_10022	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_10023	Eukaryota	Dictyochophyceae__p	Dictyochophyceae	Pedinellales	Pseudopedinella__f	NA	NA
ASV_10024	Eukaryota	Cryptophyceae__p	Cryptophyceae	Cyathomonadacea	NA	NA	NA
ASV_10025	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA
ASV_10026	Eukaryota	Haptophyta	Isochrysidales__c	Isochrysidales	NA	NA	NA
ASV_10027	Eukaryota	Haptophyta	Isochrysidales__c	Isochrysidales	Noelaerhabdaceae	NA	NA
ASV_10028	Eukaryota	Mollusca	Gastropoda	Neogastropoda	NA	NA	NA
ASV_10029	Eukaryota	Haptophyta	Isochrysidales__c	Isochrysidales	Noelaerhabdaceae	NA	NA
ASV_1003	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gregaria
ASV_10030	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	NA	NA	NA
ASV_10031	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	NA
ASV_10032	Eukaryota	Oomycota	Peronosporales__c	Peronosporales	NA	NA	NA
ASV_10033	Eukaryota	Rhodophyta	zzOther	NA	NA	NA	NA
ASV_10034	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10035	Eukaryota	Rhodophyta	Florideophyceae	zzOther	NA	NA	NA
ASV_10036	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	NA	NA	NA
ASV_10037	Eukaryota	Phaeophyceae__p	Phaeophyceae	Ectocarpales	zzOther	NA	NA
ASV_1004	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	NA	NA	NA
ASV_10041	Eukaryota	Oomycota	Peronosporales__c	Peronosporales	NA	NA	NA
ASV_10043	Eukaryota	Haptophyta	Isochrysidales__c	Isochrysidales	Noelaerhabdaceae	NA	NA
ASV_10044	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	zzOther	zzOther
ASV_10045	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_10046	Eukaryota	Synurophyceae__p	Synurophyceae	Synurales	NA	NA	NA
ASV_10049	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_1005	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_10050	Eukaryota	Arthropoda	Insecta	Hymenoptera	NA	NA	NA
ASV_10051	Eukaryota	Dictyochophyceae__p	Dictyochophyceae	zzOther	zzOther	zzOther	zzOther
ASV_10052	Eukaryota	Cnidaria	Hydrozoa	Trachymedusae	NA	NA	NA
ASV_10053	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10054	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_10055	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	NA	NA
ASV_10056	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	NA	NA
ASV_10057	Eukaryota	Arthropoda	Hexanauplia	Calanoida	zzOther	zzOther	zzOther
ASV_10058	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_10059	Eukaryota	Annelida	Polychaeta	zzOther	zzOther	zzOther	zzOther
ASV_1006	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_10060	Eukaryota	Annelida	Polychaeta	Opheliidae__o	Opheliidae	Ophelina	zzOther
ASV_10061	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	NA	NA	NA
ASV_10062	Eukaryota	Annelida	Polychaeta	Phyllodocida	NA	NA	NA
ASV_10063	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_10064	Eukaryota	Phaeophyceae__p	Phaeophyceae	Ectocarpales	NA	NA	NA
ASV_10065	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	NA	NA	NA
ASV_10066	Eukaryota	Oomycota	Haptoglossa__f__o__c	Haptoglossa__f__o	NA	NA	NA
ASV_10068	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia tonsa
