ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_10	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius productus
ASV_100	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	NA	NA
ASV_1000	Unknown	NA	NA	NA	NA	NA	NA
ASV_10000	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV_10001	Unknown	NA	NA	NA	NA	NA	NA
ASV_10002	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10003	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	Nitrospina sp_ SCGC AAA003_G17
ASV_10004	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_10005	Bacteria	Candidatus Campbellbacteria	NA	NA	NA	NA	NA
ASV_10006	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros sp_
ASV_10007	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10008	Bacteria	Pseudomonadota	Betaproteobacteria	Candidatus Accumulibacter__f__o	Candidatus Accumulibacter__f	Candidatus Accumulibacter	Candidatus Accumulibacter phosphatis
ASV_10009	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiohalobacterales	Thiohalobacteraceae	Thiohalobacter	Thiohalobacter thiocyanaticus
ASV_1001	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	Nitrospina sp_ SCGC AAA003_A14
ASV_10010	Bacteria	Candidatus Campbellbacteria	NA	NA	NA	NA	NA
ASV_10011	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10012	Bacteria	Verrucomicrobiota	NA	NA	NA	NA	NA
ASV_10013	Eukaryota	Foraminifera	Rotaliida__c	Rotaliida	Virgulinella__f	Virgulinella	Virgulinella fragilis
ASV_10014	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10015	Eukaryota	Haptophyta	NA	NA	NA	NA	NA
ASV_10016	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales	NA	NA	NA
ASV_10017	Bacteria	NA	NA	NA	NA	NA	NA
ASV_10018	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium
ASV_10019	Bacteria	Verrucomicrobiota	NA	NA	NA	NA	NA
ASV_1002	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Allosmerus	Allosmerus elongatus
ASV_10020	Bacteria	Campylobacterota	Epsilonproteobacteria	NA	NA	NA	NA
ASV_10021	Environmental Unknown	NA	NA	NA	NA	NA	NA
