Summary stat	MP_E1148_DY2206	MP_E1149_DY2206	MP_E1150_DY2206	MP_E1151_DY2206	MP_E1152_DY2206	MP_E1153_DY2206	MP_E1154_DY2206	MP_E1155_DY2206	MP_E1156_DY2206	MP_E1158_DY2206	MP_E1159_DY2206	MP_E1160_DY2206	MP_E1164_DY2206	MP_E1165_DY2206	MP_E1166_DY2206	MP_E1455_RC0083	MP_E1456_RC0083	MP_E1457_RC0083	MP_E1458_RC0083	MP_E1459_RC0083	MP_E1460_RC0083	MP_E1461_RC0083	MP_E1462_RC0083	MP_E1463_RC0083	MP_E1470_RC0083	MP_E1471_RC0083	MP_E1472_RC0083	MP_E1485_RC0083	MP_E1486_RC0083	MP_E1487_RC0083	MP_E1488_RC0083	MP_E1489_RC0083	MP_E1490_RC0083	MP_E1494_RC0083	MP_E1495_RC0083	MP_E1496_RC0083	MP_E1497_RC0083	MP_E1498_RC0083	MP_E1499_RC0083	MP_E1501_RC0083	MP_E1502_RC0083	MP_E1503_RC0083	MP_E1504_RC0083	MP_E1505_RC0083	MP_E1506_RC0083	MP_E1510_RC0083	MP_E1511_RC0083	MP_E1517_RC0083	MP_E1518_RC0083	MP_E1519_RC0083	MP_E1526_RC0083	MP_E1527_RC0083	MP_E1528_RC0083	MP_E1529_RC0083	MP_E1530_RC0083	MP_E1531_RC0083	MP_E1532_RC0083	MP_E1533_RC0083	MP_E1534_RC0083	MP_E1541_RC0083	MP_E1542_RC0083	MP_E1546_RC0083	MP_E1547_RC0083	MP_E1548_RC0083	MP_E1553_RC0083	MP_E1554_RC0083	MP_E1555_RC0083	MP_E1556_RC0083	MP_E1557_RC0083	MP_E1558_RC0083	MP_E1559_RC0083	MP_E1560_RC0083	MP_E1561_RC0083	MP_E1562_RC0083	MP_E1563_RC0083	MP_E1564_RC0083	MP_E1565_RC0083	MP_E1566_RC0083	MP_E1567_RC0083	MP_E1568_RC0083	MP_E1569_RC0083	MP_E1611_DY2209	MP_E1612_DY2209	MP_E1613_DY2209	MP_E1614_DY2209	MP_E1615_DY2209	MP_E1616_DY2209	MP_E1617_DY2209	MP_E1618_DY2209	MP_E1619_DY2209	MP_E1620_DY2209	MP_E1621_DY2209	MP_E1622_DY2209	MP_E1718_DY2306	MP_E1719_DY2306	MP_E1720_DY2306	MP_E1721_DY2306	MP_E1722_DY2306	MP_E1723_DY2306	MP_E1724_DY2306	MP_E1725_DY2306	MP_E1726_DY2306	MP_E1727_DY2306	MP_E1728_DY2306	MP_E1729_DY2306	MP_E1730_DY2306	MP_E1731_DY2306	MP_E1732_DY2306	MP_E1733_DY2306	MP_E1734_DY2306	MP_E1735_DY2306	MP_E1736_DY2306	MP_E1737_DY2306	MP_E1750_DY2306	MP_E1751_DY2306	MP_E1752_DY2306	MP_E1753_DY2306	MP_E1754_DY2306	MP_E1755_DY2306	MP_E1756_DY2306	MP_E1757_DY2306	MP_E1758_DY2306	MP_E1759_DY2306	MP_E1760_DY2306	MP_E1761_DY2306	MP_E1762_DY2306	MP_E1763_DY2306	MP_E1764_DY2306	MP_E1765_DY2306	MP_E1766_DY2306	MP_E1767_DY2306	MP_E1768_DY2306	MP_E1769_DY2306	MP_E1770_DY2306	MP_E1772_DY2306	MP_E1773_DY2306	MP_E1774_DY2306	MP_E1775_DY2306	MP_E1776_DY2306	MP_E1777_DY2306	MP_E1778_DY2306	MP_E1779_DY2306	MP_E1780_DY2306	MP_E1781_DY2306	MP_E1782_DY2306	MP_E1783_DY2306	MP_E1784_DY2306	MP_E1785_DY2306	MP_E1786_DY2306	MP_E1787_DY2306	MP_E1788_DY2306	MP_E1789_DY2306	MP_E1790_DY2306	MP_E1791_DY2306	MP_E1792_DY2306	MP_E1793_DY2306	MP_E1794_DY2306	MP_E1795_DY2306	MP_E1796_DY2306	MP_E1797_DY2306	MP_E1798_DY2306	MP_E1820_DY2306_PCR1	MP_E1820_DY2306_PCR2	MP_E1820_DY2306_PCR3	MP_E1821_DY2306_PCR1	MP_E1821_DY2306_PCR2	MP_E1821_DY2306_PCR3	MP_E1824_DY2306_PCR1	MP_E1824_DY2306_PCR2	MP_E1824_DY2306_PCR3	MP_E1826_DY2306_PCR1	MP_E1826_DY2306_PCR2	MP_E1826_DY2306_PCR3	MP_E1829_DY2306_PCR1	MP_E1829_DY2306_PCR2	MP_E1829_DY2306_PCR3	MP_E1831_DY2306_PCR1	MP_E1831_DY2306_PCR2	MP_E1831_DY2306_PCR3	MP_E1832_DY2306_PCR1	MP_E1832_DY2306_PCR2	MP_E1832_DY2306_PCR3	MP_E1833_DY2306_PCR1	MP_E1833_DY2306_PCR2	MP_E1833_DY2306_PCR3	MP_E1834_DY2306_PCR1	MP_E1834_DY2306_PCR2	MP_E1834_DY2306_PCR3	MP_E1835_DY2306_PCR1	MP_E1835_DY2306_PCR2	MP_E1835_DY2306_PCR3	MP_E1836_DY2306_PCR1	MP_E1836_DY2306_PCR2	MP_E1836_DY2306_PCR3	MP_E1837_DY2306_PCR1	MP_E1837_DY2306_PCR2	MP_E1837_DY2306_PCR3	MP_E1838_DY2306_PCR1	MP_E1838_DY2306_PCR2	MP_E1838_DY2306_PCR3	MP_E1839_DY2306_PCR1	MP_E1839_DY2306_PCR2	MP_E1839_DY2306_PCR3	MP_E1840_DY2306_PCR1	MP_E1840_DY2306_PCR2	MP_E1840_DY2306_PCR3	MP_E1841_DY2306_PCR1	MP_E1841_DY2306_PCR2	MP_E1841_DY2306_PCR3	MP_E1842_DY2306_PCR1	MP_E1842_DY2306_PCR2	MP_E1842_DY2306_PCR3	MP_E1877_SKQ23_12S	MP_E1878_SKQ23_12S	MP_E1879_SKQ23_12S	MP_E1880_SKQ23_12S	MP_E1881_SKQ23_12S	MP_E1882_SKQ23_12S	MP_E1883_SKQ23_12S	MP_E1884_SKQ23_12S	MP_E1885_SKQ23_12S	MP_E1886_SKQ23_12S	MP_E1887_SKQ23_12S	MP_E1888_SKQ23_12S	MP_E1889_SKQ23_12S	MP_E1890_SKQ23_12S	MP_E1891_SKQ23_12S	MP_E1892_SKQ23_12S	MP_E1893_SKQ23_12S	MP_E1894_SKQ23_12S	MP_E1895_SKQ23_12S	MP_E1896_SKQ23_12S	MP_E1897_SKQ23_12S	MP_E1898_SKQ23_12S	MP_E1899_SKQ23_12S	MP_E1900_SKQ23_12S	MP_E1901_SKQ23_12S	MP_E1902_SKQ23_12S	MP_E1903_SKQ23_12S	MP_E1904_SKQ23_12S	MP_E1905_SKQ23_12S	MP_E1906_SKQ23_12S	MP_E1907_SKQ23_12S	MP_E1908_SKQ23_12S	MP_E1909_SKQ23_12S	MP_E1910_SKQ23_12S	MP_E1911_SKQ23_12S	MP_E1912_SKQ23_12S	MP_E1913_SKQ23_12S	MP_E1914_SKQ23_12S	MP_E1915_SKQ23_12S	MP_E1916_SKQ23_12S	MP_E1917_SKQ23_12S	MP_E1918_SKQ23_12S	MP_E1919_SKQ23_12S	MP_E1920_SKQ23_12S	MP_E1921_SKQ23_12S	MP_E1922_SKQ23_12S	MP_E1923_SKQ23_12S	MP_E1924_SKQ23_12S	MP_E1925_SKQ23_12S	MP_E1926_SKQ23_12S	MP_E1927_SKQ23_12S	MP_E1928_SKQ23_12S	MP_E1929_SKQ23_12S	MP_E1930_SKQ23_12S	MP_E1931_SKQ23_12S	MP_E1932_SKQ23_12S	MP_E1933_SKQ23_12S	MP_E1934_SKQ23_12S	MP_E1935_SKQ23_12S	MP_E1936_SKQ23_12S	MP_E1937_SKQ23_12S	MP_E1938_SKQ23_12S	MP_E1939_SKQ23_12S	MP_E1940_SKQ23_12S	MP_E1941_SKQ23_12S	MP_E1942_SKQ23_12S	MP_E1943_SKQ23_12S	MP_E1944_SKQ23_12S	MP_E1945_SKQ23_12S	MP_E1946_SKQ23_12S	MP_E1947_SKQ23_12S	MP_E1948_SKQ23_12S	MP_E1949_SKQ23_12S	MP_E1950_SKQ23_12S	MP_E1951_SKQ23_12S	MP_E1952_SKQ23_12S	MP_E1953_SKQ23_12S	MP_E1954_SKQ23_12S	MP_E1955_SKQ23_12S	MP_E1956_SKQ23_12S	MP_E1957_SKQ23_12S	MP_E1958_SKQ23_12S	MP_E1959_SKQ23_12S	MP_E1960_SKQ23_12S	MP_E1961_SKQ23_12S	MP_E1962_SKQ23_12S	MP_E1963_SKQ23_12S	MP_E1964_SKQ23_12S	MP_E1965_SKQ23_12S	MP_E1966_SKQ23_12S	MP_E1967_SKQ23_12S	MP_E1968_SKQ23_12S	MP_E1969_SKQ23_12S	MP_E1970_SKQ23_12S	MP_E1971_SKQ23_12S	MP_E1972_SKQ23_12S	MP_E1973_SKQ23_12S	MP_E1974_SKQ23_12S	MP_E1975_SKQ23_12S	MP_E1976_SKQ23_12S	MP_E1977_SKQ23_12S	MP_E1978_SKQ23_12S	MP_E1979_SKQ23_12S	MP_E1980_SKQ23_12S	MP_E1981_SKQ23_12S	MP_E1982_SKQ23_12S	MP_E1983_SKQ23_12S	MP_E1984_SKQ23_12S	MP_E1985_SKQ23_12S	MP_E1986_SKQ23_12S	MP_E1987_SKQ23_12S	MP_E1988_SKQ23_12S	MP_E1989_SKQ23_12S	MP_E1990_SKQ23_12S	MP_E1991_SKQ23_12S	MP_E1992_SKQ23_12S	MP_E1993_SKQ23_12S	MP_E1994_SKQ23_12S	MP_E1995_SKQ23_12S	MP_E1996_SKQ23_12S	MP_E1997_SKQ23_12S	MP_E1998_SKQ23_12S	MP_E1999_SKQ23_12S	MP_E2000_SKQ23_12S	MP_E2001_SKQ23_12S	MP_E2002_SKQ23_12S	MP_E2003_SKQ23_12S	MP_E2004_SKQ23_12S	MP_E2005_SKQ23_12S	MP_E2006_SKQ23_12S	MP_E2007_SKQ23_12S	MP_E2008_SKQ23_12S	MP_E2009_SKQ23_12S	MP_E2010_SKQ23_12S	MP_E2011_SKQ23_12S	MP_E2012_SKQ23_12S	MP_E2013_SKQ23_12S	MP_E2014_SKQ23_12S	MP_E2015_SKQ23_12S	MP_E2016_SKQ23_12S	MP_E2017_SKQ23_12S	MP_E2018_SKQ23_12S	MP_E2019_SKQ23_12S	MP_E2020_SKQ23_12S	MP_E2021_SKQ23_12S	MP_E2022_SKQ23_12S	MP_E2023_SKQ23_12S	MP_E2024_SKQ23_12S	MP_E2025_SKQ23_12S	MP_E2026_SKQ23_12S	MP_E2030_NC	MP_POSITIVE	All_Samples
Total ASVs	177	118	189	293	34	180	196	244	65	105	127	99	50	190	125	360	421	301	393	212	301	128	243	303	339	243	246	111	212	238	359	326	163	300	181	157	301	300	251	344	301	200	72	336	178	258	217	324	332	231	350	153	186	361	250	10	34	308	265	31	334	225	238	180	198	224	94	345	198	333	221	239	157	385	267	414	375	184	335	347	184	252	303	219	224	131	131	287	204	256	290	210	197	262	149	265	191	157	340	153	170	287	181	138	315	162	164	156	154	123	365	158	170	245	349	270	252	7	202	237	263	253	325	238	185	227	218	151	214	205	212	263	204	211	258	213	245	281	253	187	226	265	230	205	135	204	257	236	183	253	244	193	288	184	147	236	150	183	167	275	154	196	189	164	114	123	133	48	41	48	61	54	44	308	285	300	34	25	27	217	215	219	101	70	43	415	316	287	256	221	221	266	260	179	364	332	360	377	316	395	9	298	331	217	224	241	306	329	345	323	339	320	315	200	138	361	184	112	231	153	145	12	150	154	298	183	115	252	179	136	305	300	290	210	195	164	275	310	221	158	155	361	281	151	326	323	259	314	319	180	169	216	214	139	223	208	211	67	181	137	242	196	272	179	213	251	135	135	260	233	115	189	259	170	196	165	146	117	144	169	228	223	211	178	157	264	204	186	183	212	139	227	195	126	129	192	122	136	165	8	172	178	142	178	163	158	104	139	133	177	225	216	145	174	147	14	185	7	162	269	153	126	223	18	128	187	128	177	138	316	289	168	412	293	138	348	261	118	228	15	177	263	293	111	191	223	118	13	177	166	186	406	392	216	262	198	233	304	340	197	194	262	24	21	13017
Total ASVs, unique taxonomy	90	63	98	132	25	95	92	114	38	62	73	64	27	102	72	107	137	122	108	89	120	52	107	119	99	78	118	56	95	72	105	114	72	101	74	74	95	130	104	99	116	93	38	130	93	95	106	104	130	102	120	73	86	135	110	9	25	137	113	26	88	79	80	41	73	90	42	142	89	112	104	86	75	132	81	129	126	93	111	122	94	97	119	96	78	58	66	108	95	99	109	92	90	120	87	107	99	80	103	85	91	123	81	82	144	86	93	78	81	68	125	87	96	115	134	118	114	7	94	113	122	127	137	104	93	102	112	76	109	112	111	125	102	107	121	104	116	135	119	98	111	117	111	94	68	104	111	111	102	117	115	102	122	95	74	96	75	98	86	115	83	78	63	68	38	33	46	25	29	31	35	29	26	75	82	92	21	15	18	82	73	80	44	31	22	144	116	105	113	101	95	116	113	79	131	131	119	151	142	142	9	124	137	93	105	99	131	144	145	130	131	119	110	91	62	125	89	48	91	73	72	11	74	70	118	98	59	99	85	66	119	118	122	91	84	81	113	119	96	75	81	136	108	76	134	129	111	123	124	86	84	106	109	82	110	105	96	44	95	75	106	99	110	94	99	105	79	70	108	108	65	79	110	90	90	83	75	62	76	80	101	103	93	64	66	112	89	79	87	93	74	94	90	66	61	94	64	66	84	8	83	87	72	81	86	88	54	75	53	87	90	92	67	83	79	12	92	7	86	103	77	67	90	14	63	86	65	77	66	110	101	77	124	113	63	109	106	58	90	14	77	101	113	55	90	101	64	12	89	72	90	131	131	99	94	80	102	113	120	97	94	114	17	12	1117
Percent ASVs with Taxonomic Classification	98.31	100	97.88	97.61	100	96.67	98.47	98.36	98.46	100	97.64	98.99	100	96.84	97.6	97.22	95.49	94.68	94.91	95.75	95.02	98.44	91.36	91.75	93.81	96.3	96.75	95.5	94.34	97.48	98.61	97.24	94.48	98	95.03	96.18	95.68	95	96.41	97.67	96.35	98	98.61	95.54	97.19	99.22	96.77	94.14	96.08	95.67	94.57	96.08	92.47	96.95	92	100	100	96.43	96.6	100	95.81	96	94.54	98.89	97.98	95.98	95.74	95.65	96.46	97.6	95.02	97.07	95.54	96.88	98.88	94.44	95.2	95.11	97.61	95.68	96.74	96.83	97.69	99.09	99.11	97.71	98.47	98.26	95.59	95.31	96.55	92.38	93.4	96.18	96.64	95.47	95.81	98.09	96.47	97.39	97.06	96.52	94.48	94.93	95.87	96.3	96.34	95.51	96.75	98.37	96.16	98.1	95.88	96.73	97.42	97.78	98.81	100	97.52	97.05	96.58	99.21	96	97.06	97.84	96.92	96.33	98.01	97.66	98.05	97.17	98.48	98.04	97.16	97.67	96.71	97.55	98.22	97.23	97.86	97.79	98.11	96.96	97.07	97.04	97.55	96.5	97.46	96.72	97.63	97.95	96.37	97.57	97.83	97.96	96.61	97.33	96.72	97.6	94.55	98.05	99.49	98.94	98.17	98.25	98.37	98.5	97.92	100	100	100	100	100	99.68	99.3	98	100	100	100	99.08	99.53	99.54	99.01	97.14	95.35	97.35	97.78	96.86	95.31	93.67	96.83	96.99	96.15	97.21	97.25	97.59	97.5	97.08	97.15	94.94	88.89	97.65	96.68	96.31	97.32	96.27	97.06	97.57	95.94	97.83	97.35	96.56	96.83	94	92.75	96.95	95.65	92.86	96.97	95.42	92.41	100	92.67	90.91	97.65	95.08	93.04	95.24	95.53	92.65	98.69	97.33	96.21	98.1	97.44	96.95	96.73	94.84	95.93	91.14	92.26	95.01	95.73	92.72	96.32	95.05	94.98	98.41	96.55	97.22	97.04	96.76	94.86	95.68	95.52	95.67	96.68	100	93.92	97.81	96.69	95.92	97.06	94.41	94.84	95.62	94.81	93.33	96.15	97.85	93.04	97.88	96.91	95.29	96.94	93.94	94.52	99.15	97.22	94.67	96.93	96.41	94.31	98.88	99.36	96.97	96.08	93.01	97.81	99.53	95.68	98.68	96.92	92.86	100	98.96	94.26	97.79	97.58	100	97.09	95.51	94.37	96.63	97.55	94.3	97.12	94.24	99.25	93.22	96.89	92.59	94.48	97.13	93.2	85.71	95.68	100	97.53	97.4	97.39	97.62	95.96	100	95.31	97.33	95.31	96.05	93.48	96.84	93.77	90.48	97.57	96.59	91.3	97.13	96.55	92.37	95.18	100	96.05	97.72	94.88	90.09	96.86	95.96	94.07	100	94.92	97.59	95.7	98.28	96.94	96.3	98.09	97.47	94.85	97.37	98.82	95.94	98.45	95.04	100	95.24	95.01
Phylum Hits	18	16	18	25	10	20	20	25	11	19	17	12	7	22	18	34	37	29	37	26	28	20	23	27	31	22	22	23	32	28	34	37	20	31	24	23	30	33	33	32	37	23	11	38	24	29	24	31	34	26	33	20	20	35	26	5	13	31	26	13	29	29	28	19	27	29	17	33	26	34	29	30	22	35	27	39	33	27	37	35	24	31	33	28	26	20	19	35	23	26	33	25	25	26	17	27	22	17	30	19	18	28	20	18	32	18	16	15	18	14	32	21	22	27	29	29	28	2	21	27	28	28	28	25	21	22	19	17	24	23	28	25	22	26	25	26	22	26	27	19	26	27	26	27	16	26	24	28	23	25	29	21	29	18	15	25	20	22	19	29	19	18	18	15	10	10	14	7	7	9	8	6	7	18	19	20	9	7	5	16	17	19	9	10	9	33	28	23	27	25	24	30	30	26	31	31	34	32	34	40	4	35	36	29	32	29	33	32	34	35	32	31	38	28	18	38	30	13	31	22	17	5	16	17	33	24	14	35	24	14	27	32	30	25	22	17	34	34	19	21	20	38	31	22	32	30	24	33	30	21	24	24	27	23	31	22	25	14	21	23	28	22	29	26	25	31	24	14	34	32	15	28	31	21	27	26	21	21	25	19	31	26	25	22	23	32	23	16	28	32	14	33	31	16	24	33	18	22	25	3	24	27	20	24	27	20	19	20	19	24	28	19	20	27	20	7	21	3	22	35	21	14	28	7	16	26	16	27	18	33	32	22	38	36	21	33	31	19	32	7	23	29	37	17	27	29	18	3	21	22	27	33	34	27	25	24	24	26	26	23	21	28	5	2	100
Class Hits	20	17	25	27	11	24	21	27	14	20	21	18	8	25	19	38	43	40	36	25	38	21	33	33	31	24	29	18	27	25	27	34	20	30	24	24	27	40	33	25	31	28	12	40	30	28	30	34	38	30	35	27	30	37	36	6	10	35	32	10	27	26	27	16	21	29	15	36	30	31	32	28	25	37	25	35	31	31	38	33	27	28	37	29	24	18	21	32	27	24	32	27	28	29	23	29	25	21	34	21	26	33	24	24	37	27	22	21	25	16	33	25	26	28	34	30	30	2	27	29	33	31	36	28	24	26	27	21	28	27	29	31	27	31	31	29	26	30	29	23	31	29	33	28	18	28	28	33	25	30	30	27	32	26	23	26	24	27	22	26	24	23	18	19	13	13	16	8	9	12	8	7	9	19	25	25	8	4	6	19	19	17	11	13	8	35	29	24	33	27	27	31	32	27	32	34	34	36	34	40	4	36	34	29	29	29	31	34	40	36	35	31	26	25	23	37	30	16	27	26	23	6	22	24	32	27	20	32	26	23	26	31	31	24	24	20	34	34	22	21	23	34	29	21	32	32	24	29	30	24	22	27	26	23	31	25	25	17	24	20	30	27	27	28	27	29	26	19	31	30	20	23	30	24	23	26	24	19	24	23	30	25	27	20	24	33	24	23	26	27	19	28	27	23	22	30	21	19	25	3	21	26	22	23	27	23	15	23	20	28	27	24	18	26	23	5	24	3	24	34	22	20	25	8	18	23	17	27	22	33	27	25	37	35	23	33	29	22	33	7	27	30	32	19	27	31	22	6	25	23	31	35	31	27	25	23	26	30	27	26	24	35	5	3	143
Order Hits	34	25	39	54	15	40	39	43	26	29	33	29	17	41	31	46	59	51	45	33	53	25	54	51	42	33	44	23	42	37	41	51	30	42	37	33	38	55	46	37	52	38	19	59	43	43	48	44	56	48	51	34	42	56	52	7	14	53	49	15	45	34	34	21	32	41	20	57	45	50	46	37	35	53	37	47	46	39	45	46	38	39	53	43	35	26	29	45	42	41	46	38	38	49	40	46	43	34	50	35	44	49	37	42	60	41	42	37	43	33	51	42	42	48	55	49	52	5	44	48	53	53	59	43	38	45	47	30	42	47	47	49	45	46	49	42	47	57	50	39	48	46	46	41	27	44	42	48	41	51	46	45	48	43	36	36	37	42	37	44	38	36	32	33	18	17	26	14	14	19	17	15	15	32	39	43	10	8	13	34	29	32	20	18	10	59	46	41	52	43	41	49	51	33	51	55	47	62	56	57	6	54	54	41	42	41	49	55	63	52	55	49	42	38	32	52	39	25	42	35	35	7	36	33	44	39	22	41	38	32	42	46	45	40	36	33	46	47	34	31	35	48	43	35	52	51	43	47	45	35	35	42	46	34	52	43	38	25	40	31	46	45	44	47	43	45	34	28	47	45	30	34	45	40	38	35	33	29	36	31	43	43	43	26	28	47	35	36	38	39	33	38	41	29	27	46	30	27	39	6	33	38	32	35	39	40	26	36	24	37	41	41	29	36	38	7	41	6	37	47	34	31	35	10	28	39	25	34	29	50	45	34	52	50	33	44	43	28	41	10	36	45	46	25	38	46	32	9	43	32	40	52	44	42	41	35	46	43	47	44	39	53	10	7	267
Family Hits	40	29	46	68	17	44	46	54	25	31	34	32	17	48	32	42	57	55	41	34	58	17	47	47	42	33	54	23	41	35	40	47	30	44	35	32	39	55	52	39	50	43	17	56	43	43	52	41	59	53	51	35	41	58	54	7	14	64	54	14	45	34	32	22	28	41	20	60	50	51	49	37	36	49	41	46	49	43	38	46	40	38	53	41	31	26	27	41	40	42	45	35	37	57	41	48	46	35	43	38	44	54	39	42	58	42	45	39	42	34	53	40	43	50	55	51	53	5	46	49	52	51	60	43	42	51	51	32	48	51	53	56	51	50	59	44	52	62	55	44	48	54	49	47	30	47	52	51	44	56	51	50	55	49	37	43	38	45	39	44	39	38	34	36	20	19	25	15	17	19	20	16	15	40	44	49	10	8	13	45	34	40	21	17	10	71	57	52	57	51	46	59	58	38	65	69	53	69	66	64	6	61	68	43	51	47	56	65	68	60	60	59	48	35	30	56	40	25	40	30	37	7	35	33	47	39	22	38	37	29	49	49	54	44	41	34	51	47	41	30	35	61	46	29	57	58	53	51	51	39	37	46	48	37	54	43	44	24	41	34	47	47	51	46	44	51	33	26	46	44	31	32	48	42	40	33	32	26	32	29	48	44	43	23	25	45	36	37	40	42	31	33	40	27	24	43	30	29	38	7	31	38	32	38	39	41	28	36	26	37	39	39	28	37	37	7	40	5	37	43	31	30	34	10	27	36	25	33	25	46	45	30	49	51	29	39	43	24	37	9	32	43	42	23	34	50	30	9	42	36	39	62	54	42	46	35	46	51	55	47	42	56	12	8	347
Genus Hits	42	29	45	73	13	46	47	53	21	26	33	30	16	47	29	31	51	52	32	36	56	14	39	46	34	27	52	19	36	33	31	38	29	36	24	29	33	49	49	30	43	43	14	44	38	37	51	40	55	54	45	32	34	56	47	6	12	59	49	11	38	27	30	18	21	39	20	57	43	41	46	29	34	44	40	41	44	41	33	44	39	37	52	39	33	26	27	43	40	40	44	34	41	57	44	46	44	39	33	41	44	54	37	40	53	42	42	40	40	32	54	38	41	47	53	52	54	5	47	49	46	51	58	47	46	52	50	34	49	52	51	53	48	44	51	43	51	60	54	47	45	51	44	40	33	42	52	49	47	54	49	47	56	49	37	41	40	47	41	45	37	39	29	33	19	17	22	11	14	18	17	11	15	36	39	46	7	6	12	43	37	42	17	16	9	69	59	56	51	49	46	57	58	33	61	57	47	69	65	58	5	58	61	40	50	45	50	60	58	56	54	50	40	33	28	46	40	20	29	29	33	6	36	31	41	40	23	31	36	29	50	49	52	43	38	36	47	46	45	33	36	56	44	31	57	53	50	49	52	37	40	46	48	38	47	45	42	24	39	35	42	40	41	41	43	42	31	26	38	40	30	26	41	44	34	29	31	23	30	28	44	42	40	21	19	36	32	35	34	28	33	27	34	27	23	39	30	23	34	6	29	38	30	35	36	42	26	32	23	36	35	38	28	37	34	6	37	4	34	36	29	30	32	9	27	34	27	29	26	43	42	28	44	40	27	35	40	22	39	9	32	35	40	24	32	44	32	9	41	35	37	55	53	43	45	33	44	50	54	41	39	51	9	8	449
Species Hits	38	21	38	59	9	34	31	43	16	17	24	25	13	33	22	21	44	50	25	33	47	17	39	47	24	28	53	16	26	24	30	34	25	30	19	25	26	39	41	30	37	38	12	38	36	32	42	38	46	41	35	25	29	52	42	6	9	59	47	9	29	18	27	12	17	27	21	53	32	31	40	23	32	37	31	39	41	38	29	35	35	29	35	32	19	18	20	33	35	37	37	33	34	46	32	36	38	34	29	31	36	43	26	36	48	34	35	29	30	28	40	33	37	46	52	43	49	4	35	45	46	53	53	42	37	46	46	30	44	53	45	49	43	45	49	41	48	61	50	39	41	43	45	36	30	38	47	42	39	40	45	40	47	37	32	38	33	41	38	43	33	38	25	28	13	13	18	6	9	15	11	7	8	28	28	32	5	6	9	34	23	29	14	15	7	44	36	35	38	36	30	41	37	22	43	43	36	48	48	41	4	40	41	28	37	33	41	47	41	38	39	32	30	24	19	37	26	18	28	23	29	3	29	23	38	35	21	31	26	23	44	41	41	34	35	33	38	39	39	28	35	51	35	26	50	49	45	43	46	31	31	36	41	27	38	40	23	12	36	20	35	37	30	26	37	30	29	22	32	28	24	21	37	33	29	20	26	19	23	28	30	35	37	17	19	30	25	30	24	23	32	21	23	23	17	28	26	21	25	4	30	30	26	27	24	36	15	30	16	30	27	33	17	28	29	4	37	2	29	31	26	26	27	8	21	26	26	23	20	35	31	26	38	32	21	30	32	20	26	5	24	30	33	21	23	26	21	5	30	23	31	47	47	32	32	23	35	35	46	34	34	43	8	6	456
