"","Sample_ID","Cruise","Site","Depth_m","Latitude","Longitude","Lat_deg","Lon_deg","Date","Year","Date_easy","Month","Season","Lon_deg_r","Lat_deg_r","counts_per_season_per_station"
"27","E38.2B.DY2012","EcoFOCI Dyson 2020","DBO1-9",65,"63˚ 16.504' N","173˚ 17.279' W",63.2750663757324,-173.287979125977,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-173.3,63.3,2
"28","E39.1B.DY2012","EcoFOCI Dyson 2020","DBO2-1",42,"64˚ 40.465' N","169˚ 55.270' W",64.6744155883789,-169.921173095703,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-169.9,64.7,3
"29","E39.2B.DY2012","EcoFOCI Dyson 2020","DBO2-1",42,"64˚ 40.465' N","169˚ 55.270' W",64.6744155883789,-169.921173095703,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-169.9,64.7,3
"30","E40.1B.DY2012","EcoFOCI Dyson 2020","DBO2-1",0,"64˚ 40.465' N","169˚ 55.270' W",64.6744155883789,-169.921173095703,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-169.9,64.7,3
"31","E40.2B.DY2012","EcoFOCI Dyson 2020","DBO2-1",0,"64˚ 40.465' N","169˚ 55.270' W",64.6744155883789,-169.921173095703,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-169.9,64.7,3
"32","E42.1B.DY2012","EcoFOCI Dyson 2020","DBO2-3",0,"64˚ 40.11' N","168˚ 14.14' W",64.6685028076172,-168.23567199707,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-168.2,64.7,4
"33","E42.2B.DY2012","EcoFOCI Dyson 2020","DBO2-3",0,"64˚ 40.11' N","168˚ 14.14' W",64.6685028076172,-168.23567199707,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-168.2,64.7,4
"34","E43.1B.DY2012","EcoFOCI Dyson 2020","DBO2-3",34,"64˚ 40.11' N","168˚ 14.14' W",64.6685028076172,-168.23567199707,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-168.2,64.7,4
"35","E43.2B.DY2012","EcoFOCI Dyson 2020","DBO2-3",34,"64˚ 40.11' N","168˚ 14.14' W",64.6685028076172,-168.23567199707,2020-09-08 16:00:00,"2020","09-08-2020",9,"Fall",-168.2,64.7,4
"36","E44.DY2012","EcoFOCI Dyson 2020","DBO2-5",0,"64˚ 59.30' N","169˚ 08.33' W",64.9883346557617,-169.13883972168,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-169.1,65,2
"37","E45.1B.DY2012","EcoFOCI Dyson 2020","DBO2-5",43,"64˚ 59.30' N","169˚ 08.33' W",64.9883346557617,-169.13883972168,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-169.1,65,2
"38","E45.2B.DY2012","EcoFOCI Dyson 2020","DBO2-5",43,"64˚ 59.30' N","169˚ 08.33' W",64.9883346557617,-169.13883972168,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-169.1,65,2
"39","E46.1B.DY2012","EcoFOCI Dyson 2020","DBO2-4",0,"64˚ 57.567' N","169˚ 52.749' W",64.9594497680664,-169.879150390625,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-169.9,65,3
"40","E46.2B.DY2012","EcoFOCI Dyson 2020","DBO2-4",0,"64˚ 57.567' N","169˚ 52.749' W",64.9594497680664,-169.879150390625,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-169.9,65,3
"41","E47.1B.DY2012","EcoFOCI Dyson 2020","DBO2-4",45,"64˚ 57.567' N","169˚ 52.749' W",64.9594497680664,-169.879150390625,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-169.9,65,3
"42","E47.2B.DY2012","EcoFOCI Dyson 2020","DBO2-4",45,"64˚ 57.567' N","169˚ 52.749' W",64.9594497680664,-169.879150390625,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-169.9,65,3
"43","E48.1B.DY2012","EcoFOCI Dyson 2020","DBO3-8",0,"67˚ 40.374' N","168˚ 56.526' W",67.6728973388672,-168.942092895508,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-168.9,67.7,3
"44","E48.2B.DY2012","EcoFOCI Dyson 2020","DBO3-8",0,"67˚ 40.374' N","168˚ 56.526' W",67.6728973388672,-168.942092895508,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-168.9,67.7,3
"45","E49.1B.DY2012","EcoFOCI Dyson 2020","DBO3-8",45,"67˚ 40.374' N","168˚ 56.526' W",67.6728973388672,-168.942092895508,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-168.9,67.7,3
"46","E49.2B.DY2012","EcoFOCI Dyson 2020","DBO3-8",45,"67˚ 40.374' N","168˚ 56.526' W",67.6728973388672,-168.942092895508,2020-09-09 16:00:00,"2020","09-09-2020",9,"Fall",-168.9,67.7,3
"47","E50.1B.DY2012","EcoFOCI Dyson 2020","DBO3-6",0,"67˚ 53.86' N","168˚ 13.89' W",67.8976669311523,-168.231506347656,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-168.2,67.9,2
"48","E50.2B.DY2012","EcoFOCI Dyson 2020","DBO3-6",0,"67˚ 53.86' N","168˚ 13.89' W",67.8976669311523,-168.231506347656,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-168.2,67.9,2
"49","E51.1B.DY2012","EcoFOCI Dyson 2020","DBO3-6",54,"67˚ 53.86' N","168˚ 13.89' W",67.8976669311523,-168.231506347656,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-168.2,67.9,2
"50","E51.2B.DY2012","EcoFOCI Dyson 2020","DBO3-6",54,"67˚ 53.86' N","168˚ 13.89' W",67.8976669311523,-168.231506347656,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-168.2,67.9,2
"51","E52.1B.DY2012","EcoFOCI Dyson 2020","DBO3-3",0,"68˚ 11.22' N","167˚ 17.39' W",68.1869964599609,-167.289840698242,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-167.3,68.2,3
"52","E52.2B.DY2012","EcoFOCI Dyson 2020","DBO3-3",0,"68˚ 11.22' N","167˚ 17.39' W",68.1869964599609,-167.289840698242,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-167.3,68.2,3
"53","E53.1B.DY2012","EcoFOCI Dyson 2020","DBO3-3",43,"68˚ 11.22' N","167˚ 17.39' W",68.1869964599609,-167.289840698242,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-167.3,68.2,3
"54","E53.2B.DY2012","EcoFOCI Dyson 2020","DBO3-3",43,"68˚ 11.22' N","167˚ 17.39' W",68.1869964599609,-167.289840698242,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-167.3,68.2,3
"55","E54.1B.DY2012","EcoFOCI Dyson 2020","DBO3-1",0,"68˚ 18.18' N","166˚ 55.49' W",68.3030014038086,-166.924835205078,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-166.9,68.3,3
"56","E54.2B.DY2012","EcoFOCI Dyson 2020","DBO3-1",0,"68˚ 18.18' N","166˚ 55.49' W",68.3030014038086,-166.924835205078,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-166.9,68.3,3
"57","E55.1B.DY2012","EcoFOCI Dyson 2020","DBO3-1",29,"68˚ 18.18' N","166˚ 55.49' W",68.3030014038086,-166.924835205078,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-166.9,68.3,3
"58","E55.2B.DY2012","EcoFOCI Dyson 2020","DBO3-1",29,"68˚ 18.18' N","166˚ 55.49' W",68.3030014038086,-166.924835205078,2020-09-10 16:00:00,"2020","09-10-2020",9,"Fall",-166.9,68.3,3
"59","E57.1B.DY2012","EcoFOCI Dyson 2020","IC10",0,"71˚ 42.31' N","165˚ 35.05' W",71.7051696777344,-165.584167480469,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-165.6,71.7,2
"60","E57.2B.DY2012","EcoFOCI Dyson 2020","IC10",0,"71˚ 42.31' N","165˚ 35.05' W",71.7051696777344,-165.584167480469,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-165.6,71.7,2
"61","E58.1B.DY2012","EcoFOCI Dyson 2020","IC10",37,"71˚ 42.31' N","165˚ 35.05' W",71.7051696777344,-165.584167480469,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-165.6,71.7,2
"62","E58.2B.DY2012","EcoFOCI Dyson 2020","IC10",37,"71˚ 42.31' N","165˚ 35.05' W",71.7051696777344,-165.584167480469,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-165.6,71.7,2
"63","E59.1B.DY2012","EcoFOCI Dyson 2020","DBO4-5",0,"71˚ 43.446' N","161˚ 46.356' W",71.7240982055664,-161.772598266602,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-161.8,71.7,3
"64","E59.2B.DY2012","EcoFOCI Dyson 2020","DBO4-5",0,"71˚ 43.446' N","161˚ 46.356' W",71.7240982055664,-161.772598266602,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-161.8,71.7,3
"65","E60.1B.DY2012","EcoFOCI Dyson 2020","DBO4-5",35,"71˚ 43.446' N","161˚ 46.356' W",71.7240982055664,-161.772598266602,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-161.8,71.7,3
"66","E60.2B.DY2012","EcoFOCI Dyson 2020","DBO4-5",35,"71˚ 43.446' N","161˚ 46.356' W",71.7240982055664,-161.772598266602,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-161.8,71.7,3
"67","E61.1B.DY2012","EcoFOCI Dyson 2020","DBO4-3",0,"71˚ 27.294' N","161˚ 02.238' W",71.4549026489258,-161.037292480469,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-161,71.5,3
"68","E61.2B.DY2012","EcoFOCI Dyson 2020","DBO4-3",0,"71˚ 27.294' N","161˚ 02.238' W",71.4549026489258,-161.037292480469,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-161,71.5,3
"69","E62.1B.DY2012","EcoFOCI Dyson 2020","DBO4-3",38,"71˚ 27.294' N","161˚ 02.238' W",71.4549026489258,-161.037292480469,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-161,71.5,3
"70","E62.2B.DY2012","EcoFOCI Dyson 2020","DBO4-3",38,"71˚ 27.294' N","161˚ 02.238' W",71.4549026489258,-161.037292480469,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-161,71.5,3
"71","E63.1B.DY2012","EcoFOCI Dyson 2020","DBO4-1",0,"71˚ 11.57' N","160˚ 16.52' W",71.1928329467773,-160.275329589844,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-160.3,71.2,3
"72","E63.2B.DY2012","EcoFOCI Dyson 2020","DBO4-1",0,"71˚ 11.57' N","160˚ 16.52' W",71.1928329467773,-160.275329589844,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-160.3,71.2,3
"73","E64.1B.DY2012","EcoFOCI Dyson 2020","DBO4-1",48,"71˚ 11.57' N","160˚ 16.52' W",71.1928329467773,-160.275329589844,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-160.3,71.2,3
"74","E64.2B.DY2012","EcoFOCI Dyson 2020","DBO4-1",48,"71˚ 11.57' N","160˚ 16.52' W",71.1928329467773,-160.275329589844,2020-09-12 16:00:00,"2020","09-12-2020",9,"Fall",-160.3,71.2,3
"75","E65.1B.DY2012","EcoFOCI Dyson 2020","DBO5-1",0,"71˚ 15.144' N","157˚ 08.464' W",71.2524032592773,-157.141067504883,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.1,71.3,1
"76","E65.2B.DY2012","EcoFOCI Dyson 2020","DBO5-1",0,"71˚ 15.144' N","157˚ 08.464' W",71.2524032592773,-157.141067504883,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.1,71.3,1
"77","E66.1B.DY2012","EcoFOCI Dyson 2020","DBO5-1",43,"71˚ 15.144' N","157˚ 08.464' W",71.2524032592773,-157.141067504883,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.1,71.3,1
"78","E66.2B.DY2012","EcoFOCI Dyson 2020","DBO5-1",43,"71˚ 15.144' N","157˚ 08.464' W",71.2524032592773,-157.141067504883,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.1,71.3,1
"79","E67.1B.DY2012","EcoFOCI Dyson 2020","DBO5-5",0,"71˚ 24.40' N","157˚ 28.51' W",71.4066696166992,-157.475173950195,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.5,71.4,2
"80","E67.2B.DY2012","EcoFOCI Dyson 2020","DBO5-5",0,"71˚ 24.40' N","157˚ 28.51' W",71.4066696166992,-157.475173950195,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.5,71.4,2
"81","E68.1B.DY2012","EcoFOCI Dyson 2020","DBO5-5",122,"71˚ 24.40' N","157˚ 28.51' W",71.4066696166992,-157.475173950195,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.5,71.4,2
"82","E68.2B.DY2012","EcoFOCI Dyson 2020","DBO5-5",122,"71˚ 24.40' N","157˚ 28.51' W",71.4066696166992,-157.475173950195,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.5,71.4,2
"83","E69.1B.DY2012","EcoFOCI Dyson 2020","DBO5-9",0,"71˚ 34.833' N","157˚ 48.023' W",71.5805511474609,-157.800384521484,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.8,71.6,2
"84","E69.2B.DY2012","EcoFOCI Dyson 2020","DBO5-9",0,"71˚ 34.833' N","157˚ 48.023' W",71.5805511474609,-157.800384521484,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.8,71.6,2
"85","E70.1B.DY2012","EcoFOCI Dyson 2020","DBO5-9",59,"71˚ 34.833' N","157˚ 48.023' W",71.5805511474609,-157.800384521484,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.8,71.6,2
"86","E70.2B.DY2012","EcoFOCI Dyson 2020","DBO5-9",59,"71˚ 34.833' N","157˚ 48.023' W",71.5805511474609,-157.800384521484,2020-09-13 16:00:00,"2020","09-13-2020",9,"Fall",-157.8,71.6,2
"87","E71.1B.DY2012","EcoFOCI Dyson 2020","BS14",0,"63˚ 59.96' N","167˚ 56.62' W",63.9993324279785,-167.943664550781,2020-09-17 16:00:00,"2020","09-17-2020",9,"Fall",-167.9,64,1
"88","E71.2B.DY2012","EcoFOCI Dyson 2020","BS14",0,"63˚ 59.96' N","167˚ 56.62' W",63.9993324279785,-167.943664550781,2020-09-17 16:00:00,"2020","09-17-2020",9,"Fall",-167.9,64,1
"89","E72.1B.DY2012","EcoFOCI Dyson 2020","BS14",32,"63˚ 59.96' N","167˚ 56.62' W",63.9993324279785,-167.943664550781,2020-09-17 16:00:00,"2020","09-17-2020",9,"Fall",-167.9,64,1
"90","E72.2B.DY2012","EcoFOCI Dyson 2020","BS14",32,"63˚ 59.96' N","167˚ 56.62' W",63.9993324279785,-167.943664550781,2020-09-17 16:00:00,"2020","09-17-2020",9,"Fall",-167.9,64,1
"91","E233.1B.NO20","EcoFOCI Norseman 2020","CEO",41.1,"71˚ 35.909' N","161˚ 30.872' W",71.5984802246094,-161.514526367188,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.5,71.6,2
"92","E233.2B.NO20","EcoFOCI Norseman 2020","CEO",41.1,"71˚ 35.909' N","161˚ 30.872' W",71.5984802246094,-161.514526367188,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.5,71.6,2
"93","E234.1B.NO20","EcoFOCI Norseman 2020","CEO",5.1,"71˚ 35.909' N","161˚ 30.872' W",71.5984802246094,-161.514526367188,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.5,71.6,2
"94","E234.2B.NO20","EcoFOCI Norseman 2020","CEO",5.1,"71˚ 35.909' N","161˚ 30.872' W",71.5984802246094,-161.514526367188,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.5,71.6,2
"95","E234.3B.NO20","EcoFOCI Norseman 2020","CEO",5.1,"71˚ 35.909' N","161˚ 30.872' W",71.5984802246094,-161.514526367188,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.5,71.6,2
"96","E235.1B.NO20","EcoFOCI Norseman 2020","DBO4-6",40,"71˚50' N","162˚08' W",71.8333358764648,-162.133331298828,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-162.1,71.8,1
"97","E235.2B.NO20","EcoFOCI Norseman 2020","DBO4-6",40,"71˚50' N","162˚08' W",71.8333358764648,-162.133331298828,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-162.1,71.8,1
"98","E235.3B.NO20","EcoFOCI Norseman 2020","DBO4-6",40,"71˚50' N","162˚08' W",71.8333358764648,-162.133331298828,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-162.1,71.8,1
"99","E236.1B.NO20","EcoFOCI Norseman 2020","DBO4-6",2.6,"71˚50' N","162˚08' W",71.8333358764648,-162.133331298828,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-162.1,71.8,1
"100","E236.2B.NO20","EcoFOCI Norseman 2020","DBO4-6",2.6,"71˚50' N","162˚08' W",71.8333358764648,-162.133331298828,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-162.1,71.8,1
"101","E236.3B.NO20","EcoFOCI Norseman 2020","DBO4-6",2.6,"71˚50' N","162˚08' W",71.8333358764648,-162.133331298828,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-162.1,71.8,1
"102","E237.1B.NO20","EcoFOCI Norseman 2020","DBO4-5n",38.6,"71˚ 43' N","161˚ 46' W",71.716667175293,-161.766662597656,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.8,71.7,3
"103","E237.2B.NO20","EcoFOCI Norseman 2020","DBO4-5n",38.6,"71˚ 43' N","161˚ 46' W",71.716667175293,-161.766662597656,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.8,71.7,3
"104","E238.1B.NO20","EcoFOCI Norseman 2020","DBO4-5n",5.03,"71˚ 43' N","161˚ 46' W",71.716667175293,-161.766662597656,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.8,71.7,3
"105","E238.2B.NO20","EcoFOCI Norseman 2020","DBO4-5n",5.03,"71˚ 43' N","161˚ 46' W",71.716667175293,-161.766662597656,2020-10-04 16:00:00,"2020","10-04-2020",10,"Fall",-161.8,71.7,3
"106","E239.1B.NO20","EcoFOCI Norseman 2020","DBO4-4n",41.4,"71˚ 35' N","161˚ 24' W",71.5833358764648,-161.399993896484,2020-10-05 16:00:00,"2020","10-05-2020",10,"Fall",-161.4,71.6,3
"107","E239.2B.NO20","EcoFOCI Norseman 2020","DBO4-4n",41.4,"71˚ 35' N","161˚ 24' W",71.5833358764648,-161.399993896484,2020-10-05 16:00:00,"2020","10-05-2020",10,"Fall",-161.4,71.6,3
"108","E240.1B.NO20","EcoFOCI Norseman 2020","DBO4-4n",5.47,"71˚ 35' N","161˚ 24' W",71.5833358764648,-161.399993896484,2020-10-05 16:00:00,"2020","10-05-2020",10,"Fall",-161.4,71.6,3
"109","E240.2B.NO20","EcoFOCI Norseman 2020","DBO4-4n",5.47,"71˚ 35' N","161˚ 24' W",71.5833358764648,-161.399993896484,2020-10-05 16:00:00,"2020","10-05-2020",10,"Fall",-161.4,71.6,3
"110","E241.1B.NO20","EcoFOCI Norseman 2020","DBO4-3",43.8,"71˚ 27' N","161˚ 02' W",71.4499969482422,-161.033340454102,2020-10-05 16:00:00,"2020","10-05-2020",10,"Fall",-161,71.4,1
"111","E241.2B.NO20","EcoFOCI Norseman 2020","DBO4-3",43.8,"71˚ 27' N","161˚ 02' W",71.4499969482422,-161.033340454102,2020-10-05 16:00:00,"2020","10-05-2020",10,"Fall",-161,71.4,1
"112","E242.1B.NO20","EcoFOCI Norseman 2020","DBO4-3",4.25,"71˚ 27' N","161˚ 02' W",71.4499969482422,-161.033340454102,2020-10-05 16:00:00,"2020","10-05-2020",10,"Fall",-161,71.4,1
"113","E242.2B.NO20","EcoFOCI Norseman 2020","DBO4-3",4.25,"71˚ 27' N","161˚ 02' W",71.4499969482422,-161.033340454102,2020-10-05 16:00:00,"2020","10-05-2020",10,"Fall",-161,71.4,1
"114","E243.1B.NO20","EcoFOCI Norseman 2020","BarcC",57.1,"71˚ 37.246' N","157˚ 55.667' W",71.6207656860352,-157.927780151367,2020-10-06 16:00:00,"2020","10-06-2020",10,"Fall",-157.9,71.6,2
"115","E243.2B.NO20","EcoFOCI Norseman 2020","BarcC",57.1,"71˚ 37.246' N","157˚ 55.667' W",71.6207656860352,-157.927780151367,2020-10-06 16:00:00,"2020","10-06-2020",10,"Fall",-157.9,71.6,2
"116","E244.1B.NO20","EcoFOCI Norseman 2020","BarcC",5.9,"71˚ 37.246' N","157˚ 55.667' W",71.6207656860352,-157.927780151367,2020-10-06 16:00:00,"2020","10-06-2020",10,"Fall",-157.9,71.6,2
"117","E244.2B.NO20","EcoFOCI Norseman 2020","BarcC",5.9,"71˚ 37.246' N","157˚ 55.667' W",71.6207656860352,-157.927780151367,2020-10-06 16:00:00,"2020","10-06-2020",10,"Fall",-157.9,71.6,2
