Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1472.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,15:43,9:20,NA,17,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS2,3.1,56.17,-134.40714,1000,Kesten Bozinovic,
E1473.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,19:18,12:28,NA,20,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS5,351,56.19,-134.62034,1000,Kesten Bozinovic,
E1474.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,19:18,12:37,NA,20,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS5,100.5,56.19,-134.62096,1000,Kesten Bozinovic,
E1475.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,19:18,12:44,NA,20,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS5,3.7,56.19,-134.6224,1000,Kesten Bozinovic,
E1476.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/14/22,8/14/22,19:17,11:21,NA,21,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC0,59,56.77,-135.50368,1000,Kesten Bozinovic,EtOH added ~20 min after filtering; filter was capped during that time
E1477.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/14/22,8/14/22,19:17,11:23,NA,21,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC0,24.2,56.77,-135.5041,1000,Kesten Bozinovic,
E1478.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/14/22,8/14/22,19:17,11:25,NA,21,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC0,3.2,56.77,-135.50461,1000,Kesten Bozinovic,
E1479.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/14/22,8/14/22,21:02,13:08,NA,23,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC10,180.9,56.69,-135.7495,1000,Kesten Bozinovic,possible cross contaminiation from spray / rain
E1480.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/14/22,8/14/22,21:02,13:12,NA,23,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC10,72.4,56.7,-135.75154,1000,Kesten Bozinovic,possible cross contaminiation from spray / rain
E1481.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/14/22,8/14/22,21:02,13:17,NA,23,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC10,2.4,56.7,-135.75191,1000,Kesten Bozinovic,possible cross contaminiation from spray / rain
