"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes","Date_UTC_btl","btl_Bottle","btl_Density00","btl_Potemp090C","btl_OxsolMm.Kg","btl_OxsatMm.Kg","btl_OxsolML.L","btl_OxsolMg.L","btl_OxsatML.L","btl_OxsatMg.L","btl_Latitude","btl_Longitude","btl_SfdSM","btl_PrDM","btl_DepSM","btl_T090C","btl_Sal00","btl_Density00.1","btl_Sigma.é00","btl_Potemp090C.1","btl_Sbeox0PS","btl_CStarTr0","btl_FlECO.AFL","btl_Ph","btl_Sbeox0ML.L","btl_Sbeox0Mg.L","btl_Sbox0Mm.Kg","btl_Sbeox0Mm.L","btl_Scan","btl_Latitude_sdev","btl_Longitude_sdev","btl_SfdSM_sdev","btl_PrDM_sdev","btl_DepSM_sdev","btl_T090C_sdev","btl_Sal00_sdev","btl_Density00.1_sdev","btl_Sigma.é00_sdev","btl_Potemp090C.1_sdev","btl_Sbeox0PS_sdev","btl_CStarTr0_sdev","btl_FlECO.AFL_sdev","btl_Ph_sdev","btl_Sbeox0ML.L_sdev","btl_Sbeox0Mg.L_sdev","btl_Sbox0Mm.Kg_sdev","btl_Sbeox0Mm.L_sdev","btl_Scan_sdev","btl_time","btl_Cast","btl2_EXPOCODE","btl2_Cruise","btl2_Station","btl2_Section_ID","btl2_Station_ID","btl2_Cast_number","btl2_Rosette_position","btl2_Niskin_ID","btl2_Niskin_flag","btl2_Sample_ID","btl2_Date.and.Time..UTC.","btl2_Year_UTC","btl2_Month_UTC","btl2_Day_UTC","btl2_Time_UTC","btl2_Latitude","btl2_Longitude","btl2_Depth_bottom","btl2_CTDPRES","btl2_CTDTEMP_ITS90","btl2_CTDTEMP_flag","btl2_CTDSAL_PSS78","btl2_CTDSAL_flag","btl2_CTDOXY","btl2_CTDOXY_flag","btl2_Oxygen","btl2_OXYGEN_flag","btl2_DIC.umol.kg.1","btl2_DIC_flag","btl2_TA.umol.kg.1","btl2_TA_flag","btl2_Silicate.umol.kg.1","btl2_Silicate_flag","btl2_Phosphate.umol.kg.1","btl2_Phosphate_flag","btl2_Nitrate.umol.kg.1","btl2_Nitrate_flag","btl2_Nitrite.umol.kg.1","btl2_Nitrite_flag","btl2_Ammonium.umol.kg.1","btl2_Ammonium_flag","btl2_d18O.permil","btl2_d18O_Flag","btl2_X.H....nmol.KgSW.","btl2_pCO2..uatm.","btl2_Omega.C","btl2_Omega.A","btl2_SBE.18.pH..BA.","btl2_SBE43.O2..BA..umol.kg.1"
"E1461.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",8,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE8",500.4,"1000","Kesten Bozinovic","","0022/08/12 15:42:00",54.57,-134.74624,"2022/08/12 08:55:06",1,1029.3091,4.3214,314.4079,315.15134,7.22992,10.33228,7.24702,10.35671,54.57276,-134.74624,599.024,505.542,500.392,4.3588,34.0192,1029.3091,26.9725,4.3214,11.496,107.1544,-0.0848,7.618,0.8312,1.1878,36.145,37.12,18302,0,0,0.479,0.485,0.479,0.0025,3e-4,0.0026,4e-4,0.0025,0.022,0.0124,0.0097,0,0.0016,0.0023,0.069,0.071,14,"2022/08/12 08:55:06",8,"32RC20220812","RC0083","DE8","DE",8,8,1,1,2,80801,"8/12/22 8:55",2022,8,12,"8:55:06",54.5728,-134.7462,2705,505.54,4.3588,2,34.0192,2,36.15,2,NA,9,2303.56,2,2322.99,2,92.39,2,3.05,2,41.92,2,0.01,2,0.13,2,NA,9,23.4,1052.68,1.01,0.64,7.596,41.66
"E1462.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",8,7,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE8",50.1,"1000","Kesten Bozinovic","","0022/08/12 15:42:00",54.57,-134.74746,"2022/08/12 09:12:43",7,1025.3231,8.4417,289.69774,289.93913,6.64951,9.50281,6.65505,9.51073,54.57302,-134.74746,148.765,50.593,50.133,8.4467,32.3041,1025.3231,25.0925,8.4417,101.117,104.184,1.0365,8.2,6.7238,9.6089,292.933,300.284,43658,0,1e-5,0.389,0.392,0.388,0.0026,4e-4,0.002,4e-4,0.0027,0.031,0.004,0.0377,0.002,0.0023,0.0033,0.102,0.104,14,"2022/08/12 09:12:43",8,"32RC20220812","RC0083","DE8","DE",8,8,7,7,2,80807,"8/12/22 9:12",2022,8,12,"9:12:43",54.573,-134.7475,2705,50.59,8.4467,2,32.3041,2,292.93,2,NA,9,2033.21,2,2181.92,2,14.92,2,1.1,2,10.17,2,0.17,2,0.47,2,NA,9,9.5,403.36,2.61,1.65,8.032,295.88
"E1463.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",8,10,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE8",4,"1000","Kesten Bozinovic","","0022/08/12 15:42:00",54.57,-134.74826,"2022/08/12 09:17:17",10,1023.7224,14.9952,252.89925,252.66971,5.797,8.2845,5.79174,8.27698,54.57324,-134.74826,103.166,4.037,4.001,14.9958,32.0562,1023.7224,23.7045,14.9952,102.684,96.8562,1.6309,8.304,5.9526,8.5068,259.686,265.842,50240,0,0,0.084,0.088,0.087,2e-4,3e-4,4e-4,2e-4,2e-4,0.051,0.0277,0.0256,0,0.003,0.0043,0.13,0.133,14,"2022/08/12 09:17:17",8,"32RC20220812","RC0083","DE8","DE",8,8,10,10,2,80810,"8/12/22 9:17",2022,8,12,"9:17:17",54.5732,-134.7483,2705,4.04,14.9958,2,32.0562,2,259.69,2,NA,9,1952.2,2,2167.14,2,9.38,2,0.45,2,1.14,2,0.03,2,0.12,2,-1.01,2,8.2,344.54,3.68,2.35,8.101,262.96
"E1464.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",9,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","POW8",1029.7,"1000","Kesten Bozinovic","","0022/08/12 22:34:00",55.22,-135.35132,"2022/08/12 16:02:44",1,1032.1656,3.184,322.09972,323.01225,7.40953,10.58896,7.43052,10.61896,55.21574,-135.35132,1128.336,1041.695,1029.704,3.2569,34.3527,1032.1656,27.3514,3.1841,3.623,106.5586,-0.0878,7.61,0.2685,0.3837,11.67,11.989,39980,0,1e-5,0.248,0.252,0.248,2e-4,3e-4,0.0012,3e-4,2e-4,0.011,0.0203,0.0073,0,9e-4,0.0012,0.037,0.038,14,"2022/08/12 16:02:44",9,"32RC20220812","RC0083","POW8","POW",8,9,1,1,2,80901,"8/12/22 16:02",2022,8,12,"16:02:44",55.2157,-135.3513,2415.6,1041.7,3.2569,2,34.3527,2,11.67,2,17,2,2362.45,2,2377.16,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,24,1037.39,0.9,0.58,7.593,17.43
"E1465.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",9,5,"Niskin; Sterivex 0.22µm filter","95% EtOH","POW8",250.9,"1000","Kesten Bozinovic","","0022/08/12 22:34:00",55.22,-135.35244,"2022/08/12 16:26:59",5,1027.8724,5.4564,306.58043,307.17409,7.04809,10.07242,7.06174,10.09193,55.21734,-135.35244,349.572,253.382,250.939,5.4768,33.8432,1027.8724,26.705,5.4564,27.405,106.9569,-0.089,7.731,1.9315,2.7604,84.019,86.263,74900,0,0,0.294,0.297,0.294,0.0139,6e-4,0.003,0.0016,0.0139,0.061,0.0093,0.0042,0.001,0.0048,0.0069,0.209,0.214,14,"2022/08/12 16:26:59",9,"32RC20220812","RC0083","POW8","POW",8,9,5,5,2,80905,"8/12/22 16:26",2022,8,12,"16:26:59",55.2173,-135.3524,2415.6,253.38,5.4768,2,33.8432,2,84.02,2,87.06,2,2255.6,2,2284.41,2,60.9,2,2.39,2,26.26,2,0.01,2,0.08,2,-0.25,2,21.8,996.26,1.14,0.72,7.68,89.05
"E1466.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",9,12,"Niskin; Sterivex 0.22µm filter","95% EtOH","POW8",2.9,"1000","Kesten Bozinovic","","0022/08/12 22:34:00",55.22,-135.35376,"2022/08/12 16:38:28",12,1023.4885,14.5041,256.14792,255.94147,5.87016,8.38904,5.86542,8.38228,55.21788,-135.35376,102.007,2.928,2.901,14.5045,31.6241,1023.4885,23.4755,14.5041,108.126,84.3329,1.0819,8.348,6.3472,9.0707,276.962,283.464,91438,0,0,0.116,0.116,0.115,5e-4,2e-4,6e-4,2e-4,6e-4,0.07,0.0505,0.0071,0,0.0041,0.0059,0.18,0.184,14,"2022/08/12 16:38:28",9,"32RC20220812","RC0083","POW8","POW",8,9,12,12,2,80912,"8/12/22 16:38",2022,8,12,"16:38:28",55.2179,-135.3538,2415.6,2.93,14.5045,2,31.6241,2,276.96,2,282.24,2,1923.09,2,2155.52,2,8.79,2,0.29,2,NA,9,0.01,2,0.1,2,-1.26,2,7.3,298.49,3.95,2.52,8.135,280.07
"E1467.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",13,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","POW4",166.6,"1000","Kesten Bozinovic","","0022/08/13 05:59:00",55.73,-134.4723,"2022/08/12 23:04:39",1,1027.2478,5.9752,303.40811,303.93468,6.97359,9.96596,6.98569,9.98325,55.7336,-134.4723,177.521,168.196,166.601,5.9892,33.631100000000004,1027.2478,26.474,5.9751,33.991,99.9117,-0.0717,7.738,2.3704,3.3876,103.132,105.863,7998,0,0,0.407,0.308,0.305,0.0026,0.0025,0.0036,0.0023,0.0026,0.07,0.0747,0.0158,0.002,0.005,0.0071,0.216,0.222,14,"2022/08/12 23:04:39",13,"32RC20220812","RC0083","POW4","POW",4,13,1,1,2,41301,"8/12/22 23:04",2022,8,12,"23:04:39",55.7336,-134.4723,175,168.2,5.9892,2,33.631100000000004,2,103.13,2,NA,9,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,9,NA,NA,NA,NA,7.685,107.97
"E1468.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",13,4,"Niskin; Sterivex 0.22µm filter","95% EtOH","POW4",25.8,"1000","Kesten Bozinovic","","0022/08/13 05:59:00",55.73,-134.47225,"2022/08/12 23:10:12",4,1024.5264,9.1559,286.68467,286.84955,6.57595,9.3977,6.57974,9.4031,55.73486,-134.47225,124.4,26.005,25.768,9.1586,31.5684,1024.5264,24.4081,9.1559,73.528,99.8152,1.101,8.023,4.8351,6.9099,210.793,215.938,15978,0,1e-5,0.114,0.115,0.114,0.0067,0.0015,0.0021,0.0021,0.0067,0.32,0.0118,0.0846,0.002,0.0209,0.0298,0.91,0.932,14,"2022/08/12 23:10:12",13,"32RC20220812","RC0083","POW4","POW",4,13,4,4,2,41304,"8/12/22 23:10",2022,8,12,"23:10:12",55.7349,-134.4723,175,26.01,9.1586,2,31.5684,2,210.79,2,NA,9,2054.06,2,2141.35,2,29.48,2,1.18,2,10.7,2,0.14,2,0.33,2,NA,9,14.2,626,1.81,1.14,7.894,214.56
"E1469.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",13,6,"Niskin; Sterivex 0.22µm filter","95% EtOH","POW4",3.7,"1000","Kesten Bozinovic","","0022/08/13 05:59:00",55.74,-134.47222,"2022/08/12 23:12:08",6,1023.9126,10.1017,281.76873,281.84886,6.45996,9.23193,6.4618,9.23455,55.73532,-134.47222,102.607,3.726,3.692,10.1021,31.1052,1023.9127,23.8958,10.1017,105.289,77.9217,10.4754,8.219,6.8017,9.7203,296.674,303.763,18760,0,1e-5,0.226,0.235,0.233,0.0148,0.0041,0.0064,0.0056,0.0149,1.276,0.7296,0.4229,0.003,0.0842,0.1204,3.672,3.762,14,"2022/08/12 23:12:08",13,"32RC20220812","RC0083","POW4","POW",4,13,6,6,2,41306,"8/12/22 23:12",2022,8,12,"23:12:08",55.7353,-134.4722,175,3.73,10.1021,2,31.1052,2,296.67,2,NA,9,1960.57,2,2127.96,2,18.56,2,0.67,2,6.82,2,0.21,2,0.3,2,-1.5,2,8.5,354.63,2.92,1.84,8.042,299.58
"E1470.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",17,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","CS2",476.8,"1000","Kesten Bozinovic","","0022/08/13 15:43:00",56.18,-134.40468,"2022/08/13 09:00:31",1,1029.0093,5.084,309.02708,309.66654,7.10493,10.15366,7.11963,10.17467,56.1767,-134.40468,487.603,481.715,476.769,5.1223,33.8971,1029.0094,26.7912,5.084,21.118,106.1841,-0.0884,7.679,1.5004,2.1442,65.259,67.007,25061,0,0,0.044,0.042,0.042,3e-4,3e-4,3e-4,2e-4,3e-4,0.02,0.0163,0,0.001,0.0014,0.002,0.061,0.062,14,"2022/08/13 09:00:31",17,"32RC20220812","RC0083","CS2","CS",2,17,1,1,2,21701,"8/13/22 9:00",2022,8,13,"9:00:31",56.1767,-134.4047,480,481.72,5.1223,2,33.8971,2,65.26,2,NA,9,2266.78,2,2291.37,2,73.76,2,2.75,2,38.28,2,0.01,2,0.02,2,-0.36,2,22.8,1022.06,1.05,0.67,7.642,70.48
"E1471.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",17,4,"Niskin; Sterivex 0.22µm filter","95% EtOH","CS2",150.3,"1000","Kesten Bozinovic","","0022/08/13 15:43:00",56.18,-134.40536,"2022/08/13 09:11:36",4,1026.778,6.3235,301.95977,302.4354,6.93764,9.91458,6.94857,9.9302,56.17521,-134.40536,248.92,151.725,150.287,6.3365,33.1884,1026.778,26.0806,6.3235,41.587,105.3051,-0.0178,7.829,2.8852,4.1232,125.577,128.852,41019,1e-5,1e-5,0.151,0.152,0.151,0.0066,0.0051,0.0052,0.0049,0.0066,0.207,0.0444,0.0145,0.002,0.0145,0.0208,0.633,0.649,14,"2022/08/13 09:11:36",17,"32RC20220812","RC0083","CS2","CS",2,17,4,4,2,21704,"8/13/22 9:11",2022,8,13,"9:11:36",56.1752,-134.4054,480,151.73,6.3365,2,33.1884,2,125.58,2,NA,9,2160.5,2,2226.18,2,49.77,2,2.2,2,22.51,2,0.09,2,0.01,2,-0.67,2,16.3,729.09,1.51,0.95,7.753,130.2
