reads.in	reads.out
MP_E370_R1_trimmed.fq.gz	121915	112687
MP_E373_R1_trimmed.fq.gz	122426	114393
MP_E378_R1_trimmed.fq.gz	130613	123638
MP_E380_R1_trimmed.fq.gz	152617	145547
MP_E384_3B_R1_trimmed.fq.gz	203199	189941
MP_E386_1B_R1_trimmed.fq.gz	149445	140318
MP_E388_1B_R1_trimmed.fq.gz	179954	161142
MP_E392_R1_trimmed.fq.gz	221853	209919
MP_E394_R1_trimmed.fq.gz	139052	127261
MP_E395_R1_trimmed.fq.gz	151579	141082
MP_E396_R1_trimmed.fq.gz	201300	188915
MP_E400_R1_trimmed.fq.gz	261065	247467
MP_E404_R1_trimmed.fq.gz	184904	176729
MP_E405_R1_trimmed.fq.gz	60011	56685
MP_E406_R1_trimmed.fq.gz	157627	150579
MP_E408_R1_trimmed.fq.gz	205495	196632
MP_E411_1T_R1_trimmed.fq.gz	237029	228138
MP_E412_1B_R1_trimmed.fq.gz	160544	153536
MP_E412_2T_R1_trimmed.fq.gz	82967	78858
MP_E412_3T_R1_trimmed.fq.gz	158688	149339
MP_E413_1B_R1_trimmed.fq.gz	181727	172897
MP_E413_2B_R1_trimmed.fq.gz	144900	136876
MP_E413_3B_R1_trimmed.fq.gz	166972	158081
MP_E418_1B_R1_trimmed.fq.gz	147278	140085
MP_E418_2T_R1_trimmed.fq.gz	160192	153155
MP_E418_3T_R1_trimmed.fq.gz	164558	155378
MP_E419_1B_R1_trimmed.fq.gz	34654	29693
MP_E419_2B_R1_trimmed.fq.gz	84635	81941
MP_E419_3B_R1_trimmed.fq.gz	143363	136351
MP_E423_R1_trimmed.fq.gz	221780	210147
MP_E424_R1_trimmed.fq.gz	173831	165580
MP_E425_R1_trimmed.fq.gz	162952	152360
MP_E427_R1_trimmed.fq.gz	198216	187881
MP_E428_R1_trimmed.fq.gz	146278	138725
MP_E429_R1_trimmed.fq.gz	113941	108637
MP_E430_R1_trimmed.fq.gz	88658	85312
MP_E431_R1_trimmed.fq.gz	75702	60716
MP_E432_R1_trimmed.fq.gz	82986	80182
MP_E433_R1_trimmed.fq.gz	157044	148193
MP_E434_R1_trimmed.fq.gz	108493	102867
MP_E435_R1_trimmed.fq.gz	290286	275496
MP_E436_R1_trimmed.fq.gz	159267	153443
MP_E437_R1_trimmed.fq.gz	145555	137643
MP_E438_R1_trimmed.fq.gz	218140	207336
MP_E440_R1_trimmed.fq.gz	102787	97389
MP_E441_R1_trimmed.fq.gz	111919	105493
MP_E442_R1_trimmed.fq.gz	252607	239833
MP_E444_R1_trimmed.fq.gz	201073	186174
MP_E445_R1_trimmed.fq.gz	23285	19096
MP_E446_1B_PCR1_R1_trimmed.fq.gz	168286	159520
MP_E446_2B_PCR1_R1_trimmed.fq.gz	235779	223842
MP_E446_3B_PCR1_R1_trimmed.fq.gz	211651	203062
MP_E447_1B_PCR1_R1_trimmed.fq.gz	251598	238414
MP_E447_2B_PCR1_R1_trimmed.fq.gz	237297	226531
MP_E447_3B_PCR1_R1_trimmed.fq.gz	174184	166329
MP_E448_1B_PCR1_R1_trimmed.fq.gz	250421	232526
MP_E448_2B_PCR1_R1_trimmed.fq.gz	164677	159162
MP_E448_3B_PCR1_R1_trimmed.fq.gz	192409	185636
MP_E449_1B_PCR1_R1_trimmed.fq.gz	216012	208760
MP_E449_2B_PCR1_R1_trimmed.fq.gz	169133	161794
MP_E449_3B_PCR1_R1_trimmed.fq.gz	153303	146858
MP_E450_1B_PCR1_R1_trimmed.fq.gz	234950	223439
MP_E450_2B_PCR1_R1_trimmed.fq.gz	159014	152759
MP_E450_3B_PCR1_R1_trimmed.fq.gz	232229	222067
MP_E451_R1_trimmed.fq.gz	258887	240903
MP_E453_R1_trimmed.fq.gz	145985	136655
MP_E454_R1_trimmed.fq.gz	152371	142853
MP_E455_R1_trimmed.fq.gz	192188	180506
MP_E458_1B_R1_trimmed.fq.gz	233938	217477
MP_E463_R1_trimmed.fq.gz	120613	112684
MP_E464_R1_trimmed.fq.gz	179740	170415
MP_E465_R1_trimmed.fq.gz	143784	136833
MP_E466_1B_R1_trimmed.fq.gz	211740	200393
MP_E466_2B_R1_trimmed.fq.gz	155875	147202
MP_E466_3B_R1_trimmed.fq.gz	83802	79517
MP_E467_R1_trimmed.fq.gz	67284	64007
MP_E469_R1_trimmed.fq.gz	108331	105043
MP_E470_R1_trimmed.fq.gz	179131	172896
MP_E471_R1_trimmed.fq.gz	260548	251159
MP_E472_R1_trimmed.fq.gz	244984	236631
MP_E474_R1_trimmed.fq.gz	209098	199766
MP_E475_PCR1_R1_trimmed.fq.gz	160614	153036
MP_E476_R1_trimmed.fq.gz	70985	67623
MP_E477_R1_trimmed.fq.gz	134031	127302
MP_E478_R1_trimmed.fq.gz	109744	84077
MP_E479_R1_trimmed.fq.gz	175790	167395
MP_E486_PCR1_R1_trimmed.fq.gz	217964	209006
MP_E487_R1_trimmed.fq.gz	100125	95790
MP_E488_R1_trimmed.fq.gz	162110	154558
MP_E489_R1_trimmed.fq.gz	163023	155075
MP_E490_R1_trimmed.fq.gz	109522	103770
MP_E491_R1_trimmed.fq.gz	164552	155189
MP_E492_1B_PCR1_R1_trimmed.fq.gz	156971	149918
MP_E494_PCR1_R1_trimmed.fq.gz	223667	210469
MP_E495_PCR1_R1_trimmed.fq.gz	193920	181061
MP_E496_1T_PCR1_R1_trimmed.fq.gz	203534	194585
MP_E496_2T_PCR1_R1_trimmed.fq.gz	235949	221828
MP_E496_3B_PCR1_R1_trimmed.fq.gz	188629	179516
MP_E497_PCR1_R1_trimmed.fq.gz	207623	196199
MP_E498_1B_PCR1_R1_trimmed.fq.gz	243451	228328
MP_E498_2B_PCR1_R1_trimmed.fq.gz	255282	242968
MP_E498_3B_PCR1_R1_trimmed.fq.gz	215927	203657
MP_E499_R1_trimmed.fq.gz	198474	188581
MP_E501_R1_trimmed.fq.gz	141787	134324
MP_E502_R1_trimmed.fq.gz	158688	150030
MP_E503_R1_trimmed.fq.gz	188747	177272
MP_E504_R1_trimmed.fq.gz	186060	176790
MP_E505_R1_trimmed.fq.gz	94659	88898
MP_E506_R1_trimmed.fq.gz	201014	188550
MP_E516_R1_trimmed.fq.gz	206959	189897
MP_E520_1B_R1_trimmed.fq.gz	154218	145799
MP_E522_1B_R1_trimmed.fq.gz	141423	129274
MP_E522_2T_R1_trimmed.fq.gz	124522	116382
MP_E522_3T_R1_trimmed.fq.gz	50301	46365
MP_E523_1B_R1_trimmed.fq.gz	163959	155243
MP_E523_2B_R1_trimmed.fq.gz	124210	117560
MP_E523_3B_R1_trimmed.fq.gz	170546	160049
MP_E524_R1_trimmed.fq.gz	191792	182175
MP_E528_R1_trimmed.fq.gz	203385	192106
MP_E529_R1_trimmed.fq.gz	237485	224464
MP_E531_R1_trimmed.fq.gz	157033	149094
MP_E532_R1_trimmed.fq.gz	172745	162386
MP_E533_R1_trimmed.fq.gz	108802	102188
MP_E534_R1_trimmed.fq.gz	138406	128788
MP_E535_R1_trimmed.fq.gz	146397	138214
MP_E536_R1_trimmed.fq.gz	221945	212057
MP_E537_R1_trimmed.fq.gz	143717	136128
MP_E538_R1_trimmed.fq.gz	162837	154084
MP_E539_R1_trimmed.fq.gz	121213	115158
MP_E540_R1_trimmed.fq.gz	261078	247616
MP_E541_R1_trimmed.fq.gz	178067	169436
MP_E542_R1_trimmed.fq.gz	168789	161215
MP_E543_R1_trimmed.fq.gz	105821	100423
MP_E544_R1_trimmed.fq.gz	133436	128325
MP_E545_R1_trimmed.fq.gz	204894	197076
MP_E552_R1_trimmed.fq.gz	94594	87035
MP_E555_R1_trimmed.fq.gz	123064	116353
MP_E557_R1_trimmed.fq.gz	158852	152018
MP_E560_R1_trimmed.fq.gz	221714	209916
MP_E561_R1_trimmed.fq.gz	242181	229050
MP_E562_R1_trimmed.fq.gz	201120	191400
MP_E563_R1_trimmed.fq.gz	169655	159946
MP_E564_R1_trimmed.fq.gz	174568	164938
MP_E565_R1_trimmed.fq.gz	230320	220257
MP_E566_R1_trimmed.fq.gz	111788	106773
MP_E567_R1_trimmed.fq.gz	164696	153654
MP_E568_R1_trimmed.fq.gz	167663	159927
MP_E569_R1_trimmed.fq.gz	241705	226375
MP_E570_R1_trimmed.fq.gz	196253	187061
MP_E571_R1_trimmed.fq.gz	172344	163479
MP_E572_R1_trimmed.fq.gz	118759	113338
MP_E573_1B_PCR1_R1_trimmed.fq.gz	242431	227368
MP_E573_2B_PCR1_R1_trimmed.fq.gz	203515	195098
MP_E573_3B_PCR1_R1_trimmed.fq.gz	192934	184412
MP_E574_1B_PCR1_R1_trimmed.fq.gz	272340	257290
MP_E574_2B_PCR1_R1_trimmed.fq.gz	243309	230365
MP_E574_3B_PCR1_R1_trimmed.fq.gz	244297	230911
MP_E575_1B_PCR1_R1_trimmed.fq.gz	120905	113399
MP_E575_2B_PCR1_R1_trimmed.fq.gz	178261	169419
MP_E575_3B_PCR1_R1_trimmed.fq.gz	220535	211098
MP_E579_R1_trimmed.fq.gz	180166	172049
MP_E580_R1_trimmed.fq.gz	111164	106122
MP_E581_R1_trimmed.fq.gz	145068	137971
MP_E583_R1_trimmed.fq.gz	204126	191852
MP_E588_R1_trimmed.fq.gz	208287	196914
MP_E590_R1_trimmed.fq.gz	179870	167579
MP_E592_R1_trimmed.fq.gz	173909	164348
MP_E593_R1_trimmed.fq.gz	126274	118179
MP_E594_R1_trimmed.fq.gz	169588	159636
MP_E595_R1_trimmed.fq.gz	202013	191708
MP_E596_R1_trimmed.fq.gz	179903	170435
MP_E597_R1_trimmed.fq.gz	195420	186740
MP_E598_1B_PCR1_R1_trimmed.fq.gz	208817	196187
MP_E598_2B_PCR1_R1_trimmed.fq.gz	168133	161258
MP_E598_3B_PCR1_R1_trimmed.fq.gz	205083	194693
MP_E599_PCR1_R1_trimmed.fq.gz	236488	224552
MP_E600_1B_PCR1_R1_trimmed.fq.gz	151940	141572
MP_E600_2B_PCR1_R1_trimmed.fq.gz	208238	196493
MP_E600_3B_PCR1_R1_trimmed.fq.gz	274306	263335
MP_E601_R1_trimmed.fq.gz	171297	164667
MP_E602_R1_trimmed.fq.gz	172845	165440
MP_E603_R1_trimmed.fq.gz	139138	131051
MP_E604_R1_trimmed.fq.gz	228182	219817
MP_E605_R1_trimmed.fq.gz	97492	84229
MP_E606_R1_trimmed.fq.gz	92624	76818
MP_E607_R1_trimmed.fq.gz	193286	185487
MP_E609_R1_trimmed.fq.gz	110647	80285
MP_E622_R1_trimmed.fq.gz	156876	147341
MP_E623_R1_trimmed.fq.gz	178240	169070
MP_E626_R1_trimmed.fq.gz	148961	140612
MP_E627_R1_trimmed.fq.gz	158491	148053
MP_E632_R1_trimmed.fq.gz	121018	114168
MP_E633_R1_trimmed.fq.gz	149181	141965
MP_E634_R1_trimmed.fq.gz	80746	43034
MP_E635_R1_trimmed.fq.gz	159272	148973
MP_E636_R1_trimmed.fq.gz	201917	190560
MP_E637_R1_trimmed.fq.gz	171373	163225
MP_E638_R1_trimmed.fq.gz	181925	174081
MP_E639_R1_trimmed.fq.gz	174138	166343
MP_E640_R1_trimmed.fq.gz	173136	166458
MP_E649_R1_trimmed.fq.gz	183140	161410
MP_E650_R1_trimmed.fq.gz	193091	185188
MP_E653_R1_trimmed.fq.gz	186252	170844
MP_E654_R1_trimmed.fq.gz	190948	181058
MP_E655_R1_trimmed.fq.gz	204530	195308
MP_E656_R1_trimmed.fq.gz	150005	143472
MP_E657_R1_trimmed.fq.gz	204713	194758
MP_E658_1B_R1_trimmed.fq.gz	212421	202343
MP_E658_2T_R1_trimmed.fq.gz	160148	151226
MP_E658_3T_R1_trimmed.fq.gz	192607	184359
MP_E659_1B_R1_trimmed.fq.gz	172536	163724
MP_E659_2B_R1_trimmed.fq.gz	117596	96903
MP_E659_3B_R1_trimmed.fq.gz	150759	138476
MP_E660_1B_R1_trimmed.fq.gz	174013	154370
MP_E660_2B_R1_trimmed.fq.gz	194830	178758
MP_E660_3B_R1_trimmed.fq.gz	108413	75814
MP_E661_R1_trimmed.fq.gz	226563	216228
MP_E663_R1_trimmed.fq.gz	234238	220308
MP_E666_R1_trimmed.fq.gz	204142	193297
MP_E667_R1_trimmed.fq.gz	185244	175132
MP_E675_1B_R1_trimmed.fq.gz	66566	62856
MP_E680_R1_trimmed.fq.gz	190431	177249
MP_E681_R1_trimmed.fq.gz	130171	120943
MP_E685_R1_trimmed.fq.gz	252714	242705
MP_E686_R1_trimmed.fq.gz	210316	199048
MP_E688_R1_trimmed.fq.gz	167945	162161
MP_E689_R1_trimmed.fq.gz	252259	236383
MP_E690_R1_trimmed.fq.gz	96850	93087
MP_E691_1B_R1_trimmed.fq.gz	243898	232606
MP_E691_2B_R1_trimmed.fq.gz	193121	183832
MP_E691_3B_R1_trimmed.fq.gz	138768	129967
MP_E692_1B_R1_trimmed.fq.gz	204540	195344
MP_E692_2B_R1_trimmed.fq.gz	199823	189844
MP_E692_3B_R1_trimmed.fq.gz	208450	200749
