sample	lat	long	replicate	Site	Depth	bottle	oxy_conc_ch1 (micromole_kg-1)	salinity_ch1 (PSU)	chlor_fluorescence (ugrams_l-1)	silicate µM	nitrate_plus_nitriteµM	phosphate µM	ammonia	total inroganic N	total inorganic NtoP	pressure (decibar)	time (UTC)
E265.2B.NO20	67.331	-168.9	E265	UTN3	41.887	2	248.85	32.758	NA	NA	NA	NA	NA	NA	NA	42.312	2020-10-10T20:15:7Z
E266.1B.NO20	67.331	-168.9	E266	UTN3	3.493	7	291.98	30.881	NA	NA	NA	NA	NA	NA	NA	3.528	2020-10-10T20:20:3Z
E266.2B.NO20	67.331	-168.9	E266	UTN3	3.493	7	291.98	30.881	NA	NA	NA	NA	NA	NA	NA	3.528	2020-10-10T20:20:3Z
E267.1B.NO20	66.708	-168.4	E267	UTN1	28.05	2	289.39	32.422	NA	NA	NA	NA	NA	NA	NA	28.333	2020-10-11T3:47:21Z
E267.2B.NO20	66.708	-168.4	E267	UTN1	28.05	2	289.39	32.422	NA	NA	NA	NA	NA	NA	NA	28.333	2020-10-11T3:47:21Z
E268.1B.NO20	66.708	-168.4	E268	UTN1	5.287	5	293.05	32.418	4.924	18.62	14.6	1.61	1.53	16.13	10.01863354	5.34	2020-10-11T3:49:27Z
E268.2B.NO20	66.708	-168.4	E268	UTN1	5.287	5	293.05	32.418	4.924	18.62	14.6	1.61	1.53	16.13	10.01863354	5.34	2020-10-11T3:49:27Z
E269.1B.NO20	65.716	-168.9	E269	BRS5	42.587	2	276.87	32.401	NA	NA	NA	NA	NA	NA	NA	43.016	2020-10-11T12:41:58Z
E269.2B.NO20	65.716	-168.9	E269	BRS5	42.587	2	276.87	32.401	NA	NA	NA	NA	NA	NA	NA	43.016	2020-10-11T12:41:58Z
E270.1B.NO20	65.716	-168.9	E270	BRS5	5.437	7	291.44	31.09	3.144	17.18	7.29	1.14	1.54	8.83	7.745614035	5.491	2020-10-11T12:46:58Z
E270.2B.NO20	65.716	-168.9	E270	BRS5	5.437	7	291.44	31.09	3.144	17.18	7.29	1.14	1.54	8.83	7.745614035	5.491	2020-10-11T12:46:58Z
E271.1B.NO20	65.681	-168.57	E271	BRS3	47.044	2	283.72	31.094	NA	NA	NA	NA	NA	NA	NA	47.517	2020-10-11T14:44:58Z
E271.2B.NO20	65.681	-168.57	E271	BRS3	47.044	2	283.72	31.094	NA	NA	NA	NA	NA	NA	NA	47.517	2020-10-11T14:44:58Z
E272.1B.NO20	65.681	-168.57	E272	BRS3	4.475	7	289.25	30.539	1.336	19.57	6.7	1.18	2.06	8.76	7.423728814	4.519	2020-10-11T14:49:4Z
E272.2B.NO20	65.681	-168.57	E272	BRS3	4.475	7	289.25	30.539	1.336	19.57	6.7	1.18	2.06	8.76	7.423728814	4.519	2020-10-11T14:49:4Z
E273.1B.NO20	65.655	-168.22	E273	BRS1	36.718	2	291.21	29.877	NA	NA	NA	NA	NA	NA	NA	37.087	2020-10-11T17:13:19Z
E273.2B.NO20	65.655	-168.22	E273	BRS1	36.718	2	291.21	29.877	NA	NA	NA	NA	NA	NA	NA	37.087	2020-10-11T17:13:19Z
E274.1B.NO20	65.656	-168.22	E274	BRS1	4.63	6	294.96	29.197	NA	NA	NA	NA	NA	NA	NA	4.676	2020-10-11T17:17:55Z
E274.2B.NO20	65.656	-168.22	E274	BRS1	4.63	6	294.96	29.197	NA	NA	NA	NA	NA	NA	NA	4.676	2020-10-11T17:17:55Z
E275.1B.NO20	62.201	-174.67	E275	M8_DBO1	66.801	2	280.39	32.348	0.232	21.31	12.6	1.34	7.06	19.66	14.67164179	67.459	2020-10-13T19:14:30Z
E275.2B.NO20	62.201	-174.67	E275	M8_DBO1	66.801	2	280.39	32.348	0.232	21.31	12.6	1.34	7.06	19.66	14.67164179	67.459	2020-10-13T19:14:30Z
E276.1B.NO20	62.201	-174.66	E276	M8_DBO1	4.149	5	289.12	31.934	1.3	1.91	0.46	0.35	0.46	0.92	2.628571429	4.19	2020-10-13T19:20:2Z
E276.2B.NO20	62.201	-174.66	E276	M8_DBO1	4.149	5	289.12	31.934	1.3	1.91	0.46	0.35	0.46	0.92	2.628571429	4.19	2020-10-13T19:20:2Z
E277.1B.NO20	62.051	-175.21	E277	SLIP2_DBO1.2	77.206	3	257.52	32.341	NA	NA	NA	NA	NA	NA	NA	77.968	2020-10-13T22:54:35Z
E277.2B.NO20	62.051	-175.21	E277	SLIP2_DBO1.2	77.206	3	257.52	32.341	NA	NA	NA	NA	NA	NA	NA	77.968	2020-10-13T22:54:35Z
E277.3B.NO20	62.051	-175.21	E277	SLIP2_DBO1.2	77.206	3	257.52	32.341	NA	NA	NA	NA	NA	NA	NA	77.968	2020-10-13T22:54:35Z
E278.1B.NO20	62.05	-175.21	E278	SLIP2_DBO1.2	5.436	12	287.76	32.149	NA	NA	NA	NA	NA	NA	NA	5.489	2020-10-13T23:1:12Z
