ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_100	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	Parasagitta	Parasagitta elegans
ASV_1000	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	NA	NA
ASV_10000	Eukaryota	Gastrotricha	Chaetonotida__c	Chaetonotida	Chaetonotidae	Chaetonotus	NA
ASV_10001	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_10002	Eukaryota	Apusomonadida__c__p	Apusomonadida__c	Apusomonadida	Apusomonadidae	Karpovia	NA
ASV_10003	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_10004	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA
ASV_10005	Eukaryota	Bigyra__p	Bigyra	Amphifilida	NA	NA	NA
ASV_10006	Eukaryota	Raphidophyceae__p	Raphidophyceae	Chattonellales	Vacuolariaceae	NA	NA
ASV_10007	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10008	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Ensiculiferaceae	Ensiculifera	Ensiculifera mexicana
ASV_10009	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_1001	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA
ASV_10010	Eukaryota	Apicomplexa	Conoidasida	Eugregarinorida	NA	NA	NA
ASV_10011	Eukaryota	Foraminifera	Astrorhizida__c	Astrorhizida	Bathysiphonidae	NA	NA
ASV_10012	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Sclerocrangon	Sclerocrangon boreas
ASV_10013	Eukaryota	Euglenozoa	Euglenida	Petalomonadida	NA	NA	NA
ASV_10014	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Podolampadaceae	Podolampas	NA
ASV_10015	Eukaryota	Mollusca	Polyplacophora	Chitonida	Mopaliidae	Mopalia	NA
ASV_10016	Eukaryota	Ichthyosporea__p	Ichthyosporea	Dermocystida	NA	NA	NA
ASV_10017	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira	NA
