reads.in	reads.out
MP_E25_2B_DY20_R1_trimmed.fq.gz	165929	150267
MP_E26_1B_DY20_R1_trimmed.fq.gz	65718	60692
MP_E26_2B_DY20_R1_trimmed.fq.gz	110063	100682
MP_E27_2B_DY20_R1_trimmed.fq.gz	131015	118441
MP_E28_1B_DY20_R1_trimmed.fq.gz	119729	111190
MP_E28_2B_DY20_R1_trimmed.fq.gz	121920	108996
MP_E29_1B_DY20_R1_trimmed.fq.gz	131059	118748
MP_E29_2B_DY20_R1_trimmed.fq.gz	158480	147528
MP_E31_1B_DY20_R1_trimmed.fq.gz	78432	66745
MP_E31_2B_DY20_R1_trimmed.fq.gz	137830	126540
MP_E32_2B_DY20_R1_trimmed.fq.gz	169758	153916
MP_E33_1B_DY20_R1_trimmed.fq.gz	158756	145256
MP_E33_2B_DY20_R1_trimmed.fq.gz	170285	154872
MP_E34_1B_DY20_R1_trimmed.fq.gz	60877	54712
MP_E35_1B_DY20_R1_trimmed.fq.gz	163227	149473
MP_E35_2B_DY20_R1_trimmed.fq.gz	174129	159827
MP_E36_1B_DY20_R1_trimmed.fq.gz	54983	49827
MP_E36_2B_DY20_R1_trimmed.fq.gz	45041	40677
MP_E37_1B_DY20_R1_trimmed.fq.gz	110934	96365
MP_E37_2B_DY20_R1_trimmed.fq.gz	144468	132671
MP_E38_1B_DY20_R1_trimmed.fq.gz	129033	118188
MP_E38_2B_DY20_R1_trimmed.fq.gz	132113	121308
MP_E39_1B_DY20_R1_trimmed.fq.gz	135576	124387
MP_E39_2B_DY20_R1_trimmed.fq.gz	145569	133378
MP_E40_1B_DY20_R1_trimmed.fq.gz	132271	119974
MP_E40_2B_DY20_R1_trimmed.fq.gz	137440	125557
MP_E42_1B_DY20_R1_trimmed.fq.gz	159827	137078
MP_E42_2B_DY20_R1_trimmed.fq.gz	131398	121803
MP_E43_1B_DY20_R1_trimmed.fq.gz	131866	121354
MP_E43_2B_DY20_R1_trimmed.fq.gz	125205	114282
MP_E44_DY20_R1_trimmed.fq.gz	122341	112179
MP_E45_1B_DY20_R1_trimmed.fq.gz	141339	129311
MP_E45_2B_DY20_R1_trimmed.fq.gz	145595	134269
MP_E46_1B_DY20_R1_trimmed.fq.gz	166164	151555
MP_E46_2B_DY20_R1_trimmed.fq.gz	115515	105050
MP_E47_1B_DY20_R1_trimmed.fq.gz	81824	75397
MP_E47_2B_DY20_R1_trimmed.fq.gz	65311	60204
MP_E48_1B_DY20_R1_trimmed.fq.gz	179701	163861
MP_E48_2B_DY20_R1_trimmed.fq.gz	174740	160923
MP_E49_1B_DY20_R1_trimmed.fq.gz	124478	112666
MP_E49_2B_DY20_R1_trimmed.fq.gz	114318	105885
MP_E50_1B_DY20_R1_trimmed.fq.gz	132157	121067
MP_E50_2B_DY20_R1_trimmed.fq.gz	133663	122000
MP_E51_1B_DY20_R1_trimmed.fq.gz	137472	126265
MP_E51_2B_DY20_R1_trimmed.fq.gz	114711	90109
MP_E52_1B_DY20_R1_trimmed.fq.gz	152542	140494
MP_E52_2B_DY20_R1_trimmed.fq.gz	147924	134985
MP_E53_1B_DY20_R1_trimmed.fq.gz	115149	105161
MP_E53_2B_DY20_R1_trimmed.fq.gz	117850	108653
MP_E54_1B_DY20_R1_trimmed.fq.gz	137243	127271
MP_E54_2B_DY20_R1_trimmed.fq.gz	125409	115129
MP_E55_1B_DY20_R1_trimmed.fq.gz	115203	106713
MP_E55_2B_DY20_R1_trimmed.fq.gz	121556	112606
MP_E57_1B_DY20_R1_trimmed.fq.gz	143976	130317
MP_E57_2B_DY20_R1_trimmed.fq.gz	134027	123705
MP_E58_1B_DY20_R1_trimmed.fq.gz	75372	69239
MP_E58_2B_DY20_R1_trimmed.fq.gz	142504	130374
MP_E59_1B_DY20_R1_trimmed.fq.gz	121551	111209
MP_E59_2B_DY20_R1_trimmed.fq.gz	156007	143688
MP_E60_1B_DY20_R1_trimmed.fq.gz	114620	106964
MP_E60_2B_DY20_R1_trimmed.fq.gz	20961	16986
MP_E61_1B_DY20_R1_trimmed.fq.gz	141949	130257
MP_E61_2B_DY20_R1_trimmed.fq.gz	153670	139583
MP_E62_1B_DY20_R1_trimmed.fq.gz	147434	136493
MP_E62_2B_DY20_R1_trimmed.fq.gz	133700	122114
MP_E63_1B_DY20_R1_trimmed.fq.gz	136379	112704
MP_E63_2B_DY20_R1_trimmed.fq.gz	141941	131397
MP_E64_1B_DY20_R1_trimmed.fq.gz	130771	120282
MP_E64_2B_DY20_R1_trimmed.fq.gz	23785	21830
MP_E65_1B_DY20_R1_trimmed.fq.gz	158579	146260
MP_E65_2B_DY20_R1_trimmed.fq.gz	141787	130605
MP_E66_1B_DY20_R1_trimmed.fq.gz	59206	54533
MP_E66_2B_DY20_R1_trimmed.fq.gz	94764	87191
MP_E67_1B_DY20_R1_trimmed.fq.gz	144486	133126
MP_E67_2B_DY20_R1_trimmed.fq.gz	139988	124825
MP_E68_1B_DY20_R1_trimmed.fq.gz	78115	71812
MP_E68_2B_DY20_R1_trimmed.fq.gz	51154	47383
MP_E69_2B_DY20_R1_trimmed.fq.gz	137985	127886
MP_E70_1B_DY20_R1_trimmed.fq.gz	130695	121266
MP_E70_2B_DY20_R1_trimmed.fq.gz	127777	118486
MP_E71_1B_DY20_R1_trimmed.fq.gz	144918	133146
MP_E71_2B_DY20_R1_trimmed.fq.gz	163831	149739
MP_E72_1B_DY20_R1_trimmed.fq.gz	122786	113183
MP_E72_2B_DY20_R1_trimmed.fq.gz	112020	102985
MP_E233_1B_NO20_R1_trimmed.fq.gz	183834	168286
MP_E233_2B_NO20_R1_trimmed.fq.gz	170425	156370
MP_E234_1B_NO20_R1_trimmed.fq.gz	179899	165765
MP_E234_2B_NO20_R1_trimmed.fq.gz	173170	158967
MP_E234_3B_NO20_R1_trimmed.fq.gz	214927	197043
MP_E235_1B_NO20_R1_trimmed.fq.gz	168782	152282
MP_E235_2B_NO20_R1_trimmed.fq.gz	151893	139662
MP_E235_3B_NO20_R1_trimmed.fq.gz	177860	162084
MP_E236_1B_NO20_R1_trimmed.fq.gz	166378	152162
MP_E236_2B_NO20_R1_trimmed.fq.gz	170539	156413
MP_E236_3B_NO20_R1_trimmed.fq.gz	183110	167699
MP_E237_1B_NO20_R1_trimmed.fq.gz	170061	157103
MP_E237_2B_NO20_R1_trimmed.fq.gz	202638	186101
MP_E238_1B_NO20_R1_trimmed.fq.gz	190389	175366
MP_E238_2B_NO20_R1_trimmed.fq.gz	166092	153600
