dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E611_1B_WCOA21	412693	292155	292124	292126	287601	285418	69.2
MP_E614_WCOA21	605895	537948	537852	537622	473756	470080	77.6
MP_E619_WCOA21	592902	451770	451474	451442	433247	430430	72.6
MP_E624_WCOA21	549860	414492	414382	414399	382501	379349	69
MP_E645_WCOA21	436650	322943	322803	322831	311525	309369	70.9
MP_E668_WCOA21	440870	342181	341871	341973	322783	317849	72.1
MP_E671_WCOA21	641112	465086	464665	464498	428768	424552	66.2
MP_E678_WCOA21	498714	341574	341015	340832	323081	319521	64.1
MP_E697_WCOA21	351870	287123	286778	286809	278268	274082	77.9
MP_E731_WCOA21	547840	354906	354866	354843	325816	322791	58.9
MP_E754_WCOA21	198849	175676	175523	175573	163339	162389	81.7
MP_E777_WCOA21	627854	535011	534415	534573	516545	508441	81
MP_E782_WCOA21	473249	356868	356781	356796	341715	336769	71.2
MP_E786_WCOA21	531591	346801	346622	346680	324803	320987	60.4
MP_E790_WCOA21	491281	405790	405680	405640	388550	385914	78.6
MP_E806_1B_WCOA21	623933	595438	595237	594832	591640	587465	94.2
MP_E815_WCOA21	482329	271287	270853	271054	256326	253844	52.6
MP_E820_WCOA21	504564	390170	389977	389796	366872	364289	72.2
MP_E828_WCOA21	550559	449358	449011	448752	431538	427697	77.7
MP_E834_WCOA21	325038	197285	196897	196860	129253	112145	34.5
MP_E882_1B_WCOA21	554405	326205	325798	325800	316577	312414	56.4
MP_E888_WCOA21	423245	243327	243297	243306	225580	223628	52.8
MP_E893_WCOA21	490997	380510	380330	380467	352291	342959	69.8
MP_E897_WCOA21	618406	591155	591006	590836	584223	582619	94.2
MP_E902_1B_WCOA21	634535	554324	554174	554065	548928	546170	86.1
MP_E969_1T_NA128	588480	414000	413278	413179	399166	394206	67
MP_E970_1T_NA128	479037	351793	350950	351212	338611	334572	69.8
MP_E971_1T_NA128	481341	270589	269531	269749	256646	252805	52.5
MP_E972_1T_NA128	468260	317923	317152	317371	307965	304469	65
MP_E973_1T_NA128	965051	764276	762990	762488	745515	725275	75.2
MP_E977_2T_NA128	520247	402492	402113	402280	388600	386249	74.2
MP_E978_2T_NA128	532707	372552	372292	372161	359460	357350	67.1
MP_E979_1T_NA128	466711	422113	421805	421721	412553	405750	86.9
MP_E980_1T_NA128	530687	329572	329413	329371	319833	316011	59.5
MP_E985_1T_NA128	426715	335699	335414	335343	321410	318689	74.7
MP_E991_1T_NA128	583445	455721	455030	455211	430035	421136	72.2
MP_E994_2T_NA128	657841	435175	434803	434615	399390	395561	60.1
MP_E995_1T_NA128	479065	325586	325168	325085	292626	289730	60.5
MP_E996_1T_NA128	442159	309827	309449	309448	278415	275444	62.3
MP_E1005_1T_NA128	470689	363525	363229	363233	328222	322861	68.6
MP_E1011_2T_NA128	474337	406451	404345	404502	385215	352461	74.3
MP_E1012_1T_NA128	463730	324578	324035	324226	312528	307548	66.3
MP_E1013_1T_NA128	503735	394785	394588	394435	384120	381943	75.8
MP_E1014_1T_NA128	456984	278562	276159	276347	258170	238650	52.2
MP_E1015_1T_NA128	538567	480070	479831	479911	470694	458154	85.1
MP_E1020_1T_NA128	655397	569819	569549	569297	555734	542564	82.8
MP_E1021_1T_NA128	494546	359874	359403	359504	341378	338112	68.4
MP_E1022_1T_NA128	384853	290254	288372	288468	271318	232454	60.4
MP_E1024_1T_NA128	502977	346288	346210	346267	336364	335053	66.6
MP_E1025_1T_NA128	598594	389608	389255	389187	375737	369332	61.7
MP_E1623_1B_Chaba22	810937	557398	556984	556894	526415	519385	64
MP_E1624_1B_Chaba22	614078	454356	453543	453510	425898	415806	67.7
MP_E1625_1B_Chaba22	689130	593534	593090	593171	588593	561582	81.5
MP_E1626_1B_Chaba22	588521	419279	418796	418901	376947	373289	63.4
MP_E1627_1B_Chaba22	768565	620432	619777	619630	583122	569355	74.1
MP_E1631_Chaba22	556100	461174	460592	460217	448648	429381	77.2
MP_E1632_Chaba22	488888	379388	378999	379029	356616	352357	72.1
MP_E1634_Chaba22	719386	603778	603184	603267	595379	579788	80.6
MP_E1635_Chaba22	633383	490782	490379	490571	468142	462066	73
MP_E1637_Chaba22	581797	400498	400013	400145	391589	377243	64.8
MP_E2084_SKQ23_12S	66530	20106	20089	20101	18164	18134	27.3
MP_E2090_SKQ23_12S	122462	61584	61399	61533	58851	58350	47.6
MP_E2097_SKQ23_12S	144942	94679	94468	94573	85427	84959	58.6
MP_E2138_1T_QiavacTest	213694	186802	186128	186110	152320	150561	70.5
MP_E2138_2T_QiavacTest	168670	156289	155810	155921	135716	133926	79.4
MP_E2139_1T_QiavacTest	167570	147437	146930	146853	125542	123705	73.8
MP_E2139_2T_QiavacTest	88593	84264	84006	84018	71856	70577	79.7
MP_E2139_3T_QiavacTest	190646	168390	167746	167823	134165	132842	69.7
MP_E2139_4T_QiavacTest	173782	159668	159194	159178	136525	133830	77
MP_E2140_Kotzebue23	258813	238601	237989	238043	231975	218716	84.5
MP_E2141_Kotzebue23	207423	199178	198725	198813	196228	186378	89.9
MP_POSITIVE	424	357	355	356	345	342	80.7
