dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E25_2B_DY20	94562	72302	72277	72257	71494	71214	75.3
MP_E26_1B_DY20	70283	67717	67685	67700	67602	67275	95.7
MP_E26_2B_DY20	159111	142912	142840	142779	140878	137819	86.6
MP_E27_1B_DY20	47241	25514	25507	25504	24614	24602	52.1
MP_E27_2B_DY20	164049	144601	144495	144504	143194	139885	85.3
MP_E28_1B_DY20	110676	88102	88081	88051	87577	86602	78.2
MP_E28_2B_DY20	125930	111460	111422	111391	110659	110215	87.5
MP_E29_1B_DY20	181983	170878	170824	170776	169978	169110	92.9
MP_E29_2B_DY20	166482	157447	157402	157400	156746	155045	93.1
MP_E30_1B_DY20	56451	53927	53915	53882	53564	53485	94.7
MP_E30_2B_DY20	37559	33544	33512	33528	33293	32668	87
MP_E31_1B_DY20	103263	59248	59205	59193	58805	57940	56.1
MP_E31_2B_DY20	126412	99578	99544	99496	98284	96606	76.4
MP_E32_1B_DY20	133589	112065	111982	112036	111837	110942	83
MP_E32_2B_DY20	191237	173339	173092	172997	171078	165586	86.6
MP_E33_1B_DY20	69503	62451	62449	62444	46017	45961	66.1
MP_E33_2B_DY20	84321	79682	79643	79630	79450	79350	94.1
MP_E34_1B_DY20	176415	167087	166992	167000	166599	165226	93.7
MP_E34_2B_DY20	173159	160154	160064	160044	159377	157921	91.2
MP_E35_1B_DY20	143307	132064	131983	131943	130320	128390	89.6
MP_E35_2B_DY20	142519	125105	124964	124998	123631	122395	85.9
MP_E36_1B_DY20	175578	157607	157378	157315	154549	149447	85.1
MP_E36_2B_DY20	195014	178643	178353	178381	176456	172377	88.4
MP_E37_1B_DY20	144834	123504	123421	123301	121072	114303	78.9
MP_E37_2B_DY20	204344	191424	191266	191144	188970	174662	85.5
MP_E38_1B_DY20	190703	173502	173129	173035	171343	163769	85.9
MP_E38_2B_DY20	203114	180915	180524	180373	177558	170452	83.9
MP_E39_1B_DY20	191338	175203	174853	174712	170338	144468	75.5
MP_E39_2B_DY20	198488	176591	176221	176213	171887	142159	71.6
MP_E40_1B_DY20	218773	196586	196391	196277	193493	171485	78.4
MP_E40_2B_DY20	180291	158454	158189	158157	152636	127271	70.6
MP_E42_1B_DY20	180912	150672	150511	150445	147330	135391	74.8
MP_E42_2B_DY20	173662	155751	155650	155546	153165	142979	82.3
MP_E43_1B_DY20	194294	174711	174468	174357	170350	161732	83.2
MP_E43_2B_DY20	179860	164045	163788	163564	161110	152224	84.6
MP_E44_DY20	166607	147955	147680	147611	144191	137098	82.3
MP_E45_1B_DY20	126286	104815	104799	104772	101828	94739	75
MP_E45_2B_DY20	177263	159507	159293	159209	156655	134773	76
MP_E46_1B_DY20	211988	186655	186536	186573	184324	172949	81.6
MP_E46_2B_DY20	176976	157448	156954	156950	153079	126301	71.4
MP_E47_1B_DY20	179776	165556	165342	165274	162186	143153	79.6
MP_E47_2B_DY20	172555	151785	151521	151439	148857	131468	76.2
MP_E48_1B_DY20	182031	157820	157673	157514	155432	138942	76.3
MP_E48_2B_DY20	210045	191895	191555	191532	187369	165452	78.8
MP_E49_1B_DY20	230261	201969	201146	200719	195960	183008	79.5
MP_E49_2B_DY20	205285	183352	182729	182407	178046	165291	80.5
MP_E50_1B_DY20	177539	148394	148096	147971	146097	141937	79.9
MP_E50_2B_DY20	147489	126164	126010	125993	124875	123520	83.7
MP_E51_1B_DY20	175526	148723	148591	148521	146750	144494	82.3
MP_E51_2B_DY20	132988	96437	96157	96210	94372	92854	69.8
MP_E52_1B_DY20	210454	197052	196894	196829	195069	188004	89.3
MP_E52_2B_DY20	217340	194932	194792	194686	191530	182886	84.1
MP_E53_1B_DY20	173331	153129	152919	152842	150301	147183	84.9
MP_E53_2B_DY20	190840	170921	170672	170555	168417	164744	86.3
MP_E54_1B_DY20	201820	186244	185879	185875	182381	168960	83.7
MP_E54_2B_DY20	213507	189130	188873	188741	186114	172778	80.9
MP_E55_1B_DY20	163209	147350	147094	147090	145151	140837	86.3
MP_E55_2B_DY20	172381	150909	150686	150660	148692	144556	83.9
MP_E57_1B_DY20	194597	171648	171538	171483	167864	160297	82.4
MP_E57_2B_DY20	162305	145634	145458	145447	142805	133572	82.3
MP_E58_1B_DY20	195694	170826	170554	170452	168873	162750	83.2
MP_E58_2B_DY20	171933	147718	147469	147370	145558	140975	82
MP_E59_1B_DY20	167428	147461	147366	147400	145513	140558	84
MP_E59_2B_DY20	192658	159951	159790	159779	158199	152484	79.1
MP_E60_1B_DY20	182090	166005	165677	165541	163770	152812	83.9
MP_E60_2B_DY20	187367	151351	150923	150960	148065	139414	74.4
MP_E61_1B_DY20	196723	169022	168965	168904	167508	163001	82.9
MP_E61_2B_DY20	251267	220203	220084	219988	216263	204954	81.6
MP_E62_1B_DY20	176259	157428	157307	157232	154174	150448	85.4
MP_E62_2B_DY20	209028	189629	189290	189157	186440	178206	85.3
MP_E63_1B_DY20	186065	159976	159899	159869	158070	151600	81.5
MP_E63_2B_DY20	194840	171752	171610	171622	169429	158264	81.2
MP_E64_1B_DY20	192719	175149	174943	174887	172937	165743	86
MP_E64_2B_DY20	189696	169870	169527	169454	167555	158142	83.4
MP_E65_1B_DY20	227874	214168	213855	213761	210730	195124	85.6
MP_E65_2B_DY20	219587	200233	199962	199774	196225	175964	80.1
MP_E66_1B_DY20	202060	179165	178824	178777	176814	165726	82
MP_E66_2B_DY20	229486	208826	208527	208370	204919	192088	83.7
MP_E67_1B_DY20	180201	152177	152083	152030	150828	145835	80.9
MP_E67_2B_DY20	204500	184299	184089	184027	181912	169055	82.7
MP_E68_1B_DY20	155817	133352	133208	133152	131492	129109	82.9
MP_E68_2B_DY20	226924	209197	208808	208665	205737	193113	85.1
MP_E69_2B_DY20	192809	169688	169464	169410	165949	154134	79.9
MP_E70_1B_DY20	176565	159202	158938	158830	157160	153303	86.8
MP_E70_2B_DY20	135302	112552	112417	112357	110244	108321	80.1
MP_E71_1B_DY20	200516	181536	181347	181208	178370	169948	84.8
MP_E71_2B_DY20	214325	191887	191654	191550	188516	179662	83.8
MP_E72_1B_DY20	199352	182197	182073	181975	179437	175360	88
MP_E72_2B_DY20	169283	149357	149001	148893	146232	139420	82.4
MP_E233_1B_NO20	228937	213935	213330	213135	209450	199847	87.3
MP_E233_2B_NO20	241765	228217	228050	227924	226264	220544	91.2
MP_E234_1B_NO20	235762	221142	220994	221056	218953	208900	88.6
MP_E234_2B_NO20	215346	202249	202183	202148	200698	192144	89.2
MP_E234_3B_NO20	301892	283991	274195	272763	233309	156096	51.7
MP_E235_1B_NO20	238808	222292	222035	221894	219690	211894	88.7
MP_E235_2B_NO20	205159	193146	193096	193071	192402	190956	93.1
