reads.in	reads.out
MP_E235_3B_NO20_R1_trimmed.fq.gz	233981	218316
MP_E236_1B_NO20_R1_trimmed.fq.gz	201927	189370
MP_E236_2B_NO20_R1_trimmed.fq.gz	204200	192526
MP_E236_3B_NO20_R1_trimmed.fq.gz	195547	181270
MP_E237_1B_NO20_R1_trimmed.fq.gz	242922	229520
MP_E237_2B_NO20_R1_trimmed.fq.gz	253786	236003
MP_E238_1B_NO20_R1_trimmed.fq.gz	243729	230790
MP_E238_2B_NO20_R1_trimmed.fq.gz	240195	226772
MP_E239_1B_NO20_R1_trimmed.fq.gz	233699	220038
MP_E239_2B_NO20_R1_trimmed.fq.gz	266800	250434
MP_E240_1B_NO20_R1_trimmed.fq.gz	211058	197332
MP_E240_2B_NO20_R1_trimmed.fq.gz	214990	201671
MP_E241_1B_NO20_R1_trimmed.fq.gz	260561	247531
MP_E241_2B_NO20_R1_trimmed.fq.gz	250691	236711
MP_E242_1B_NO20_R1_trimmed.fq.gz	218470	205417
MP_E242_2B_NO20_R1_trimmed.fq.gz	220468	207373
MP_E243_1B_NO20_R1_trimmed.fq.gz	236277	217161
MP_E243_2B_NO20_R1_trimmed.fq.gz	215946	201455
MP_E244_1B_NO20_R1_trimmed.fq.gz	175367	164098
MP_E244_2B_NO20_R1_trimmed.fq.gz	200434	182704
MP_E245_1B_NO20_R1_trimmed.fq.gz	179072	168596
MP_E245_2B_NO20_R1_trimmed.fq.gz	224415	211547
MP_E246_1B_NO20_R1_trimmed.fq.gz	231416	217636
MP_E246_2B_NO20_R1_trimmed.fq.gz	272329	254686
MP_E247_1B_NO20_R1_trimmed.fq.gz	242510	230516
MP_E247_2B_NO20_R1_trimmed.fq.gz	219705	205695
MP_E248_1B_NO20_R1_trimmed.fq.gz	246825	231392
MP_E248_2B_NO20_R1_trimmed.fq.gz	237908	221438
MP_E249_1B_NO20_R1_trimmed.fq.gz	221687	211291
MP_E249_2B_NO20_R1_trimmed.fq.gz	260270	245245
MP_E250_1B_NO20_R1_trimmed.fq.gz	232530	217805
MP_E250_2B_NO20_R1_trimmed.fq.gz	230009	215045
MP_E251_1B_NO20_R1_trimmed.fq.gz	242803	229527
MP_E251_2B_NO20_R1_trimmed.fq.gz	220998	207121
