reads.in	reads.out
MP_E27_1B_DY20_R1_trimmed.fq.gz	20669	18167
MP_E36_1B_DY20_R1_trimmed.fq.gz	247381	222884
MP_E36_2B_DY20_R1_trimmed.fq.gz	235677	212071
MP_E53_1B_DY20_R1_trimmed.fq.gz	363488	331028
MP_E54_1B_DY20_R1_trimmed.fq.gz	330640	307411
MP_E235_1B_NO20_R1_trimmed.fq.gz	280119	257449
MP_E235_2B_NO20_R1_trimmed.fq.gz	292061	269026
MP_E235_3B_NO20_R1_trimmed.fq.gz	255186	236997
MP_E236_1B_NO20_R1_trimmed.fq.gz	265178	244381
MP_E236_2B_NO20_R1_trimmed.fq.gz	265689	246340
MP_E239_1B_NO20_R1_trimmed.fq.gz	257375	235601
MP_E241_2B_NO20_R1_trimmed.fq.gz	285811	265860
MP_E243_1B_NO20_R1_trimmed.fq.gz	279295	258480
MP_E243_2B_NO20_R1_trimmed.fq.gz	302426	270547
MP_E244_1B_NO20_R1_trimmed.fq.gz	300091	279224
MP_E244_2B_NO20_R1_trimmed.fq.gz	290713	270406
MP_E245_1B_NO20_R1_trimmed.fq.gz	308060	284729
MP_E245_2B_NO20_R1_trimmed.fq.gz	258631	225807
MP_E246_1B_NO20_R1_trimmed.fq.gz	326113	301729
MP_E246_2B_NO20_R1_trimmed.fq.gz	294974	265277
MP_E247_1B_NO20_R1_trimmed.fq.gz	255126	236535
MP_E247_2B_NO20_R1_trimmed.fq.gz	258933	241115
MP_E248_1B_NO20_R1_trimmed.fq.gz	311530	287870
MP_E248_2B_NO20_R1_trimmed.fq.gz	236102	220213
MP_E249_1B_NO20_R1_trimmed.fq.gz	215460	198117
MP_E249_2B_NO20_R1_trimmed.fq.gz	279036	261451
MP_E251_1B_NO20_R1_trimmed.fq.gz	302305	279359
MP_E251_2B_NO20_R1_trimmed.fq.gz	280544	261177
MP_E252_2B_NO20_R1_trimmed.fq.gz	299209	278714
MP_E253_NO20_R1_trimmed.fq.gz	240622	223050
MP_E254_NO20_R1_trimmed.fq.gz	245854	228084
MP_E255_1B_NO20_R1_trimmed.fq.gz	289204	268703
MP_E255_2B_NO20_R1_trimmed.fq.gz	254817	235047
MP_E256_1B_NO20_R1_trimmed.fq.gz	188027	166667
MP_E256_2B_NO20_R1_trimmed.fq.gz	312437	289952
MP_E257_1B_NO20_R1_trimmed.fq.gz	263417	245187
MP_E257_2B_NO20_R1_trimmed.fq.gz	143041	75608
MP_E258_2B_NO20_R1_trimmed.fq.gz	273976	253801
MP_E259_1B_NO20_R1_trimmed.fq.gz	309952	286216
MP_E260_1B_NO20_R1_trimmed.fq.gz	230528	197878
MP_E261_1B_NO20_R1_trimmed.fq.gz	339742	312612
MP_E261_2B_NO20_R1_trimmed.fq.gz	306735	284485
MP_E263_2B_NO20_R1_trimmed.fq.gz	224876	207006
MP_E269_2B_NO20_R1_trimmed.fq.gz	239463	205088
MP_E270_1B_NO20_R1_trimmed.fq.gz	243364	194472
MP_E271_1B_NO20_R1_trimmed.fq.gz	313285	281170
MP_E271_2B_NO20_R1_trimmed.fq.gz	340014	317250
MP_E275_1B_NO20_R1_trimmed.fq.gz	221703	201031
MP_E276_2B_NO20_R1_trimmed.fq.gz	368477	331525
MP_E277_3B_NO20_R1_trimmed.fq.gz	300524	278131
MP_E278_1B_NO20_R1_trimmed.fq.gz	105382	90268
MP_E280_1B_NO20_R1_trimmed.fq.gz	152941	140976
MP_E284_3B_NO20_R1_trimmed.fq.gz	213011	185593
MP_E288_2B_NO20_R1_trimmed.fq.gz	305549	282603
MP_E289_1B_NO20_R1_trimmed.fq.gz	269588	249798
MP_E290_1B_NO20_R1_trimmed.fq.gz	320601	297220
MP_E291_2B_NO20_R1_trimmed.fq.gz	298567	276156
MP_E292_2B_NO20_R1_trimmed.fq.gz	279474	259655
MP_E295_2B_NO20_R1_trimmed.fq.gz	239090	220971
MP_E295_3B_NO20_R1_trimmed.fq.gz	377172	350290
MP_E296_1B_NO20_R1_trimmed.fq.gz	263162	234295
MP_E296_2B_NO20_R1_trimmed.fq.gz	329841	301662
MP_E296_3B_NO20_R1_trimmed.fq.gz	270951	248798
MP_E299_2B_NO20_R1_trimmed.fq.gz	278674	256495
MP_E299_3B_NO20_R1_trimmed.fq.gz	202584	182091
MP_E300_1B_NO20_R1_trimmed.fq.gz	233447	218193
MP_E300_3B_NO20_R1_trimmed.fq.gz	346243	316759
MP_E24_NC_DY20_R1_trimmed.fq.gz	662	618
MP_E41_NC_DY20_R1_trimmed.fq.gz	28746	26084
MP_E56_NC_DY20_R1_trimmed.fq.gz	2858	2646
MP_E73_NC_DY20_R1_trimmed.fq.gz	283455	264408
MP_E232_NC_NO20_R1_trimmed.fq.gz	10397	9670
MP_E301_NC_NO20_R1_trimmed.fq.gz	12603	11609
MP_POSITIVE_R1_trimmed.fq.gz	24846	23112
