x	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021
ASV_53	5041	4669	604	70	471	101	145	27	78	42	8	62	50	43	20	17	60	0	27	35	11	23	27	41	115	323	0	83	127	266	334	46	642	368	126	411	512	105	413	426	48	13300	2741	128	199	391	145	236	137	37	39	56	59	29	74	61	58	25	9	954	394	368	0	746	820	8441	214	114	7855	145	183	3211	24	18	60	9	5653	599	0	0	1225	1105	351	215	62	89	439	788	174	962	1144	937	64	40
ASV_56	0	0	98	84	830	1322	40	4	1026	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	27	97	160	279	317	32	37	212	17	14	58	17	7	66	3	2	60	0	0	65	0	0	193	90	149	609	0	1	2	0	0	0	0	45	50	67	2931	3675	0	8434	9308	39	5710	11745	2	6132	9209	0	347	251	1552	1345	0	0	0	63	80	84	213	30	61	65	4	21	70	602	897	918	3	21
ASV_60	1077	0	255	563	111	124	292	550	203	435	292	2124	510	19	80	277	122	432	1081	613	205	149	271	0	610	61	93	94	1036	1754	1076	1887	1069	354	209	2875	5074	1597	1375	498	344	1069	0	195	376	140	418	429	0	0	709	289	378	546	413	621	456	8	71	1040	88	7	0	68	53	837	162	29	1249	58	10	104	166	6	81	34	0	301	0	0	751	985	515	431	1129	919	3791	851	1290	3264	2799	2446	231	335
ASV_61	827	378	128	3062	617	36	2275	782	0	3171	2236	149	3594	4042	166	2766	3469	5	1355	3067	355	5687	7711	670	747	197	3	16	0	827	380	31	367	207	40	556	524	55	1091	934	192	1465	171	106	2565	867	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	126	0	0	91	0	0	0	0	0	14	0	0	109	181	5	69	4	23	305	30	0	166	98	106	47	10
ASV_63	18	177	903	85	32	12	46	86	43	13	72	183	5	22	160	0	27	4	0	7	233	7	31	446	255	418	124	539	2324	632	230	5540	798	649	1223	350	463	3488	172	118	751	0	130	951	183	341	1515	549	480	1215	430	195	280	606	371	466	528	284	329	552	1293	1179	0	2274	2383	462	1329	1781	114	1438	946	114	116	974	1047	363	325	78	893	2830	572	215	134	268	180	150	661	1041	549	551	763	1269	932	1460
ASV_65	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	41	0	234	74	0	172	74	0	44	38	0	0	0	0	55	0	0	0	0	0	0	56	60	177	78	66	155	222	267	49	12	56	0	22	0	0	25	0	128	96	59	0	54	63	131	92	126	152	53	0	27	429	61	2601	1995	1216	7277	9693	6053	6188	4377	4474	276	297	251	870	1021
ASV_69	5	108	20	136	155	307	48	0	109	107	229	1295	271	125	3057	195	24	93	246	225	322	191	129	498	432	932	1814	71	46	179	155	182	275	514	475	95	423	229	250	4	181	0	348	735	54	143	516	2083	547	943	1091	1686	665	2753	792	2431	591	316	1301	352	321	371	1	174	176	206	278	252	372	86	163	649	506	687	309	807	556	36	1104	15	298	867	674	760	1089	75	287	1108	92	149	545	173	219	71
ASV_71	10	6	1092	136	186	309	456	1106	500	720	412	60	96	198	24	28	26	24	30	37	0	29	101	119	364	698	1419	236	503	997	514	1180	615	291	1005	228	408	1035	184	95	529	9	414	262	581	221	676	722	1334	1007	602	1188	1407	494	710	778	1027	2237	2228	103	644	477	0	302	335	107	315	325	169	740	569	117	141	14	506	214	100	102	0	156	346	187	304	173	158	14	1211	370	522	191	422	400	897	362
ASV_72	531	744	17	117	8	6	32	0	7	19	76	40	27	17	1548	25	131	31	3	11	69	20	24	59	32	98	37	84	65	91	27	139	73	31	62	76	121	171	210	171	459	1498	255	117	575	94	138	848	383	197	1624	316	388	2310	1194	1095	1581	645	352	595	24	19	0	26	44	342	43	23	1507	246	224	3412	137	272	247	167	1785	430	0	17	796	364	260	246	482	355	1290	757	1978	686	765	470	839	1387
ASV_74	227	212	0	2724	476	107	91	133	89	12	649	0	1335	1331	0	3423	771	0	3571	4973	0	3527	1551	0	832	128	0	259	33	886	268	0	27	205	119	80	189	100	1097	1300	0	907	151	54	950	530	39	696	11	0	491	185	0	395	307	546	228	0	0	438	80	15	0	0	0	54	148	17	182	102	0	423	0	0	0	0	198	581	0	0	11	244	0	0	52	0	0	0	15	43	106	0	0	0
