Sample	lat	long	replicates	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
C2	71	-164	E1077.SKQ2021_E1078.SKQ2021_E1079.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.3_30.4_10
CEO	71.59083333	-161.5248333	E1068.SKQ2021_E1069.SKQ2021_E1070.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42_30_10
DBO1.1	62	-175.0666667	E1103.SKQ2021_E1104.SKQ2021_E1105.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	73.9_30.3_9.8
DBO1.10	63.60483333	-172.5931667	E1130.SKQ2021_E1131.SKQ2021_E1132.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45.5_29.7_10.5
DBO1.2	62.04928333	-175.2086333	E1106.SKQ2021_E1107.SKQ2021_E1108.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	75.9_30.8_10
DBO1.3	62.22	-174.8778333	E1109.SKQ2021_E1110.SKQ2021_E1111.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	69.7_30.5_9.9
DBO1.4	62.39033333	-174.5716	E1112.SKQ2021_E1113.SKQ2021_E1114.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.4_30.3_10.2
DBO1.5	62.46833333	-174.0845	E1115.SKQ2021_E1116.SKQ2021_E1117.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	62.6_29.5_9.8
DBO1.6	62.5605	-173.55045	E1118.SKQ2021_E1119.SKQ2021_E1120.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.2_30.6_10.9
DBO1.7	62.7875	-173.5004167	E1121.SKQ2021_E1122.SKQ2021_E1123.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.6_31.2_10.9
DBO1.8	63.03016667	-173.461	E1124.SKQ2021_E1125.SKQ2021_E1126.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	64.9_30.4_10.8
DBO1.9	63.27833333	-173.281	E1127.SKQ2021_E1128.SKQ2021_E1129.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.9_30.6_10.6
DBO2.1	64.67016667	-169.9187	E1133.SKQ2021_E1134.SKQ2021_E1135.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42.6_30.1_10.4
