Value	Sample	TerminalTaxa
15	MP_E1056_SKQ2021	Shionodiscus sp_ IAL_2014
2	MP_E1056_SKQ2021	Kareniaceae
4	MP_E1056_SKQ2021	Fragilariopsis
4	MP_E1056_SKQ2021	Cylindrotheca
3	MP_E1056_SKQ2021	Chaetoceros atlanticus
18	MP_E1056_SKQ2021	Bacillariaceae
190247	MP_E1057_SKQ2021	Unknown
1648	MP_E1057_SKQ2021	Peridiniales
26	MP_E1057_SKQ2021	Coscinodiscophyceae
18162	MP_E1057_SKQ2021	Gymnodiniales
1787	MP_E1057_SKQ2021	Dinophyceae
2	MP_E1057_SKQ2021	Bacterosira sp_ RCC4607
13	MP_E1057_SKQ2021	Cylindrotheca closterium
748	MP_E1057_SKQ2021	Prorocentrales
101	MP_E1057_SKQ2021	Environmental Unknown
8	MP_E1057_SKQ2021	Chaetocerotales
481	MP_E1057_SKQ2021	Chaetoceros gelidus
227	MP_E1057_SKQ2021	Pseudo_nitzschia pungens
3	MP_E1057_SKQ2021	Thalassiosirales
72	MP_E1057_SKQ2021	Fragilariopsis cylindrus
2	MP_E1057_SKQ2021	Prorocentrum
101	MP_E1057_SKQ2021	Pseudo_nitzschia
308	MP_E1057_SKQ2021	Gyrodinium dominans
8	MP_E1057_SKQ2021	Fragilariopsis oceanica
14578	MP_E1057_SKQ2021	Pseudo_nitzschia delicatissima
41	MP_E1057_SKQ2021	Florenciellales
3	MP_E1057_SKQ2021	Thalassiosira nordenskioeldii
9	MP_E1057_SKQ2021	Thalassiosiraceae
5	MP_E1057_SKQ2021	Chaetoceros cf_ neogracilis clade II
1	MP_E1057_SKQ2021	Thalassiosira sp_ RCC4858
25	MP_E1057_SKQ2021	Levanderina__f__o
45	MP_E1057_SKQ2021	Levanderina__f
1	MP_E1057_SKQ2021	Minidiscus
4	MP_E1057_SKQ2021	Florenciella
49	MP_E1057_SKQ2021	Shimiella gracilenta
5	MP_E1057_SKQ2021	Shionodiscus sp_ IAL_2014
32	MP_E1057_SKQ2021	Kareniaceae
3	MP_E1057_SKQ2021	Cylindrotheca
4	MP_E1057_SKQ2021	Bacillariaceae
2	MP_E1057_SKQ2021	Karlodinium veneficum
3	MP_E1057_SKQ2021	Tovelliaceae
7	MP_E1057_SKQ2021	Azadinium dalianense
1	MP_E1057_SKQ2021	Heterocapsa triquetra
1	MP_E1057_SKQ2021	Asterionellopsis glacialis
1	MP_E1057_SKQ2021	Gyrodinium
2	MP_E1057_SKQ2021	Pseudochattonella
7	MP_E1057_SKQ2021	Pelagodinium
185689	MP_E1058_SKQ2021	Unknown
160	MP_E1058_SKQ2021	Peridiniales
26	MP_E1058_SKQ2021	Coscinodiscophyceae
21434	MP_E1058_SKQ2021	Gymnodiniales
2459	MP_E1058_SKQ2021	Dinophyceae
209	MP_E1058_SKQ2021	Prorocentrales
110	MP_E1058_SKQ2021	Environmental Unknown
3	MP_E1058_SKQ2021	Pseudo_nitzschia granii
6	MP_E1058_SKQ2021	Chaetocerotales
224	MP_E1058_SKQ2021	Chaetoceros gelidus
196	MP_E1058_SKQ2021	Pseudo_nitzschia pungens
12	MP_E1058_SKQ2021	Fragilariopsis cylindrus
18	MP_E1058_SKQ2021	Prorocentrum
3	MP_E1058_SKQ2021	Bacillariophyceae
115	MP_E1058_SKQ2021	Pseudo_nitzschia
464	MP_E1058_SKQ2021	Gyrodinium dominans
3	MP_E1058_SKQ2021	Chaetoceros
1	MP_E1058_SKQ2021	Thalassiosira hyalina
3	MP_E1058_SKQ2021	Fragilariopsis oceanica
19095	MP_E1058_SKQ2021	Pseudo_nitzschia delicatissima
84	MP_E1058_SKQ2021	Florenciellales
1	MP_E1058_SKQ2021	Thalassiosira nordenskioeldii
18	MP_E1058_SKQ2021	Levanderina__f__o
24	MP_E1058_SKQ2021	Levanderina__f
1	MP_E1058_SKQ2021	Minidiscus
21	MP_E1058_SKQ2021	Florenciella__f
11	MP_E1058_SKQ2021	Florenciella
122	MP_E1058_SKQ2021	Shimiella gracilenta
14	MP_E1058_SKQ2021	Kareniaceae
5	MP_E1058_SKQ2021	Bacillariaceae
1	MP_E1058_SKQ2021	Karlodinium veneficum
3	MP_E1058_SKQ2021	Pelagodinium
245849	MP_E1059_SKQ2021	Unknown
5734	MP_E1059_SKQ2021	Peridiniales
9097	MP_E1059_SKQ2021	Gymnodiniales
2113	MP_E1059_SKQ2021	Dinophyceae
186	MP_E1059_SKQ2021	Cylindrotheca closterium
195	MP_E1059_SKQ2021	Prorocentrales
