All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis pacifica	Fragilariopsis pacifica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	D	D	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis reginae_jahniae	Fragilariopsis reginae_jahniae	0	0	0	0	0	0	0	0	0	0.02	0	0	0.06	D	0	0.03	D	0	0	0.03	0	0.05	0	0	0.02	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.03	0	0	0	0	0.02	0	0	0.01	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;NA	Fragilariopsis	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	D	0	0	0	0.01	0	0	D	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0.01	0	0	D	0	0	0	0	D	0	0	0	0	D	D	0	D	0	D	0	0.01	0	D	0	D	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;NA;NA	Bacillariaceae	0	0	0	0.05	0.01	0.01	0.02	0.03	0	0	0	0	0.02	0.04	0.01	0.01	0.01	0	0.04	0.05	0	0.06	0.08	0.01	0.01	0.01	0	0.03	0.03	0	0	0.01	0	0	0.01	0	0	0.01	0.03	0.02	0.02	0	0	0.01	D	0.01	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	D	0.01	0	0.02	0.03	0.01	D	0	0	0	0	0.01	0.02	0.01	D	0.01	0.01	0.01	0.01	0.01	0.01	D	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo_nitzschia;NA	Pseudo_nitzschia	0.01	0	0	0.13	0.26	0.26	0.25	0.16	0.29	0.24	0.25	0.82	0.08	0	0.1	0.01	0.15	0.56	0.01	0.14	0.23	0.07	0.04	0.03	0.22	0.18	0.28	0.19	0.05	0.11	0.13	0.01	0.03	0.08	0.02	0.02	0.07	0.05	0.11	0.18	0.1	0	0	0.08	0.04	0	0.05	0.15	0.08	0.12	0.15	0.1	0.15	0.62	0.41	0.31	0.1	0.04	0.09	0.09	0.15	0.15	0	0.2	0.2	0.22	0.34	0.46	0.16	0.41	0.35	0.09	0.3	0.35	0.37	0.34	0.12	0.22	0.03	0.1	0.25	0.27	0.38	0.23	0.35	0.27	0.15	0.13	0.33	0.37	0.36	0.36	0.12	0.05	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo_nitzschia;Pseudo_nitzschia delicatissima	Pseudo_nitzschia delicatissima	0.13	0.16	0.4	13.33	37.94	42.68	1.2	8.27	29.56	0.07	0.88	0.59	0	0.04	0.11	0.02	0.06	0.02	0	0.01	0.13	0.02	0.02	0	19.21	20.08	25.84	24.3	2.34	14.73	22	0.1	7.9	6.34	0.1	1.85	2.19	0.06	0.05	0	0.16	0.05	0	0.22	0.02	0.06	0.52	11.84	9.37	7.72	13.21	9.36	8.35	14.59	16.71	13.21	7.02	4.28	6.26	16.56	10.73	11.73	29.56	14.92	12.63	27.86	34.24	24.84	18.05	29.25	28.24	11.8	33.3	29.47	26.78	28.9	15.15	14.25	3.72	5.5	36.91	37.07	39.64	43.32	42.04	38	29.43	27.92	27.94	36.91	37.96	32.6	7.35	6.57	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo_nitzschia;Pseudo_nitzschia granii	Pseudo_nitzschia granii	0.08	0	0	0	0	0.01	0	0	0.01	0	0	0.1	0	0	0.02	0.04	D	0.04	0	0	0.17	D	0.02	0	0	0	0	0.06	D	0.11	0.05	D	0.11	0.03	0	0.01	0.02	0	0.01	0	0.02	0	0.02	0	0.04	0.03	0.16	0.02	D	0	0.48	0.32	0.3	1.37	1.27	1.03	0.14	0.01	0.01	0.07	0	0	0	0	0	0	0.02	0.02	0.01	0.01	D	0	0	0.01	0	0	0.07	0.13	0	0.02	0.23	0.22	0.23	1.12	1.14	1.61	0.93	0.83	0.77	0.06	0.02	0.02	0.02	0.03	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo_nitzschia;Pseudo_nitzschia pseudodelicatissima	Pseudo_nitzschia pseudodelicatissima	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo_nitzschia;Pseudo_nitzschia pungens	Pseudo_nitzschia pungens	19.61	3.94	27.9	0.61	0.59	0.44	2.08	4.31	1.72	3.74	2.67	7.44	0.18	0.39	8.35	0.44	1.09	16.1	0.16	0.08	7.43	0.01	0.04	2.27	5.86	7.93	8.84	0.82	0.44	0.81	1.24	0.51	0.93	0.71	1.03	0.37	0.61	1.28	42.8	36.95	10.58	3.98	0.8	11.77	22.19	8.43	3.65	0.32	0.17	0.08	0.05	0.02	0.02	0.05	0.02	0.1	0.04	0.09	0.18	0.15	0.2	0.2	0	0.52	0.53	0.12	0.54	0.83	1.88	1.35	1.35	1.29	4.81	7	6.36	3.63	0.97	1.29	4.2	6.91	0.62	1.6	1.12	0.21	0.26	0.24	0.54	0.4	0.33	2.72	1.96	1.05	0.43	0.25	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo_nitzschia;Pseudo_nitzschia seriata	Pseudo_nitzschia seriata	0.08	0	0	0.01	0	0	0.12	0	0	0.19	0.07	0.11	0.32	0.32	D	1.57	0.16	0.24	2.69	0.6	0.05	1.11	0.92	0	0.04	0	0	0.03	0	0.01	0.05	0.01	0.07	0.17	D	0.01	0.02	0.06	0.35	0.26	D	0.05	0	0.04	0.03	0	0	0.13	0	0	D	0	0.04	0.01	0.02	0.01	0	D	0.05	0	0	0	0	0	0	0.01	D	0.02	0.04	0.07	0.01	0.02	0	0	0	0	0.05	0.03	0.01	0	0.18	0.02	0.16	0.35	0.03	0.27	0.64	0.3	0.22	0.01	0.05	0.15	0.02	0.08	0
