All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;NA	Chaetoceros	0.03	0.35	D	0	0	0.01	0	0.01	0	0.01	0.03	0.02	0.01	D	0.01	D	D	0	0.01	D	0	0.02	0.05	0.04	0.01	0.01	0.02	0.01	0.04	0.03	0.02	0.03	0.02	0.02	0.02	D	0.02	0.05	0.05	0.08	0.08	0.05	0.01	0.08	0.06	0.03	0.04	0	0	0	0	0	0	0	0	0	0	D	0	D	0	0	0	0	0	D	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0.01	0	0	0.07	0.04	0.01	0.01	0.02	D	0.02	0.02	0.03	0.03	0.03	0.06	0.1	0.13	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;NA;NA	Chaetocerotaceae	0.03	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.01	0.02	0.01	0.09	0	0	0.01	0	0	0.04	0	0.02	0.02	0.14	0.01	0.19	0.14	0.02	0.09	0.18	0	0.07	0.12	D	0	D	0.01	0.03	0.01	D	0.02	0.01	0	0	0	0.01	0	0	0.03	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.03	0.02	0.03	0.01	0	0.05	0.03	0	0.41	0.36	0.07	0.06	0.05	0.04	0.26	0.13	0.08	0.2	0.21	0.12	1.11	1.23	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;NA;NA;NA	Chaetocerotales	1.2	0.95	0.06	0.46	0.02	0.01	0.16	0.02	0.01	0.11	0.57	0.13	0.09	0.06	3.48	0.14	0.61	1.37	0.02	0.11	0.71	0.19	0.12	0.36	0.13	0.23	0.14	0.24	0.2	0.14	0.07	0.17	0.15	0.08	0.08	0.13	0.2	0.26	0.49	0.68	0.6	1.82	0.67	0.25	0.88	0.28	0.32	2.84	0.9	0.4	5.89	1.13	1.16	7.35	4.1	3.72	5.61	1.52	0.95	2.22	0.06	0.06	0	0.04	0.06	0.54	0.05	0.06	2.66	0.37	0.34	4.35	0.2	0.41	0.23	0.21	4.21	1.23	0	0.09	1	0.57	0.43	0.27	0.43	0.52	1.38	0.86	2.17	1.08	0.87	0.85	0.97	1.32	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Corethrales;Corethraceae;Corethron;Corethron hystrix	Corethron hystrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;NA;NA;NA;NA	Coscinodiscophyceae	D	D	D	0	0.07	0.06	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	D	0	0	0	0	0	D	0	0	0	0.02	0.01	0	0	D	0.02	0	D	0.02	0.02	0.06	0	0.01	0	0	0	0	0	0	0.02	0.01	0.01	0.04	0	0.03	0.02	D	0.01	0	0	D	0.01	0.01	D	D	D	0	0.01	D	0	0	D	0	0	0	0	0	0	0	0	D	0.01	D	0	D	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;NA;NA;NA	Thalassiosirales	0.01	D	0	0	0.01	0	0	0	0	0	D	0	D	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0.01	0.01	0.01	0	D	0	0	0	0	0	D	0	0	D	0	D	0.01	0	0	D	D	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	D	0	0	D	D	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	D	D	0	D	0	D	D	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;NA;NA	Skeletonemataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Bacterosira;Bacterosira sp_ RCC4607	Bacterosira sp_ RCC4607	D	0.03	0.01	0	0.01	0	0	0	0	0	0.01	0	D	0	0	D	0	0	0	0	0	0	0	0	0	0	D	0.01	D	D	0	D	0.01	0.01	D	D	D	D	0.01	D	0.01	D	0.01	0.03	D	D	0.01	0	0.01	0.01	D	0.01	D	D	0.03	0.02	0.05	0	0.01	0.05	0	D	0	D	0	0.01	0	0.01	0.08	0	0.01	0.17	0.01	D	D	0.01	0.25	0.02	0	0	0.03	0.01	D	0.01	0.01	D	0.01	0.01	0.04	0.01	0.02	0.01	0.02	0.02	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Bacterosira;NA	Bacterosira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;NA	Conticribra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	Minidiscus trioculatus	0.01	0	D	0.02	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0	0	D	0	0	0	0	0	0	D	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	D	0.01	0	0	0	0	0	D	0	D	0.01	0.01	D	D	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;NA	Minidiscus	0	0.01	0.01	0	D	D	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0.02	0.01	0.01	0.01	D	0	D	0.01	0.01	0	0	D	D	0	0.01	0	0.01	0.02	0.02	0.02	0.03	0.01	0	0.01	0.03	0	0	0	0	0	0	0	0.01	0.01	0	0.02	0.04	0	0.02	0.03	D	0.01	D	0	0	0.01	0	0.01	0	D	D	D	0	0	0	0.01	D	D	0	0	0	0	0	0	0.01	0.01	0.02	0.01	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;NA;NA	Thalassiosiraceae	0	0.01	0.01	0	0.02	0	0	0	0.01	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	D	0	0.01	0.01	D	0	0.01	D	0	0.01	0	0.02	0.02	0.01	0.02	0.01	0.01	0.02	0	0.01	0	0.01	0.01	0.01	0	0	0	D	0	0	0	0	0.01	0.01	0.02	0	0.01	0	0	D	0.01	0.01	0	D	0	0	0	0	0	0	0	0	0	D	D	0	0	0	D	D	0	0	0	0	D	D	D	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Porosira;NA	Porosira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Porosira;Porosira glacialis	Porosira glacialis	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	D	0	0	D	0	0	D	0.01	0	0.01	D	0	0.05	0.08	D	0	0	D	0.02	0	0	D	0	0	0	0	D	0	0	0	0.01	0	0	0	0	0	0	0	0	D	0	0	0.01	0	D	D	0	0	0	0	0	0	0	0	0	0	D	0	D	0	D	0.01	0.03	D	0	0	D	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Shionodiscus;Shionodiscus sp_ IAL_2014	Shionodiscus sp_ IAL_2014	0	0	0	0.04	0.01	0	0.02	0.01	0	0	0	0	0.02	0	0	0.02	0.01	0	0.05	0.03	0.09	0.05	0.09	0.06	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	D	0	0	D	0	0	0	0	D	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;NA	Thalassiosira	0.01	0	0.02	0.01	0	0	0	0.03	0	0.03	0.01	0	0.03	0	0	D	0.02	0	0.12	0.12	0	0.09	0.06	0	0	0	D	0	D	0	0	0.01	0.01	D	D	0	D	D	0	0.01	D	0	D	0.04	D	0	0.01	0.02	0.04	0.01	0.01	0.01	0.01	D	0.02	0.01	0.07	0.03	0.04	0.02	0	0	0	D	0	0.03	0	0.01	0.07	0.01	0.02	0.16	0.02	D	0.02	0.01	0.54	0.03	D	0	0.01	0.03	D	0.01	D	0.01	0.02	0.04	0.05	0.04	0.03	0.06	0.01	0.02	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira aff_ guillardii IAL_2014	Thalassiosira aff_ guillardii IAL_2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira bioculata	Thalassiosira bioculata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	D	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0.01	0	0	D	0	D	0	0	D	0.01	0	0.01	0.01	D	0.02	0	0	0	0	0	0	0	D	D	0.01	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira gravida	Thalassiosira gravida	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira hyalina	Thalassiosira hyalina	0.01	0.02	0	0.02	0	D	0.03	0	0	0.02	0.01	0	0	0	0	0	D	0	0	0.01	0	0	0	0	0.02	0	0	0	0	D	0	0	0	0	0	0	D	0	0.01	0	0.01	0.01	0	0.02	0.04	0.01	D	0.02	0.01	0.01	0.01	0	0	D	0	0	0	0.01	0.01	0	0	D	0	0	0	0.03	0	0	0.08	D	0	0.24	0.02	0.01	0.01	0.01	0.88	0.02	0.02	0	0.01	0.01	D	D	0.01	0.01	0.01	0	D	0.02	0.01	0.02	0.01	0.01	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira nordenskioeldii	Thalassiosira nordenskioeldii	0	0.03	0.04	D	0.01	D	0.01	0.01	0.01	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	D	0	0.01	D	0.02	0.02	0	0	D	D	D	D	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.04	0.01	0.02	0.02	D	D	0.02	0.01	0.01	0.02	0	0	0	0	0	0	0	0	D	0	0	0.03	D	0	D	0	0.01	0	0	0	0	0	D	0	0	0	D	0	0	0	0	D	0.02	D	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira sp_	Thalassiosira sp_	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	D	0	0	0	0	0	0	0	D	D	0	D	0	D	D	0.01	0	0	D	0	D	0	0	0.01	0	0	0	0	D	0	0	0	0	0.13	0	0	0	0	0	0.02	0	0	D	0	0	0.02	D	0	0	0	0	0.01	0	0.02	0	0	0	0	0	D	0.01	0	0.01	D	D	0	0.01	0.01	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira sp_ RCC4858	Thalassiosira sp_ RCC4858	0	0.01	0	0.01	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	D	0	D	0	0	0	0	0	0	0	0	D	0	0	0	0	D	0	0.01	0.01	D	0	0.01	0.02	D	D	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0.01	0	0	D	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Asterionellopsis;Asterionellopsis glacialis	Asterionellopsis glacialis	0	0	0	0	D	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	D	0	0	0	0	D	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	D	0	0	D	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Ctenophora;Ctenophora sp_ _in_ diatoms_	Ctenophora sp_ _in_ diatoms_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Rhaponeidales;NA;NA;NA	Rhaponeidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	D	0	0	D	D	0	0	0	0	0	0	0	0	D	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;NA;NA;NA	Cymatosirales	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	D	0	0	0.02	0	0	D	0	0	0	0	0	0	0	D	D	0	0.01	0	0	0	0	0	D	D	0	0	D	0	0.01	0	D	0.01	0	0	0	0	0.01	0.01	0.01	D	0	0	D	D	0.01	0.01	0	0.01	0.01	0.01	0
Eukaryota;Bacillariophyta;Mediophyceae;NA;NA;NA;NA	Mediophyceae	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0.01	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	D	0	0	0	D	0	0	D	0	0	0.01	0
	<<<Ctenophora>>>
Eukaryota;Ctenophora;Tentaculata;Cydippida;Mertensiidae;Mertensia;Mertensia ovum	Mertensia ovum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ctenophora;Tentaculata;NA;NA;NA;NA	Tentaculata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
	<<<Dictyochophyceae__p>>>
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Dictyochales;Dictyochaceae;Dictyocha;Dictyocha speculum	Dictyocha speculum	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Florenciellales;Florenciella__f;Florenciella;NA	Florenciella	0	0	0.03	0	0.01	0.02	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0.01	0	0	D	0	D	0	0	0	0	0.01	0.01	0	0	0	0	0	0.02	0.01	0.01	0.08	0	0	0	0	0	0	0.02	0.03	0.01	0	0	0.03	0	0.01	0	0	0.01	0.02	0	0.01	0.01	0	0	D	D	0.01	0	0	0	D	0.01	D	0	0.01	D	0	0	0	0	0	D	D	0	0	0
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Florenciellales;Florenciella__f;NA;NA	Florenciella__f	0	0	0.11	D	0	0.05	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0.01	0	0.01	0	0.01	0	0.01	0.01	0	0	0.01	0	0	0.02	0	0	0.02	0	0	0.01	0	0.03	0.01	0	0	0	0	0	0	0	0.01	0	0	0.04	0	0	D	0.02	0	0	0	0	0.01	0.01	0	D	0.01	D	0	0	0	0.01	0	0	0	0	0	0	0	D	0	0	0	0.01	0	0	0	0
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Florenciellales;NA;NA;NA	Florenciellales	D	0	1.28	0	0.11	0.19	0	0	0.07	0	0.02	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.02	0.05	0.23	0.11	0.05	0.05	0.04	0.01	0.01	0.03	0.01	0.01	0.01	D	0	0	0.18	0	0	0.06	0	0	0.21	0.28	0.42	0.68	0.02	0.01	0	0.02	0.03	0.01	0.02	0.08	0.19	0.17	0.44	0.39	0	0.21	0.34	0.01	0.26	0.23	0	0.13	0.17	0	0.06	0.04	0.06	0.06	0.01	0	D	0.02	0.02	0.01	0.01	0.02	0.01	0.02	D	0.01	0.01	0.03	0.04	0.03	0.02	0.01	0
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Florenciellales;Pseudochattonella__f;Pseudochattonella;NA	Pseudochattonella	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Dinophyceae__p>>>
Eukaryota;Dinophyceae__p;Dinophyceae;Gonyaulacales;Amphidomataceae;Azadinium;Azadinium dalianense	Azadinium dalianense	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gonyaulacales;Amphidomataceae;Azadinium;Azadinium obesum	Azadinium obesum	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	D	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	D	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gonyaulacales;Amphidomataceae;Azadinium;Azadinium perforatum	Azadinium perforatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0.01	0.02	0.01	D	D	D	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	D	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gonyaulacales;Amphidomataceae;Azadinium;Azadinium trinitatum	Azadinium trinitatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gonyaulacales;NA;NA;NA	Gonyaulacales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.12	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium aureolum	Gymnodinium aureolum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;NA	Gymnodinium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
