Sample	Unknown	Peridiniales	Coscinodiscophyceae	Gymnodiniales	Dinophyceae	Bacterosira sp_ RCC4607	Cylindrotheca closterium	Prorocentrales	Environmental Unknown	Pseudo_nitzschia granii	Minidiscus trioculatus	Chaetocerotales	Chaetoceros cf_ neogracilis clade I	Chaetocerotaceae	Chaetoceros gelidus	Pseudo_nitzschia pungens	Thalassiosirales	Pseudo_nitzschia seriata	Fragilariopsis cylindrus	Prorocentrum	Bacillariophyceae	Pseudo_nitzschia	Gyrodinium dominans	Chaetoceros	Thalassiosira hyalina	Fragilariopsis oceanica	Thalassiosira	Gymnodiniaceae	Pseudo_nitzschia delicatissima	Florenciellales	Thalassiosira nordenskioeldii	Thalassiosiraceae	Chaetoceros cf_ neogracilis clade II	Thalassiosira sp_ RCC4858	Levanderina__f__o	Levanderina__f	Minidiscus	Cymatosirales	Suessiales	Thalassiosira sp_	Florenciella__f	Florenciella	Pelagomonadales	Shimiella gracilenta	Porosira glacialis	Shionodiscus sp_ IAL_2014	Kareniaceae	Fragilariopsis	Cylindrotheca	Chaetoceros atlanticus	Bacillariaceae	Karlodinium veneficum	Tovelliaceae	Azadinium dalianense	Heterocapsa triquetra	Asterionellopsis glacialis	Gyrodinium	Pseudochattonella	Pelagodinium	Eukaryota	Karlodinium	Mediophyceae	Heterocapsa	Dictyocha speculum	Fragilariopsis reginae_jahniae	Azadinium obesum	Chaetoceros sp_ CCAP 1010_16	Thalassiosira gravida	Mertensia ovum	Polarella glacialis	Laminariales	Scrippsiella	Thalassiosira bioculata	Suessiaceae	Gonyaulacales	Rhaponeidales	Shimiella	Porosira	Bacillariales	Chaetoceros cf_ neogracilis clade IV	Peridiniaceae	Skeletonemataceae	Azadinium perforatum	Karlodinium elegans	Gymnodinium	Aureococcus__f	Gymnodinium aureolum	Pseudo_nitzschia pseudodelicatissima	Chaetoceros cf_ neogracilis clade III	Corethron hystrix	Biecheleriaceae	Phaeophyceae	Prorocentrum criophilum	Thalassiosira aff_ guillardii IAL_2014	Tentaculata	Ctenophora sp_ _in_ diatoms_	Limacina helicina	Pythiales	Bacterosira	Fragilariopsis pacifica	Conticribra	Azadinium trinitatum	Hyperia galba	Luticola ventricosa	Diadesmidaceae	
MP_E1083_SKQ2021	158292	748	0	35335	779	0	0	385	323	29	5	41	3	75	1980	686	0	27	28	9	17	69	1786	11	0	24	0	0	12134	21	6	5	0	0	48	35	0	0	0	0	0	0	0	18	0	0	2	0	0	0	0	0	18	10	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1084_SKQ2021	240962	224	0	100396	3998	5	3	57	9	2	0	194	2	22	5177	585	5	14	156	47	0	7	3269	30	0	14	9	0	120	7	2	2	0	0	6	21	1	0	0	0	11	0	0	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1085_SKQ2021	214128	531	0	51290	649	4	4	796	376	74	0	98	0	56	2318	605	0	46	36	19	2	22	1879	14	0	2	4	1069	5137	8	11	0	3	0	9	79	4	0	0	0	0	2	0	5	1	0	1	2	0	0	0	0	7	0	255	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1086_SKQ2021	190080	891	0	56236	666	4	0	413	469	21	1	50	0	118	1949	470	0	110	55	32	0	55	683	11	0	3	2	0	4215	18	11	7	0	3	14	107	8	0	0	0	5	0	0	8	5	0	0	0	0	0	0	0	17	0	269	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1087_SKQ2021	221129	437	0	86998	2913	1	0	168	0	0	0	77	0	0	2286	984	0	2	62	120	0	19	1252	17	0	7	1	0	99	8	0	1	3	0	4	19	0	0	0	2	9	3	0	15	0	0	0	0	0	0	6	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1088_SKQ2021	169572	854	4	72838	436	1	5	523	187	11	0	103	0	60	1312	304	0	8	50	3	8	13	3357	3	0	0	0	4	1508	11	0	0	5	1	18	63	0	0	0	1	0	0	0	2	7	0	0	0	2	0	0	0	17	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1089_SKQ2021	199348	576	0	74632	327	1	6	653	266	19	0	178	0	100	1509	534	0	18	97	15	8	63	5877	18	1	6	2	2	1900	5	2	7	0	0	25	162	2	0	0	0	0	0	0	1	4	0	0	6	3	0	0	0	7	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1090_SKQ2021	173457	693	0	79108	2954	1	8	130	4	0	0	238	1	1	3917	1170	3	58	97	128	0	43	2802	42	0	21	1	5	54	4	2	0	0	0	7	54	2	0	0	2	7	0	0	4	0	0	0	0	0	0	8	0	0	0	39	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1091_SKQ2021	243134	1558	0	20111	1981	5	3	551	5	8	0	268	2	0	4557	23357	0	191	34	0	5	59	1667	30	7	18	0	21	25	0	1	9	0	0	9	44	0	4	0	0	0	0	0	0	30	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1092_SKQ2021	227221	1771	12	19007	1559	1	10	556	22	0	0	334	1	2	6343	18027	0	125	54	0	8	86	631	41	0	46	3	7	0	0	2	11	6	0	3	42	4	8	0	1	0	3	0	0	41	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1093_SKQ2021	232256	1575	5	39452	2337	10	12	81	9	23	4	592	1	5	39271	10440	3	3	301	98	47	97	894	78	6	35	2	2848	161	181	6	14	4	0	6	44	0	0	0	1	16	13	0	9	2	0	0	9	0	0	24	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
