Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
START.NC.SKQ2021,NA,NA,TRUE,SKQ2021,SKQ21 EcoFOCI DBO,11/8/21,11/8/21,NA,NA,NA,NA,NA,Sterivex 0.22µm filter,95% EtOH,NA,NA,NA,NA,NA,1000,Matt Galaska,
E1053.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/8/21,11/8/21,22:04,13:04,NA,1,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO3.8,46,67˚ 40.598' N,168˚ 56.97' W,1000,Matt Galaska,
E1054.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/8/21,11/8/21,22:04,13:04,NA,1,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO3.8,30,67˚ 40.598' N,168˚ 56.97' W,1000,Matt Galaska,
E1055.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/8/21,11/8/21,22:04,13:04,NA,1,16,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO3.8,10,67˚ 40.598' N,168˚ 56.97' W,1000,Matt Galaska,
E1056.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/10/21,11/9/21,2:39,17:39,NA,2,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO4.1,49,71˚ 11.589' N,160˚ 15.884' W,1000,Matt Galaska,
E1057.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/10/21,11/9/21,2:39,17:39,NA,2,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO4.1,30,71˚ 11.589' N,160˚ 15.884' W,1000,Matt Galaska,
E1058.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/10/21,11/9/21,2:39,17:39,NA,2,14,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO4.1,10,71˚ 11.589' N,160˚ 15.884' W,1000,Matt Galaska,
E1059.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/10/21,11/9/21,4:55,19:55,NA,3,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO4.2,43,71˚ 19.308' N,160˚ 39.4' W,1000,Matt Galaska,
E1060.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/10/21,11/9/21,4:55,19:55,NA,3,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO4.2,30,71˚ 19.308' N,160˚ 39.4' W,1000,Matt Galaska,
E1061.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/10/21,11/9/21,4:55,19:55,NA,3,11,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO4.2,10,71˚ 19.308' N,160˚ 39.4' W,1000,Matt Galaska,
E1062.SKQ2021,1,1,FALSE,SKQ2021,SKQ21 EcoFOCI DBO,11/10/21,11/9/21,7:19,22:19,NA,4,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Chukchi Sea,DBO4.3,43,71˚ 27.26' N,161˚ 2.363' W,1000,Matt Galaska,
