sample	lat	long	replicate	Site	Depth	bottle	Fluorescence WET Labs ECO-AFL/FL [mg/m^3]	CStarAt0 Beam Attenuation WET Labs C-Star [1/m]	CStarTr0 Beam Transmission WET Labs C-Star %	oxy_conc_ch1 (micromole/kg)	salinity_ch1 (PSU)	salinity_ch2 (PSU)	sigma_t_ch1 (kg m-3)	sigma_t_ch2 (kg m-3)	temperature_ch1 (degree_C)	temperature_ch2 (degree_C)	pressure (decibar)	time (UTC)
E1887.SKQ23-12S	62.38978	-174.5696	E1887	DBO1.4	24.163	12	0.8207	0.5403	87.3652	373.131	31.4905	31.5125	25.1447	25.1703	2.226	2.1159	24.399	2023-9-15T22:30:0
E1888.SKQ23-12S	62.38976	-174.5696	E1888	DBO1.4	1.46	21	0.4631	0.7089	83.7631	285.029	30.9243	30.9882	24.0941	24.1432	7.8611	7.8686	1.474	2023-9-15T22:37:34
E1889.SKQ23-12S	62.55918	-173.55036	E1889	DBO1.6	60.552	1	0.2089	1.6173	66.7425	279.354	31.8883	31.8984	25.6452	25.6534	-1.5122	-1.5109	61.15	2023-9-16T4:54:29
E1890.SKQ23-12S	62.55928	-173.55026	E1890	DBO1.6	30.233	10	0.9278	0.5193	87.8248	349.851	31.7531	31.7626	25.5243	25.5319	-1.069	-1.0682	30.529	2023-9-16T5:1:14
E1891.SKQ23-12S	62.55946	-173.55006	E1891	DBO1.6	10.47	18	1.0366	0.681	84.3449	292.836	31.1556	31.1635	24.3317	24.3376	7.4527	7.4555	10.572	2023-9-16T5:8:31
E1892.SKQ23-12S	63.0284	-173.4606	E1892	DBO1.8	65.964	1	0.1941	1.1227	75.5271	258.291	32.0936	32.1037	25.8086	25.8167	-1.3754	-1.3752	66.618	2023-9-16T11:1:25
E1893.SKQ23-12S	63.0284	-173.4606	E1893	DBO1.8	30.101	10	0.8509	0.4955	88.349	421.834	31.9201	31.93	25.639	25.6469	-0.4536	-0.4519	30.397	2023-9-16T11:9:27
E1894.SKQ23-12S	63.0284	-173.4606	E1894	DBO1.8	10.232	17	0.6078	0.5764	86.5803	293.366	31.3851	31.3922	24.5275	24.5331	7.3383	7.3387	10.332	2023-9-16T11:15:58
E1895.SKQ23-12S	64.67155	-170.64123	E1895	DBO2.09	40.95	1	0.587	0.8508	80.8418	227.5	33.0136	33.0232	26.2798	26.2873	3.2241	3.2249	41.358	2023-9-17T3:50:21
E1896.SKQ23-12S	64.67128	-170.64078	E1896	DBO2.09	29.994	8	0.6049	0.7968	81.9388	228.421	33.0135	33.0228	26.2796	26.2869	3.2253	3.2259	30.292	2023-9-17T3:53:50
E1897.SKQ23-12S	64.6708	-170.64004	E1897	DBO2.09	10.24	15	0.6382	0.813	81.6072	228.493	33.0135	33.0234	26.2792	26.2869	3.2295	3.2308	10.342	2023-9-17T3:59:8
E1898.SKQ23-12S	64.66926	-169.9202	E1898	DBO2.1	40.643	1	1.3334	1.0999	75.9587	226.443	33.0207	33.0305	26.3214	26.3292	2.8122	2.8129	41.049	2023-9-17T8:38:3
E1899.SKQ23-12S	64.66932	-169.92011	E1899	DBO2.1	30.361	8	1.2014	0.9059	79.7348	227.11	33.0248	33.0344	26.3207	26.3282	2.8591	2.8598	30.663	2023-9-17T8:41:49
E1900.SKQ23-12S	64.66934	-169.92004	E1900	DBO2.1	10.319	13	3.2691	0.9544	78.7743	297.876	32.561	32.5796	26.0001	26.0148	2.2387	2.2416	10.422	2023-9-17T8:49:17
E1901.SKQ23-12S	64.67944	-169.1	E1901	DBO2.2	39.56	1	0.65	0.8911	80.0458	263.345	32.8443	32.8539	26.1688	26.1764	2.9505	2.9513	39.954	2023-9-17T13:47:23
E1902.SKQ23-12S	64.6794	-169.10002	E1902	DBO2.2	30.083	5	0.4399	0.7527	82.8465	260.362	32.7163	32.727	26.0861	26.0944	2.7194	2.7224	30.383	2023-9-17T13:50:47
E1903.SKQ23-12S	64.67938	-169.10008	E1903	DBO2.2	10.652	13	1.2588	0.7426	83.0565	298.866	32.4493	32.4589	25.881	25.8887	2.6188	2.6192	10.758	2023-9-17T13:56:36
E1904.SKQ23-12S	64.66892	-168.23716	E1904	DBO2.3	32.68	1	1.3944	0.8803	80.2468	290.055	31.8511	31.858	25.1232	25.13	5.5056	5.4935	33.005	2023-9-17T19:1:58
E1905.SKQ23-12S	64.6689	-168.23688	E1905	DBO2.3	10	12	1.9477	0.796	81.9542	291.897	31.8168	31.8261	25.0261	25.0333	6.0985	6.1001	10.099	2023-9-17T19:6:38
E1906.SKQ23-12S	64.99988	-168.2216	E1906	DBO2.7	40.171	1	0.6455	1.0901	76.1459	228.117	28.4681	30.9876	22.5662	24.5662	4.3167	4.3075	40.572	2023-9-17T22:36:35
E1907.SKQ23-12S	64.9999	-168.22158	E1907	DBO2.7	29.782	7	0.6228	0.9805	78.2612	160.591	27.4787	31.7685	21.655	25.0443	5.6297	5.6237	30.079	2023-9-17T22:39:33
E1908.SKQ23-12S	64.9999	-168.22158	E1908	DBO2.7	9.89	13	2.2861	0.9575	78.7129	243.938	27.4666	31.0247	21.5785	24.3829	6.2487	6.2498	9.988	2023-9-17T22:44:23
E1909.SKQ23-12S	64.99154	-169.13858	E1909	DBO2.5	42.723	1	0.4241	0.9678	78.5092	259.365	32.8164	32.8441	26.1282	26.1524	3.16	3.1354	43.15	2023-9-18T3:0:57
E1910.SKQ23-12S	64.9917	-169.13882	E1910	DBO2.5	29.832	8	0.4359	0.7278	83.3632	265.401	32.7602	32.7711	26.0778	26.0862	3.2231	3.2256	30.129	2023-9-18T3:4:19
E1911.SKQ23-12S	64.99208	-169.13876	E1911	DBO2.5	10.102	18	0.8716	0.7303	83.3125	272.342	32.5835	32.5812	25.9733	25.9688	2.7998	2.8315	10.202	2023-9-18T3:9:52
E1912.SKQ23-12S	64.96166	-169.88356	E1912	DBO2.4	42.638	1	1.0552	1.1192	75.5948	242.404	32.7821	32.7931	26.1785	26.1875	2.219	2.2178	43.065	2023-9-18T7:10:54
E1913.SKQ23-12S	64.9616	-169.88352	E1913	DBO2.4	30.502	8	0.3907	0.6497	85.0082	264.393	32.7842	32.7953	26.0945	26.1037	3.2504	3.2456	30.806	2023-9-18T7:14:18
E1914.SKQ23-12S	64.96174	-169.88364	E1914	DBO2.4	10.421	15	2.0473	0.8855	80.1415	312.066	32.1244	32.1356	25.7156	25.7246	1.2959	1.2965	10.524	2023-9-18T7:20:28
E1915.SKQ23-12S	71.24684	-157.16436	E1915	DBO5.1	40.818	1	0.1934	1.2491	73.1802	316.859	31.6573	31.6683	25.2569	25.2656	2.5085	2.5089	41.242	2023-9-20T21:15:18
E1916.SKQ23-12S	71.24684	-157.1644	E1916	DBO5.1	29.966	7	0.2393	0.6401	85.2113	310.044	31.1943	31.2152	24.7812	24.7978	3.7715	3.7726	30.277	2023-9-20T21:18:9
E1917.SKQ23-12S	71.24682	-157.1644	E1917	DBO5.1	9.981	14	0.6029	0.6262	85.5086	309.019	30.6655	30.6762	24.3312	24.3395	4.0922	4.0934	10.084	2023-9-20T21:24:52
E1918.SKQ23-12S	71.28777	-157.2454	E1918	DBO5.2	50.849	1	0.2188	1.7878	63.9577	315.263	31.784	31.7956	25.384	25.3933	2.1639	2.1631	51.38	2023-9-20T23:22:25
E1919.SKQ23-12S	71.28782	-157.245	E1919	DBO5.2	30.023	10	0.2207	0.6948	84.0535	313.689	31.491	29.2329	25.0707	23.2718	3.1681	3.1638	30.334	2023-9-20T23:28:51
E1920.SKQ23-12S	71.28782	-157.24492	E1920	DBO5.2	9.663	17	0.9252	0.7375	83.1612	309.85	30.2808	27.0765	24.003	21.461	4.3315	4.3357	9.762	2023-9-20T23:36:17
E1921.SKQ23-12S	71.32998	-157.33132	E1921	DBO5.3	84.54	1	1.0132	1.1084	75.7974	316.368	32.4284	32.4526	26.074	26.0936	-1.1536	-1.1534	85.429	2023-9-21T1:18:8
E1922.SKQ23-12S	71.32991	-157.33182	E1922	DBO5.3	30.528	12	0.0681	0.5387	87.4091	323.865	31.8907	31.9638	25.5247	25.594	1.3486	1.1759	30.845	2023-9-21T1:29:3
E1923.SKQ23-12S	71.32996	-157.33143	E1923	DBO5.3	10.787	18	0.808	0.7441	83.0252	302.763	30.1104	30.1313	23.8173	23.8336	4.8421	4.8444	10.898	2023-9-21T1:33:50
