sample	lat	long	replicate	Site	Depth	bottle	Fluorescence WET Labs ECO-AFL/FL [mg/m^3]	CStarAt0 Beam Attenuation WET Labs C-Star [1/m]	CStarTr0 Beam Transmission WET Labs C-Star %	oxy_conc_ch1 (micromole/kg)	salinity_ch1 (PSU)	salinity_ch2 (PSU)	sigma_t_ch1 (kg m-3)	sigma_t_ch2 (kg m-3)	temperature_ch1 (degree_C)	temperature_ch2 (degree_C)	pressure (decibar)	time (UTC)
E1951.SKQ23-12S	72.46454	-156.54712	E1951	CK9	30.05	19	0.1745	0.457	89.2038	360.494	31.3862	31.3953	25.1963	25.2035	-0.1627	-0.1573	30.363	2023-9-22T15:25:1
E1952.SKQ23-12S	72.46462	-156.54704	E1952	CK9	10.251	22	0.7788	0.5633	86.8638	324.642	27.5755	27.5851	21.9272	21.9348	3.4882	3.4887	10.358	2023-9-22T15:30:23
E1953.SKQ23-12S	71.19248	-160.26608	E1953	DBO4.1n	48.685	1	0.1795	1.4264	70.005	261.138	32.6582	32.6698	26.2742	26.2836	-1.6762	-1.675	49.193	2023-9-23T8:6:19
E1954.SKQ23-12S	71.19248	-160.26612	E1954	DBO4.1n	29.886	8	0.162	1.1024	75.9111	264.174	32.6568	32.668	26.2731	26.2821	-1.6778	-1.6755	30.196	2023-9-23T8:11:30
E1955.SKQ23-12S	71.19246	-160.26608	E1955	DBO4.1n	10.147	16	0.6594	0.5353	87.4757	422.424	30.6898	30.711	24.6032	24.6219	0.5595	0.5247	10.251	2023-9-23T8:20:16
E1956.SKQ23-12S	71.3219	-160.65142	E1956	DBO4.2n	42.835	1	0.1727	2.054	59.8399	250.884	32.6601	32.6708	26.2756	26.2842	-1.6672	-1.6649	43.281	2023-9-23T11:59:13
E1957.SKQ23-12S	71.322	-160.65108	E1957	DBO4.2n	30.251	10	0.1647	0.8228	81.4072	261.26	32.6159	32.6268	26.2394	26.2482	-1.6545	-1.653	30.565	2023-9-23T12:4:53
E1958.SKQ23-12S	71.3217	-160.65164	E1958	DBO4.2n	10.288	18	0.6796	0.5644	86.841	338.033	27.5277	27.5369	21.9607	21.9678	2.4831	2.4849	10.395	2023-9-23T12:11:15
E1959.SKQ23-12S	71.45352	-161.0379	E1959	DBO4.3n	41.697	1	0.249	2.6663	51.3457	258.545	32.6046	32.6164	26.2291	26.2387	-1.6105	-1.6116	42.131	2023-9-24T4:59:23
E1960.SKQ23-12S	71.45341	-161.03816	E1960	DBO4.3n	30.121	6	0.3628	0.8983	79.8844	276.97	32.5724	32.5836	26.2027	26.2118	-1.5996	-1.5992	30.434	2023-9-24T5:2:13
E1961.SKQ23-12S	71.45302	-161.03902	E1961	DBO4.3n	10.346	15	0.7646	0.5849	86.3946	343.192	27.2467	27.2544	21.7577	21.7636	2.1344	2.1385	10.453	2023-9-24T5:11:4
E1962.SKQ23-12S	71.58606	-161.39586	E1962	DBO4.4n	41.88	1	0.2554	2.4648	53.9994	256.7	32.5696	32.5809	26.1991	26.2084	-1.5458	-1.5459	42.317	2023-9-24T8:21:19
E1963.SKQ23-12S	71.58596	-161.39616	E1963	DBO4.4n	30.075	8	0.7105	0.7956	81.9637	274.793	32.5519	32.5626	26.1845	26.1931	-1.5331	-1.5329	30.388	2023-9-24T8:24:35
E1964.SKQ23-12S	71.58586	-161.39658	E1964	DBO4.4n	10.01	15	0.757	0.5834	86.4279	343.357	27.2387	27.2491	21.7534	21.7615	2.0979	2.1016	10.114	2023-9-24T8:31:48
E1965.SKQ23-12S	71.71928	-161.77236	E1965	DBO4.5n	37.727	1	0.3909	1.837	63.1765	290.883	32.6512	32.6569	26.2383	26.2427	-0.6684	-0.6629	38.12	2023-9-25T3:14:1
E1966.SKQ23-12S	71.71928	-161.7724	E1966	DBO4.5n	30.274	5	0.334	1.7044	65.3043	292.624	32.6469	32.6579	26.2336	26.2425	-0.637	-0.6359	30.59	2023-9-25T3:16:42
E1967.SKQ23-12S	71.71922	-161.7726	E1967	DBO4.5n	10.099	12	0.3894	0.496	88.3384	338.481	28.0235	28.0347	22.3676	22.3764	2.3111	2.3126	10.203	2023-9-25T3:22:8
E1968.SKQ23-12S	71.85008	-162.15674	E1968	DBO4.6n	35.847	1	0.4916	2.3309	55.8375	283.621	32.6461	32.6573	26.2334	26.2425	-0.6502	-0.6489	36.221	2023-9-25T6:50:21
E1969.SKQ23-12S	71.85008	-162.15674	E1969	DBO4.6n	30.41	5	0.5096	1.8266	63.3399	286.489	32.6372	32.6486	26.2278	26.237	-0.6909	-0.6904	30.727	2023-9-25T6:52:35
E1970.SKQ23-12S	71.85008	-162.15676	E1970	DBO4.6n	10.239	13	0.6162	0.569	86.74	342.699	28.4402	28.444	22.7312	22.7342	1.8111	1.813	10.345	2023-9-25T6:59:22
E1971.SKQ23-12S	70.58002	-162.49076	E1971	IC11	33.868	1	0.1421	2.5612	52.7136	197.513	30.9883	30.9996	24.3867	24.3955	5.9774	5.9785	34.218	2023-9-26T16:6:37
E1972.SKQ23-12S	70.57988	-162.49072	E1972	IC11	10.159	10	0.8678	0.6192	85.6588	291.533	28.5659	28.5777	22.4067	22.4157	6.5739	6.5756	10.263	2023-9-26T16:11:58
