reads.in	reads.out
MP_E1032_OC0821_PCR1_R1_trimmed.fq.gz	170661	144568
MP_E1032_OC0821_PCR2_R1_trimmed.fq.gz	169548	148375
MP_E1032_OC0821_PCR3_R1_trimmed.fq.gz	6264	5530
MP_E1033_OC0821_PCR1_R1_trimmed.fq.gz	260068	214440
MP_E1033_OC0821_PCR2_R1_trimmed.fq.gz	268286	225397
MP_E1033_OC0821_PCR3_R1_trimmed.fq.gz	223359	189829
MP_E1034_OC0821_PCR1_R1_trimmed.fq.gz	215280	153439
MP_E1034_OC0821_PCR2_R1_trimmed.fq.gz	248149	175044
MP_E1034_OC0821_PCR3_R1_trimmed.fq.gz	278096	193660
MP_E1053_SKQ2021_R1_trimmed.fq.gz	222497	166379
MP_E1054_SKQ2021_R1_trimmed.fq.gz	204859	149874
MP_E1055_SKQ2021_R1_trimmed.fq.gz	203193	149924
MP_E1056_SKQ2021_R1_trimmed.fq.gz	219216	174684
MP_E1057_SKQ2021_R1_trimmed.fq.gz	210015	159935
MP_E1058_SKQ2021_R1_trimmed.fq.gz	199403	158082
MP_E1059_SKQ2021_R1_trimmed.fq.gz	205851	156747
MP_E1060_SKQ2021_R1_trimmed.fq.gz	256022	227831
MP_E1061_SKQ2021_R1_trimmed.fq.gz	239040	176485
MP_E1062_SKQ2021_R1_trimmed.fq.gz	203203	140765
MP_E1063_SKQ2021_R1_trimmed.fq.gz	224087	166480
MP_E1064_SKQ2021_R1_trimmed.fq.gz	200518	158699
MP_E1065_SKQ2021_R1_trimmed.fq.gz	240611	194938
MP_E1066_SKQ2021_R1_trimmed.fq.gz	284681	247893
MP_E1067_SKQ2021_R1_trimmed.fq.gz	221309	188261
MP_E1068_SKQ2021_R1_trimmed.fq.gz	186845	151882
MP_E1069_SKQ2021_R1_trimmed.fq.gz	251915	212520
MP_E1070_SKQ2021_R1_trimmed.fq.gz	236804	194771
MP_E1071_SKQ2021_R1_trimmed.fq.gz	248439	211865
MP_E1072_SKQ2021_R1_trimmed.fq.gz	238455	219357
MP_E1073_SKQ2021_R1_trimmed.fq.gz	194596	173102
