dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E2131_4B	238239	196185	195947	195933	193141	188163	79
MP_E2131_5B	246976	169589	169392	169399	165549	160541	65
MP_E2132_1B	264597	233805	233583	233726	230738	219630	83
MP_E2132_2B	258026	241288	241063	241241	237860	226087	87.6
MP_E2132_3B	260458	239543	239413	239436	236347	225111	86.4
MP_E2132_4B	211992	205083	204997	205044	203294	190730	90
MP_E2132_5B	280702	267484	267223	267241	262985	250194	89.1
MP_E2133_1B	235838	220237	220132	220132	218052	206166	87.4
MP_E2133_2B	152172	148321	148256	148305	146745	142177	93.4
MP_E2133_3B	223600	204543	204424	204464	202197	191495	85.6
MP_E2133_4B	241250	233052	232867	232962	230692	212934	88.3
MP_E2133_5B	186960	182234	182116	182188	180578	170572	91.2
MP_E2134_1B	153033	130589	130501	130505	129647	127529	83.3
MP_E2134_2B	334251	311602	311490	311383	310237	300613	89.9
MP_E2134_3B	322957	296551	296434	296411	295321	288009	89.2
MP_E2134_4B	216410	209165	208974	209123	206282	195841	90.5
MP_E2134_5B	265904	224081	223888	223843	219703	212467	79.9
MP_E2135_1B	208036	192832	192742	192799	191617	187975	90.4
MP_E2135_2B	253200	233390	233261	233320	230002	219079	86.5
MP_E2135_3B	290536	238948	238853	238659	235774	228464	78.6
MP_E2135_4B	246482	223123	223068	222991	220497	211502	85.8
MP_E2135_5B	301616	280113	279848	279928	276592	261155	86.6
MP_E2136_1B	194360	184855	184743	184688	183264	176586	90.9
MP_E2136_2B	268097	259420	259224	259310	257872	244991	91.4
MP_E2136_3B	212546	204735	204661	204691	203011	190900	89.8
MP_E2136_4B	251923	232167	232001	232099	228777	216048	85.8
MP_E2136_5B	2038	1923	1917	1923	1893	1811	88.9
MP_E2137_1B	280998	232620	232484	232456	230077	219970	78.3
MP_E446_1B_PCR2	232044	173753	173657	173676	171151	164377	70.8
MP_E446_1B_PCR3	286114	214933	214842	214811	211914	204296	71.4
MP_E446_2B_PCR2	182324	139342	139253	139277	137760	132288	72.6
MP_E446_2B_PCR3	251001	187075	186942	186988	184947	177585	70.8
MP_E446_3B_PCR2	218963	167242	167135	167123	164527	159397	72.8
MP_E446_3B_PCR3	212552	162115	161911	162037	159199	154254	72.6
MP_E447_1B_PCR2	214696	170611	170467	170557	164202	157110	73.2
MP_E447_1B_PCR3	233999	186467	186320	186386	179570	171754	73.4
MP_E447_2B_PCR2	250019	200218	200071	200103	195112	180725	72.3
MP_E447_2B_PCR3	221085	173318	173205	173262	168933	156891	71
MP_E447_3B_PCR2	223212	188984	188932	188937	186784	181646	81.4
MP_E447_3B_PCR3	206917	172712	172605	172668	170671	165205	79.8
MP_E448_1B_PCR2	292506	226349	226098	226230	219371	206574	70.6
MP_E448_1B_PCR3	297465	234425	234244	234250	227001	216517	72.8
MP_E448_2B_PCR2	161977	152000	151917	151932	146320	140458	86.7
MP_E448_2B_PCR3	187977	176103	175974	176032	168687	160852	85.6
MP_E448_3B_PCR2	269773	247199	247095	247104	243429	228258	84.6
MP_E448_3B_PCR3	182295	165985	165887	165937	163288	154632	84.8
MP_E449_1B_PCR2	205582	179820	179731	179736	177913	166146	80.8
MP_E449_1B_PCR3	248058	215845	215712	215732	213517	198584	80.1
MP_E449_2B_PCR2	196770	170957	170765	170883	168991	155700	79.1
MP_E449_2B_PCR3	219822	192558	192418	192516	190522	176503	80.3
MP_E449_3B_PCR2	186452	154969	154832	154908	153084	140981	75.6
MP_E449_3B_PCR3	229998	191024	190867	190993	188744	173715	75.5
MP_E450_1B_PCR2	215668	202504	202352	202423	199770	182240	84.5
MP_E450_1B_PCR3	272304	253936	253812	253796	250596	228792	84
MP_E450_2B_PCR2	293188	273582	273390	273519	270412	246527	84.1
MP_E450_2B_PCR3	263343	247463	247325	247387	244624	223603	84.9
MP_E450_3B_PCR2	268526	248910	248804	248789	245591	223858	83.4
MP_E450_3B_PCR3	217525	203600	203494	203552	200898	182855	84.1
MP_E475_PCR2	195405	181469	181352	181365	178597	164954	84.4
MP_E475_PCR3	225623	209754	209617	209664	206509	190646	84.5
MP_E486_PCR2	200298	138794	138611	138616	134179	130776	65.3
