reads.in	reads.out
MP_E446_1B_PCR2_R1_trimmed.fq.gz	197324	195773
MP_E446_1B_PCR3_R1_trimmed.fq.gz	18824	18746
MP_E446_2B_PCR2_R1_trimmed.fq.gz	193652	192187
MP_E446_2B_PCR3_R1_trimmed.fq.gz	266589	265199
MP_E446_3B_PCR2_R1_trimmed.fq.gz	176475	175386
MP_E446_3B_PCR3_R1_trimmed.fq.gz	176330	174247
MP_E449_1B_PCR2_R1_trimmed.fq.gz	217488	215871
MP_E449_1B_PCR3_R1_trimmed.fq.gz	275431	273275
MP_E449_2B_PCR2_R1_trimmed.fq.gz	200982	198803
MP_E449_2B_PCR3_R1_trimmed.fq.gz	229596	227346
MP_E449_3B_PCR2_R1_trimmed.fq.gz	225737	224094
MP_E449_3B_PCR3_R1_trimmed.fq.gz	251098	249268
MP_E475_PCR2_R1_trimmed.fq.gz	218361	216484
MP_E475_PCR3_R1_trimmed.fq.gz	241698	239980
MP_E486_PCR2_R1_trimmed.fq.gz	173798	171508
MP_E486_PCR3_R1_trimmed.fq.gz	158041	157075
MP_E492_1B_PCR2_R1_trimmed.fq.gz	97497	95479
MP_E492_1B_PCR3_R1_trimmed.fq.gz	66994	66144
MP_E573_1B_PCR2_R1_trimmed.fq.gz	217726	216098
MP_E573_1B_PCR3_R1_trimmed.fq.gz	140246	139498
MP_E573_2B_PCR2_R1_trimmed.fq.gz	277412	275518
MP_E573_2B_PCR3_R1_trimmed.fq.gz	251736	250111
MP_E573_3B_PCR2_R1_trimmed.fq.gz	171844	170478
MP_E573_3B_PCR3_R1_trimmed.fq.gz	189725	188245
MP_E598_1B_PCR2_R1_trimmed.fq.gz	82680	82017
MP_E598_1B_PCR3_R1_trimmed.fq.gz	58793	57903
MP_E598_2B_PCR2_R1_trimmed.fq.gz	126719	125792
MP_E598_2B_PCR3_R1_trimmed.fq.gz	51937	51422
MP_E598_3B_PCR2_R1_trimmed.fq.gz	67406	66930
MP_E598_3B_PCR3_R1_trimmed.fq.gz	51748	51309
