dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E446_1B_PCR2	197324	195773	195686	195718	194241	192706	97.7
MP_E446_1B_PCR3	18824	18746	18730	18720	18644	18566	98.6
MP_E446_2B_PCR2	193652	192187	191908	192121	189898	183059	94.5
MP_E446_2B_PCR3	266589	265199	263782	265069	261530	255835	96
MP_E446_3B_PCR2	176475	175386	175275	175312	174529	173054	98.1
MP_E446_3B_PCR3	176330	174247	174036	173966	172316	171453	97.2
MP_E449_1B_PCR2	217488	215871	215718	215675	214772	213546	98.2
MP_E449_1B_PCR3	275431	273275	273129	273231	272334	270761	98.3
MP_E449_2B_PCR2	200982	198803	198707	198734	198482	195995	97.5
MP_E449_2B_PCR3	229596	227346	227213	227308	226785	225289	98.1
MP_E449_3B_PCR2	225737	224094	223925	224057	223610	222633	98.6
MP_E449_3B_PCR3	251098	249268	249200	249156	248618	247292	98.5
MP_E475_PCR2	218361	216484	216444	216439	215318	214881	98.4
MP_E475_PCR3	241698	239980	239952	239962	238804	238227	98.6
MP_E486_PCR2	173798	171508	171390	171460	170340	167169	96.2
MP_E486_PCR3	158041	157075	156911	156862	156087	154641	97.8
MP_E492_1B_PCR2	97497	95479	95425	95430	95090	94543	97
MP_E492_1B_PCR3	66994	66144	66106	66114	65879	65775	98.2
MP_E573_1B_PCR2	217726	216098	215985	215908	213535	211884	97.3
MP_E573_1B_PCR3	140246	139498	139251	139451	137979	137347	97.9
MP_E573_2B_PCR2	277412	275518	275063	275407	273286	267199	96.3
MP_E573_2B_PCR3	251736	250111	249994	250034	248757	246528	97.9
MP_E573_3B_PCR2	171844	170478	170403	170427	169734	168924	98.3
MP_E573_3B_PCR3	189725	188245	188119	187976	187165	183779	96.9
MP_E598_1B_PCR2	82680	82017	81926	81977	81293	79013	95.6
MP_E598_1B_PCR3	58793	57903	57755	57819	57261	57058	97
MP_E598_2B_PCR2	126719	125792	125735	125749	125073	124609	98.3
MP_E598_2B_PCR3	51937	51422	51380	51386	51190	51040	98.3
MP_E598_3B_PCR2	67406	66930	66877	66890	66380	66164	98.2
MP_E598_3B_PCR3	51748	51309	51256	51273	51106	50951	98.5
